wavelength,Back_OryNutm,Belly_OryNutm,Breast_OryNutm,Crissum_OryNutm,Crown_OryNutm,DorTail_OryNutm,Rump_OryNutm,Throat_OryNutm,WingTip_OryNutm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,343.333333333,443.333333333,398.333333333,390.0,420.0,510.0,501.666666667,250.0,383.333333333
179.16,79.4443333333,101.944533333,105.0,100.000066667,88.8887777779,97.5000666667,111.3889,71.1111333333,113.888866667
179.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179.93,190.0,245.0,183.333333333,193.333333333,183.333333333,242.5,269.166666666,243.333333333,253.333333333
180.31,147.916666667,201.25,153.4375,150.833333333,190.208333333,157.5,198.020833333,159.375,207.083333333
180.69,168.0,235.066666667,160.0,170.933333334,218.488888889,172.533333333,231.066666667,188.266666667,250.133333333
181.07,153.3334,224.722266667,146.9445,173.611066667,206.851888889,154.861,218.888866667,191.9446,269.4444
181.45,260.512666667,356.4103,217.9486,273.333466667,380.170977778,246.923033333,332.051333333,366.153866667,472.307666667
181.83,221.333333333,284.666766667,177.111266667,232.444333333,339.999888889,198.0,256.000066667,288.0,399.555466667
182.21,136.666733333,172.8789,98.3332666667,139.393933333,219.191933333,100.909033333,147.575766667,179.696866667,244.242533333
182.59,200.000066667,238.1817,113.030433333,212.727333333,343.030355556,131.818133333,225.4546,255.151466667,381.212133333
182.97,-15.5556666662,-188.888733333,291.111033334,-186.666666667,-525.925866666,91.1111333334,-97.7777666666,-373.333399999,-691.111200001
183.35,75.2381333332,80.9523000001,20.9523,110.476133333,174.285688889,33.0952666667,82.3809000001,156.666666667,214.762
183.73,43.7037333332,99.2592666666,-66.2962666666,120.7408,183.209911111,-39.6296333335,73.7036333335,148.888866667,297.777933333
184.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
184.49,-166.666666668,-1503.33333333,963.333333332,-1733.33333333,-1531.11111111,390.000000001,-813.333333333,-693.333333333,-2646.66666667
184.87,43.0770666666,180.256466667,-8.7179,179.487266667,190.940155556,22.8203999999,129.999966667,98.9743999999,264.1026
185.25,13.8095333333,163.8095,-33.5714666666,169.523933333,165.714311111,-13.5714333334,84.2856333335,62.3809333334,187.618933333
185.63,-2.85726666666,313.809433333,-141.428833333,305.7142,279.3652,-96.6667,140.476133333,-3.80939999993,278.0952
186.01,-3.3333333334,575.0,-266.666666667,683.333333333,431.666666667,-111.666666667,390.0,28.3333333334,486.666666667
186.39,20.0000000001,-276.666666667,137.916666667,-393.333333333,-256.944444444,77.5000000001,-200.416666667,-1.6666666666,-262.5
186.77,-280.0,-955.0,21.666666666,-1208.33333334,-883.88888889,-58.3333333334,-632.5,-391.666666667,-866.666666666
187.15,163.5898,358.204966667,24.6154333334,432.3078,349.5726,48.2051333335,278.718033333,149.743666667,333.846133333
187.53,-110.000066667,-580.0001,193.333433334,-746.6666,-573.333288889,96.6666666666,-302.222166667,-66.6666666668,-565.555466667
187.91,-76.3637333335,-313.333366667,52.7272666666,-473.939333333,-363.636444444,10.6060333333,-180.605966667,-93.9393333335,-321.818133333
188.29,35.6666666667,-85.6666666667,92.0,-192.0,-132.555555556,77.3333333335,-28.8333333334,12.9999999999,-109.333333333
188.67,-20.6059333335,-255.1514,71.5151666666,-499.999933333,-344.444355556,25.7576666666,-154.2424,-119.393866667,-287.878733333
189.05,-85.9999999999,-327.333333333,13.0,-692.000000001,-434.666666667,12.0000000001,-220.0,-181.333333333,-332.666666667
189.43,214.0,394.333333333,105.333333333,717.333333334,515.555555555,63.6666666665,315.666666667,316.0,396.0
189.81,109.473733333,234.210533333,53.8597,403.508666667,263.976666667,43.1578333333,171.929866667,188.070333333,215.7896
190.19,77.4601999999,203.0158,24.6032,338.7302,227.936644445,22.8571,142.539633334,143.1746,172.381066667
190.57,50.4762666666,137.4287,28.9522666666,215.428666667,137.587311111,31.0475999999,93.7142000001,101.333333333,108.190533333
