wavelength,Back_ParCorm,Belly_ParCorm,Breast_ParCorm,Crissum_ParCorm,Crown_ParCorm,DorTail_ParCorm,Rump_ParCorm,Throat_ParCorm,WingTip_ParCorm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,56.3636,21.2121333333,23.6363333333,49.0909333333,31.5152666667,37.5757333333,41.8182,25.4545333333,21.8182
179.16,-96.6666666667,-216.666666667,-66.6666666667,-50.0,-80.0,-206.666666667,-53.3333333332,-96.6666666667,29.9999999999
179.54,183.333333333,190.0,160.0,30.0,6.66666666666,290.0,106.666666667,89.9999999999,66.6666666666
179.93,-53.3332666666,-10.0,-47.7777333333,-35.5556666667,-16.6665999999,-57.7776,-48.8889333333,-19.9998666667,-17.7777333333
180.31,-27.9166666667,-29.6876,-34.4789333333,-2.60413333334,-12.2915333333,-19.6871333334,-23.7497333333,-25.1042000001,-17.0832666667
180.69,-27.9798,-30.3031333333,-32.8283333333,-4.24239999998,-15.2525333333,-18.6870666666,-25.4546,-27.4746,-22.1210666667
181.07,-33.1342666667,-33.9302,-30.7463333333,-11.7413333333,-18.4080666667,-23.5821333333,-30.7462,-30.7462666666,-20.5968666667
181.45,-48.9656,-50.0,-48.2759333333,-28.8506666667,-32.7585333333,-28.5057333333,-47.4712,-52.1838,-36.5517333333
181.83,-31.9998666667,-27.6190666667,-30.6666666667,-18.7619333333,-17.3333333333,-9.1428,-31.2382,-38.2857333333,-24.9524
182.21,-38.5185333333,-30.2646666667,-36.1904666667,-20.2116,-22.6456,-3.0686,-36.0847333333,-47.9364666667,-33.6508666667
182.59,-139.487133333,-112.564066667,-124.1026,-87.9486666667,-107.948733333,-40.0,-129.743533333,-155.3846,-125.128066667
182.97,-269.3332,-255.111066667,-242.666666667,-184.888933333,-239.555533333,-128.0,-276.888933333,-313.333266667,-270.222066667
183.35,945.0,1046.66666667,931.666666665,745.000000001,948.333333334,503.333333333,1086.66666667,1271.66666667,1170.0
183.73,-344.444466667,-414.814866667,-383.7038,-285.185266667,-374.0742,-194.8148,-441.481533333,-539.259133334,-482.962933333
184.11,-154.117666666,-188.627533333,-184.3138,-114.1176,-170.196133333,-97.2550666667,-208.627466666,-260.392133333,-211.764733333
184.49,-259.523866667,-301.4286,-285.7144,-215.7144,-249.523866667,-203.3332,-286.190466667,-376.190466667,-320.4762
184.87,-896.000000001,-1096.0,-1030.66666667,-801.333333334,-874.666666665,-802.666666667,-981.333333333,-1302.66666667,-1117.33333333
185.25,591.851866667,668.148133333,697.777733333,502.2222,554.074066667,500.0,629.6296,806.6666,718.518666667
185.63,-1138.33333333,-1171.66666667,-1303.33333333,-779.999999999,-1005.0,-928.333333333,-1178.33333333,-1500.0,-1381.66666667
186.01,-5313.33333333,-5853.33333333,-6046.66666667,-3440.0,-5246.66666667,-4620.0,-5846.66666667,-6679.99999999,-6186.66666666
186.39,-6140.0,-7413.33333333,-6813.33333333,-4553.33333333,-6366.66666667,-6020.0,-6620.0,-7026.66666667,-6720.0
186.77,-204.615466667,-248.717933333,-215.897333333,-140.0,-211.282,-218.718,-227.948733333,-226.4102,-216.6666
187.15,-81.2243999999,-94.4217333335,-78.2312666667,-47.0748,-81.7687333334,-85.9863333334,-91.9729333334,-87.7551333333,-86.1223999999
187.53,-56.3077333334,-62.3590666666,-47.4872,-25.2306666667,-53.8460666667,-55.3847333333,-59.6924666666,-52.6152,-54.9742666667
187.91,-61.4359333333,-65.6410666667,-49.6409333333,-25.4357333333,-61.1282,-52.1024000001,-63.6923333333,-52.1026,-56.9230666666
188.29,-97.4358666666,-106.5384,-69.8716666667,-49.8718000001,-92.1795333333,-81.9231333333,-101.1538,-81.0257333333,-96.0256
188.67,-137.272666667,-143.788,-99.0908000001,-68.7878666667,-128.6364,-105.3032,-145.151466667,-105.1514,-128.939466667
189.05,-139.3056,-137.2222,-96.2500000002,-66.8054666667,-123.333466667,-102.916533333,-142.0834,-97.7778666668,-123.333333333
189.43,-124.7272,-126.0608,-80.1211333334,-57.6970666667,-113.696933333,-98.6667333334,-129.575733333,-89.0909333333,-113.333333333
189.81,-156.470533333,-161.830133333,-108.496733333,-81.0458000001,-147.451,-139.085066667,-168.496733333,-115.2942,-149.281
190.19,-131.6666,-138.571466667,-86.6665333333,-66.6666666666,-126.666666667,-120.357133333,-145.5954,-94.5237333335,-128.690533333
190.57,-106.5628,-104.896066667,-66.5627333333,-47.1876666668,-101.4586,-98.5417999999,-122.291866667,-77.7084666665,-104.791866667
190.95,-125.5172,-120.000066667,-84.2528666667,-60.2298666667,-118.7356,-118.505666667,-135.977066667,-95.4021999999,-121.724066667
191.33,-320.860266667,-320.645266667,-245.161266667,-206.881666666,-310.107666667,-317.634466667,-333.763533333,-263.870866667,-305.161266667
191.71,-666.274466667,-672.156866667,-526.274466667,-489.803933333,-660.784266667,-694.902133334,-702.352933333,-575.6864,-643.921466667
