wavelength,Back_ParDomf,Belly_ParDomf,Breast_ParDomf,Crissum_ParDomf,Crown_ParDomf,DorTail_ParDomf,Rump_ParDomf,Throat_ParDomf,WingTip_ParDomf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,95.0980833334,97.7940833333,100.980416667,97.0586666668,95.5882499999,123.03925,107.843,121.568666666,88.2351666667
179.16,125.0,146.666666667,128.333333333,103.333333333,141.666666666,115.0,111.666666667,130.0,65.5555555556
179.54,46.9695833334,33.3335833333,56.0606666667,53.03025,78.7878333333,62.1211666667,43.9394166666,61.3636666667,10.606
179.93,56.9444166666,72.5695,83.3333333333,78.4721666667,52.0831666668,98.6111666667,46.5278333334,71.5276666666,28.7038888889
180.31,140.086083333,141.738541667,166.23575,156.465416667,162.787333334,181.178083333,128.304666667,179.454,103.544222222
180.69,131.4815,131.07625,152.662,149.42125,154.398166667,165.393416667,126.851833333,168.518666667,101.466222222
181.07,139.124166667,137.57075,171.186333333,168.2205,172.316416667,176.41225,126.97725,180.93225,100.188277778
181.45,116.095916667,116.09575,143.721416667,141.895,144.292166667,150.0,102.511416667,150.000083333,84.4748333333
181.83,122.3485,121.780208333,151.388916666,153.030333333,152.1465,162.5,108.080666667,157.197,92.0034444443
182.21,137.878833333,129.318333333,166.818083333,166.666583334,171.666666667,174.545416666,120.757583333,172.121166667,107.373833333
182.59,111.267666667,111.561166667,138.497666667,132.277083333,135.9155,138.732333334,101.173916666,136.032916667,92.2534444443
182.97,84.4155,89.06925,113.852833333,111.471916667,110.173083333,110.93075,76.4069166667,108.333333333,68.5426666667
183.35,78.2353333332,79.9021666667,100.098083333,92.9412500001,100.490166667,97.8429999999,69.8039166667,99.1175833331,65.4246666667
183.73,94.1885833335,86.2937916667,110.416583333,115.131583333,118.530666667,108.771916667,83.6622500001,113.706166667,75.584888889
184.11,85.2814166666,88.0410833334,104.978166667,110.065,111.147333333,102.813916667,77.5974166668,103.5715,68.1818888889
184.49,87.4999999999,83.657375,99.4444999999,109.074083333,110.833416666,102.314916667,77.5926666666,101.296333333,70.7407777778
184.87,84.6900833334,81.4922916668,98.2558333332,108.720916667,105.232583334,102.713083333,70.4457500001,96.3177500001,60.7882777778
185.25,89.7004999999,90.0280000001,99.3444999999,110.8615,106.928916667,105.992666667,78.8389166667,101.21725,69.4132222222
185.63,100.803083333,97.0884166667,108.534166667,125.903583333,118.57425,115.56225,91.1645833333,112.45,82.5299444444
186.01,94.3223333334,99.9541666666,102.0145,121.337,111.26375,106.410083333,84.5237499999,106.318666667,80.3418333333
