wavelength,Back_ParGulf,Belly_ParGulf,Breast_ParGulf,Crissum_ParGulf,Crown_ParGulf,DorTail_ParGulf,Rump_ParGulf,Throat_ParGulf,WingTip_ParGulf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,45.5554,46.6666,37.3333333333,56.2220333333,60.8889333333,63.5556,54.2222666667,29.3335333333,59.9999333333
179.16,-25.0,-185.0,-36.6666666665,-108.333333333,33.3333333335,9.99999999992,36.6666666667,-213.333333333,94.9999999999
179.54,64.2592666667,61.4814333333,71.6665666667,77.4073333333,68.5186,71.1112,72.2223333333,52.4073333333,74.2592666666
179.93,87.7777000001,21.1111333334,62.2222333332,124.4444,108.888733333,62.2222666667,124.4444,142.2221,184.444266667
180.31,36.9731333333,27.0881666667,52.6436,56.6284,52.9503333333,62.6052666667,76.7049999999,34.7508,72.1839666667
180.69,45.2674666667,34.2798666667,65.4731000001,72.6336333333,64.1976,78.2716666667,90.3702666667,45.432,89.0946000001
181.07,49.0685,36.7154666667,75.7843333333,80.3430000001,70.9802666667,83.1371333332,106.5688,58.2842333333,99.6077666667
181.45,42.3564666667,36.6090666667,83.2184666666,87.4140666667,69.6551333333,86.092,122.298866667,74.8850333333,107.011533333
181.83,19.3333333333,9.46666666666,120.0,132.933333333,88.2666666665,110.4,218.4,118.533333333,182.4
182.21,-8.40580000014,-7.24636666674,117.2464,132.463833333,79.1304666665,97.971,224.347866667,101.739266667,173.4783
182.59,0.2941666666,9.90183333333,81.0785999999,85.9804,64.9019333333,66.2746000001,154.901933333,61.8628,128.9217
182.97,-48.6956666668,-18.8404666666,90.4348666667,89.7102666667,55.9419999999,31.3042666667,184.0578,40.5798,143.768066667
183.35,-798.333333333,-748.333333334,623.333333333,801.666666667,140.0,3.33333333274,1633.33333334,178.333333333,1340.0
183.73,148.5185,160.370433333,-132.963,-181.1112,-26.6666666665,-25.1852000001,-326.6668,-90.7406000001,-328.518633333
184.11,63.3333,86.2963333333,-23.3332666666,-30.8640333333,27.9010666667,27.1603999999,-80.9877333333,-24.6912666667,-80.6173666666
