wavelength,Back_ParGulm,Belly_ParGulm,Breast_ParGulm,Crissum_ParGulm,Crown_ParGulm,DorTail_ParGulm,Rump_ParGulm,Throat_ParGulm,WingTip_ParGulm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,39.2591555556,57.7778333333,33.3332,54.6667333333,45.7778333334,42.4444666667,49.8518,57.7776666667,45.5555333333
179.16,-167.777777778,-298.333333333,-133.333333333,90.0,-138.333333333,-126.666666667,-112.222222222,66.6666666668,-66.6666666668
179.54,51.6048,50.1852,56.2962,50.7406666667,53.7037666667,54.4444333333,49.8149,58.7961666667,52.4074333333
179.93,-2.2223333334,-10.0001,-82.2222,75.5555999999,17.7778,-37.7778333334,-50.3703444445,24.9998333334,-31.1111666666
180.31,41.9924222222,38.1610333333,15.249,43.5248,46.6283,28.8888,27.0881666667,55.268,36.8200333333
180.69,52.1262444444,49.5885333333,24.4445333334,53.0864,56.2963333334,37.0370333333,37.4211,69.5472500001,45.2675
181.07,58.7255111111,56.6667333333,27.1569333333,58.0392666666,68.2843333333,43.2843333333,35.7515,73.7745833334,49.3135666667
181.45,58.8505333333,66.7240666667,21.3794,55.2874,74.7127333334,50.4598666667,38.1992888889,64.5114166667,53.5633
181.83,72.7111111111,82.6666666666,-22.3999999999,68.2666666667,119.333333333,51.0666666666,23.1111111112,66.3333333332,58.6666666667
182.21,65.2174444445,71.1594,-28.9854666667,73.0434666666,136.376766667,52.8985333334,7.29474444441,54.3478333333,52.3189666667
182.59,45.2287555555,44.0196333333,-1.37246666666,59.4117333334,91.4706666666,36.6668000001,12.0915666667,40.4410833333,43.2353333333
182.97,31.3043333334,4.34783333333,-16.8115333334,51.5941333334,97.6811000001,6.95656666674,-20.4830555555,-2.17383333342,24.6375333333
183.35,-135.555555555,-546.666666667,-453.333333333,-19.9999999994,663.333333333,-123.333333334,-530.0,-591.666666667,-144.999999999
183.73,39.5061777777,148.148133333,130.3704,32.5925999999,-103.333466667,39.9999666666,130.123533333,186.111083333,34.4446000001
184.11,42.7160444443,83.4567666666,67.4075333333,23.9505333333,-7.90123333326,12.8393666667,69.5473222222,95.3704166667,36.9135
184.49,42.1164000001,70.9523333333,52.0634666667,-7.30166666666,-31.4285666668,1.5872333334,65.2908666668,100.0,20.0000666667
184.87,52.7777777779,-90.4166666668,-0.83333333326,208.333333333,247.083333334,145.0,-55.0000000001,-143.75,101.666666667
185.25,68.6666666667,-99.0,34.6666666667,196.0,183.0,122.0,-6.33333333334,-68.3333333332,90.3333333333
185.63,108.888888889,-452.499999999,3.3333333334,363.333333333,360.0,149.166666667,-202.777777778,-150.0,-27.5
186.01,53.1623555555,-54.6153666667,35.1282666666,84.8717999999,74.8718333333,46.9229999999,-1.83775555562,25.0,29.4871333333
186.39,96.0234888887,-64.9124000001,68.4210666666,108.772066667,93.6842333334,81.7542333333,42.2805888888,62.7190833332,75.9648999999
186.77,-588.888888889,1138.33333333,-169.999999999,-656.666666668,-551.666666668,-471.666666667,-11.6666666666,-175.0,-389.999999999
187.15,-677.777777778,485.5555,-340.0,-706.666666666,-623.333399999,-645.555466667,-255.925966666,-444.444416667,-556.666733334
187.53,-204.888888889,163.666666667,-60.6666666669,-178.0,-143.333333333,-146.0,-44.5555555554,-120.833333333,-146.0
187.91,1216.66666667,-586.666666667,443.333333334,1193.33333334,998.333333334,1020.0,401.666666667,937.5,1033.33333333
188.29,-125.050511111,220.0,3.6364,-123.6364,-138.181633333,-101.818066667,15.7576555554,-143.9395,-86.0605
188.67,-15.7356444445,98.5585666667,29.3692666667,-5.58553333335,-20.2701999999,-3.42353333334,32.2822888889,-11.71175,7.2972666666
189.05,15.9682222222,81.3808333333,47.8093333333,27.8094666667,12.7618333333,24.1905666667,47.9206333333,21.6666666667,32.2857333333
189.43,28.6453333333,93.5616,65.9361333333,44.4748,23.105,39.4975333333,59.2543333333,26.9405833333,43.79
189.81,13.7477111111,91.13,62.1468666667,38.7569333334,5.02816666669,32.9377666667,50.1317111111,6.49708333333,24.1242666667
190.19,14.9019333333,75.3431,61.9609333333,39.8038666667,4.26476666669,26.8137,42.6798111111,5.88233333332,21.8627666667
190.57,18.5602666667,78.6385333333,68.5446,48.8264000001,5.53989999999,36.4320333333,47.2143888889,13.02825,25.7746333333
190.95,16.715,75.7486333333,68.6957333334,51.4010666667,-2.41553333335,38.9855666667,40.0161888889,2.77775000003,17.9711
191.33,17.1052666667,75.8772333333,69.0350666667,54.5615333332,3.20176666668,42.3684666667,36.7397888889,5.26316666668,26.7543666667
191.71,8.4676,86.6091666667,75.977,57.3561999999,-9.82753333333,45.0575333333,41.7433222222,-9.77025,28.5059333333
192.09,2.50002222222,95.7143,71.4285999999,65.8332666667,-7.97620000001,56.1308333333,45.3969777777,-9.07741666668,35.2976
192.47,-38.0056666667,98.3761333333,62.7350666667,66.4957333333,-43.077,40.3419,22.7349777778,-36.9658333333,7.00863333334
192.85,-84.3211333334,203.148066667,115.5556,142.962933333,-109.814833333,42.7778333333,18.7654777777,-108.33325,-21.8518666667
193.23,-1215.55555555,3913.33333333,1486.66666667,2566.66666667,-2113.33333333,1020.0,-5.555555555,-2366.66666667,-483.333333333
193.61,-170.222222222,376.333333333,48.0,190.666666667,-260.333333333,23.3333333332,-54.1111111112,-221.666666667,-110.0
193.99,-71.6666666666,270.416666667,39.9999999999,152.083333333,-135.833333333,32.9166666667,-5.34722222222,-94.7916666667,-12.7083333334
194.37,-24.7916666667,155.0,12.5,77.9166666667,-57.0833333332,21.3541666667,7.7777777778,-39.84375,7.70833333334
194.75,-37.7777777778,201.466666667,0.0,95.7333333335,-66.0000000001,8.53333333334,16.0000000001,-45.3333333333,22.9333333335
195.13,23.8888888889,195.625,36.0416666667,129.166666667,3.75000000002,43.0208333333,65.5902777778,22.6562500001,81.2499999999
195.51,19.2592,297.037066667,1.48146666674,187.407333333,-47.0369999999,49.2593,81.4196888888,-28.70375,74.0741666666
195.89,40.4629111112,237.7778,9.72226666674,166.666733333,-24.0277666667,44.5834333333,67.3610888889,-0.34716666675,66.1111333333
196.27,44.4444,134.518366667,19.8517999999,98.5185999999,-2.6668,22.6666666667,44.7407444444,11.1110833333,50.5927333334
196.65,55.6648888889,111.420566667,35.9562666667,95.4099333332,22.8961333333,38.3061,52.9691,24.59,64.6449000001
197.03,47.0781333333,90.4113666667,37.3661333333,79.9998666667,26.4198333333,39.3825666667,51.9753111111,21.81075,57.1605666667
197.40,40.9123333333,74.1754,37.0525999999,74.5966666667,28.1052333333,30.5964333333,47.3099777778,24.2981666667,55.0175333333
197.78,52.8339555556,86.6292666667,47.1161333334,92.5092666666,41.0111333333,42.9214666667,60.7116555556,33.89525,69.3631333335
198.16,63.9739111111,99.1371666667,57.3333333333,105.4118,52.7842,57.7647333333,72.2874888889,39.9019166667,82.3529333333
198.54,74.9034666667,100.978233333,68.9131333334,109.6376,63.2246666667,68.6595666667,81.135188889,52.6268333333,90.1449333334
198.92,81.2244666667,97.7211,70.6800000001,111.156466667,66.4286333333,74.8639333333,82.2789222222,52.8060833333,92.0408
199.30,85.5702888889,110.4445,75.2889333333,123.377733333,66.0444666667,85.9111333333,88.5331777778,48.1112500001,99.5556999998
199.68,80.0599777778,105.630666667,71.8018666666,120.540533333,58.6035666667,77.1622,80.0600444444,48.6486666667,95.1352000002
200.06,80.9308666667,109.819933333,73.3332666667,121.081133333,59.9998,82.9280333333,83.9939666667,53.82875,94.8648333334
200.44,126.046466667,173.953733333,113.953466667,195.193666667,95.4264000001,137.1318,134.8837,83.5270833333,143.178133333
200.82,135.047644444,209.999933333,124.190333333,207.4286,96.1904333332,152.761933333,144.634911111,80.4760833335,148.952433333
201.19,2964.44444445,5720.0,2706.66666667,5420.00000001,1643.33333333,3623.33333333,2964.44444444,1325.0,3600.0
201.57,-127.581688889,-272.941233333,-94.9018666665,-248.235333333,-38.0391666665,-166.862766667,-109.673133333,-11.7647499999,-118.627466667
201.95,-117.666666667,-205.833333333,-88.3333333334,-204.666666667,-25.8333333333,-146.333333333,-82.9444444443,-9.99999999993,-113.333333333
202.33,-80.7777777777,-174.333333333,-56.0,-173.333333333,11.5,-113.666666667,-55.3333333335,7.91666666668,-59.8333333334
202.71,19.2777777778,-28.1666666667,18.6666666666,-45.1666666668,63.8333333333,-0.416666666674,30.3055555556,58.75,27.9166666667
203.09,40.0454222222,-2.3129,27.483,-13.8776000001,77.2789000001,24.1497333333,48.5941777779,75.0000833333,47.4829333333
203.47,71.0555555555,23.5,46.8333333331,8.00000000008,114.333333333,63.5833333333,78.5833333332,115.833333333,82.1666666667
203.85,42.1703777778,11.8606333333,21.2403333332,-7.90700000012,87.3644,44.1861,59.5607999999,89.3410833333,66.8992333333
204.22,25.9797333333,7.99993333332,10.5455333335,-6.4242666666,65.0304666666,43.7576333333,51.6563666667,71.0606666667,53.3333333333
204.60,16.1615333333,-9.39386666674,-6.86866666674,-35.7575999998,91.2120666666,53.6363333334,73.3333888889,109.343583333,56.3635666667
204.98,-4.28571111104,-7.61916666666,-21.1905333334,-68.8095333334,89.8809666667,46.1904333333,67.1030777777,115.77375,48.8095333334
205.36,1028.88888889,883.333333333,1213.33333333,2633.33333333,-1460.0,-350.0,-659.999999999,-2558.33333333,-166.666666668
205.74,135.777777778,136.166666667,133.0,197.333333333,15.1666666665,65.5000000001,48.2777777778,-35.4166666665,72.5000000001
206.12,88.5858444445,108.636233333,100.000133333,153.0302,1.5151,36.515,29.1413888889,-52.2725833333,26.3635
206.50,99.3826888887,97.2223333333,111.481533333,144.444466666,10.3703000001,5.3705333334,-12.7778444443,-81.4815833335,15.3703
206.87,474.666666667,474.0,398.666666667,561.333333331,160.666666667,121.333333333,76.2222222221,-261.666666667,156.0
207.25,269.876422222,291.481433333,213.333266667,291.111133333,110.740766667,36.2962333332,80.1234222223,-123.148166667,100.0
207.63,173.567133333,189.4735,136.491266667,189.122866667,96.8420333333,69.9998333333,74.9706999999,-25.0000000002,104.034966667
208.01,176.444466667,242.222,135.555466667,208.0,109.777833333,59.7779,88.8147666666,-81.1110833333,149.999866667
208.39,52.3809999999,71.3095,35.4763333334,71.6666666668,23.5714333334,-2.5000666666,11.4286111111,-89.2857500001,44.2857
208.77,1.3526,26.9564333333,-4.34786666666,34.4926,-12.4637,-64.0580333333,-39.2270555556,-162.681166667,-9.8552
209.14,-23.3650888889,-5.5239,-16.7619999999,0.38099999994,-27.2380666667,-50.0952333333,-43.5555333334,-123.095,-19.3333666667
209.52,7.38733333333,7.74773333332,9.72980000001,29.9098666666,-1.80186666666,-29.3695000001,-20.0900222221,-81.9818333334,3.06313333334
209.90,-4.8048,-18.5584333334,6.84666666674,23.0630666668,-16.1262333333,-54.4144000001,-40.2402444445,-104.054,-3.06316666666
210.28,8.36884444445,0.7092,19.8583333334,33.0497333334,-3.54613333332,-26.0994333333,-19.5508888889,-65.9575,16.5958666667
210.66,5.75166666667,5.55563333334,22.2221333334,33.2026666666,-5.6863,-20.7189333333,-13.8125888889,-60.7841666666,21.4377666667
211.03,-12.5925555556,-11.3725,9.15040000002,16.8628,-22.0913666667,-38.2352333333,-29.7820555556,-74.0196666667,11.2419333333
211.41,4.39606666668,-1.66669999993,24.9275333333,33.6231333333,1.01450000002,-19.3478333333,-19.3961333333,-57.6089166667,31.2318
211.79,-9.01964444446,-33.4314,4.90206666672,27.4509999999,-7.74516666666,-47.8432333334,-40.0654222222,-93.8725833332,26.6665333333
212.17,-2.40733333333,-28.8193666667,4.58333333327,28.3333999999,1.80553333332,-27.4305666667,-31.1342888889,-55.5555,18.9582666667
212.55,19.0849777778,0.9805666666,26.6665333333,52.1567999999,29.0196,1.9607,-5.40293333334,-31.536,44.9674
