wavelength,Back_ParHumf,Belly_ParHumf,Breast_ParHumf,Crissum_ParHumf,Crown_ParHumf,DorTail_ParHumf,Patch10_ParHumf,Patch11_ParHumf,Patch12_ParHumf,Patch13_ParHumf,Rump_ParHumf,Throat_ParHumf,WingTip_ParHumf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,333.333333333,266.666666667,466.666666667,633.333333333,366.666666667,300.0,100.0,433.333333333,166.666666667,300.0,633.333333333,33.3333333333,333.333333333
179.16,-133.333333333,-166.666666667,-166.666666667,-133.333333333,-166.666666667,0.0,166.666666667,-433.333333333,-100.0,-200.0,66.6666666667,300.0,-133.333333333
179.54,16.6666666667,-50.0,0.0,16.6666666667,-50.0,33.3333333333,-100.0,200.0,-50.0,0.0,0.0,-183.333333333,83.3333333333
179.93,111.111333333,33.3333333333,66.6666666667,66.6663333333,133.333666667,88.889,66.6663333333,233.333333333,55.5553333333,33.333,200.0,-11.1113333333,88.889
180.31,-46.6666666667,88.8886666667,46.6666666667,-28.8886666667,20.0003333333,80.0,171.111,-124.444333333,24.4446666667,17.7776666667,-128.889,148.889,26.6666666667
180.69,-45.8333333333,100.0,39.5833333333,-14.5833333333,27.0833333333,89.5833333333,164.583333333,-131.25,31.25,8.33333333333,-137.5,160.416666667,37.5
181.07,-66.667,139.393666667,63.6363333333,12.1213333333,33.3336666667,148.484666667,227.273,-209.091,21.212,15.1516666667,-200.0,209.091,54.5456666667
181.45,-23.529,141.176333333,82.3533333333,45.098,49.0196666667,117.647,170.588333333,-100.0,50.9803333333,47.059,-121.568666667,141.176666667,76.4706666667
181.83,1.33333333333,112.0,70.6666666667,54.6666666667,48.0,101.333333333,121.333333333,-37.3333333333,48.0,46.6666666667,-81.3333333333,102.666666667,76.0
182.21,21.5686666667,102.941,73.5293333333,63.7253333333,65.6863333333,100.0,121.568333333,8.82366666667,51.9606666667,49.0193333333,-31.3726666667,92.1566666667,86.2746666667
