wavelength,Back_ParNigm,Belly_ParNigm,Breast_ParNigm,Crissum_ParNigm,Crown_ParNigm,DorTail_ParNigm,Patch10_ParNigm,Rump_ParNigm,Throat_ParNigm,WingTip_ParNigm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,38.8888333331,113.889,349.999833333,105.555666667,172.222333333,205.5555,105.555583334,105.5555,55.5553333331,-5.5553333333
179.16,34.7223333334,22.9169166666,52.7776666667,51.389,47.2223333334,80.5556666665,53.47225,77.778,79.1666666667,61.1111666667
179.54,116.666666667,91.6666666665,400.0,-283.333333333,100.0,-83.3333333333,108.333333333,-300.0,83.3333333335,-200.0
179.93,66.6666666667,-15.7408333333,92.5926666667,92.5925,40.7405,29.6298333333,89.8149166666,9.2591666667,31.4815,27.778
180.31,-139.473833334,-71.0525833335,-196.491166666,-142.982666667,-173.684333333,-114.912166667,-100.438333333,56.1401666666,-50.0000000002,33.3333333333
180.69,-127.2725,-64.7726666665,-183.333333333,-151.515333333,-162.878833333,-115.530333333,-88.6364166665,59.091,-53.7876666665,46.9698333333
181.07,-261.764666667,-153.9215,-257.843,-275.490166666,-254.901833334,-183.33325,-184.313416667,30.392,-159.804,-23.5293333333
181.45,5383.33333333,3283.33333333,5100.0,5600.0,4966.66666667,3816.66666666,4108.33333334,300.0,3683.33333333,1133.33333333
181.83,-2841.66666666,-1650.0,-2808.33333333,-3066.66666666,-2241.66666667,-2183.33333334,-1795.83333333,-99.9999999999,-1775.0,-608.333333333
182.21,-327.083333333,-191.666666667,-275.0,-282.291666667,-226.041666667,-238.020833333,-146.354166667,39.5833333333,-168.75,-11.4583333334
182.59,-230.833333333,-117.083333333,-216.666666666,-171.666666666,-143.333333333,-170.0,-101.666666667,70.8333333331,-91.6666666668,17.5
182.97,-128.571166667,-53.8096666667,-104.762,-84.2855000001,-78.0953333333,-62.6191666667,-31.4286666667,52.8571666667,-35.7141666667,24.7618333333
183.35,-74.6211666666,-26.32575,-60.2273333334,-41.6666666667,-39.394,-15.1513333333,-9.09091666665,69.3181666667,7.19683333335,40.1515
183.73,-64.9661666667,-28.4015,-54.422,-37.7551666666,-21.0883333334,-13.6053333333,2.04083333335,63.9455,15.3063333333,41.8366666667
184.11,-28.5023333334,-1.44925,-24.3961666667,-5.314,8.2125,21.8598333334,19.5651666667,67.8743333333,29.7103333334,51.2078333333
184.49,-33.0686666667,-1.71958333335,-24.6031666667,-8.4655,9.2593333333,30.95225,21.2964166667,75.926,31.4815,63.2273333333
184.87,-27.2948333333,2.65716666665,-8.6955,7.00483333335,15.9421666667,42.8740833334,20.5313333333,79.71,39.372,64.4928333333
185.25,-5.19499999999,19.2641666666,6.9265,21.8615,24.6755,57.14275,34.0908333333,90.4763333333,58.0086666667,77.2728333334
185.63,-12.1053333333,8.15766666666,-2.10533333335,5.7895,10.3508333334,39.4736666666,22.7194166666,62.8071666667,38.07,58.2456666667
