wavelength,Back_PhrAtrm,Belly_PhrAtrm,Breast_PhrAtrm,Crissum_PhrAtrm,Crown_PhrAtrm,DorTail_PhrAtrm,Rump_PhrAtrm,Throat_PhrAtrm,WingTip_PhrAtrm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,48.3333333333,79.1666666666,87.5,50.8333333333,54.1666666667,68.3333333334,75.8333333332,109.166666667,111.666666667
179.16,82.6666666667,91.3333333333,92.6666666667,66.0,87.9999999999,95.3333333333,95.3333333333,99.9999999998,102.0
179.54,-24.1666666667,2.49999999999,-30.0,-46.6666666667,-54.1666666667,-31.6666666667,-18.3333333333,-24.1666666667,-5.00000000007
179.93,-67.5000000001,-8.33333333335,-18.3333333333,-37.5000000001,-59.1666666667,-45.8333333334,-18.3333333333,-35.0,-32.5
180.31,10.0757333333,42.7272,42.7272,27.1212,12.9545333334,27.5758666666,43.8636,29.3938666667,37.9545333333
180.69,3.21286666667,42.249,40.3212666667,22.4899333333,6.26493333333,25.2209333333,43.5343333333,24.0161333334,35.02
181.07,-6.33746666666,31.8519333333,29.1358666667,14.7326,-3.78600000001,15.4732666667,33.3332666667,13.0041333333,22.2222666667
181.45,-23.6444666667,21.0667333333,17.0666666666,5.95560000001,-21.7776666667,-2.31093333332,24.2666,1.60013333333,7.19993333335
181.83,-21.2444,19.9111333333,24.6224,11.9998666667,-18.3111333333,3.46673333333,28.8888666667,3.91106666666,10.7556
182.21,-8.88886666665,24.1975333333,32.9218,19.5062,-7.57206666665,15.8848666667,36.6256,12.2634,20.2469333333
182.59,-18.9954,10.7762666667,25.1142666667,12.0547333333,-16.3468666667,8.76726666669,32.0548666667,5.20553333332,16.1642666667
182.97,-28.6338,5.35533333333,25.6830666667,10.2732,-27.1038,9.94533333333,36.7213333333,4.59006666668,19.5629333333
183.35,-64.1439999999,-7.38746666667,16.5764666666,-5.76566666665,-65.7658666666,-5.2252,33.5135333333,-6.4863333334,10.2704
183.73,-34.8,-0.399999999993,18.0,-1.20000000001,-47.0666666667,-3.33333333335,27.3333333333,7.7333333334,12.6666666667
184.11,-31.2346666667,0.4938,14.9382,-4.44440000002,-40.6172666667,-4.32086666667,19.6295333334,11.2345333333,13.2098666667
184.49,-28.4746,-1.24299999999,13.8982666667,-4.74566666667,-40.113,-2.03386666667,17.1750666667,14.4632,9.37846666667
184.87,-8.94520000002,9.95773333334,20.5907333333,11.9830666667,-19.6625333333,8.18566666667,24.0506,26.4978666667,20.9282
185.25,-8.24086666668,15.5555333333,26.2037333333,10.1852,-25.0925333333,9.81466666667,27.1296,27.8704,25.7407333333
185.63,6.06053333331,23.3766666667,36.7964666667,18.5282,-12.9004666667,19.9134,34.8918,33.8528,36.8829999999
186.01,14.5883333333,30.9019333333,40.5490666667,24.8626666667,-4.23526666667,22.1962,39.6078666667,38.8235333333,38.4312666667
186.39,10.3614666667,30.4417333333,36.9477333333,24.257,-9.55826666666,13.3332,35.9036666667,37.1084666667,33.7349333333
186.77,13.2608666667,35.0725333333,36.7391333333,32.2464666667,-7.31879999999,14.2028666667,36.4492666667,33.913,32.4638
187.15,14.1741333333,32.3724,33.5135333333,32.973,0.720666666652,13.5735333333,32.4925333333,28.1682,27.8077333333
187.53,12.9168,27.4479333333,31.0938,30.6770666667,3.33326666667,13.5416666667,30.4688,22.8646,25.9374
187.91,10.0786,29.9736666667,35.433,32.9134666667,6.14173333335,16.2728666667,32.7034666667,21.2599333333,28.7138
