wavelength,Back_PhrCarf,Belly_PhrCarf,Breast_PhrCarf,Crissum_PhrCarf,Crown_PhrCarf,DorTail_PhrCarf,Rump_PhrCarf,Throat_PhrCarf,WingTip_PhrCarf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,104.762,119.047333333,128.571333333,33.3333333333,47.619,114.285666667,76.1906666667,119.047666667,33.3333333333
179.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179.54,112.5,41.6666666667,70.8333333333,50.0,79.1666666667,104.166666667,120.833333333,41.6666666667,87.5
179.93,100.0,-24.2423333333,96.9696666667,57.5756666667,72.7276666667,60.606,100.0,42.4243333333,51.5153333333
180.31,108.333333333,-86.111,83.3336666667,-83.3333333333,22.2223333333,97.2223333333,294.444333333,-249.999666667,269.444666667
180.69,133.333666667,-59.5236666667,150.000333333,-16.6666666667,47.6193333333,147.619,264.285666667,-204.762,276.190666667
181.07,139.394,-163.636666667,178.787666667,-75.7576666667,-12.1213333333,172.727,360.606,-251.515333333,303.030333333
181.45,59.7223333333,-80.5553333333,93.0556666667,-2.77766666667,-8.33333333333,66.6663333333,179.166666667,-136.111333333,156.944333333
181.83,-16.6666666667,-416.666666667,158.333333333,-179.166666667,-187.5,25.0,341.666666667,-608.333333333,308.333333333
182.21,190.0,430.0,83.3333333333,323.333333333,310.0,140.0,-70.0,633.333333333,-103.333333333
182.59,157.142666667,244.444333333,82.54,157.143,171.428666667,126.984333333,14.2856666667,301.587333333,7.93633333333
182.97,80.0,177.778,27.778,90.0,101.111,116.666666667,-2.222,167.777666667,-22.222
183.35,70.115,200.0,13.7933333333,63.2183333333,56.322,121.839333333,-16.092,150.574666667,-63.2183333333
183.73,94.4446666667,195.555333333,16.667,63.333,74.4446666667,101.111,-23.3333333333,110.0,-63.333
184.11,341.666666667,491.667,116.666333333,152.778,225.0,241.666666667,-30.5556666667,188.889,-77.7776666667
184.49,2466.66666667,2633.33333333,800.0,716.666666667,1600.0,1133.33333333,-83.3333333333,1050.0,-83.3333333333
184.87,583.333333333,583.333333333,270.0,226.666666667,323.333333333,310.0,-33.3333333333,213.333333333,-16.6666666667
185.25,472.222333333,469.444666667,186.111333333,211.111333333,236.111333333,241.666666667,47.222,186.111,-33.3333333333
185.63,182.291666667,166.666666667,77.0833333333,62.5,88.5416666667,89.5833333333,34.375,69.7916666667,-3.125
186.01,207.407333333,153.086333333,60.4936666667,40.7406666667,88.889,96.296,17.284,23.4566666667,-12.3456666667
186.39,240.909,142.424333333,43.9393333333,19.697,100.000333333,83.3336666667,-4.54533333333,-4.54533333333,-53.03
186.77,282.353,150.980333333,66.6666666667,49.0196666667,133.333333333,96.0783333333,-17.647,17.6473333333,-80.3923333333
187.15,625.0,212.5,258.333333333,4.16666666667,283.333333333,116.666666667,-41.6666666667,33.3333333333,-83.3333333333
187.53,-1622.22233333,-533.333333333,-777.777666667,-277.777666667,-966.666666667,-144.444666667,-33.3333333333,-55.5556666667,-200.000333333
187.91,-1300.0,-525.0,-683.333333333,-391.666666667,-675.0,-541.666666667,-358.333333333,-83.3333333333,-316.666666667
188.29,277.083333333,127.083333333,100.0,168.75,125.0,177.083333333,70.8333333333,66.6666666667,31.25
188.67,147.777666667,110.0,75.5556666667,129.999666667,80.0,153.333333333,67.7776666667,83.3333333333,47.7776666667
189.05,231.666666667,155.0,120.0,208.333333333,145.0,253.333333333,126.666666667,115.0,105.0
189.43,445.833333333,104.166666667,241.666666667,416.666666667,245.833333333,633.333333333,183.333333333,112.5,129.166666667
189.81,-373.333333333,-23.3333333333,-113.333333333,-316.666666667,-153.333333333,-546.666666667,-180.0,36.6666666667,-76.6666666667
190.19,-306.666666667,16.6666666667,-223.333333333,-283.333333333,-113.333333333,-480.0,-163.333333333,40.0,23.3333333333
190.57,-106.173,17.2836666667,-72.8396666667,-88.889,-19.753,-169.135666667,-69.1356666667,24.6913333333,-3.704
190.95,-66.6666666667,-0.952333333333,-38.095,-54.2856666667,1.90466666667,-109.523666667,-30.4763333333,49.524,27.619
191.33,-57.2463333333,-10.8696666667,-30.4346666667,-50.0,2.89866666667,-69.565,-20.29,44.203,29.7103333333
191.71,-12.3456666667,39.5063333333,-17.2843333333,-14.8146666667,36.4196666667,-35.1853333333,12.3456666667,50.0,75.926
192.09,20.8953333333,59.7016666667,-2.48733333333,15.9203333333,41.7906666667,6.46766666667,36.816,48.2586666667,86.0693333333
192.47,15.4226666667,55.7216666667,-14.925,23.8806666667,40.796,7.96033333333,29.353,59.204,83.0843333333
192.85,25.225,68.4683333333,-5.40533333333,33.3333333333,58.108,17.1173333333,31.081,63.964,87.8376666667
193.23,33.3333333333,64.341,1.55033333333,32.5583333333,61.628,20.9303333333,37.9846666667,55.4263333333,92.2483333333
193.61,26.9843333333,60.7143333333,10.3176666667,26.1903333333,55.5556666667,24.603,36.508,57.9363333333,88.4923333333
193.99,17.9103333333,64.6763333333,-4.47766666667,11.9406666667,52.7363333333,28.856,39.3033333333,45.2736666667,84.577
194.37,26.126,63.5133333333,7.20733333333,10.8106666667,55.8556666667,27.027,42.3423333333,41.8916666667,72.973
194.75,30.4963333333,86.525,-9.22,2.12766666667,78.7233333333,17.7303333333,70.2126666667,47.5176666667,105.674
195.13,34.1083333333,126.356666667,18.605,19.38,95.349,25.5816666667,76.7443333333,48.8373333333,118.604666667
195.51,78.788,253.030333333,53.0303333333,19.6966666667,168.182,18.182,109.091,87.8786666667,212.121333333
195.89,33.3333333333,245.0,56.6666666667,40.0,133.333333333,-16.6666666667,106.666666667,125.0,161.666666667
196.27,53.3333333333,826.666666667,246.666666667,-126.666666667,400.0,-180.0,246.666666667,513.333333333,426.666666667
196.65,94.4443333333,-488.889,99.9996666667,388.888666667,-38.889,433.333333333,-77.7776666667,-144.444333333,-55.5556666667
197.03,194.444333333,-483.333333333,138.889,450.0,-9.47390314347e-15,450.0,-55.5556666667,-127.777666667,-94.4443333333
197.40,81.7206666667,-89.2473333333,38.71,104.301,49.4623333333,110.752666667,44.086,-1.07533333333,72.043
