wavelength,Back_PhrDorm,Belly_PhrDorm,Breast_PhrDorm,Crissum_PhrDorm,Crown_PhrDorm,DorTail_PhrDorm,Patch10_PhrDorm,Rump_PhrDorm,Throat_PhrDorm,WingTip_PhrDorm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,79.9019166667,98.7745000001,69.7302708333,71.0783333333,73.0392083334,68.3824166667,51.4705833333,69.7712222222,56.8627083333,56.8625833333
179.16,38.1944166667,28.8194166667,31.7708333333,35.4165833333,14.2360833333,17.0138333333,9.72225,23.8425555556,7.98595833333,23.9584166667
179.54,-849.999999999,-587.5,-527.083333333,-637.5,-629.166666667,-729.166666667,-833.333333333,-591.666666666,-737.500000001,-649.999999999
179.93,-60.4166666666,-27.0833333333,-57.8125000001,-76.5625000001,-32.2916666667,-4.16666666667,-89.5833333333,-55.2083333333,-98.9583333333,-60.4166666667
180.31,32.98025,43.1498333333,36.84671875,39.51275,36.1935416667,32.69775,15.8899166667,41.3370555556,16.808,22.669375
180.69,30.9139166667,40.4907083333,33.1401979167,37.6344583333,34.5094166666,32.1572916667,14.71775,40.3897222222,15.52425,21.47175
181.07,22.1713333333,31.9190833333,27.6949791667,30.9634166667,27.82875,27.8670416667,9.32733333332,32.5178333333,8.79220833333,13.9908333333
181.45,31.5126666667,41.141375,37.5524895834,42.016875,40.6862916667,37.5698333333,20.37825,43.4173055556,24.1595833333,25.5253333333
181.83,38.1048333333,44.018875,39.4070520834,47.8159166666,42.6746666666,37.7688333333,24.1264166667,47.9615,29.7717083333,29.3011666667
182.21,42.91325,49.5077916667,45.2426875,53.0186666667,46.3255416667,38.0249166667,30.7744166667,54.3744444445,35.793875,31.7912916667
182.59,40.4970833333,48.3188333333,43.5489479167,49.85375,42.5804166667,28.801375,25.6580833333,50.4386666667,36.2937083333,26.4254583333
182.97,45.9795,52.0834166667,49.1138541667,58.9180833333,49.488375,32.8947916667,34.0644166667,53.5575555556,39.2544583333,31.7982083333
183.35,52.6276666667,60.247625,55.14271875,66.7417083333,52.6652916668,41.32875,42.19225,58.5835,44.1066666667,38.4760833333
183.73,49.91825,61.1927083333,57.14871875,69.3217916667,51.7973749999,36.96875,40.8495833333,62.6634166667,45.547375,39.7467916667
184.11,46.2673333333,55.3819166667,49.8373229166,64.3228333334,46.8750833333,32.595625,38.54175,57.7547222222,38.9757083333,31.2934166667
184.49,52.5700833333,59.07325,59.9688645833,70.6385416666,52.1807083332,39.5636666667,47.9751666666,64.5897777778,45.0545416667,43.8862916667
184.87,56.8318333333,64.414625,66.9576458333,76.3513333333,57.73275,41.1036666667,51.7268333333,66.2411944445,48.68625,46.2087916667
185.25,56.77975,65.6074583333,66.4372083334,77.7896666667,56.1089166667,38.1709166667,49.9295,65.5840277778,47.3516666667,44.24425
185.63,44.7916666667,61.4150833333,61.8489270833,74.2621666667,41.6667916667,27.7778333333,38.368,53.8194166667,32.812625,28.0381666667
186.01,37.7551666667,58.801125,59.3962083333,68.7925833333,40.7310416667,31.8450416667,35.119,47.3922777778,28.4015416667,23.9795416667
186.39,34.7059166667,56.8627916666,65.2696458334,73.4804166667,39.4117499999,31.2255833333,30.098,44.0195833333,28.8725833333,25.44125
186.77,28.1689166667,58.4507916667,62.6760729166,78.110125,38.2042916667,30.9271666667,27.46475,36.5805555556,20.1292083333,21.655
187.15,26.0965,47.9714583334,53.24846875,67.6535833333,23.3004583333,18.201875,16.6666666667,28.3260277778,17.16,11.1292083333
