wavelength,Back_PhrEryf,Belly_PhrEryf,Breast_PhrEryf,Crissum_PhrEryf,Crown_PhrEryf,DorTail_PhrEryf,Rump_PhrEryf,Throat_PhrEryf,WingTip_PhrEryf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,-37.5000000001,-121.666666667,-231.666666667,-155.0,-98.3333333334,-139.166666667,-138.333333333,-66.6666666666,-93.3333333333
179.16,-9.48719999999,-9.48733333334,-51.282,-18.4615,-25.1282,-34.6154333333,-43.5896666667,-5.12813333334,-8.46156666665
179.54,-460.0,-558.333333334,-506.666666667,-403.333333333,-553.333333334,-633.333333333,-506.666666667,-323.333333333,-428.333333333
179.93,-28.485,-32.4241666667,-61.2121333333,-37.2727666667,-53.3332666667,-35.7576,-58.7878666667,-57.5758,-30.9091
180.31,-36.2445666667,-49.3249,-74.5992000001,-61.1815333333,-53.5021333333,-64.1772333333,-66.8353999999,-47.1729333333,-34.599
180.69,-18.7576333333,-27.2121333333,-48.1818,-36.5455333333,-30.6667333333,-38.6968333333,-42.4242666667,-27.394,-20.0001333333
181.07,-12.7049,-17.9507666667,-36.5574666666,-27.4044333333,-23.3332,-28.4698333333,-30.2185333333,-21.4754,-12.2677333333
181.45,-21.3988,-26.9642,-45.0000666667,-35.7439333333,-29.2857333333,-38.3036333333,-37.2022666667,-31.0714666667,-20.8632333333
181.83,-15.847,-15.0819,-36.5574,-26.3115666667,-18.6338666667,-28.3060333333,-26.5026666667,-22.6228,-15.0273666667
182.21,-18.6558666667,-19.2472666667,-38.0108,-29.6774333333,-19.0323333333,-34.0052666667,-26.2902666667,-22.7956,-17.6077
182.59,-16.3756333333,-17.3544,-33.9682666667,-25.0265333333,-18.3069333333,-28.5185333333,-21.9578,-18.0950666667,-15.3969
182.97,-21.5685666667,-20.2801333333,-41.2884,-28.5995,-20.8963333333,-32.8010333333,-26.0504,-16.0786,-21.7086
183.35,-40.7546666667,-39.2138333333,-63.2703999999,-48.0502,-38.6162666667,-49.3082666666,-45.5973333333,-31.2577333333,-43.4276
183.73,-62.3704,-59.9258,-87.4814666667,-70.8518333335,-61.4815333333,-71.2592333334,-69.037,-51.0370666667,-67.7039666667
184.11,-31.8380333333,-27.5389666667,-52.9595333333,-36.5108333333,-33.7694666667,-40.0934,-39.2524,-25.7943333333,-35.3271666667
184.49,-44.7897,-38.4143333333,-70.7444666666,-46.5371666666,-48.026,-54.0128333333,-51.4564,-38.3172,-53.1715
184.87,-88.8126666667,-80.1826333333,-124.475,-91.1871666667,-95.6164666667,-103.150766667,-96.5298000001,-75.4338666667,-99.0411333333
185.25,-138.7357,-122.643733333,-174.137933333,-134.5977,-143.2186,-142.4137,-140.344866667,-112.758533333,-151.954066667
185.63,-138.703666667,-118.7654,-169.0124,-135.3087,-148.765466667,-134.074033333,-138.7654,-109.753133333,-156.728366667
186.01,-198.571366667,-178.666766667,-253.9048,-214.571466667,-229.5238,-189.809466667,-209.523733333,-170.095333333,-234.5715
186.39,-517.435766667,-458.7179,-679.999933334,-594.8719,-626.153866667,-461.282033333,-569.7436,-455.384533333,-619.999966667
186.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
187.15,-1021.42856667,-838.571300001,-1265.71413333,-1219.9999,-1278.09513333,-911.904766667,-1090.47613333,-1059.04766667,-1248.57133333
187.53,-352.5,-285.416666667,-471.666666667,-465.416666667,-476.666666667,-287.916666667,-389.583333333,-387.083333333,-446.041666667
187.91,-240.175533333,-179.298066667,-337.543866667,-332.982333333,-337.193,-146.491266667,-252.280733333,-258.596533333,-318.245666667
188.29,-405.641033333,-318.205,-541.025733333,-551.5384,-532.307733333,-220.513033333,-407.179533333,-446.154,-528.461366667
188.67,226.9698,188.6364,313.939466667,329.393966667,311.212133333,103.484733333,220.000133333,255.4546,294.2424
189.05,160.9877,128.765333333,230.864066667,254.444333333,228.641933333,43.2098666667,151.358,199.0124,212.4692
189.43,142.272666667,90.0000333333,208.484866667,261.0605,213.939333333,2.57580000006,141.212066667,180.909066667,188.484866667
189.81,222.381,137.619,327.143,401.904833333,330.0,0.9524,206.666733333,267.619,274.523833333
190.19,389.999999999,297.0,489.333333333,610.333333333,497.333333333,85.0,348.666666667,427.333333333,418.666666667
190.57,-832.222300001,-443.333433333,-1051.11106667,-1348.88886667,-1184.4444,243.333333333,-600.000133333,-937.777800002,-891.1111
190.95,-41.0416666667,18.75,-83.3333333335,-145.833333333,-107.083333333,175.0,-3.33333333326,-52.0833333334,-55.0000000001
191.33,11.111133334,-86.1111666668,100.000066666,316.111066667,194.444466667,-532.222300001,-76.6666666668,59.9998666667,41.6666333332
191.71,-16.1666666667,-40.3333333333,-9.33333333328,78.6666666667,46.0000000001,-164.0,-30.0000000001,0.333333333274,-4.16666666666
192.09,-38.6666666666,-52.1666666667,-35.0,59.0000000001,22.0,-160.666666667,-48.3333333334,-13.6666666667,-26.3333333333
192.47,-38.0645333333,-42.9032999999,-30.9679333333,17.9569666667,-7.09679999992,-104.5161,-52.6880666668,-33.7633333334,-38.6021333333
192.85,-118.8235,-140.980233333,-125.097933333,-21.5686666666,-85.0980666668,-233.7255,-169.411733333,-126.2744,-137.647066667
193.23,-107.4999,-116.388966667,-122.222066667,-40.2777666666,-88.0556000001,-181.805533333,-145.833333333,-125.277866667,-122.6388
193.61,-38.3333999999,-37.0139666667,-40.5554666667,-7.7778,-30.4165333333,-72.5695999999,-60.6945333333,-42.2221999999,-38.75
193.99,-42.8416666666,-32.1858666667,-39.6721333333,-16.1202333333,-34.7541333333,-64.0435000001,-59.5627999999,-43.2787333333,-38.3608
194.37,-46.1574666667,-38.3332333333,-44.2592666667,-20.6480333333,-33.3332,-66.25,-57.9629333333,-41.5740000001,-35.9720333333
194.75,-14.1936,-9.78496666667,-18.8530666667,1.79220000001,-8.24373333333,-35.5915,-27.0251333334,-13.7635333333,-2.97503333335
195.13,-7.6,-0.533333333327,-14.8,7.5,2.26666666668,-29.5333333333,-17.1333333333,-6.39999999999,6.56666666667
195.51,-24.3529333334,-18.5097333333,-34.51,-7.01956666667,-16.3921333333,-46.8233666667,-35.1372666667,-23.6862666667,-7.45086666666
195.89,-35.3846333333,-33.2052,-47.6068,-17.6494333333,-32.9912666666,-59.6153,-45.2992666667,-35.7265333333,-14.8716666667
196.27,-38.5772666667,-41.4227666667,-50.7318,-20.5284333333,-39.1057333333,-64.9186666667,-48.5366,-35.3659333333,-17.8454666667
196.65,-30.3448333333,-33.2951,-45.0574,-12.4903333333,-27.8162,-56.1302666667,-36.7816,-24.8276,-6.7433
197.03,-27.8651,-31.1235333333,-42.0973333333,-10.5992333333,-22.0974666667,-53.0711,-33.0336666667,-22.0226666667,-2.24720000002
197.40,-34.7777333333,-35.4074333333,-45.5556666667,-16.926,-20.7406666667,-60.1850999999,-36.4443999999,-19.6296666667,-5.11103333333
197.78,-52.5882333333,-49.2549333333,-58.902,-28.5097,-33.8822666667,-77.0980000001,-47.8432,-32.0784,-21.9606333333
198.16,-41.5152333333,-44.6801333333,-51.3131333333,-21.4139333333,-27.8788,-69.0236000001,-38.9899333334,-23.2324,-18.6531666667
198.54,-55.5439,-60.0351333333,-61.6843333334,-35.9648,-43.1578666667,-84.1753666666,-53.9649333334,-38.1052000001,-32.1403666667
198.92,-78.4337333334,-85.3814333333,-81.8472666667,-53.3332666667,-67.1485333333,-108.955866667,-73.1726666667,-59.1163999999,-55.2610333333
199.30,-81.4942666666,-87.1265333334,-82.8351999999,-60.6513333333,-73.6399333333,-107.931,-76.3217999999,-64.6743333334,-60.5363333333
199.68,-73.9193999999,-80.4395,-74.2124,-53.4433000001,-65.5679333333,-97.4726333333,-66.8865333333,-59.9267333333,-53.6996333333
200.06,-46.6354666667,-55.4517,-51.3394666667,-35.5451,-42.7414,-69.6884000001,-47.7882,-40.2492666667,-35.2648666667
200.44,-35.1462,-43.5965666667,-41.3449333333,-28.2749,-31.0526666667,-60.1167999999,-39.4152666667,-34.3274,-27.9823333333
200.82,-21.2308,-27.7180333333,-27.6923333333,-17.0256333333,-19.7434666667,-48.7435333333,-28.5127333333,-24.7692,-16.5641
201.19,-28.5399666667,-34.7108666667,-40.9366666667,-24.4627,-28.7601333333,-59.1460666667,-36.7492666667,-33.5536,-24.6830333333
201.57,-27.4999,-37.5306666667,-43.8888,-27.2839666667,-35.6789333333,-61.8827333333,-41.358,-40.4322,-27.0678333333
201.95,-31.0877,-45.6491,-56.1402666667,-34.1755333333,-41.8245333333,-69.0525333333,-51.8596666667,-47.1579333333,-30.386
202.33,-62.6290666667,-76.3382,-95.0234,-62.6761333334,-73.1454666666,-101.3616,-84.4131999999,-81.0328,-55.2582333333
202.71,-58.4409000001,-69.7850333333,-100.537733333,-57.4730666666,-74.086,-102.903366667,-80.5376,-75.3763999999,-52.2580333333
203.09,-83.9547333335,-87.6835,-128.813533333,-83.9547666668,-97.8531333335,-127.175166667,-108.2486,-95.2541333333,-76.1018
203.47,-87.2987333333,-95.2299333333,-137.4712,-87.0114333333,-106.206933333,-133.4483,-117.701066667,-98.7355999999,-86.4943000001
203.85,-80.6773999999,-87.3440000001,-129.3752,-86.1980666667,-101.666866667,-131.146066667,-109.271066667,-86.7709333334,-82.7605999999
