wavelength,Back_PhrErym,Belly_PhrErym,Breast_PhrErym,Crissum_PhrErym,Crown_PhrErym,DorTail_PhrErym,Rump_PhrErym,Throat_PhrErym,WingTip_PhrErym
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,-60.0000000001,-110.0,-148.333333333,-122.833333333,-158.333333333,-127.5,-130.208333333,-144.166666667,-113.333333333
179.16,-2.82046666666,-32.0512666667,-56.9228333333,-32.0512466667,-36.4103333333,-30.2564,-37.884475,-36.9231,-30.7692
179.54,-303.333333333,-506.666666667,-638.333333333,-492.0,-556.666666667,-566.666666667,-682.916666667,-496.666666667,-486.666666667
179.93,-43.9395,-47.5757,-78.4847333333,-35.09088,-43.6364,-32.4241666667,-52.4242583333,-46.6667,-60.6060666666
180.31,-30.5061666667,-64.7679333333,-71.6456666666,-48.8607466667,-67.5106,-61.3499999999,-58.5759999999,-69.8312666667,-63.9660666667
180.69,-13.5152333333,-41.5152333333,-46.5453333333,-29.6667066667,-43.394,-36.9394666667,-34.825775,-43.1514,-40.3031333333
181.07,-9.04376666667,-35.6013,-37.1859,-23.3880333333,-35.0273333333,-27.8962,-26.126975,-35.2185333333,-30.2185333333
181.45,-17.2023333333,-42.7976333333,-44.1965333333,-33.2619133333,-44.5238666667,-36.5476,-30.8259916667,-42.7083666667,-36.9641333333
181.83,-12.4316333333,-32.5136666667,-33.3061,-25.6120133333,-34.9726666667,-25.7375333333,-17.2540166667,-32.2952,-30.1639333333
182.21,-12.8225666667,-33.2795666667,-32.9033666667,-28.8495133333,-36.8279333333,-30.8602333333,-20.7393,-34.3011666667,-32.8496
182.59,-11.1111333333,-31.0317333333,-27.7778,-27.0054,-33.1746,-28.2541,-18.4127166667,-26.8782,-30.4763333334
182.97,-14.0897666667,-35.3219666667,-33.7253,-32.7506666667,-39.2716,-32.1008333333,-20.7351583333,-32.1567,-34.4538
183.35,-32.7672666667,-53.9620666667,-54.9999333334,-56.5408066667,-60.629,-51.2892,-38.74995,-53.8992333333,-56.7294666667
183.73,-53.2963333333,-77.9629,-79.9259666667,-82.8741666667,-86.6666000001,-73.5556,-61.055625,-78.037,-76.9628666667
184.11,-27.3832666667,-44.4237666667,-48.6604666667,-50.3737266667,-50.7164,-43.0839666667,-33.6604416667,-44.7040666667,-45.5452
184.49,-44.8867,-56.1812,-64.7247999999,-64.9513733333,-61.1003333334,-56.0517666667,-50.8576083333,-57.8964333333,-66.0195333333
184.87,-93.0138000001,-101.415433333,-117.214666667,-117.068493333,-110.137066667,-106.940666667,-97.5000583335,-102.146266667,-122.283066666
185.25,-141.666633333,-147.298833333,-163.2759,-166.17252,-158.7356,-153.390833333,-139.870716667,-143.850666667,-182.184
185.63,-146.049366667,-152.8395,-167.7161,-170.395046667,-162.222333333,-155.9877,-147.932141667,-146.851966667,-189.753066667
186.01,-221.0476,-235.7144,-254.571433333,-268.552293333,-251.047666667,-240.4762,-237.02385,-235.428566667,-278.6666
186.39,-612.307633333,-632.051333333,-668.461333333,-734.46168,-686.666666667,-629.487233333,-624.166741667,-637.948766667,-732.820666667
186.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
187.15,-1329.0477,-1371.9048,-1365.238,-1489.14292667,-1419.99986667,-1259.99996667,-1292.73815,-1309.52373333,-1419.04773333
187.53,-518.958333333,-521.25,-519.375,-559.041666667,-554.166666667,-457.291666667,-478.020833333,-478.75,-532.083333333
187.91,-371.929666667,-368.596466667,-380.526266667,-420.315686667,-407.368466667,-317.894766667,-336.008625,-360.000066667,-370.526133333
188.29,-573.076933333,-569.743533333,-588.4616,-678.359059999,-655.3846,-492.307666667,-544.358875,-581.5385,-593.333466667
188.67,327.1213,344.090866667,324.545633333,387.333133333,391.818266667,282.8787,304.734833334,343.939433333,330.909066667
189.05,258.148133333,260.370433333,240.123566667,291.53094,300.493866667,208.395233333,227.160408333,288.1481,236.049466667
189.43,263.6364,264.393966667,260.605933333,309.06068,303.6364,196.818133333,241.893883333,312.575833333,215.454466666
189.81,416.4286,422.142966667,383.333433333,454.761893333,455.714266667,269.2859,361.964425,483.571533333,328.571466667
190.19,676.000000001,676.333333333,565.666666667,690.666666666,703.999999999,430.666666667,548.916666667,726.666666667,566.666666667
190.57,-1851.11106667,-1904.44436667,-1586.6666,-1869.33333333,-1853.33333333,-957.777733334,-1329.44443333,-1974.44443333,-1415.55566667
190.95,-233.541666667,-230.625,-182.291666667,-235.541666667,-212.083333333,-56.6666666667,-150.0,-282.708333333,-145.833333333
191.33,527.2223,481.1111,424.4446,537.222313334,445.555666667,14.4444,255.138875,662.222366667,238.889066667
191.71,138.666666667,122.5,109.666666667,154.2,98.6666666665,2.50000000006,75.3750000001,192.5,42.9999999997
192.09,116.666666667,112.333333333,68.0000000001,121.866666666,84.0,-14.9999999999,54.0416666665,165.0,22.3333333333
192.47,67.7418333335,63.0106666667,26.9891333333,58.6451866668,36.9892000001,-26.1289333333,28.5214833333,85.8064666667,-1.50546666672
192.85,71.3725999999,64.9019000001,-2.35296666654,55.0979533334,9.41179999994,-97.0587333333,-3.2842833334,90.3921666666,-74.1177333333
193.23,15.9721666667,34.1664666667,-25.5557000001,22.58344,-24.7222,-96.6664,-28.2986833333,39.7222333333,-78.3334666666
193.61,16.9443333333,29.0278333333,-6.87479999994,29.8332666667,3.8888,-36.5277333333,-2.30911666666,33.7500333334,-31.6668666667
193.99,2.5683,12.1312,-11.4208666667,17.3113866667,-7.21306666666,-35.4096666666,-8.04649166665,21.4207666667,-33.5518
194.37,-6.20366666667,-0.0462,-20.6480333334,3.13883999999,-16.6666666667,-34.2593333334,-11.3889416667,11.1574666667,-41.6667333334
194.75,11.7204,15.0896333333,-4.22956666666,17.4696533333,4.3728,-12.5090666667,6.84588333332,27.8493666667,-17.1325333333
195.13,21.2333333333,24.2,-0.66666666666,23.8933333333,10.2666666667,-4.29999999999,12.225,34.0333333333,-7.26666666666
195.51,12.5488333333,10.6667666667,-15.4508666666,17.4980266667,-2.27453333333,-16.7452,4.5588,28.5881666667,-18.4314666666
195.89,3.93166666666,4.70083333333,-25.8119,8.73503333332,-11.4528666667,-26.2819666666,-4.48736666666,24.4871999999,-26.7521333333
196.27,2.3171,-1.38216666666,-29.9188666666,6.08128666668,-17.3983333333,-30.1624999999,-8.16060833334,17.8456333333,-27.3984666667
196.65,9.84669999999,4.7509,-21.2644333334,19.0881,-3.60153333334,-18.2376,-0.967516666652,29.1954000001,-18.5440666667
197.03,14.4943666667,4.34446666667,-20.4118333333,22.1424133333,0.0748,-15.9551333333,0.795891666654,29.4381666666,-13.8576666667
197.40,11.4814333333,-1.40733333333,-27.5926000001,17.99252,-5.40746666665,-22.2593666667,-1.70370000001,24.2962666667,-16.6666666667
197.78,1.05883333335,-16.6666333333,-40.5882333333,5.86663333333,-20.9411333333,-34.4313,-13.9608916667,15.5294333333,-21.3333333333
198.16,3.83843333333,-14.6802333333,-39.9661666667,3.73724666665,-14.9492666667,-28.1481,-13.4173916667,11.6498666667,-16.3636
198.54,-8.80700000001,-28.9121666667,-50.3157999999,-9.67719333332,-29.1227333333,-45.7894,-29.1315833333,-1.71933333334,-25.5437333333
198.92,-23.2932,-49.277,-66.3052333334,-24.39372,-49.6386,-62.1286333333,-44.518,-21.4458333333,-40.482
199.30,-30.6132,-57.8927666667,-67.6246666666,-32.2604666667,-49.6552,-64.3678333334,-48.275875,-32.4139,-46.4366666667
199.68,-26.1904,-48.9377666667,-61.6483666667,-31.2600733333,-46.9599333333,-57.8754333334,-42.4634083333,-30.403,-42.7106666667
200.06,-8.69153333334,-28.9096666667,-42.7102333333,-16.11214,-25.2959333333,-37.1962666667,-22.9672666667,-14.9844,-21.4328666667
200.44,-1.63740000001,-20.1753666667,-30.9064,-9.61977333333,-16.7836,-27.3976333333,-15.0950666667,-10.2630333333,-11.8128666667
200.82,6.61533333333,-9.5898,-18.7437333333,-3.15385333334,-7.69226666667,-16.5128333333,-7.69220833331,-3.58983333334,-0.769333333328
201.19,1.43249999999,-15.8677333333,-26.2809666667,-11.1184266667,-17.5206,-24.2424666667,-14.3043083333,-8.78793333334,-7.49306666667
201.57,2.80859999999,-15.5863333333,-25.5245666667,-12.6172666667,-18.3951333333,-23.7655,-14.6604166667,-8.61096666667,-7.16046666666
201.95,4.17549999999,-13.3333666667,-31.9298,-17.1579733333,-21.1931333333,-25.2280333333,-15.8332916667,-14.7018333333,-8.77193333334
202.33,-14.6948666667,-29.7653333333,-53.0517333333,-37.3052533333,-48.0750666667,-45.1174333334,-36.7136333333,-34.2721,-28.6386
202.71,-5.75260000001,-25.6990666667,-49.0322666667,-32.2689133333,-43.0109333333,-30.8064,-25.3897,-30.6452,-22.1504666667
203.09,-31.5255,-48.7006666667,-81.8644333333,-56.8135133333,-65.8755333334,-50.2824333334,-47.2315916667,-47.1186333333,-46.1017333333
203.47,-40.5172666667,-56.6090666667,-91.5516333333,-66.48264,-73.4483333334,-55.8619666666,-52.2125750001,-52.8161333333,-48.5058
203.85,-41.1459666667,-53.8542,-85.4167666667,-68.6458733333,-63.6461333333,-53.7501666667,-51.8751666667,-49.4272,-43.3334
204.22,-74.6913666666,-90.1234666666,-127.469066667,-107.950686667,-106.296266667,-88.1481333333,-85.2315083333,-82.2222,-78.5186
204.60,-115.217366667,-135.434733333,-179.275466667,-154.782713333,-154.347733333,-125.869666667,-125.81525,-118.840566667,-115.942066667
204.98,-189.0992,-204.1442,-269.999966667,-244.774693333,-238.918933333,-196.5765,-189.6397,-187.027166667,-195.6758
205.36,-209.8149,-216.296333333,-277.4074,-254.27784,-240.925933333,-194.722166667,-196.990625,-194.1666,-205.740666667
205.74,-194.530033333,-200.0001,-246.410333333,-226.085433333,-203.589733333,-174.3591,-176.346258333,-168.547166667,-186.154
206.12,-200.000066667,-214.529933333,-250.256333333,-237.6752,-202.735066667,-174.4443,-181.773458333,-172.307633333,-191.623866667
206.50,-144.4928,-172.173866667,-195.2898,-183.985466666,-152.174,-127.753766667,-133.804366667,-126.0143,-136.666733333
206.87,-99.1803333335,-114.5902,-138.47,-127.989033333,-106.776,-90.8742666667,-96.8579166667,-84.4263333334,-96.0655333332
207.25,-94.5238333333,-105.238033333,-131.5477,-125.333406667,-103.4524,-90.0595333333,-90.5653749999,-81.3690000001,-92.8571333333
207.63,-98.8677999999,-106.4151,-132.578366667,-122.4151,-105.660266667,-94.2139333333,-92.3586666665,-81.7611,-95.7233333333
208.01,-91.3072666667,-102.353066667,-130.392333333,-106.548873333,-100.3922,-89.4116999999,-82.3202749999,-72.5490666667,-87.0589333333
208.39,-77.5694666667,-90.9027666667,-113.819433333,-88.84718,-77.7778000001,-74.0972333333,-70.000025,-56.9445333333,-74.9998666667
208.77,-60.9630333335,-66.8889333333,-98.1482666667,-73.11096,-55.1110666666,-56.963,-51.8888749999,-37.7036,-60.1480666667
209.14,-72.5287333332,-88.3907333333,-118.965466667,-91.3791866667,-69.4251333332,-71.3792999999,-65.0574166667,-46.8966333333,-68.046
209.52,-41.7777333334,-68.7776666667,-95.8890666667,-68.62222,-54.8889333334,-49.7776666666,-39.0832666665,-33.1111333333,-30.4446
209.90,-67.4712666665,-98.1609,-143.448333333,-103.88498,-103.678133333,-78.5059,-75.0861666665,-77.2413,-45.5172666667
210.28,-108.333333333,-151.0,-208.666666667,-149.8,-159.333333333,-133.833333333,-120.083333333,-115.0,-62.3333333334
210.66,-240.277866667,-248.055566667,-370.277766667,-268.444506667,-276.1112,-275.2778,-219.72215,-232.2222,-161.111133333
211.03,-657.999999999,-680.666666667,-947.333333333,-725.733333335,-708.000000001,-744.666666667,-578.5,-667.333333333,-468.0
211.41,-249.166666667,-336.25,-482.916666667,-369.083333333,-288.333333333,-334.166666667,-284.791666667,-312.916666667,-149.166666667
211.79,-21.6666333333,-52.0369,-135.555566667,-84.2964199999,-51.8519333334,-57.0370666668,-42.0370333334,-59.4443666667,6.29620000006
212.17,16.5556,1.0,-48.3332333333,-28.86668,-0.44453333334,13.4444000001,4.75005000006,-9.1112,24.6668
212.55,26.9230999999,15.4702333333,-19.9145,-5.82905333334,9.57246666665,22.6496000001,16.7307,1.19659999999,36.7522
212.92,13.1427999999,-1.33343333332,-34.7618666667,-12.4190733333,-1.33333333334,18.7620333333,13.9285749999,-10.9525333333,33.9046
