wavelength,Back_PhrFrum,Belly_PhrFrum,Breast_PhrFrum,Crissum_PhrFrum,Crown_PhrFrum,DorTail_PhrFrum,Patch10_PhrFrum,Patch11_PhrFrum,Rump_PhrFrum,Throat_PhrFrum,WingTip_PhrFrum
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,58.8094416667,5.71443333334,63.8096,110.740914815,76.1905666667,3.80953333332,61.9047333334,104.761866667,84.2856666666,29.5238,95.2379333333
179.16,296.25,368.333333333,313.333333333,444.814814815,323.333333333,220.0,320.0,346.666666667,390.0,290.0,393.333333333
179.54,352.5,258.333333333,290.0,401.666666667,355.0,240.0,360.0,246.666666667,340.0,250.0,316.666666667
179.93,146.458333333,156.666666667,156.666666667,123.796296296,135.833333333,100.0,138.333333333,105.833333333,163.333333333,91.6666666668,130.0
180.31,142.264475,120.724666667,142.029,140.813251852,120.7246,105.942133333,128.695666666,145.579766667,158.8407,108.260866667,135.507266667
180.69,135.9629,108.7406,135.555733333,133.917748148,115.259233333,105.037066667,126.370466667,145.4074,160.962933333,102.8148,126.518466667
181.07,140.265175,115.530266667,132.878733333,130.126314815,116.2122,120.909,129.5454,140.833233333,160.8333,106.060666667,125.0
181.45,126.1607,99.4047000001,117.619066667,109.708944445,104.6427,109.1666,115.7142,115.952333333,134.226133333,95.2381333332,108.4524
181.83,145.927666667,114.339666667,135.974666667,119.8742,114.842733333,123.522,126.415133333,136.7925,150.063,114.088066667,122.893133333
182.21,145.574775,113.4483,132.988666667,123.429096296,117.7013,126.781666667,124.942466667,141.149466667,148.045966666,121.724133333,121.954
182.59,187.083333333,139.25,161.333333333,161.462962963,149.0,161.0,162.166666667,177.083333333,191.666666667,151.166666667,149.0
182.97,145.055558333,110.3888,123.6666,129.055488889,121.888866667,130.5556,131.555466667,136.4446,147.833166667,121.333333333,122.444333333
183.35,133.6025,101.2822,112.615333333,120.313396296,116.666633333,119.1794,122.051266666,123.7436,139.2821,114.051266667,119.282
183.73,152.614941667,116.6092,127.0114,140.830151852,135.4024,128.391,141.953933333,142.184,163.045933333,130.919533333,137.701
184.11,143.585841667,110.151566667,117.070666667,132.721651852,131.060533333,122.7272,133.939466667,134.4445,152.525266667,124.040466667,127.4748
184.49,160.94445,120.7223,130.3334,146.456759259,149.055466667,139.444533333,147.555466667,155.222066667,174.555533333,142.888933333,143.555666666
184.87,153.885008333,122.817,126.854533333,140.182437037,145.1644,132.582266667,135.211333333,145.6807,162.112633333,135.3052,139.155133333
185.25,161.724583333,129.4445,136.944466667,143.266374074,149.3518,134.444466667,135.0926,153.379466667,166.5277,141.944333333,143.148
185.63,183.523383333,146.4912,151.695933333,165.380048148,172.2806,157.543933333,149.824666667,183.274833333,199.0644,166.549666666,162.807066667
186.01,131.265766667,110.295333333,109.620133333,124.228762963,132.025333333,118.987333333,112.3206,133.712966667,147.552766667,120.253133333,124.557066667
186.39,137.81385,119.480633333,117.835466667,130.793681481,140.649366667,126.580066667,121.125533333,142.424366667,156.320366667,124.588733333,134.372333333
186.77,131.694108334,114.7619,119.267466667,121.269881481,134.065966667,123.076866667,115.457933333,136.74,148.754466667,118.241733333,127.6192
187.15,163.676458333,138.921633333,145.392066667,151.296281482,165.392066667,147.8432,135.0,164.3627,186.568633333,143.725533333,157.745066667
187.53,158.152191667,137.391366667,143.3816,150.869688889,162.946733333,142.512066667,130.821266667,155.507266667,179.130466667,135.072466667,151.690666667
187.91,163.580875,143.072966667,146.250066667,152.471174074,171.771,152.396,132.916733333,159.166833333,183.854233333,136.8752,157.708466666
188.29,173.441266667,141.9136,147.5308,155.04112963,178.703666667,158.5186,131.234533333,163.271666667,191.666733333,139.012466667,160.740733333
188.67,161.419608333,136.1111,135.802333333,146.865540741,166.481433333,158.1482,125.0618,146.172933333,182.8395,132.345666667,147.4074
189.05,212.708341667,187.4074,179.629666667,190.08237037,211.3889,220.925866667,173.518466667,187.3148,247.9629,174.4446,200.555466667
189.43,199.857183333,176.857166667,162.095266667,181.470881481,198.6665,209.333333333,168.190533333,168.857066667,237.047533333,167.238066667,191.999933333
189.81,208.87385,186.2163,169.909866667,180.070088889,197.747666667,209.008933333,174.054,182.973033333,230.5405,169.008933333,201.6216
190.19,1398.16666667,1199.33333333,1024.0,1054.37037037,1262.0,1389.33333333,1097.33333333,1169.33333333,1494.0,1037.33333333,1253.33333333
190.57,-528.484816667,-443.939233333,-345.454533333,-349.595937037,-447.878866667,-513.3334,-390.303066667,-425.151466667,-564.8484,-361.818066667,-461.212066667
190.95,-201.022575,-174.242533333,-104.8486,-127.154833333,-158.030133333,-187.8788,-140.000066667,-148.484833333,-222.8788,-119.0908,-184.242333333
191.33,-398.257633333,-411.2121,-260.000066667,-259.461262963,-341.515166667,-427.878733333,-341.8182,-341.8182,-482.121166667,-298.787866667,-424.8486
191.71,-110.805533333,-112.000033333,-48.6665333333,-50.0741185185,-78.2221333333,-126.666666667,-87.5556,-101.111133333,-144.888966667,-90.6666,-124.000066667
