wavelength,Back_PhrPunf,Belly_PhrPunf,Breast_PhrPunf,Crissum_PhrPunf,Crown_PhrPunf,DorTail_PhrPunf,Rump_PhrPunf,Throat_PhrPunf,WingTip_PhrPunf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,-516.666666667,-300.0,-333.333333333,-366.666666666,-66.6666666665,-83.3333333335,-383.333333334,-100.0,-216.666666666
179.16,366.666666666,91.6666666665,116.666666667,141.666666667,183.333333333,125.0,250.0,83.3333333333,183.333333333
179.54,116.666833333,127.777666667,200.0,127.777833333,77.7776666668,200.0,94.4443333332,122.222333334,77.7776666667
179.93,33.3333333333,23.3333333333,-3.3333333333,36.6666666667,80.0000000001,16.6666666666,-13.3333333333,63.3333333333,116.666666667
180.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180.69,-641.666666665,433.333333333,-958.333333335,-133.333333335,-125.0,-475.0,-833.333333335,116.666666667,433.333333334
181.07,-166.666666666,312.5,-495.833333333,54.166666667,-145.833333333,-304.166666667,-383.333333333,116.666666667,258.333333333
181.45,-233.333333334,466.666666667,-1300.0,208.33333333,-466.666666667,-550.000000002,-675.0,83.3333333333,775.0
181.83,31.4815,166.666666667,-233.333333333,125.926,-98.1481666669,-35.1853333332,-92.5926666665,66.6666666665,237.036833333
182.21,29.1666666665,-233.333333333,645.833333334,-229.166666666,429.166666667,212.5,341.666666667,33.3333333335,-345.833333334
182.59,-22.9166666665,-75.0,320.833333333,-160.416666666,222.916666667,87.4999999998,175.0,104.166666667,-210.416666666
182.97,-36.6665,21.1111666665,208.888833333,-57.7776666669,145.5555,82.2221666665,101.111166667,46.6666666667,-134.444666666
183.35,-26.9231666665,71.7948333333,235.897666667,-24.3588333331,230.769166667,125.641166667,144.871666667,74.3591666665,-176.923
183.73,216.666666665,999.999999999,3550.0,83.333333333,3650.0,2100.0,2216.66666667,1266.66666667,-2883.33333333
184.11,383.333333332,-716.666666667,-3133.33333333,966.666666667,-2933.33333334,-1666.66666667,-1483.33333333,-933.333333331,3133.33333334
184.49,-16.6668333333,95.0978333332,180.392166667,-45.098,160.784333334,130.392166667,33.3331666665,54.9018333333,-185.294166666
184.87,14.2156666667,89.7056666667,119.607833333,-7.84300000002,103.431333333,95.0981666665,54.4118333331,63.2355,-59.3140000002
185.25,-0.8771666667,70.1753333332,87.2808333331,-16.6666666666,75.8771666666,58.3331666665,26.3155,46.0525,-70.6140000001
185.63,-7.93650000001,66.6665,80.9523333333,-3.57116666665,62.3016666667,66.6668333334,29.762,37.3015,-61.508
186.01,8.19199999999,54.802,71.1861666666,12.1468333333,50.8475,72.3165000002,38.1356666667,33.3331666667,-29.3785
186.39,1.46216666667,46.1988333333,71.6373333333,3.50883333333,38.5963333334,71.3448333332,19.5905,17.2513333334,-40.9358333333
186.77,-3.4825,30.3481666667,55.9701666667,1.4925,26.8658333334,57.4624999998,13.9301666667,2.985,-32.0895
187.15,4.39816666667,26.1573333333,58.3333333333,4.39833333333,30.3241666667,54.6295,15.9723333333,12.0371666667,-20.8331666667
187.53,-1.80183333333,13.739,48.8738333333,-2.47733333335,13.964,47.9730000002,4.72966666665,1.80183333335,-22.5225
187.91,-19.0168333334,-0.000166666699999,34.8291666667,-13.248,-1.282,30.9828333333,-14.1025,-10.2565,-26.0683333333
188.29,-18.0001666666,2.66666666667,40.889,-5.1111666667,1.33316666665,34.0,-8.88883333335,-14.2223333333,-24.889
188.67,-7.692,6.83766666667,51.282,7.0515,15.5983333334,38.0341666667,8.7606666667,-2.5641666667,-15.812
