wavelength,Back_PhrUnif,Belly_PhrUnif,Breast_PhrUnif,Crissum_PhrUnif,Crown_PhrUnif,DorTail_PhrUnif,Rump_PhrUnif,Throat_PhrUnif,WingTip_PhrUnif
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,72.4241666667,96.9696000001,67.2726666667,58.1819333333,67.8788666666,75.7575333334,75.7574666667,82.4242666667,70.9090666668
179.16,106.190466667,156.190466667,140.000066667,142.857066667,107.619066667,111.428533333,116.190466667,106.6665,95.2380666666
179.54,56.6666666667,23.3333333333,18.3333333333,37.5,67.5,56.6666666667,73.3333333333,62.0833333333,94.1666666667
179.93,48.7499999999,63.3333333333,89.9999999999,51.6666666667,52.5,48.3333333334,45.8333333333,64.1666666666,41.6666666667
180.31,170.833333333,210.0,210.666666667,183.333333333,137.333333333,150.0,134.0,176.166666667,102.333333333
180.69,146.666733333,169.230666667,173.8462,156.1538,117.948733333,121.025666667,117.179533333,140.641033333,86.6666
181.07,122.156866667,121.960666667,149.411733333,130.784266667,97.4508,96.8627333333,97.0588000002,110.8823,74.1176
181.45,76.5941333333,62.6087333333,93.0434666665,80.4348,55.6521999999,61.3044666667,54.7826666667,67.0289666667,36.8115999999
181.83,66.3030666666,49.8180666667,80.1212666667,72.8483333333,50.7879333333,58.1818666667,54.9091333333,61.5757666667,37.9394666667
182.21,55.7276333333,43.2864666667,66.1032666666,61.2205333334,44.5071333333,51.8309333333,48.7324,52.6292333333,36.6197333334
182.59,46.6295333333,37.9258,59.2593333333,53.2593333333,37.1110666667,45.4815333333,41.2592,46.8888333333,31.5555333333
182.97,37.2277,31.4190666667,52.3432,44.0924666667,30.561,39.6698666667,32.7394,36.9967,25.6104666667
183.35,41.6345333333,34.4872666667,56.6667333333,48.6538,35.5768666667,47.5640666667,37.8846666667,39.4873,28.8461333334
183.73,44.7029333333,38.3462,55.5555333333,49.3538666667,38.5530666667,48.6822,43.4108666667,41.1370666667,33.23
184.11,38.9523666666,35.5714,51.2381333333,41.9523333333,34.9524666667,43.1904,40.0000666666,35.0474666667,30.3334
184.49,39.4089666667,38.5342666667,52.4823333333,45.0592,38.4870666667,45.0118,42.2695333333,36.8795666667,33.9954
184.87,39.9111,41.3333333333,55.4223333333,47.1999333333,40.4000666667,47.8666666667,43.7777333333,40.7109666667,37.3778
185.25,34.0579333334,39.6618,52.2222,43.8648,37.0048666667,44.2029333333,38.4542,36.8357333333,31.5458
185.63,35.6302666667,48.6274,59.1037333333,47.1708666667,40.3922,48.6273333334,40.2241333333,40.8962,35.3501333333
186.01,35.5724333333,47.5318666667,56.6919333333,45.6997333333,39.7964666667,45.5470666667,36.794,41.2978,36.2849333333
186.39,33.7534666667,45.2102,57.367,45.7702,37.8711333333,43.5296,32.9411333333,39.5235666667,34.0616
186.77,31.2844666667,44.893,57.2478000001,42.7523333333,37.4924,39.9999333333,30.7034666667,37.676,31.9265333333
187.15,26.5333333333,40.8666666667,55.5999999999,43.3333333333,31.8,39.4,28.8666666666,33.8,31.4
187.53,14.9259,30.4444666667,48.9629999999,34.2962,23.3333333333,29.5554,19.5554666667,25.3333333333,20.3704
187.91,-11.4444333333,15.8889999999,49.5555333334,19.3333333333,8.33326666662,10.8888666667,-8.00006666667,12.0,-0.444266666653
188.29,-20.7576333333,11.9698,62.7273999999,35.4546,9.2425333334,10.3029999999,-12.4242666667,22.8031,-7.12126666666
188.67,-38.8288333333,-8.8287333334,66.3062000001,27.0270666667,-10.0900666667,-5.04500000008,-33.1531333333,17.1171999999,-27.9279333333
189.05,-248.6111,-164.4444,69.4444,-52.7777333333,-157.2222,-142.222333333,-217.222266667,-49.7221333335,-230.000066667
189.43,3400.0,2433.33333333,-466.666666668,866.666666666,2346.66666667,1800.0,2600.0,649.999999999,2880.0
189.81,-295.833333333,-230.833333333,175.833333333,45.8333333332,-154.166666667,-111.666666667,-177.5,52.9166666668,-209.999999999
190.19,-212.1213,-150.3032,130.302866667,40.0,-90.9090666667,-50.3029999999,-76.3637333334,28.1818333333,-144.848466667
190.57,284.666666667,220.0,-62.6666666666,23.9999999999,172.0,118.0,124.0,22.6666666668,237.333333333
190.95,208.4614,178.4614,-28.2051999999,-3.0769333332,151.282133333,73.3331999999,99.4871333333,16.9229,185.640933333
191.33,129.259166667,119.999933333,-32.2221333335,-1.85186666654,92.9631333334,44.8148666666,72.9628666667,-19.2592333333,131.111066667
191.71,177.0,146.0,-121.333333333,-35.3333333333,111.333333333,41.3333333333,80.6666666666,-92.3333333334,162.666666667
192.09,-307.5,-258.333333332,373.333333335,183.333333333,-184.999999999,-16.6666666668,19.9999999992,325.0,-246.666666666
192.47,-110.909033333,-52.7272,165.4546,86.6667333334,-38.1817333334,27.2728,19.9998666668,85.4546333335,-76.9697333333
192.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
193.23,-51.6665666666,4.9999999998,168.333266667,86.6667333333,8.3333333332,77.7776666667,31.6666666668,79.9999333334,-3.33339999994
193.61,-11.1594333334,24.6376666667,100.579666667,59.4202666666,25.7970666665,48.6957333334,33.9131333332,44.4928333334,18.2609333334
193.99,-213.703766667,-100.000133333,48.1481333332,-43.7036666667,-87.4073333332,-62.9629333333,-37.0370666666,-49.9999666667,-121.4814
194.37,210.476066667,130.952333333,37.1428666667,84.2857333332,119.0476,108.571466667,95.238,69.7620666668,128.571466667
194.75,-824.444366668,-339.999933333,73.333333332,-111.111266667,-297.777733334,-226.666533333,-202.222333334,-205.555533335,-213.333266667
195.13,-692.2222,-333.333333333,231.111133332,-82.2221333326,-37.777733334,-106.6666,46.6667999992,-93.3333999994,82.2222666673
195.51,-292.857166667,-103.809466667,86.6666666666,-8.5714666664,30.4762,-73.3332666666,108.5714,0.4763000002,97.1428
195.89,644.999999999,316.666666667,48.3333333346,161.666666667,58.3333333334,265.0,-81.6666666661,140.833333333,-29.9999999994
196.27,439.999933333,187.777733333,3.3333333334,57.7778,-31.1110666666,51.1110666665,-107.7778,15.5554666668,-37.7777333335
196.65,160.4445,93.7778,7.1110666668,26.6667333334,5.77779999994,15.5556,-55.1112666667,-23.1110666666,-24.0000666667
197.03,196.9047,154.761866667,40.9523333334,59.0476,63.3333999999,80.4762666667,-34.2856000001,-10.4761,13.8096000001
197.40,166.2963,121.111066667,32.963,37.0371333332,41.4815333333,63.7036666667,-38.5184666667,-3.33332599979e-05,-1.1111333332
197.78,147.333333333,133.333333333,49.3333333334,30.3333333333,50.0000000001,73.9999999999,-26.6666666667,-1.50000000014,3.33333333328
198.16,122.5,112.5,-10.8333333332,-35.4166666667,-3.74999999986,32.0833333335,-84.9999999999,-60.6249999999,-72.0833333333
198.54,130.952466667,125.714133333,-110.476133333,-180.9524,-143.809533333,-39.0476666668,-331.428533333,-238.571466667,-285.7142
198.92,44.8149000001,54.8146666667,-33.7037333332,-61.4816000001,-69.2591333333,-13.7037333333,-147.407533333,-107.222266667,-109.2592
199.30,52.3332666667,47.5555333334,6.2222,-22.0000666667,-12.4445333333,15.7778000001,-71.7778,-43.7779333333,-40.4443999999
199.68,53.1060666666,58.7878666667,23.788,7.72726666666,16.6667333333,33.1816666666,-28.6364,2.72729999998,-6.36366666666
200.06,57.2463999999,60.0,28.9855333334,8.40586666666,21.5941333333,32.8985333333,-25.7971333333,7.10153333332,-6.81153333334
200.44,56.8026,58.3674666666,36.0544000001,11.5646,26.2584666667,44.2177333333,-11.8366666667,16.8707,-0.816400000006
200.82,68.3334666666,63.5801999999,46.9135333334,27.5308,36.0494,52.4690000001,-0.987733333346,28.8888333333,5.55553333335
201.19,54.2474333333,44.7311333333,37.8496000001,15.4838666666,21.6129333333,34.086,-12.1505333333,22.6343333333,-4.62360000001
201.57,61.6443666667,59.8222666667,54.4,37.1555333333,39.6444666667,46.9333333334,10.6666,41.6000666666,18.9332666667
201.95,60.5925666667,56.7408666667,51.8518,43.2592666667,41.6296666667,46.5925999999,16.4443333333,42.2592,25.6296
202.33,63.9175333333,58.9691333333,56.0824000001,51.4776666667,48.0412666667,51.3401333333,24.6734666667,47.8006,35.0514666667
202.71,66.1488666667,62.5890666667,55.1456666667,52.8802,51.3268,54.1099333333,27.7670666667,47.8316666667,38.0583333333
203.09,66.8503666667,65.6692666667,60.6824666667,58.845,57.3227333333,57.7426666667,38.2678,51.6009666667,47.7166666667
203.47,66.1363666667,65.4545333334,61.0606,58.1818666667,55.9595333333,55.2020666667,38.7878666667,52.9292333333,48.1818
203.85,66.32,63.2,61.76,55.2533333333,54.6133333333,52.5333333333,36.16,50.8533333333,43.9466666667
204.22,63.5185,60.1058,61.1640666667,51.1112,52.5926,51.9576666667,33.4391333333,49.4444333333,43.2274
204.60,63.1579,63.1579333333,62.8572,52.9321333333,56.7418666667,54.7868666667,35.4386,49.4486666667,44.1103333333
204.98,63.3333666667,64.8238,62.9266666667,52.2492666667,58.2656666667,56.3685333333,37.3443333333,50.1625666667,46.7209333333
205.36,65.3954666666,65.2542,65.2542,54.6893333333,59.6043333333,57.5706,39.0394,50.3672,47.5706
205.74,60.5449,55.1922666667,59.4872666666,45.7692666667,52.8846,51.0256666667,26.8590666667,41.1217666667,37.0513333333
206.12,60.6597666667,52.7083333333,60.7639333333,42.1526666667,51.3194,49.5138666666,24.6526666667,38.1249666667,33.0554666667
206.50,61.2681,52.9710666667,62.8261333333,41.087,54.8550666667,51.0870000001,24.6376,37.6812666667,30.0723333333
206.87,55.0,47.8,58.4666666667,39.0666666667,49.3333333333,47.1333333333,24.3333333333,37.8666666667,28.8666666667
207.25,55.9524,36.3809333334,54.9522666666,26.3808666667,38.5713333333,44.0950666667,4.57126666666,31.4284666667,12.0952
