wavelength,Back_PhrUnim,Belly_PhrUnim,Breast_PhrUnim,Crissum_PhrUnim,Crown_PhrUnim,DorTail_PhrUnim,Rump_PhrUnim,Throat_PhrUnim,WingTip_PhrUnim
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,67.8788000001,116.3636,95.1514666667,67.8787333333,75.1516666667,70.303,79.3938666667,89.0908666667,94.5455999999
179.16,119.047533333,173.809433333,141.904866667,154.285666667,115.2382,70.4764000001,145.714333333,163.8096,167.618933333
179.54,35.8333333333,27.5,45.0,4.16666666674,28.3333333333,51.6666666666,27.5,23.3333333334,22.5
179.93,48.3333333333,132.083333333,61.6666666666,71.6666666667,91.6666666667,49.1666666667,61.6666666667,74.1666666667,68.3333333333
180.31,177.333333333,407.833333333,270.0,227.666666667,237.666666667,90.3333333333,238.666666667,292.0,211.333333333
180.69,153.589733333,353.076866667,228.717866667,193.589733333,201.025666667,76.1539333333,204.358933333,251.282,180.769266667
181.07,129.4118,280.392066667,183.725533333,158.823533333,164.1176,62.1569333333,159.6078,198.431333333,132.352933333
181.45,81.1593999999,191.739133333,118.2608,96.8115333335,103.043533333,29.5650666667,95.6522666667,127.826,75.5072666665
181.83,75.7575333333,167.636366667,108.8486,83.6363333333,93.2121999999,25.0909333334,83.6362666666,115.393933333,63.0302
182.21,65.0703333334,132.6761,96.9954,69.9531333333,81.6902,23.0984666667,75.493,97.5586666666,56.2441333333
182.59,55.7778666667,107.6295,78.5184666667,58.4445333333,73.4816000001,22.5926,62.074,81.1850666667,48.8888
182.97,46.8647333333,92.6071999999,67.1286666667,46.7327333333,64.4224666667,16.2374666667,54.2574666667,71.9472666667,39.0759333333
183.35,52.3717333333,95.9615666667,69.6794,48.7822,70.5128000001,20.1923333333,55.1922666667,73.7819333334,40.8333333333
183.73,55.0905333333,91.6794666667,65.4263333333,48.9923333333,68.6304666667,27.2866666667,54.1084666667,70.6976,42.8424
184.11,49.4762666667,82.9523666667,59.8096,46.2380666667,61.3809333333,25.1903333333,49.5714666667,63.9048,40.3809333333
184.49,48.6052666667,84.0425666667,61.4183333333,45.2954,63.2624,27.8487333333,50.0708666666,65.5791333333,43.026
184.87,51.3776666667,81.6889333333,61.2888666667,46.3554666667,64.3111333333,29.0667333333,51.7332666667,65.3333333333,44.1776666667
185.25,47.1980666667,79.8551666667,56.5216666667,42.2704,64.2028666667,23.285,50.9178666666,64.8308,43.4782666667
185.63,52.3809333333,89.5797333333,62.5770666667,47.1708,73.8376,27.0028,56.6386666667,74.0616666667,49.9159333333
186.01,48.5496,83.4606666667,57.9132666667,44.9364,67.1757333333,28.2442666667,51.3486,68.1934,49.0076
186.39,46.1064,85.0419999999,53.3893333333,43.4734,63.3053333333,25.098,46.6105333333,69.1316666667,46.6666666667
186.77,43.9145333333,86.5138666667,50.5811333334,42.6911333334,59.2660666667,21.7736,45.3821333333,68.8072666667,45.0152666666
187.15,43.3333333333,85.3000000001,44.6666666666,41.0,55.9333333333,21.1333333333,43.4666666667,68.0666666667,45.6
187.53,32.6666,77.7405666666,37.4073333333,29.3333333333,48.6667333333,9.70380000001,36.6666666666,62.2222666667,37.8519333333
187.91,13.7778666667,78.5555,23.5555333333,13.4444666667,38.6667333333,-11.6666666667,21.7778,63.3333333334,22.3333333333
188.29,18.4848000001,99.6969000001,21.2122,13.7878666667,48.1817999999,-9.2426,29.2425333333,83.1817333333,16.9696666667
188.67,21.2612666666,98.1080000001,4.32420000001,4.68473333334,46.4865333333,-17.8377333333,23.0630666667,83.2432666667,10.4504000001
189.05,-91.1110666667,166.9445,-106.666666667,-117.777733333,31.6665333334,-116.111066667,-55.0000000001,121.666666667,-106.666733333
189.43,1433.33333333,-1486.66666667,1273.33333333,1493.33333334,-60.0000000014,1213.33333334,1100.0,-973.333333335,1640.0
189.81,-76.6666666667,305.0,-24.1666666667,-70.8333333335,152.5,10.8333333332,-2.5000000002,205.0,-118.333333333
190.19,-49.0908666667,233.939233333,16.3636666665,-49.0908666667,152.121133333,46.0605999999,59.3939333334,133.939533333,-84.2423999999
190.57,77.3333333333,-177.0,39.9999999999,115.333333333,-121.333333333,-13.3333333333,-58.0000000002,-56.6666666667,159.333333333
190.95,61.0256666665,-93.8462,13.3332666665,97.9488000001,-97.9487333335,-47.1796000001,-61.0256666666,-36.4102666665,137.4358
191.33,51.8520000001,-72.2223,-21.4814666666,54.8147999999,-68.1481333332,-41.8518,-48.8888666666,-27.7778666667,91.8519333334
191.71,46.6666666668,-192.0,-90.6666666665,-4.00000000002,-166.666666667,-166.666666667,-149.333333333,-95.9999999999,86.0
192.09,3.3333333332,613.333333333,336.666666667,128.333333334,519.999999999,571.666666667,590.000000001,288.333333333,-86.6666666667
192.47,9.69700000006,200.000033333,170.909133333,62.4242666667,208.484866667,210.909066667,231.515266667,122.424266667,1.81819999994
192.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
193.23,53.3333333332,163.055466667,212.222266667,113.888866667,195.000066667,223.888866667,249.444466667,126.111133333,39.4444666666
193.61,46.9563333333,92.3188333335,124.3478,72.7534666667,110.724666667,132.463666667,153.043533333,76.5217333333,36.2318666666
193.99,-17.0370666666,88.8889000002,148.148266667,33.3333333335,128.8888,182.2224,248.148133333,55.5554666667,-43.7036666667
194.37,69.0475999999,17.3809333334,0.9524,49.9999999999,-4.28580000006,-52.857,-97.1427333333,17.1427999999,96.1904000001
194.75,-173.333266667,114.444466667,128.888933334,-79.9999333326,255.555600001,511.111066667,522.222333334,182.2222,-224.4446
195.13,-26.6666666666,346.666533334,117.777733334,162.222333333,355.5556,613.3334,564.444399999,277.777733334,-91.1110666666
195.51,71.4286666666,190.000133333,61.9047333334,75.2381333332,234.285666666,300.000133334,273.333533333,139.047666667,10.4762000002
195.89,-63.3333333326,-155.0,51.6666666672,61.6666666672,-323.333333334,-421.666666667,-275.0,-33.3333333333,90.0000000002
196.27,-79.9999333332,-118.8889,22.2223333333,-28.8889333332,-297.777866667,-355.555666667,-214.444466667,-31.1111999999,-52.2222
196.65,-29.3333333333,-52.6666333332,16.8889333333,-15.5554666665,-113.333266667,-147.111,-93.7777333334,-3.55553333334,-52.889
197.03,2.38099999992,-14.5238333334,75.2380666668,47.1428666665,-74.2858666665,-120.4762,-49.5239333333,44.2857333332,-32.8570666669
197.40,4.07413333312,-11.1112000001,64.8148,51.1111333332,-48.5185333333,-119.259266667,-34.8148666665,15.5555999999,-37.4075333333
197.78,-5.3333333334,-6.1666666666,78.6666666667,70.0000000001,-16.6666666667,-106.666666667,0.33333333346,5.66666666646,-22.6666666667
198.16,-91.2499999999,-40.8333333333,34.1666666665,39.1666666667,-62.0833333333,-204.583333333,-66.6666666667,-62.5000000001,-87.9166666667
198.54,-367.619,-192.857066667,-60.9523999998,-42.8572,-234.2856,-606.666733333,-257.142866667,-254.285666667,-383.8096
198.92,-164.8148,-70.5555000001,-45.9259333334,-28.5184666667,-91.8518666666,-253.333266667,-112.222133333,-99.6295999999,-168.148133333
199.30,-86.2222666667,-7.11113333333,-14.2222666667,16.4444666667,-28.8888666667,-137.111133333,-52.4444666666,-38.8888000001,-88.8888666668
199.68,-34.5455333333,21.8939333333,16.5152,36.8182666666,7.42420000006,-77.7272000001,-8.93939999999,-4.24226666665,-36.9697999999
200.06,-29.5652666667,28.4782666667,17.6811333333,34.9276,19.9998666667,-73.7682666668,-13.0434,-3.04346666673,-32.7536
200.44,-27.619,36.7346666667,17.1428666667,40.2721333333,28.2992666667,-63.6734000001,0.952399999986,-1.22459999998,-25.8503333333
200.82,-17.4074,43.2715333334,32.716,45.926,33.7037333333,-51.1111333333,18.0245333333,12.2222,-8.39486666668
201.19,-25.2688,34.8924666667,12.4731333333,22.043,20.8600666667,-53.656,4.94633333333,3.76333333335,-19.1398666667
201.57,2.22219999998,52.8445333333,32.1776666667,38.5778666667,37.5111333334,-20.8888666667,28.6222666667,29.9556,3.28893333333
201.95,14.5925333333,57.1481666667,34.8148,38.2223333334,37.3332666667,-9.70366666667,29.7037333333,38.4444666667,10.7407333333
202.33,26.3918,66.2199333333,41.7869333333,41.3745333333,45.7732,-1.512,39.5188666667,45.9106,20.0
202.71,30.7444,66.2135666667,42.4594666667,39.9353333333,48.0259333333,0.841533333334,42.3301333334,45.1132666667,26.5371333333
203.09,38.7402,66.6927666667,47.7166666667,46.6666666666,55.6956,15.9579333333,50.0262,51.811,37.7952
203.47,38.1314,66.4645666667,45.5554666667,44.4949333333,56.1111333333,16.8180666667,51.2122666667,51.9697333333,38.586
203.85,33.6533333333,68.0533333333,40.96,38.5066666667,55.3066666667,13.0666666667,49.7066666667,51.1466666667,35.7333333333
204.22,32.1694,67.4338333333,40.2646666667,34.9205333333,51.2696666667,9.47093333333,49.4709333333,48.3598,33.5979333334
