wavelength,Back_PinInof,Belly_PinInof,Breast_PinInof,Crissum_PinInof,Crown_PinInof,DorTail_PinInof,Patch10_PinInof,Rump_PinInof,Throat_PinInof,WingTip_PinInof
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,49.81495,30.5555833334,50.6173333333,0.925916666668,74.9999166666,57.4073750001,52.7778333334,82.7160555555,29.6295833333,62.963
179.16,162.5,187.5,216.666666666,268.75,172.916666666,205.208333333,189.583333334,136.805555556,189.583333333,64.5833333334
179.54,-94.9999999998,-66.6665000001,18.5185555554,-236.111166666,63.8888333335,-50.0,-63.889,-55.5554999999,-113.888833333,11.1110833333
179.93,15.1110333333,14.4445833333,25.926,-3.88908333332,13.3333333333,-7.77770833333,25.0,26.8518611111,-8.88900000001,12.77775
180.31,73.4972833332,49.4535,94.7177777778,40.8469166667,114.207666667,46.7213749999,86.7489166666,92.1675833333,64.8905833333,93.8525833333
180.69,75.3968,51.8518333334,100.705555556,40.2118333333,117.195916667,45.0395833334,87.8307499999,93.2539444444,63.6244999999,94.1799166667
181.07,83.5920000002,59.05175,116.475111111,50.8620833333,126.149416667,42.0977083333,103.161,98.5631944445,69.2529166667,100.287416667
181.45,94.4624333333,69.7580000001,126.343888889,63.3063333333,130.779583333,56.0484166666,115.9945,104.704361111,78.7635,104.032333333
181.83,119.290883333,82.2694166667,149.645333333,79.9643333333,153.368583333,61.968,137.94325,128.487194444,94.5035000001,127.304916667
182.21,190.9139,124.462333333,217.204333333,121.236666667,240.322416667,102.822416667,199.193583333,195.609277778,150.26875,196.5055
182.59,319.166666667,191.145833333,355.555555556,189.583333333,410.9375,130.208333334,344.791666667,306.597222222,225.0,301.5625
182.97,841.666666667,523.333333333,1033.33333333,535.0,1193.33333333,297.5,1123.33333333,895.555555557,641.666666668,716.666666667
183.35,1416.66685,947.222250002,1681.48144444,863.888833333,1972.22233333,419.444500001,1791.66658333,1480.55547222,930.555583334,1172.22225
183.73,-887.083333334,-631.249999999,-1119.44444444,-391.666666667,-1250.0,-123.958333333,-1162.5,-862.500000002,-531.250000001,-683.333333332
184.11,-79.3999999999,-54.6666666667,-109.777777778,-11.3333333333,-120.333333333,29.6666666667,-121.666666667,-82.7777777777,-27.0000000002,-39.3333333333
184.49,-86.5217666667,-42.0290833334,-83.091777778,7.60866666667,-104.709916667,50.7245833333,-89.49275,-73.5506666668,-5.43474999984,-27.5363333332
184.87,-276.6667,-176.388916667,-230.555666667,-79.8610833334,-316.66675,-5.20816666675,-274.305583333,-241.666694444,-122.222166667,-140.277833333
185.25,-213.4375,-122.395833333,-157.638888889,-45.3125,-245.833333333,6.77083333333,-177.604166667,-165.625,-98.4374999999,-118.75
