wavelength,Back_PipMelf,Belly_PipMelf,Breast_PipMelf,Crissum_PipMelf,Crown_PipMelf,DorTail_PipMelf,Patch10_PipMelf,Patch11_PipMelf,Rump_PipMelf,Throat_PipMelf,WingTip_PipMelf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,-117.777666667,-20.0,-71.1110666666,-113.3332,-28.8889333333,19.9999333335,-144.4444,6.66666666654,-175.555466667,22.2223333332,-80.0002666667
179.16,191.666666667,160.0,223.333333333,125.0,211.666666667,201.666666667,96.6666666667,246.666666667,173.333333333,175.0,111.666666667
179.54,168.8888,299.999933333,231.111066667,246.666666667,244.4444,171.111,315.555533333,144.4444,237.777666667,164.444333333,333.333333333
179.93,-1.11106666668,7.77759999992,15.5556666666,-36.6666666667,-66.6667333333,-5.99840177529e-12,14.4444666667,-20.0000666667,59.9999333333,-23.3334666667,-11.1110666667
180.31,53.8460666667,-7.69226666666,44.1024666666,56.1536666667,85.8974000001,129.487066667,-31.0256,97.1794,26.4104,111.282066666,15.3846
180.69,68.2883333333,9.72966666666,56.0361333333,62.5226,84.1441333333,116.036,-10.2702666667,85.4055333334,39.6397333333,97.1170666667,25.5856
181.07,83.3334000001,6.84193333341,70.1754000001,70.0001333333,89.1227333333,124.210533333,3.15773333332,88.2456000001,64.2105333332,99.9999333334,32.8070666667
181.45,71.5152000001,-1.6666666666,48.0302666666,58.9395333333,70.7576,101.969733333,4.0909333334,59.0909333332,54.2424000001,80.9090666666,21.5151333333
181.83,86.0604666666,13.6364,65.7576666666,73.6363333333,91.5151333333,118.4848,25.606,71.9696666667,72.7271333334,96.5152000001,46.3636666667
182.21,70.0654666667,6.66666599997e-05,55.1634000001,49.5423333334,71.5032666667,97.5163999999,17.2549333333,55.9476,62.6143333333,74.7711999999,34.3789333334
182.59,70.8496666667,7.84306666667,60.9149333334,45.3595333334,64.9673333334,93.9868666667,6.92806666666,52.0261333334,60.2615333333,77.6471333333,34.3792
182.97,53.0158666667,5.71433333333,53.0157333333,36.8254,52.3809333333,72.91,14.2856,42.9630666667,48.4656,58.4126666667,20.5291333333
183.35,47.9674666667,12.2765333333,47.3170666667,33.1708,50.9755333333,61.9511333333,22.0327333333,39.5122,46.3414666667,51.4634,21.2194
183.73,49.0,19.5333333333,51.1333333333,35.7333333333,55.8666666667,58.2666666667,26.0,42.5333333333,50.0666666667,44.3333333333,26.5333333333
184.11,47.8287333333,16.3914,49.1743333333,34.8012666667,49.5412666667,51.8042,26.9112666667,37.4312666667,44.8318,39.9388,28.0120666667
184.49,50.2704666667,19.5195333333,51.5915333333,38.3783333333,50.7508,51.5916,33.5736,43.0030666667,47.9879333333,39.3994666667,28.5285333333
184.87,32.8524,1.99319999999,40.5498666667,23.0241333333,42.0618,39.9313333333,22.7492,30.7217333333,36.2886,27.6976666667,16.2198
185.25,31.875,3.68053333333,38.5416666667,22.1526666667,38.4028,34.3056666667,19.4444666667,31.5277333333,33.9583333333,26.875,17.2917333333
185.63,16.2601333333,-10.4065333333,32.6829333333,12.195,26.1788666667,20.0813333333,9.18700000001,26.0976,21.5447333333,16.8293333333,7.56106666668
186.01,18.9247333333,-2.65226666668,36.7025333333,20.5734,31.0394666667,23.871,13.4050666667,29.319,22.8674,20.0,13.4768
186.39,12.2343333333,-5.34806666666,31.5018666667,18.1684666667,25.8606666667,20.1465333333,9.37733333334,25.3479333333,21.2455333333,15.8243333333,7.25273333333
186.77,18.1818,0.24253333334,33.394,23.5152,29.2122,22.7272,21.0302,30.2423333333,27.8788,17.7576666667,11.9394
187.15,28.5106666667,4.96460000002,41.9148666667,34.3263333333,39.0071333333,33.2624666667,30.4964,41.4184,40.7092,26.9503333333,23.0496666667
187.53,32.5555333333,-2.11126666667,48.3333333334,39.8888,43.2222,41.7777333333,36.5555333333,57.0,48.6666666667,28.5555333334,27.6666
187.91,24.3011333333,-47.5267999999,33.1181333335,36.7742,24.5161333333,36.3440666667,37.4194000001,63.8710000001,38.0643333333,23.0107999999,8.81713333333
188.29,-20.4166666667,-170.0,-14.1666666667,1.25000000014,-30.8333333334,-14.1666666667,-11.6666666666,37.9166666667,-5.41666666654,-42.0833333333,-59.5833333333
188.67,-633.333333333,-1833.33333333,-506.666666667,-533.333333333,-816.666666667,-606.666666666,-876.666666666,-139.999999999,-676.666666668,-756.666666666,-1153.33333333
189.05,36.889,-133.7778,23.5556,35.1111333333,-35.5556,12.8889333335,-27.1109333331,86.2222000001,11.1111333333,-1.33340000006,-45.7777999999
