wavelength,Back_PipMelm,Belly_PipMelm,Breast_PipMelm,Crissum_PipMelm,Crown_PipMelm,DorTail_PipMelm,Patch10_PipMelm,Patch11_PipMelm,Rump_PipMelm,Throat_PipMelm,WingTip_PipMelm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,40.0000666665,-68.8888666667,8.8889333334,-48.8888666666,22.2223333334,102.222133333,-95.5556000001,99.9999999999,-66.6666666666,-31.1111333333,175.555533333
179.16,285.0,145.0,188.333333333,295.0,213.333333333,276.666666667,203.333333333,250.0,225.0,326.666666667,318.333333333
179.54,84.4444000002,266.666533333,126.666733333,195.5554,271.111,146.6666,84.4444666667,206.666733333,137.777733333,124.444333333,135.555666666
179.93,-90.0000666668,-32.2224,-43.3333333334,6.66679999994,-14.4444666667,-74.4443333333,-92.2222000001,-123.333466667,-5.55553333334,-66.6665333334,-50.0
180.31,196.923133333,76.4101333332,129.487333333,85.6410666665,83.8461333333,190.0,105.128133333,227.9488,93.8462666666,190.512866667,221.282
180.69,167.5676,78.9189333333,124.504533333,94.4144666667,84.1442,165.585666667,101.621533333,195.495466667,92.4323333335,163.6036,176.216266667
181.07,174.210466667,85.0878666667,132.4562,101.7544,85.7894666667,171.0526,125.2632,197.193,107.719266667,180.8772,172.456
181.45,136.2118,74.3939333333,111.3636,68.1818,63.9394,139.090933333,97.1211999999,175.454666667,80.9092000001,149.696866667,135.303066667
181.83,153.1818,100.454533333,126.515133333,87.2727333334,84.9999999999,159.999866667,112.8788,204.090933333,92.7272666667,165.606133333,156.0606
182.21,121.699333333,80.1306666667,103.529466667,73.2024666667,69.5425999999,127.058933333,82.2222666666,169.542466666,73.3334000001,139.999866667,128.366066667
182.59,122.091533334,76.8628000001,111.241866667,71.5032666667,64.3136666667,126.013,72.4183333333,161.045733333,68.7581333335,139.608,131.634
182.97,98.5185999999,62.5396666667,86.5607333334,63.9153333333,58.4128000001,103.0688,62.4339333333,131.428466667,59.1534666667,111.851733333,105.925933333
183.35,85.8534666667,59.8374666667,74.0650000001,57.4797333334,52.2763333333,84.3902,56.5854,103.0082,52.1138,97.5608000001,93.7398666667
183.73,79.1333333334,60.2,71.9333333333,56.1333333333,47.4666666667,74.1333333333,54.3333333333,94.5999999999,47.0666666667,87.9333333333,83.3999999999
184.11,73.0275333333,55.7188666667,64.2201999999,52.4158666667,39.8776,71.6208,55.1070666667,86.6668000001,43.6696666667,78.5932,76.4525333333
184.49,78.1982666667,56.9369333333,65.2252,52.1922,40.6004666667,73.033,58.7988,89.3692666667,43.964,75.9158666667,75.5556
184.87,71.2027333333,46.5979333333,52.6459333333,41.1684,28.385,61.9244666666,48.3848666667,80.2750666667,32.4398,67.5600666667,74.5705333334
185.25,73.1251333333,47.361,50.2084,41.4583333333,21.8749333333,56.1806,43.8888666667,77.2222000001,29.2361333333,62.986,76.3888666667
185.63,70.4065333333,39.2682,46.179,34.0651333333,9.51226666668,47.6422666667,41.2193333333,62.6828666667,21.2195333333,53.3332,72.7643333333
186.01,73.835,37.491,44.301,35.2688666667,11.1827333333,49.1039333333,36.4874,59.2833333333,23.9425333333,52.975,67.7418
186.39,73.8462,34.3589333334,37.8022666667,30.696,6.00753333334,47.0331333333,29.7436666667,52.6008,18.8277333333,44.5421333333,69.4505333333
186.77,69.3938666667,37.3940666667,30.3636,35.9998666667,10.7878,46.8484666667,35.2122,51.3938666667,26.1818,43.1515333334,64.7272666667
187.15,88.7234666667,49.2906666667,39.7870666667,44.7517333333,15.6028666667,59.7162,43.7588666667,60.8511333334,34.8936,51.7730666667,83.9716666667
187.53,134.111133333,66.111,48.7777333333,57.3332666666,13.8888666667,78.9999333333,51.3334000001,83.7776666668,39.1111333334,64.8888,113.555666667
187.91,208.602133333,66.6666,40.4302000001,72.9032666667,-12.6881333334,109.462266667,52.6881999999,103.010666667,26.8816,81.2904000001,183.225933333
188.29,332.916666667,36.6666666667,1.25000000006,71.6666666665,-80.8333333335,120.833333333,27.0833333333,125.0,-35.4166666667,84.9999999999,259.583333334
