wavelength,Back_PlaCraf,Belly_PlaCraf,Breast_PlaCraf,Crissum_PlaCraf,Crown_PlaCraf,DorTail_PlaCraf,Rump_PlaCraf,Throat_PlaCraf,WingTip_PlaCraf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,127.916666667,100.0,134.166666667,116.666666667,122.708333333,150.833333333,119.166666667,96.1111111112,154.166666667
179.16,-302.222266667,-293.333266667,-171.111,-281.9445,-232.222183333,-380.000066667,-177.777733333,-192.592466667,-233.3332
179.54,226.666666667,433.333333333,370.0,381.25,427.5,566.666666667,450.0,194.444444444,396.666666667
179.93,-73.3333333334,126.666666667,-253.333333333,429.166666667,-26.6666666666,106.666666667,166.666666667,-33.3333333326,246.666666667
180.31,112.704466667,113.207533333,89.3710666665,132.390166667,108.836533333,139.371133333,100.125866667,97.0649555556,117.106933333
180.69,110.925866667,106.2964,89.3209666667,138.502791667,118.17905,133.827133333,97.1605333333,92.7161555555,120.246866667
181.07,107.441933333,98.1396000001,77.6743999999,141.085166667,121.39545,134.418666667,85.4263999999,91.8346222222,120.775333333
181.45,77.6101000001,75.5975333334,62.0756333333,103.144625,93.0187333335,95.7232666667,61.6351999999,79.2035777779,93.0818666667
181.83,77.4317666667,71.4756666666,53.1147333333,101.366041667,83.6338333333,79.1258,54.9727333333,82.0766666665,81.3116
182.21,71.0647333333,62.7777333333,47.7777666667,83.4489583333,76.9908666667,70.8333333333,41.9444666667,74.7839555556,69.3518666667
182.59,63.6398333333,60.6130666666,43.3335,80.6513749999,69.2529333333,67.2798,44.2145333333,67.6884666665,59.8468
182.97,62.0666666667,53.0,48.8333333333,77.8749999999,67.55,66.0,48.0666666667,71.8222222223,59.8666666667
183.35,52.8383666667,49.1090666666,44.9504666667,67.6978749999,65.00005,61.056,43.6964,72.9150222221,54.9834666667
183.73,37.7084,35.9720666667,29.5140333333,51.5191249999,55.13885,45.2778666667,24.5832666667,59.2360666667,41.7362
184.11,31.6909000001,42.1256666667,26.2317666667,61.4130833334,66.6426333334,49.855,19.4202666667,59.6779111111,43.3816666667
184.49,27.0622333333,48.0226,18.1921333333,59.0393749999,71.4971833333,50.1695333333,6.32766666668,54.1620000001,43.0508666667
184.87,33.9663333333,47.5950000001,21.6034,51.4239583332,57.3839833333,55.4432,15.7806666667,58.4811999999,44.6414
185.25,26.2803333333,54.2994000001,15.0242,53.2609166667,54.6375333333,57.6811333333,14.2996,63.9612888889,41.3527333333
185.63,32.2563999999,57.8460666667,18.1538,67.9487499999,60.923,62.6666666667,24.8205333333,65.7777555555,48.5128
186.01,2.98246666666,31.462,-5.5555,39.6930833334,38.56715,46.9004,-2.92393333333,44.3665111111,30.4092666667
186.39,-9.6825333334,30.7938666666,-17.3809333333,43.7500833333,37.7382166667,50.3174,-14.2858666667,53.2276000001,31.2698
186.77,-14.5299000001,30.9402000001,-21.1110666667,33.2263749999,32.5640666667,42.7351333333,-29.0598,42.9629555555,26.4958000001
187.15,-60.6451,11.6129333333,-68.7096333334,9.54283333333,10.6989666666,16.7742,-74.8387999999,4.65964444444,-12.2580666667
187.53,-105.941966667,-14.4928666666,-131.159433333,-15.760875,-19.7825500001,-25.5073333333,-118.840466667,-37.2949111111,-40.8695999999
187.91,-1189.99996667,-606.6666,-1366.6667,-500.0,-666.666799999,-684.444333334,-1184.44446667,-449.629733333,-782.222399999
188.29,-179.166666667,-104.666666667,-204.833333333,-61.6666666666,-109.333333333,-100.666666667,-182.666666667,-49.7777777778,-121.666666667
188.67,1149.16666667,771.666666666,1276.66666667,541.666666667,882.916666665,715.000000001,1136.66666667,492.222222222,889.999999999
189.05,254.782433333,167.5362,266.231933333,128.985583333,208.6957,180.5796,238.260866667,145.797222222,216.5216
189.43,240.317566667,147.618933333,247.7777,94.8413749999,190.793533333,192.063466667,229.523733333,142.222222222,215.2382
189.81,208.279566667,147.7418,200.8602,96.1020833333,152.419183333,168.172066667,197.204333333,131.756133333,180.430133333
190.19,162.261933333,117.142733333,179.642866667,47.7679583334,101.428516667,140.238066667,168.5714,97.4603555556,149.523733333
190.57,123.981633333,90.7405333333,127.4074,32.5230833333,74.0276999999,102.592466667,124.629533333,82.5925777778,121.481666667
190.95,111.111,98.8890666667,132.666666667,4.44458333325,59.0000499999,86.2220666668,125.777666667,55.1852666667,107.111066667
191.33,70.5126999999,56.6666666667,99.1024333333,-49.0384583334,25.3845999999,56.9230666667,89.2306666667,11.7949333333,61.0256000002
191.71,42.6984333332,46.9842666666,86.6666,-105.555458333,10.0793166667,45.3967333334,89.2062666667,-13.4392666667,51.4287333333
192.09,-0.74059999986,33.7037999999,52.0370666667,-176.157541666,-26.9444,17.0368000001,65.9259333333,-53.8273111112,11.1110666667
192.47,16.6668000001,65.7777333334,61.2223666667,-66.8055000001,19.1112,41.5554666667,58.2222666667,-10.8888888889,35.3332
192.85,18.6666,120.000133333,113.5556,-141.38875,26.7776833333,74.2222666667,88.4445333335,-59.2590888889,64.4445333333
