wavelength,Back_PlaCram,Belly_PlaCram,Breast_PlaCram,Crissum_PlaCram,Crown_PlaCram,DorTail_PlaCram,Rump_PlaCram,Throat_PlaCram,WingTip_PlaCram
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,103.75,142.5,205.833333333,125.833333333,114.166666667,144.215686274,147.5,140.833333333,118.75
179.16,-224.444366667,-251.111066667,-252.2223,-237.777833333,-206.6668,-218.823454902,-271.851833333,-122.222533333,-221.111133333
179.54,293.333333333,576.666666667,350.0,421.666666667,483.333333333,450.882352941,468.333333333,261.666666667,335.0
179.93,326.666666667,206.666666667,93.3333333334,320.0,-6.0002491864e-11,314.901960784,284.444444445,196.666666667,216.666666667
180.31,109.874266667,138.113133333,131.949533333,119.2454,107.798733333,155.571605882,122.012722222,96.2265000001,82.5786999999
180.69,110.0617,144.444466667,133.518666667,124.753,111.851733333,160.577503922,124.6091,93.6418333334,84.6295333334
181.07,110.0001,142.170666667,124.6511,124.6514,109.6124,166.931092157,123.798366667,81.0851666666,75.1937666666
181.45,88.9937000001,109.433933333,100.628833333,95.0314333333,85.6604,133.440731372,96.8762555556,65.0314666666,55.2829333333
181.83,79.6721666667,89.0711333333,94.5900333334,82.7869666667,72.6776,120.144813725,87.0675000001,62.2950333333,48.9070666666
182.21,63.8425666667,74.5372,83.75,66.2499666667,61.1109999999,103.57837451,74.5215666667,54.4906999999,41.0185333333
182.59,64.1762666667,64.9042666667,79.3103666666,61.6474666667,64.1379999999,93.3943000001,74.7766,57.7776666667,50.2299666667
182.97,69.3666666667,65.9333333333,70.5666666666,64.0,63.0,83.5156862745,75.3666666667,60.1,51.9000000001
183.35,66.1055,59.9339333334,66.0725666666,63.8942333333,61.5180666666,83.4323764706,73.1352333334,58.1847,49.5707333333
183.73,50.3473,45.1388,54.8265,52.1874,48.0555999999,73.2638392157,60.139,42.3265333333,36.4931
