wavelength,Back_PooCaem,Belly_PooCaem,Breast_PooCaem,Crissum_PooCaem,Crown_PooCaem,DorTail_PooCaem,Patch10_PooCaem,Patch11_PooCaem,Rump_PooCaem,Throat_PooCaem,WingTip_PooCaem
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,441.666666667,433.333333333,466.666666667,441.666666667,600.0,741.666666667,300.0,650.0,741.666666667,183.333333334,291.666666667
179.16,-30.0925925926,-41.6666666667,-37.5,16.6666666668,-120.833333333,-104.166666667,95.8333333332,-91.6666666665,-204.166666666,104.166666667,49.9999999998
179.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180.31,431.766222222,308.9745,237.1795,432.051333333,707.692333333,644.871666667,274.359166667,661.5385,787.179666666,161.5385,364.1025
180.69,650.694444445,420.833333334,312.5,689.583333333,1143.75,1002.08333333,352.083333333,1004.16666667,1281.25,135.416666667,512.5
181.07,493.621296297,305.555666666,172.222333333,494.4445,914.815000002,759.259166667,238.888833334,733.333333333,1033.3335,53.7036666667,403.703666666
181.45,420.164666667,227.777833333,83.3333333332,455.555666667,824.073999998,688.888833333,222.222166667,612.963,914.8145,-7.40733333335,346.296166666
181.83,290.856481481,162.5,130.208333333,335.416666666,504.166666667,443.75,197.916666666,380.208333334,557.291666667,39.5833333333,243.75
182.21,209.259259259,134.666666667,108.666666667,232.666666667,323.333333334,289.333333333,161.333333333,251.333333334,358.666666667,44.6666666667,164.0
182.59,152.804314815,91.4286666667,98.5713333333,167.143,226.190333334,207.142833333,119.0475,194.761833333,247.618833333,18.5716666666,109.524
182.97,100.02912963,67.9688333334,79.4271666667,107.031333333,140.885666667,131.5105,79.4271666668,130.729166667,148.698166667,30.2081666667,80.4688333334
