wavelength,Back_PooCinf,Belly_PooCinf,Breast_PooCinf,Crissum_PooCinf,Crown_PooCinf,DorTail_PooCinf,Patch10_PooCinf,Rump_PooCinf,Throat_PooCinf,WingTip_PooCinf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,101.388888889,152.5,188.333333333,193.333333333,186.666666667,160.0,120.0,117.222222222,121.458333333,133.333333333
179.16,-157.777777778,-466.666666667,-586.666666667,-646.666666666,-620.0,-520.0,-440.0,-388.88888889,-453.333333334,-260.0
179.54,-18.0555555556,-14.5833333333,-51.6666666667,-37.5,-49.1666666667,-23.3333333333,-19.1666666667,-18.0555555556,-28.0208333333,-7.49999999998
179.93,426.666666667,456.666666667,533.333333333,513.333333333,620.0,433.333333333,613.333333333,373.333333333,575.0,486.666666667
180.31,-211.637433333,-275.6141,-329.2982,-303.5088,-353.684133333,-344.5614,-319.298266667,-228.654977778,-303.421116667,-281.052666667
180.69,-232.5926,-301.2962,-370.3704,-334.074066667,-384.444466667,-390.3702,-355.555533333,-243.086422222,-349.907208333,-312.222266667
181.07,-199.7883,-248.571433333,-306.825366667,-280.634933333,-320.000133333,-353.015866667,-304.7618,-203.280422222,-306.984225,-271.111066667
181.45,-167.922788889,-199.1304,-256.231933333,-223.7682,-262.029066667,-303.768066667,-264.637666667,-170.531444444,-265.036325,-227.826066667
181.83,-155.512666667,-171.922933334,-228.205066667,-196.923,-227.179466667,-276.410266667,-238.4616,-156.495755555,-238.237158333,-216.6666
182.21,-83.6951555555,-88.5270333334,-124.4185,-102.015666667,-118.1396,-155.814,-131.628,-82.9973777779,-131.937983333,-120.620266667
182.59,-48.7675333333,-46.7878999999,-73.4545666665,-54.3031333332,-65.8181333333,-98.3031999999,-80.6060666667,-43.8788,-85.54545,-75.1514666667
182.97,-33.0508222223,-29.7172999999,-52.8813333333,-37.9660666668,-42.9377333333,-78.6442,-62.9377333334,-31.7137777778,-63.0508916667,-57.74
183.35,-36.0888888888,-30.7333333333,-55.8000000001,-41.4666666667,-41.3333333332,-83.0666666666,-70.8,-37.4666666667,-68.0,-63.3333333333
183.73,-49.9706666667,-39.1229,-66.4912666665,-55.6139999999,-44.0349999999,-102.807066667,-99.6490666667,-52.1052888888,-84.6709916667,-81.0526666667
184.11,-53.7891444444,-41.7948666666,-67.3504999999,-62.5640666667,-48.2051333335,-104.786266667,-105.641,-59.2592222223,-83.5042666667,-94.0170666667
