wavelength,Back_PooCinm,Belly_PooCinm,Breast_PooCinm,Crissum_PooCinm,Crown_PooCinm,DorTail_PooCinm,Patch10_PooCinm,Rump_PooCinm,Throat_PooCinm,WingTip_PooCinm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,205.0,283.333333333,333.333333333,288.333333333,260.0,223.333333334,280.0,313.888888889,342.5,325.0
179.16,-966.666666667,-1046.66666667,-1040.0,-1146.66666667,-1060.0,-806.666666666,-906.666666667,-1191.11111111,-1133.33333333,-1160.0
179.54,-96.6666666667,-115.0,-119.166666667,-102.5,-116.666666667,-102.5,-89.1666666667,-88.0555555555,-137.5,-107.5
179.93,960.0,1013.33333333,1240.0,1126.66666667,1280.0,1320.0,1006.66666667,946.666666667,1286.66666667,973.333333332
180.31,-531.228133333,-609.8246,-672.280733333,-571.929733333,-620.701733333,-542.807,-573.333266667,-612.514577778,-701.227966667,-572.631466667
180.69,-599.999933333,-697.407333333,-766.6666,-648.518466667,-711.8518,-599.259266667,-647.4074,-701.111177778,-801.296266667,-652.963066667
181.07,-515.873,-596.1906,-653.650733333,-546.6666,-606.349266667,-526.666733333,-544.126933334,-596.084644445,-674.920633333,-541.5874
181.45,-450.4348,-525.797066667,-593.0434,-465.797133333,-529.565266667,-476.5218,-482.029133333,-512.173955556,-598.260833333,-463.768133333
181.83,-391.025666667,-469.2308,-521.282133333,-410.5128,-466.410266667,-424.615333333,-430.2564,-451.7094,-523.333233333,-413.333333334
182.21,-215.348866667,-273.178266667,-298.759733333,-229.922333333,-267.4418,-237.209066667,-244.496,-261.912155555,-299.224833333,-235.193933333
182.59,-147.2728,-189.4546,-210.424266667,-156.606066667,-184.2424,-162.1818,-169.6968,-181.898955556,-210.7273,-162.424333333
182.97,-127.457466667,-156.6102,-182.033933333,-130.2824,-154.350266667,-132.8814,-141.355933333,-153.973666667,-182.146966667,-139.661133333
183.35,-147.6,-177.466666667,-212.133333333,-146.0,-179.066666666,-148.0,-159.2,-180.711111111,-206.2,-165.066666667
183.73,-184.9122,-232.631666667,-266.6666,-184.912266667,-242.631733333,-188.771933333,-194.2106,-236.198844445,-268.070133333,-212.982533333
184.11,-181.5386,-233.333266667,-262.735,-188.034133333,-243.077,-186.837533333,-179.145333333,-234.074133333,-268.4615,-210.2564
184.49,-172.806933333,-228.771866667,-258.947333333,-186.3158,-237.8948,-181.929733333,-165.613866666,-218.304066667,-262.456133333,-199.999933333
184.87,-98.3950666667,-135.308733333,-160.9876,-108.148266667,-142.469133333,-110.370333333,-92.2222000001,-130.411444444,-163.8273,-119.259266667
