wavelength,Back_PooHism,Belly_PooHism,Breast_PooHism,Crissum_PooHism,Crown_PooHism,DorTail_PooHism,Patch10_PooHism,Patch11_PooHism,Patch12_PooHism,Rump_PooHism,Throat_PooHism,WingTip_PooHism
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,28.0000000001,64.0000000001,53.3333333333,74.6666666665,51.9999999999,66.6666666666,-17.3333333335,55.9999999999,79.9999999999,9.33333333333,32.0,69.3333333333
179.16,-60.0000666667,-19.9999333333,40.0000666667,11.1111333333,37.7778666665,11.1111333332,-73.3334,-55.5555333336,44.4444,-117.7778,-82.2223333333,-26.6666666665
179.54,-175.555466667,-122.222266667,-113.333333333,-15.5555333334,-39.9998666667,-119.999933333,-131.111266667,-148.888933333,-53.3334666665,-288.8888,-197.7778,-128.888866667
179.93,237.7778,284.4444,228.8888,177.777733333,217.7778,248.888933333,280.000066667,299.999866667,235.555533333,326.666666667,388.888866667,228.888933333
180.31,5373.33333334,4893.33333334,4086.66666667,2693.33333333,3933.33333333,4120.0,5146.66666667,5473.33333333,3300.0,6846.66666667,6426.66666667,4540.00000001
180.69,-857.777733332,-808.888866667,-644.444533333,-391.111066667,-605.555600001,-662.222333333,-841.111133335,-894.444399999,-524.444466667,-1115.55553333,-1056.66673333,-722.222266667
181.07,-2893.33333333,-2896.66666667,-2233.33333333,-1470.0,-1996.66666667,-2323.33333333,-2833.33333333,-3093.33333333,-2063.33333333,-3750.0,-3606.66666667,-2570.0
181.45,2983.33333333,2953.33333333,2406.66666666,1383.33333333,2036.66666667,2263.33333333,2780.0,3120.0,2200.0,3763.33333333,3616.66666667,2660.0
181.83,2026.6666,2100.0,1606.6668,993.333333333,1464.44446667,1453.33333333,1888.88886667,2133.33333333,1604.44446667,2328.88886667,2457.7778,1848.889
182.21,-831.428533335,-822.857066667,-639.047733333,-368.5714,-586.666733333,-552.381133333,-745.714466667,-821.9048,-614.285666667,-942.857066667,-960.952533333,-745.714200001
182.59,-760.0,-750.833333333,-584.166666667,-413.333333333,-532.499999999,-537.5,-721.666666666,-795.000000001,-565.833333333,-874.999999999,-857.499999999,-713.333333333
182.97,-428.2052,-433.333333333,-326.153933333,-234.871933333,-289.7436,-318.461466667,-408.205133334,-481.025733334,-306.666466667,-507.179466667,-492.820533333,-401.538466667
183.35,-267.333333333,-263.666666667,-195.0,-138.0,-162.0,-195.666666667,-233.333333333,-286.0,-174.0,-314.333333333,-296.0,-230.0
183.73,-117.657733333,-111.711666667,-67.3872666667,-48.4684666666,-50.2702,-69.1891333333,-93.3333333333,-122.342266667,-69.7298666667,-135.1352,-125.946,-83.7836666665
184.11,-68.7407333333,-61.0372,-24.4445333333,-15.8518,-5.9258666666,-23.8518666667,-46.9630666666,-66.8146666666,-32.0,-75.7036666666,-74.9629333335,-34.2222666667
184.49,-31.4814666667,-23.3334000001,4.19766666666,13.8272,25.926,6.91353333333,-10.2467333333,-25.679,-4.56779999999,-37.4075333334,-32.5927333332,2.22219999993
184.87,-23.9766,-16.7252,12.0466666667,16.4910666667,34.8536666667,21.4034666667,3.62573333334,-14.0351333332,7.36846666666,-23.7427333333,-21.1696000001,9.70753333342
185.25,-22.6880666667,-18.4946666667,8.81726666665,13.1182,28.4946666667,21.6128666667,7.52693333332,-13.9785333333,10.1074,-19.4622666667,-15.5914666667,10.1074666667
185.63,-15.8584666667,-21.2122,9.09093333333,6.56566666667,22.3232,19.7980666667,6.16153333333,-17.3737333334,7.67679999999,-19.3939333333,-11.111,11.7172
186.01,5.8876,-3.37673333333,22.3376666667,19.7402,35.671,30.6494,18.5282,2.16453333333,22.5108666667,-4.41566666667,7.96540000001,30.8224666667
186.39,11.6455333333,-1.09706666665,27.5105333333,21.5189333333,40.422,34.4304,20.1688666667,6.16039999998,22.2784666667,1.85660000001,15.3586666667,36.8776666667
186.77,26.9048666667,8.65086666668,36.6666666667,36.4284666667,50.8729333334,48.4922,30.4761333333,23.1746,29.1270666667,16.5872666667,29.0476666667,47.9364666667
187.15,37.7778,21.0753333333,45.018,45.5196,59.6416,59.57,37.9929333333,32.9032,35.8422666667,28.1003333333,41.6488,57.8494666666
187.53,43.2558666666,18.9146666667,51.7829333333,46.4341333333,65.0388,68.6046,40.3875333334,34.7286666667,39.0698,31.2402666667,45.4263333333,62.9458
187.91,38.7387333333,5.22513333334,45.8559333333,39.9999333333,62.883,69.3694,37.2972666666,27.9279333334,30.7205333333,25.7657333333,39.0991333333,62.6126
188.29,33.4166666667,-2.91666666668,41.3333333333,30.5,53.6666666667,61.1666666667,30.1666666667,22.4166666667,23.9166666666,19.8333333333,31.75,54.9166666667
188.67,20.7070666667,-27.4747333333,36.8686666667,17.4747333333,42.6264,59.5960666667,18.1818,10.9091333333,11.111,11.7172,18.9898666667,49.1918
189.05,19.8067333333,-22.4154666667,39.7102666667,24.3478,39.4203333333,58.2608666667,16.1352,13.43,10.7245333333,7.14979999999,18.7438666667,54.2994666666
189.43,40.4301333333,-5.37633333335,63.9784666666,45.1613333333,59.8925333333,82.9032,36.0214666667,36.5591999999,26.1291333334,26.3442,37.8494,77.4193333333
189.81,49.9370666667,-0.37726666666,79.4968666667,59.2453333333,80.8805333333,100.377333333,51.0692,54.088,34.2137999999,36.3521999999,44.9056,99.7484666666
190.19,37.3684,-21.9298666667,84.2104666666,49.1227333333,88.4211333335,112.456066667,52.6314666667,59.4736666668,21.0525999999,24.5613333334,37.3684666667,107.3684
190.57,48.3872000001,-43.2257333332,101.290133333,50.7527333333,109.462266667,138.9248,75.9141333333,71.3979333333,23.0108,29.0322666667,40.2150666666,129.462333333
190.95,12.9293333333,-62.4242666667,67.4747999999,16.5656666667,74.1413333334,100.403933333,53.7374666667,45.2526,-2.02026666674,5.05046666665,11.7172000001,96.7678666667
191.33,-76.4444,-245.777733333,35.5555333333,-79.1110000001,47.5556666667,85.7779333334,11.5555333333,19.5555999999,-127.111133333,-104.000066667,-101.3334,96.8888666667
191.71,-11.9444,-120.5556,40.2777333333,-13.0555333333,53.0556666667,70.0000000001,29.1666000001,42.2221333333,-61.9445333333,-40.8334,-36.3889333333,93.0555999999
192.09,28.8288000001,-44.5045333333,57.8378666667,33.3332666667,60.5406666666,71.3513333333,54.5945999999,65.0449333333,-1.08120000001,0.36033333328,25.4053999999,98.3784000001
192.47,52.5926666667,-12.2965333333,72.8888666666,56.4444666667,67.9999333334,83.8518666667,73.9258666667,79.8518666667,28.5925333334,23.8518666666,54.5185999999,110.518533333
192.85,71.7828666667,-6.66659999998,80.6202666666,59.6898666667,80.0000000001,83.4108666667,84.186,92.0931333332,37.2094000001,30.6977999999,64.3410666667,128.217066667
193.23,80.3419999999,-10.9402,80.3418666667,52.9915333333,85.2990666667,76.4102666667,91.7948666666,97.0938666665,29.5726000001,38.6325333334,75.3845333333,135.213666667
193.61,64.3478666666,-8.55060000001,66.087,38.4059333333,72.4637333333,53.4782666666,76.8114666666,80.2898000001,25.7971333334,35.7971333333,65.9420666667,116.3768
193.99,58.5415999999,8.64600000001,65.6249333333,37.7082666667,69.5834666667,48.0209333333,71.1458666667,74.4793333333,35.4166666667,46.3543333334,58.4374666667,95.4168000001
194.37,62.4074,18.1482666667,68.4259333333,43.8889333333,71.2035333333,48.7963333333,73.8889333334,74.4443999999,38.3333333333,53.6110666667,59.7222666667,93.9814000001
194.75,57.9116,26.3453333333,60.8835333333,43.0522,68.7549333334,43.6145333333,68.9959333333,68.7551999999,38.0720666667,53.9758666666,55.8232666667,89.6385333334
195.13,76.1181999999,38.5654,78.5654000001,54.4303333333,84.2194,59.3247333334,84.8944666667,84.0506666668,54.0084000001,68.4387333333,72.5737999999,112.0676
