wavelength,Back_PooMelf,Belly_PooMelf,Breast_PooMelf,Crissum_PooMelf,Crown_PooMelf,DorTail_PooMelf,Patch10_PooMelf,Rump_PooMelf,Throat_PooMelf,WingTip_PooMelf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,-0.416666666666,-0.83333333334,15.0,-13.3333333333,-7.50000000001,-0.694444444426,-40.0,9.16666666667,-10.0,21.2499999999
179.16,137.407455555,66.6666333332,68.8888666666,13.3334000001,159.999933333,119.629664445,126.6666,113.333333333,62.2222,92.2221666667
179.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179.93,31.4286111111,-21.9048,31.4285333333,22.8570666667,-37.1428666667,6.50790666674,-7.61893333334,-62.8571333333,-5.71413333332,0.952233333326
180.31,61.0928666668,33.7159,44.6994666667,21.4207333333,35.8470666667,50.93986,32.2404,24.0437333333,7.104,78.7430666666
180.69,59.9304444444,34.7394666667,39.6872666667,18.5414666667,32.3956666667,47.9583555556,29.0622666667,22.8124,-2.29179999999,79.4268666667
181.07,67.6615999999,40.4477,42.7860000001,28.3582666667,41.6914666667,55.0148866667,42.6865333333,29.3533333333,1.98986666667,86.5173666667
181.45,75.1960666667,51.6667,49.5098,38.1372666667,48.7254,64.7516311111,52.7451333333,32.2548,4.01953333333,96.8628
181.83,63.6720222221,52.4391,39.4308666667,36.748,44.8780666667,56.4173688889,42.0324666667,26.6666666666,-0.244,86.9917666666
182.21,58.8389222221,52.9962666667,34.4568,35.7302,46.1424,53.8003533333,38.6516,34.4569333334,-1.648,83.1459666667
182.59,49.2741444444,43.9111,20.4445333333,25.4222,39.4664666667,41.8459222222,30.3110666667,19.8221333333,-21.6888,77.9555666667
182.97,42.9817888888,38.3544666667,19.4091333333,22.9536,33.5864666667,41.98032,31.8986666667,16.54,-19.9156,67.1731666666
183.35,34.5129666667,28.3951333333,10.0412666667,19.5060666667,26.2551333333,30.3978488889,23.2922,11.6049333333,-28.7242,52.8807
183.73,28.4616666667,22.1026333333,-2.35899999998,8.20500000002,18.1538666667,25.1009555556,18.6666,2.25633333332,-46.9744,43.3333333333
184.11,39.7311111111,38.2258333333,5.91413333336,18.9247333333,28.6022,35.2185822222,20.7526666667,9.3548,-43.7632666667,42.7420333333
184.49,51.9281333334,53.9707666667,21.7648,29.4118,42.0587333333,45.0619777778,34.5098666667,29.902,-27.3529333333,51.8136666667
184.87,45.7995111111,47.5203,19.6747333333,25.5285333333,38.943,37.27918,31.3822666667,28.1300666667,-16.9917333333,44.8779666667
185.25,33.0111444444,34.4443,-2.60873333334,5.31406666668,17.3912666667,17.7488022222,8.98540000001,6.86006666668,-37.6810666667,29.0821333333
185.63,28.7867,25.8237666667,-2.37553333335,4.36773333334,11.341,11.9795022222,2.8352,7.6628,-25.1340666667,23.9081
186.01,27.7911777778,24.553,-2.9268,1.78859999999,9.51206666667,6.11931333333,0.650399999999,7.31699999999,-32.3578,19.9593
186.39,40.5421999999,37.7380666667,10.873,12.0634666667,25.4762666667,17.1401333333,15.2381333333,17.2222,-16.508,36.4285666667
186.77,49.4840999999,54.7221333333,23.0951333333,28.3334,33.8095333333,31.4894977778,27.6190666667,31.2698666667,-3.33333333333,48.6905333333
187.15,43.9316555555,55.9404,14.9572666667,22.2222666667,27.0086,23.7521377778,20.3418,28.5469333333,-15.9829333333,47.2221666667
187.53,36.7949333333,50.2990333334,11.4530666667,11.1111333333,22.2222666667,16.0599111111,15.6409333333,19.9145333333,-20.9400666667,38.0769666667
187.91,28.7804000001,43.5365333333,0.813066666674,5.69106666667,16.0164666667,5.47137555556,-0.813133333333,14.2277333333,-26.8293333333,30.4066
188.29,28.4801000001,43.1800666667,2.68193333333,8.81213333333,20.7662666667,7.30781555555,1.2262,19.2337333333,-16.5517333333,34.6743333333
188.67,11.3472222222,29.0833333333,-17.5,-3.91666666666,3.91666666667,-13.6527777778,-21.0,-2.25000000002,-36.1666666667,19.6666666667
189.05,9.32702222228,29.3427,-21.5024666667,-0.469466666666,3.00466666668,-17.3396777778,-23.6620666667,-3.38026666667,-43.568,20.4225666667
189.43,7.40740000002,32.1777666667,-13.6,4.35546666667,12.0889333333,-11.2236577778,-19.1111333333,2.31106666665,-43.7333333333,21.3778
189.81,-3.19854444442,30.3032,-23.2324,2.72719999999,6.06080000002,-22.3604177778,-27.7775333333,-3.03039999999,-61.6159333333,15.5049666667
190.19,-19.9131,21.9789666667,-39.8956666667,-16.6664666667,-3.6458,-35.4409133333,-38.6458666667,-16.4583333333,-73.125,-1.45830000001
190.57,-41.9841222222,3.86909999994,-65.7141333333,-36.0715333333,-25.1191333333,-62.7420555556,-62.5000666667,-36.3095333333,-96.9045333333,-31.2498666667
190.95,-40.8113444445,1.21703333334,-62.0106,-37.1428,-22.8572,-63.1781466667,-60.7406,-36.1903333333,-76.6139333333,-37.9894333333
191.33,-43.8270222222,-1.26983333333,-63.2803333333,-37.0369333333,-23.9154,-66.6314422222,-67.7248666667,-40.5290666667,-77.1426666667,-45.8198666667
191.71,-50.2626111111,2.36366666674,-69.2121333333,-34.7878,-28.0,-77.3414022223,-77.8181333333,-40.4848666667,-74.6666666667,-40.6059666667
192.09,-44.2048333333,12.8759,-57.7778,-28.6274,-26.1438,-75.3899444445,-69.1501999999,-29.6731333333,-70.4575333333,-41.6340666667
192.47,-107.189533333,-15.1960666666,-124.5098,-82.3530666666,-79.4118666668,-156.797355555,-146.0786,-85.2941999999,-147.254733333,-115.490133333
192.85,-61.5431444443,31.2038666667,-72.7777333334,-38.3333333334,-29.6296666667,-101.419757778,-86.6666666666,-19.0741333333,-76.2962,-65.7407333333
193.23,-71.8181111112,35.2524999999,-68.6867333333,-49.2929999999,-27.0707999999,-103.582611111,-91.1109999999,-21.0101333334,-78.1818666666,-80.6060333334
193.61,-40.9840888889,71.6190666667,-33.1427999999,-15.6191333333,-0.761800000014,-71.0857444445,-59.2380000001,12.9524,-48.9524666667,-51.0475333334
193.99,-148.968188889,156.9047,-115.7142,-66.6666666666,-40.4762666667,-217.190486667,-173.3334,22.3810000001,-123.333266667,-175.714166667
194.37,-685.926022222,608.8889,-639.999933333,-224.4446,-326.6666,-1005.70359111,-868.889133333,82.222133334,-468.888866667,-971.111066667
194.75,428.412755555,-220.476033333,348.5716,231.428533333,245.714333333,482.254082222,452.380866667,38.0952666665,345.7142,503.8095
195.13,205.204633333,-39.2983000001,164.561466667,119.298266667,115.789533333,226.877202222,217.1928,43.1579333334,200.000066667,224.736833333
195.51,164.4443,-105.087633333,121.052666667,64.5615999999,40.3508666667,191.22808,157.543933333,-25.6140666667,129.824466667,184.385966667
195.89,189.925944444,-158.222366667,130.2224,57.3332666666,31.5555999999,207.24436,169.777733333,-70.2220666666,136.889,227.555733333
196.27,229.722222222,-79.7916666667,173.333333333,76.6666666667,77.4999999999,239.583333333,196.25,-20.8333333332,169.583333333,254.375
196.65,238.958333333,-87.0833333332,166.666666667,58.7499999999,69.9999999999,216.708333333,146.25,-40.4166666665,137.5,245.416666667
197.03,243.75,-65.2083333334,188.75,51.2499999999,81.2500000001,231.375,161.25,-9.58333333332,167.916666667,285.833333333
197.40,126.111111111,-27.2916666667,96.4583333335,29.1666666667,52.5000000001,128.076388889,103.541666667,8.54166666673,79.7916666667,157.708333333
197.78,106.0,-6.91666666668,84.6666666667,36.6666666666,53.6666666666,116.272222222,96.8333333334,22.1666666667,56.1666666667,143.916666667
198.16,136.111066667,21.1110333334,110.1586,82.6984666667,79.8413333334,140.290955555,136.984133333,55.2380000001,80.9524666668,174.841233333
198.54,169.932644445,26.7677666666,134.949466667,108.889133333,107.676866667,183.326555555,183.434466667,78.9899333333,97.9798666666,217.0706
198.92,162.028922222,-28.9853666667,130.145,80.2898666666,82.8986000001,205.169046667,209.275266667,51.0145333333,55.942,251.014433333
199.30,130.386488889,-58.4057333334,85.7970666668,55.6521999999,46.9564666666,153.449262222,169.565333333,33.6233333332,7.5362,205.0725
199.68,105.627144445,-19.2474333334,65.8064666666,47.5268000001,72.2579999999,138.3871,149.6774,51.6127999999,26.2364666667,159.4623
200.06,80.1709555555,9.8076666666,52.5640000001,43.3331333334,61.2820666666,102.807691111,109.615266667,52.9486666667,34.6154,120.641133333
200.44,71.3787,10.7407333334,40.8642666666,41.605,46.6668,93.1728933333,108.642066667,52.8395333333,21.8517333333,117.160633333
200.82,64.0495,4.14813333334,26.2222666667,33.3333333332,38.6666,98.4542222222,119.5558,52.4443999999,2.81486666672,129.703733333
201.19,67.7049111111,25.5191,33.2239999999,45.7923333333,44.2623333333,86.6157777778,105.901866667,54.7541333333,14.5353333333,109.726733333
201.57,77.9963555555,37.8140333334,44.8087333334,50.1639333335,53.2240666667,92.0984488889,115.1912,60.8742666667,22.1855999999,117.540966667
201.95,86.3148333334,38.9998333333,44.4444666666,49.7778000001,55.6666,91.5445177777,117.2224,62.5555999999,20.9999333334,120.388866667
202.33,83.9792555554,21.8604333333,20.3100666667,19.6900000001,38.2945333333,94.5373822222,119.2248,50.2325333333,-10.5426666666,123.953366667
202.71,59.1162222222,-10.6817333333,-22.7274,-27.5756666667,-6.06046666665,55.3433977777,76.818,15.3031333333,-45.7575333333,86.8938333332
203.09,68.9814111111,14.8333333333,4.4444,-3.88893333328,21.7777333333,57.6925755556,64.7779333333,28.7778666667,-11.6667333334,79.8889
203.47,71.0883555556,12.1089666667,1.08846666675,-18.5034000001,18.5034666667,60.0317355554,75.7824666666,21.7687333333,-28.5715999999,87.7551666666
203.85,75.8454333333,16.1594333333,1.30433333333,-18.1159999999,17.1015333333,51.3912444444,77.9711333334,14.9274,-33.7682,93.5506666668
204.22,98.5467888888,29.2307666666,10.0855333333,-8.54713333326,30.9402000001,66.4388333332,105.641066667,29.5726666667,-26.4956666666,101.3676
204.60,85.0150333335,1.71166666667,-4.86486666674,-36.5765999999,21.982,49.0270555556,75.3153333333,12.6125333333,-51.5316,81.6215
204.98,75.6313333334,1.96976666666,0.15159999986,-33.1818000001,14.8485333333,41.9848666667,60.7575999999,4.69713333334,-43.6364,71.2121333334
205.36,65.4970777778,-33.8596,-25.0877333331,-68.5963999999,-16.8421333333,20.1110977778,44.0350666668,-20.7018,-68.2455999999,62.2806
205.74,64.7811777778,-57.9798666667,-42.0201333333,-89.4948666667,-27.8788,22.4443177779,26.4647999999,-32.5251333333,-100.606066667,53.5352666666
206.12,48.6786666667,-46.0360333333,-40.3603333333,-84.3244000001,-33.1531333333,16.8409311109,-0.18033333334,-38.5585999999,-91.3514,46.7567
