wavelength,Back_PooNigf,Belly_PooNigf,Breast_PooNigf,Crissum_PooNigf,Crown_PooNigf,DorTail_PooNigf,Patch10_PooNigf,Rump_PooNigf,Throat_PooNigf,WingTip_PooNigf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,-8.00014277047e-11,22.8571333333,0.95246666666,4.76179999999,-34.2859,-16.1905999999,-17.1428666667,-24.4444888889,-54.2856,-25.7144
179.16,112.380933333,106.666666667,86.6666666666,102.857,74.7618666666,122.857066667,123.8094,119.682622222,95.2380666669,79.0475333334
179.54,-32.3808666667,-11.4285333333,-53.3333999999,3.80953333332,-23.8094999999,-28.5714,-19.0476666666,6.98408888888,-30.4762,-46.6666666667
179.93,48.0952666667,55.7142666667,7.14293333334,31.9048,42.381,27.6191333333,52.3808666667,45.3968222222,14.7619,46.6666
180.31,-17.7011333334,-8.50573333339,-80.6895999999,-29.4251333335,-59.6552333334,-6.4368,13.1034,-8.1992666666,-101.724166667,-31.2643333334
180.69,-23.2380666666,-15.8095333333,-75.2380000001,-30.6667333332,-65.0476666667,-5.52386666666,1.14286666672,-17.0794,-92.8570333333,-27.619
181.07,-32.0512,-33.3333333333,-112.820733333,-42.0514,-89.7434999999,0.769333333386,-3.3332,-28.7179555556,-108.5897,-32.3075333334
181.45,-90.6666666667,-124.0,-252.889,-134.222133333,-197.111166667,-64.889,-56.4444000001,-111.999977778,-243.333466667,-104.444466667
181.83,-213.333333333,-318.888933333,-638.888866667,-360.0,-496.1111,-180.000066667,-124.444466667,-357.037155556,-622.777800001,-296.666733333
182.21,162.5,217.083333333,302.916666667,204.583333333,248.333333333,132.916666667,113.75,202.222222222,286.458333333,177.916666667
182.59,101.720333333,133.763466667,175.268866667,124.516066667,140.752666666,85.5913333333,95.2688666665,142.652288889,159.4625,104.301
182.97,97.9710666667,158.2608,207.536133333,139.130533333,138.550666667,78.5506666667,94.4926666664,159.0338,173.768033333,87.2464
183.35,132.3078,279.487066667,324.6154,214.3588,221.0256,120.5128,160.5128,274.529844444,239.743633333,129.743533333
183.73,91.8749999999,141.041666667,152.916666667,125.625,120.104166667,91.875,100.208333333,159.444444444,133.333333333,90.8333333333
184.11,65.9259333333,112.777666667,126.8518,96.1112,101.1111,80.7407333332,88.1480666667,130.802533333,90.7406000001,71.4815333333
184.49,56.0416666667,101.25,132.5,88.75,99.1666666668,73.5416666666,97.2916666667,130.972222222,85.0,70.8333333333
184.87,34.0538666666,70.8108666666,101.441466667,59.4595333334,66.7567666667,46.6667333333,66.6665999999,100.060088889,54.6846666667,52.9730666667
185.25,55.625,87.0833333335,127.708333333,78.1250000001,78.1250000001,67.2916666668,89.3750000001,124.027777778,81.5624999999,69.7916666667
185.63,80.1906000001,92.3810666666,147.999933333,89.5237999999,80.5715000001,79.0475333334,107.809666667,135.1746,94.0000333334,79.2381333334
186.01,71.7574666667,78.4242000001,110.181733333,84.1211333333,69.8788,65.3334666666,91.8788666666,100.040288889,82.9698,60.7272666666
186.39,68.2144,75.3570666668,102.857133333,81.9048000001,73.0357,65.9524666667,94.5238,105.158733333,91.8450999999,68.4524
186.77,78.7880666667,85.0000666666,114.2424,96.5151333334,89.0908333334,77.4242,104.545533333,123.9394,115.075766667,77.1211333334
187.15,54.7619333333,57.8572000001,85.8331333333,64.4047333333,68.5713666667,57.857,79.5238000001,95.3969555555,86.4880333333,59.762
187.53,46.1537999999,39.7948666666,70.0512666667,47.9999333333,52.718,46.4615333333,65.7435333334,75.1453555556,70.1538666667,44.8206000001
187.91,45.7276666667,35.7746666666,67.9811999999,42.3475333333,44.9295666667,39.155,59.6244,64.6322666666,59.7652333333,39.7183333333
188.29,27.1052,15.9649333333,50.2632000001,30.3509333333,28.6841666667,25.2632,37.4561333333,49.0059111111,46.8859333334,23.6841333333
188.67,21.75,14.0833333333,43.5,31.0,23.75,23.5,32.9166666667,50.0,43.9166666667,15.4166666667
189.05,30.4762,25.2380666667,49.3197999999,42.5850666667,28.3332666667,36.1904666667,39.5238,53.1971555555,51.3265,24.1497333333
189.43,20.3810666667,15.1746,35.1746,35.3015333333,16.0636,25.4604,26.8570666667,40.4021555556,38.2857,15.9999333333
189.81,6.08699999999,3.98553333334,16.0145333333,26.5942,4.09416666668,13.4057333333,13.9855333333,28.9855111111,24.5651666667,1.30433333334
190.19,-14.5833333333,-16.0,-3.16666666667,3.33333333335,-17.8333333333,-5.66666666668,-5.16666666666,13.5277777778,1.66666666668,-18.0
190.57,-15.5555333333,-22.3931333333,-10.5129333333,-0.7692,-23.5042666667,-10.5128,-9.05993333334,9.85733333333,-9.10253333332,-23.7608666667
190.95,-19.3498,-27.3982666666,-16.6668,-9.5124,-32.1546,-15.4471333333,-14.5529333333,2.11373333334,-16.3008,-25.1219333333
191.33,-24.695,-35.6806666667,-26.5727333333,-13.7089333333,-40.7510999999,-21.5022666667,-21.5962666667,-2.78559999998,-23.6149333333,-31.7371333333
191.71,-11.8142666667,-22.6160666667,-15.4430666667,-1.77213333332,-30.6328666667,-15.8650666667,-8.7764,5.7944888889,-15.7805333333,-20.3375333333
192.09,-12.8205333333,-22.3932,-18.205,-2.99146666664,-28.9744333333,-18.2906666667,-11.3674666667,7.63524444444,-17.0085,-19.4870666667
192.47,-4.44466666667,-17.7777333333,-16.1352666667,1.83566666668,-30.2415,-18.8406666667,-4.92759999999,6.73097777778,-16.2318,-13.0435333333
192.85,-9.65806666666,-23.5897333333,-24.1025333333,-4.87193333334,-35.5983333333,-23.5043333333,-11.2820666667,-7.17948888891,-28.2906333333,-15.9829333333
193.23,-38.0677333334,-51.5941333334,-53.913,-29.4686666667,-62.2706000001,-54.0094666667,-30.5314,-29.3397333333,-58.6473666667,-39.0337333334
193.61,-32.7192666667,-41.4911333333,-47.1052666667,-22.8070666666,-54.7368666667,-46.2281333333,-23.8596666666,-26.0233333333,-52.5,-35.0
193.99,-24.8718666667,-38.547,-39.2308666667,-18.7178666667,-47.1793333333,-41.3676,-17.8632666667,-18.8035333334,-44.7436333333,-28.8889333333
194.37,-18.1892666667,-30.1234666667,-29.9587333333,-7.81893333335,-37.0369333333,-31.7696666667,-11.111,-11.0013555555,-36.6667666667,-18.6831333333
194.75,-25.8427333333,-32.4346,-33.3332666667,-12.2846666667,-36.9661333333,-33.0338,-13.4082,-14.7315555555,-37.3784,-24.869
195.13,-31.746,-38.8095333333,-40.0793333333,-12.9365333333,-41.4285,-37.4604,-15.5555333333,-18.4655333333,-45.9523666667,-33.8094666666
195.51,-17.5925333333,-19.5678666667,-18.8272,-0.18506666668,-24.5062333333,-19.8148,-2.65439999999,-3.90957777779,-26.0185666667,-16.4197333333
195.89,-17.7987333333,-14.4024666667,-15.7234,4.59133333333,-21.7609333333,-16.3521333333,-1.50939999999,-0.587066666666,-26.2578333333,-11.3208
196.27,-15.3802666667,-11.4035333333,-11.462,5.90633333333,-19.0936333333,-11.0526,0.40933333334,0.27286666668,-24.0643666667,-10.1169333333
196.65,-12.6287333333,-9.53933333332,-10.6233333333,4.76966666666,-19.1056666667,-12.2492,1.13826666666,5.83557777778,-22.6287333333,-11.5448666666
197.03,-2.62480000001,0.68246666668,-4.40953333332,11.6535333333,-8.92386666667,-3.98953333333,9.55400000001,16.2728444445,-13.7009,-2.72973333334
197.40,2.39793333335,5.22786666666,0.191866666667,10.7433333333,-6.37886666667,-0.1438,8.96873333334,14.6603111111,-11.3669,0.671399999986
197.78,-0.378333333328,3.97153333334,-2.31680000001,6.33566666667,-6.97406666668,-2.31686666666,8.65253333333,14.0898666667,-13.6643333333,-1.51306666667
198.16,7.73959999999,12.069,6.32166666667,13.2567333333,3.42899999999,6.05373333334,15.3256,20.0127777778,-3.69746666666,6.59013333333
198.54,8.14813333332,11.4619333333,4.17146666666,12.2028,2.06639999999,4.13259999998,14.7369333333,20.7537333333,-4.65886666666,6.35479999999
198.92,14.845,17.2868,9.61219999999,18.0620666667,4.9418,9.45733333333,19.8061333333,25.4909555556,1.06596666666,12.752
199.30,12.7309333333,16.2248,7.71093333334,16.8675333333,2.44973333332,7.34946666666,16.6665333333,23.8286,-1.32536666667,12.4096
199.68,12.2932,14.8464,1.27659999999,13.4752,-3.40433333334,4.44446666666,16.0757333333,23.8929333333,-5.57913333335,8.93613333334
200.06,12.3148666667,11.574,-1.01860000001,11.4816,-4.56013333332,3.7038,16.2963333333,21.2808444444,-3.17129999999,5.23160000001
200.44,8.4848,10.1516,-10.4545333334,8.1314,-9.26756666665,-1.66673333333,14.8484666667,17.0874222222,-8.25756666667,1.16160000001
200.82,6.19426666666,8.29393333334,-12.9659333333,4.82946666667,-9.97373333332,-3.72706666666,13.3334,10.6212888889,-10.1574333333,2.72966666668
201.19,5.61673333333,6.19420000001,-9.92119999998,3.25453333333,-9.94743333333,-3.04460000001,12.6508,5.93173333333,-9.92106666665,3.77939999999
201.57,12.8926,13.5537333333,-6.77686666667,10.4682666667,-1.18453333333,3.85679999998,21.4325333333,15.2249555556,-1.84580000001,10.799
201.95,19.4301333333,17.2650666667,-3.70359999999,13.6752,1.93736666666,6.09693333336,24.0456666667,19.2593111111,1.45306666667,13.7321333333
