wavelength,Back_PooOrnm,Belly_PooOrnm,Breast_PooOrnm,Crissum_PooOrnm,Crown_PooOrnm,DorTail_PooOrnm,Patch10_PooOrnm,Patch11_PooOrnm,Patch12_PooOrnm,Rump_PooOrnm,Throat_PooOrnm,WingTip_PooOrnm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,69.7222083333,102.77775,70.2778333333,87.22225,78.8889166666,86.9443750001,94.4444166667,103.3335,78.8888333333,91.6666666668,107.777916667,116.666833333
179.16,266.666666667,225.0,183.333333333,41.6666666667,108.333333334,-62.5000000008,316.666666667,-491.666666667,-125.0,-75.0,-49.9999999997,83.3333333333
179.54,63.6364166667,110.606,101.894125,90.909,99.2423333334,105.303166667,78.0304166666,151.515333333,99.2424166668,90.9090833332,109.8485,117.424166667
179.93,165.833333333,216.666666667,185.833333333,256.666666667,183.333333333,244.166666667,135.0,226.666666667,216.666666667,185.0,246.666666667,250.0
180.31,55.1811666667,83.0434999999,67.8622916667,78.62325,75.6520833334,86.1593333333,72.1015,99.4928333333,71.5218333333,87.6811666666,85.2174166666,94.4203333333
180.69,52.3855833333,79.38925,65.6171666667,74.7455000001,71.2468333333,79.3574166667,67.4935833333,93.8294999998,69.3384166667,82.3155,79.3257499999,90.2670833334
181.07,54.2690833333,82.2405000001,69.808625,75.683,73.2923333332,80.1914166666,72.1995,96.0383333334,70.2185833333,87.5000833333,81.6938333333,89.8222500001
181.45,56.1374166667,82.0384999999,68.384,72.0156666666,72.4661666666,74.66225,72.29725,87.4434999999,67.7365,83.5023333333,79.7296666666,86.54275
181.83,54.1379166667,78.90825,64.1090416667,66.5516666667,68.5056666667,68.563125,71.49425,80.1725,62.8160833333,81.6665833334,74.8850833333,82.4710833333
182.21,53.9954583333,77.911,64.7830833333,62.3288333333,67.637,65.2683333333,72.3174166666,78.0251666667,60.78775,80.4793333333,73.1165,81.6780000001
