wavelength,Back_PooTorm,Belly_PooTorm,Breast_PooTorm,Crissum_PooTorm,Crown_PooTorm,DorTail_PooTorm,Patch10_PooTorm,Patch11_PooTorm,Patch12_PooTorm,Patch13_PooTorm,Rump_PooTorm,Throat_PooTorm,WingTip_PooTorm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,-453.333333333,-346.666666667,-213.333333333,-288.771929824,-213.333333333,-200.0,-586.666666667,-80.0,-326.666666667,-356.666666666,-356.666666667,-473.333333334,-353.333333333
179.16,176.666666667,260.0,80.0,189.298245614,183.333333333,140.0,273.333333333,96.6666666668,166.666666667,230.0,173.333333333,283.333333333,273.333333333
179.54,25.9258,29.9999666667,41.4816666667,28.1870140351,25.1852,24.4445333333,38.5186666667,-4.44453333328,10.3704,46.2963,35.9259,68.1481333333,45.1851333333
179.93,176.666666667,149.166666667,161.666666667,123.859649123,190.0,165.0,165.0,151.666666667,193.333333333,212.5,174.166666667,206.666666667,310.0
180.31,700.952466667,694.761833333,666.666599999,558.49611579,713.333266667,678.095266667,896.190533333,329.523733333,544.761866667,674.761866667,586.190466667,755.238133333,1078.09526667
180.69,992.0,1068.0,1005.33333333,804.701754386,1010.66666667,1016.0,1300.0,471.999999999,741.333333333,908.666666668,832.666666667,1030.66666667,1604.0
181.07,433.999999999,463.333333333,465.333333333,317.789473684,449.333333333,468.0,593.333333333,185.333333333,297.333333333,391.333333333,340.666666666,434.0,756.0
181.45,237.193,247.543933333,267.719266667,162.677775439,248.772,260.7018,317.544,120.350866667,160.350733333,212.456033333,191.403433333,225.964866667,413.3334
181.83,244.210666667,272.631466667,273.684133333,171.0618,272.2806,282.1054,337.543866667,147.017533333,169.122933333,213.5089,206.491233333,213.6842,442.807
182.21,560.000066666,709.999966667,694.285733335,410.576449123,700.952466667,728.571466667,890.4762,327.619133334,409.523733333,465.238033333,490.9523,537.142866667,1125.7142
182.59,195.7576,270.303033333,258.1818,173.939350877,260.303,267.878733333,313.939466667,167.8788,167.8788,171.515133333,191.818266667,200.303,426.3638
182.97,185.833466667,254.1666,254.444466667,171.769073684,234.999933333,256.111133333,288.333466667,165.5556,151.388866666,152.9168,174.861133333,192.499933333,396.666666666
183.35,149.885,214.482666667,208.505666667,145.674484211,197.701133333,206.896533333,239.999866666,149.425266667,123.448266667,117.011366667,145.517233333,164.367733333,325.5174
183.73,104.696866667,165.909133333,152.4242,107.248754386,137.424266667,144.242466667,170.757533333,121.6666,97.2727333333,87.5000333333,113.106166667,110.757533333,222.7274
184.11,104.697,166.212066667,154.848533333,102.799052631,142.8788,149.848333333,168.6364,121.6666,99.3938666667,92.3483666667,123.409166667,109.848533334,219.5454
184.49,117.8946,181.929833333,165.789533333,107.3038,164.035133333,168.245666667,197.193,138.421066667,109.824666667,104.5614,141.2282,117.894733333,245.263266667
184.87,116.952333333,176.761866667,161.904933333,101.69422807,162.4762,166.095066667,203.047533333,140.000066667,115.809466667,113.237966667,147.1427,121.1428,245.142866667
185.25,135.862,221.724166667,189.655133333,121.488119298,194.023,196.092,241.839,176.321866667,141.609066667,129.769966667,173.448233333,142.988466667,296.5516
185.63,185.614066667,307.193033333,264.210466667,166.555775439,268.070066667,273.684333333,360.000066667,248.7718,202.456066667,164.912166667,247.3683,196.4912,424.9122
186.01,290.256266667,431.794866667,409.743733333,264.966308772,426.666666667,413.846133333,534.871733333,382.564133334,342.5642,275.384666667,380.000066667,307.179333333,612.3076
186.39,192.463733333,248.115933333,260.0,168.009087719,255.072333333,248.985466667,319.710066667,241.449333333,198.2608,194.637733333,243.913,179.4204,349.565133333
186.77,347.619,406.1905,465.2382,277.04257193,460.000133334,434.7618,551.428533333,411.428733333,348.5714,348.0952,417.142866667,292.381066667,544.285666667
187.15,1161.66666667,1415.83333333,1525.0,915.701754388,1706.66666667,1605.0,1945.0,1526.66666667,1236.66666667,1187.5,1487.5,1036.66666667,1878.33333333
