wavelength,Back_PooWhif,Belly_PooWhif,Breast_PooWhif,Crissum_PooWhif,Crown_PooWhif,DorTail_PooWhif,Patch10_PooWhif,Patch11_PooWhif,Patch12_PooWhif,Rump_PooWhif,Throat_PooWhif,WingTip_PooWhif
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,121.666633333,198.888933333,148.889,175.5556,190.000066667,174.444433333,165.555466667,207.777733333,203.333266667,221.111066667,186.666733333,148.889033333
179.16,76.3333333333,84.0,92.6666666667,40.0,84.6666666667,67.3333333333,68.6666666667,72.0,107.0,105.333333333,96.0,54.6666666667
179.54,49.4117333333,54.9018666667,91.7647333333,50.5882,65.4902666666,49.2157,58.0392,52.9412666667,69.0197666667,63.5294666667,77.6471333334,49.0197
179.93,12.2221666667,92.2221999999,96.6666,56.6665333332,97.7777999999,66.1110666667,44.4444666667,60.0000666668,97.7777666668,67.7777999999,90.0000666666,84.4443999999
180.31,56.3184333333,91.7412666667,95.8207333333,70.2488,98.2088000002,69.6518999999,78.7064666667,80.6965333334,117.213833333,108.8558,105.174066667,82.8856000001
180.69,51.5153666667,89.0910000001,92.7271333333,67.8789333334,95.3536666668,65.4040333334,75.0506666667,76.7675999999,117.626333333,106.565666667,106.7676,81.6159333333
181.07,45.6626,70.1206,75.3413333333,53.8152000001,77.6707333333,54.7389333333,55.9035333333,59.8394000001,95.1807333333,81.7670666668,85.0602,65.3814666667
181.45,48.1864,79.3137333334,81.0783999999,62.0587999999,84.1176666667,59.0685666667,62.7450666666,64.3138666667,105.4411,88.2351333333,93.3333333332,73.4314333333
181.83,48.3333333333,88.7179333333,74.7436666667,71.2820666666,93.3333333333,61.6025666666,63.0769999999,69.2308666667,125.320533333,103.205066667,107.051266667,90.3205666666
182.21,38.0666666666,78.1333333334,59.0666666667,64.6666666667,80.8000000001,35.7333333333,57.7333333333,55.0666666667,116.0,92.9333333334,95.0666666667,80.8000000001
182.59,54.1413666667,113.5354,73.9392666667,97.7778,113.939333333,47.3737333333,90.1009333333,71.1111999999,171.616233333,143.434266667,151.919266667,119.191966667
182.97,56.8467333334,114.234266667,70.8107333333,94.9549333334,109.91,56.4865333334,84.5044666668,76.7566666667,156.035866667,135.1352,144.3244,117.207166667
183.35,62.8394666667,131.851866667,72.3456,114.814866667,133.0864,38.395,88.3949333333,87.4073333333,184.5678,165.678933333,178.2716,129.382666667
183.73,-3.84616666673,171.794866667,58.9743333335,161.538466667,150.256266667,4.61536666662,99.9999333333,86.1538666665,276.153833333,230.7692,262.564,170.512833333
184.11,723.333333335,-1513.33333333,226.666666665,-1680.0,-1220.0,923.333333334,-540.0,-446.666666667,-2883.33333333,-1980.0,-2606.66666667,-1513.33333333
184.49,-40.0000000001,445.333333333,69.3333333331,437.333333333,400.000000001,-121.333333333,234.666666667,180.000000001,580.666666667,512.000000001,541.333333333,340.666666667
184.87,98.7499999999,394.166666667,149.166666667,394.166666667,354.166666666,68.3333333333,290.833333333,210.0,444.583333333,489.166666667,435.0,307.083333333
185.25,77.9166666668,-84.5833333334,34.5833333334,-95.0000000001,-56.2500000002,112.5,-65.4166666667,22.0833333334,-110.416666667,-131.25,-113.75,-50.4166666668
185.63,348.888866666,-504.444533333,28.8888666666,-611.111133333,-442.222133333,535.555499999,-408.888933334,57.7777999992,-596.666633334,-795.555533333,-648.888800001,-513.333466667
186.01,104.375,-55.4166666667,42.9166666666,-65.0000000001,-30.8333333333,147.916666667,-50.8333333333,59.9999999998,-56.875,-87.9166666667,-65.4166666667,-35.6249999999
186.39,51.3724333334,-7.0588,43.7253999999,-14.902,4.31359999986,76.6666333334,-1.7648,47.0588666666,-3.52940000002,-26.2744,-19.0195333333,8.9215666666
186.77,56.0525666667,9.82453333332,45.7894666667,-8.24566666667,20.5263333333,79.7367,9.12280000005,50.7017333333,12.7192666667,-12.9824666667,8.77200000002,22.1051666667
187.15,53.9507333333,27.5309333333,47.5308666666,7.4074,37.4074,74.2592333333,25.8024666667,58.8888666667,30.1852,11.4815333333,21.6048666667,33.2098333334
187.53,48.2796666666,28.2796,43.4408,7.95686666665,33.7633333333,63.7097666667,21.828,51.7204666666,28.6557333334,9.89253333334,17.4193333333,28.6559333333
187.91,58.5833333333,38.1666666667,58.1666666666,5.0,40.3333333333,93.5833333334,21.6666666666,76.1666666667,45.5,18.1666666667,11.5,34.6666666666
188.29,61.8749666668,43.4723333334,56.2499333333,5.69440000006,44.0277999999,79.4444666666,21.6666666666,75.8334000001,50.0693333333,24.7222666667,13.7499333333,38.1944666667
188.67,69.3055666667,60.0001333333,65.8332000001,13.4722,57.7778,90.1389333334,40.4167333333,93.1943333334,67.4306666667,39.5833333333,26.1111333333,39.236
189.05,84.3858999999,74.1520666667,81.9882666667,38.9474,70.5263333334,105.672666667,60.1169333333,99.8829333333,82.2807,68.1871333333,44.0936666667,57.5439333332
189.43,77.2222000001,67.7777333332,79.3826666667,33.2099333333,62.3456666666,98.6419999999,57.0369333333,91.1110666666,89.8149,59.7530666666,36.79,51.0493
189.81,73.1842000001,65.0746666667,80.0994666667,36.6168666666,62.6864666668,88.2586,55.6219333334,83.3829333333,82.7859333333,58.5074666666,37.1143333333,58.1593333333
190.19,74.3678666667,61.1494,77.3562,32.0689333333,62.0688666666,89.6551666667,53.4481333333,89.0804666667,89.2528000001,56.6666666666,34.7126,59.8276333333
190.57,58.3853333333,46.6666666667,55.6251333333,16.4585333334,44.3749333333,70.6770666667,38.9584666667,67.2916000001,69.8437,36.8752,25.1042666667,36.7187
190.95,62.7236333333,56.9919333334,66.5040666667,31.7073333333,49.2683333333,74.6747666667,50.6504666667,73.0081333333,78.3333333333,50.6504,37.4796666667,43.1301
191.33,55.8586333334,58.6532666667,65.2524666667,33.7374,44.3097333333,67.3065333334,50.5051333334,65.7237999999,74.0069,49.9664666667,43.0303333333,43.67
191.71,61.1010000001,64.4648666667,69.9081333333,44.0368,56.8195333334,76.8194666667,56.2692666667,73.3334666667,80.1223333333,59.8165333333,56.0244666667,51.1007333333
192.09,54.7849333333,57.2042666666,64.3548666667,40.6452,50.8602,68.3334666667,50.7526,62.7956,72.3658,49.3010666667,51.5590666667,41.4245666667
192.47,53.9143,62.5688,66.7277333333,45.6880000001,53.3945333333,78.4405666667,54.8623333333,65.9326666667,77.8593333333,51.0092666666,55.474,41.2843666667
192.85,57.1733333333,66.9866666667,71.4133333333,51.2533333333,57.28,79.0666666667,60.0,67.0933333333,77.5466666667,55.9466666667,59.8933333333,49.68
193.23,51.9901333333,64.4278,65.0247999999,46.3183333333,53.1840666666,70.4228666667,55.2736,63.8805333333,69.1293333333,51.0448,56.2189333333,47.8356333333
