wavelength,Back_PooWhim,Belly_PooWhim,Breast_PooWhim,Crissum_PooWhim,Crown_PooWhim,DorTail_PooWhim,Patch10_PooWhim,Patch11_PooWhim,Patch12_PooWhim,Rump_PooWhim,Throat_PooWhim,WingTip_PooWhim
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,190.555553333,127.777766667,152.222266667,144.444466667,225.555533333,182.222233333,144.444466667,192.2222,214.156385185,193.3334,175.555466667,198.8888
179.16,74.7333333334,41.3333333333,78.6666666666,80.6666666667,79.3333333333,50.0,72.3333333333,92.0000000001,47.925925926,63.0,63.3333333334,100.666666667
179.54,67.8823666667,57.2548666667,53.7253999999,60.3922666667,66.6666666667,69.2156,62.3529,38.8234666667,38.8599197531,58.4314333333,46.2744666667,63.9216666666
179.93,86.3334266668,72.7778,38.8890666667,79.9998666665,131.1112,98.8888,101.111166667,65.5555333334,-19.3827493828,71.1111,78.8889333332,75.5555999999
180.31,104.746293333,68.2587000001,78.3086000001,78.607,120.298533333,94.5771,88.9552666667,70.0497333334,59.8674740741,79.8011000001,82.6866,112.537266667
180.69,101.030326667,56.1616,68.3838666667,74.0404666666,119.191933333,89.4949333333,86.8687,70.6061999999,57.5215567901,78.7374333335,80.707,113.9394
181.07,79.4135066667,47.1887,51.6465333333,60.4016666667,91.7269333333,70.1606333333,73.2128666666,50.6826666666,37.6083333333,60.5221666667,63.2932,90.1204666666
181.45,92.0294533333,51.2255333334,50.6862000001,66.0785333333,106.2746,80.0000666666,81.0784,51.1764,40.4738716049,69.9019666667,70.4901333333,99.8038666665
181.83,109.128253333,50.6410666666,53.4615999999,71.0256666667,126.923066667,89.7435,90.2564666666,56.1538,42.9108370371,77.2436,82.0513333333,123.205133333
182.21,97.6266666667,34.7333333333,44.0000000001,56.9333333333,111.066666667,77.0666666667,81.0666666667,39.5999999999,35.049382716,69.0666666667,67.4666666667,115.066666667
182.59,140.58588,44.3434666666,63.4341333333,87.4748000001,155.151466667,96.8686999999,120.505133333,64.8483999999,49.3453234567,103.7374,97.9798666667,171.919133333
182.97,137.261266667,56.8468333334,62.1620666667,89.9099333333,136.216266666,97.7477333333,129.369366667,71.5316000001,59.7129061729,99.0990666666,98.7386666667,170.6306
183.35,164.61726,49.1357333333,44.9382666667,111.358,147.654333333,104.074166667,148.024533333,87.1605333333,67.224465432,104.320833333,112.5926,206.419733333
183.73,223.64108,-1.0256666668,-1.99995042749e-10,177.9488,198.9744,119.4872,203.5898,79.4871333333,28.898311111,119.7435,124.615333333,321.0258
184.11,-1890.66666666,906.666666668,1046.66666667,-1506.66666667,-1200.0,-933.333333333,-1866.66666667,53.333333334,448.271604938,-903.333333335,-846.666666665,-3200.0
184.49,432.133333333,-112.0,-70.6666666666,466.666666667,378.666666667,246.000000001,405.333333333,86.6666666666,136.567901235,224.666666667,244.0,789.333333333
184.87,425.333333333,116.25,110.833333333,444.166666667,395.0,277.916666667,376.666666667,115.0,237.175925926,215.0,290.833333334,590.833333333
185.25,-105.708333333,40.8333333334,45.0,-117.916666667,-97.5,-49.5833333333,-74.5833333333,23.75,-37.1296296298,5.83333333346,-58.7500000001,-213.75
185.63,-627.11114,-26.6666666661,6.66658666962e-05,-695.5556,-537.7778,-389.999833333,-533.3332,17.7777333342,-403.82708395,15.5556000008,-471.111066667,-1277.7778
186.01,-61.5833333334,60.0,55.8333333333,-87.9166666667,-33.3333333333,3.12499999992,-22.2916666667,46.25,-8.8966049384,54.3750000001,-41.6666666666,-180.416666667
186.39,-15.50988,42.6470666666,41.7646666666,-34.7059333333,1.76473333333,22.4511666666,14.2155666667,23.1374,14.8584382717,44.9999666665,1.17659999999,-67.6472000001
186.77,-6.96492666666,41.9298666666,51.4033999999,-7.71939999998,4.38593333334,28.2457333333,23.9473,35.0876666667,30.3832691358,49.7367333334,10.7018,-46.6667333334
187.15,9.69144666668,54.2592,49.6296666667,11.6049333333,18.395,40.9876,40.8024333333,42.7160666667,41.8175234568,52.6542333333,25.5555333333,-9.75319999999
187.53,6.96776666666,49.0859333333,38.7098,14.4087333333,16.8817333333,26.0754,33.7634333333,36.8817333333,41.7841604938,43.2257666667,21.7203333333,-9.4624
187.91,2.28333333333,55.4166666666,54.3333333333,23.8333333333,16.6666666667,30.5,45.0,50.6666666667,50.1327160494,57.4166666666,33.5,-24.6666666667
188.29,15.0416533333,51.7359999999,54.0278000001,25.6944,13.8888666667,36.5276000001,46.8055666667,47.3610666667,41.8775753086,52.7778333333,33.3332,-18.3333333333
188.67,28.1111333333,68.6805333333,65.1389333335,41.9444000001,24.5833333334,50.2082666667,57.6388333333,60.9721999999,64.7452543209,58.2637999999,42.0833333334,-8.19439999999
189.05,57.7894266666,82.2807666667,80.1168666666,63.041,54.386,66.1402666667,76.4328333333,77.4269333333,84.8081827161,72.2806666668,60.7018666667,13.3333333333
189.43,46.7284133333,75.9877333333,69.3827999999,60.3704,49.6296666667,66.7282666667,68.3952333333,77.284,83.5663938272,65.3087666667,58.7653333333,5.67906666668
189.81,53.5920533333,77.9602666667,67.9602666667,58.3084666666,50.0497333333,67.7612666667,69.3532,73.0347333334,86.4860592593,64.6765333335,63.2837333333,16.1193333333
190.19,52.1839133333,66.4940999999,67.4712666667,55.7470666666,47.4713333333,66.0344666667,61.6092,74.9425333333,81.7028135803,62.2414333332,62.069,8.16080000002
190.57,34.89584,43.8542333333,51.1456666667,41.9793333333,38.3334,43.5417666667,43.6979666667,57.8125333333,56.1729160494,44.2709333333,39.5834666667,-6.56219999998
190.95,48.6829666667,54.1462666666,56.504,48.4553333333,54.2278,52.3577,54.3496333333,63.9836,61.6684074074,53.1301,49.9999333333,16.9105333333
191.33,52.52526,47.2053333333,56.9697333333,49.4949333333,54.6127333333,50.6733333333,49.1245666667,63.7038,58.4784641975,51.0102,49.5622666667,21.1448666667
191.71,63.12544,54.9541333333,65.9326666667,56.2080666667,62.2629333333,63.1192333334,58.3485,68.8072666667,63.0071358025,62.6911666667,58.7767333333,32.0488666667
192.09,55.7312,51.5591,59.301,49.5161333333,57.9032666667,57.0699333333,53.6021666667,58.387,55.0705617284,57.3655,50.4299333333,30.1613333334
192.47,59.7615133333,53.5780333333,65.994,55.7186666667,67.0949333333,62.1712666667,60.0916333333,59.9388666667,62.3457419753,63.0581666667,54.7402,32.3548666667
192.85,62.8373333334,55.52,69.76,58.88,71.52,64.4533333333,64.8266666667,63.2533333333,64.6281481481,67.36,57.6,40.1066666667
193.23,55.28854,50.6717,62.7860666667,52.9850666667,67.1641333333,56.9651333333,61.6915333333,56.5174,60.7619209877,61.4428333333,53.1343333333,36.4178
193.61,56.23872,50.3604666667,60.3152666667,49.0989333333,65.5856,53.2206666667,60.9008666667,55.0901333333,55.6179814815,58.9865,50.9459333333,38.5135333333
193.99,53.4324133333,47.6351333333,57.9728,47.2972666667,64.4144,49.5945333333,58.8738,54.054,52.2749098765,55.7207666667,50.1801333333,36.8017333333
194.37,58.09214,53.0114666667,59.4942,50.3907333333,68.3219333333,50.3218,63.7011666667,56.4138666667,55.0054814815,58.2758666667,52.6436,40.1378666667
194.75,67.7656666667,62.9167666667,64.8959333333,55.9897333333,77.6042666666,56.6407,74.7917333334,69.0104,62.944791358,67.1094666667,60.6250666667,47.2397333334
195.13,55.8498866667,53.994,55.0150666667,42.7627333334,69.3092666666,45.1952,67.9280666667,59.6395333334,49.2459283951,54.2041666667,46.4863333333,31.9518666667
195.51,46.8095666667,53.3334,44.9206,32.8572,69.2063333333,36.7857333334,72.738,53.1746,42.7923234568,51.7459333333,36.2698666667,23.2539333333
195.89,33.27036,46.1260333333,32.2522,23.5134666667,66.2160666666,26.3063666666,73.4233000001,49.6396666667,33.5601395062,41.0811666667,25.9459333333,9.18919999999
196.27,40.9471933333,48.9912666667,33.5965333333,28.0702,71.4035333333,30.0438999999,76.6228666667,56.1404,41.111262963,41.0965666666,29.0350666667,12.6316
196.65,37.4700466667,46.2392666667,28.718,20.0853333333,65.8974666667,25.9403666667,74.0171666667,53.5897333333,35.6977617284,38.6324333333,25.9828,15.0427333333
197.03,33.3622866666,41.7875333333,15.6523333333,12.9468,68.4056666667,14.8308333333,70.3381000001,47.0531333333,28.5614938272,33.1884333333,20.9662,11.0145333333
197.40,33.0206533333,41.0416666667,8.85413333335,13.2291333333,72.7083999999,17.0832999999,75.5206999999,47.3958666667,20.5035074074,37.8125,19.8959333333,14.1667333333
197.78,17.6044466667,23.2769333333,-7.57066666665,-6.66653333333,64.5197333333,3.22029999994,65.3672666667,27.0057333334,4.42140123457,24.7459333333,2.82493333332,-3.16373333333
198.16,22.3333,26.2499666667,4.72233333332,5.55553333335,63.9814666666,11.8982666667,66.0185,35.7407333333,9.99839012344,32.7314333333,6.9444,9.90733333333
198.54,17.1852333333,22.2961666667,5.03706666668,5.92606666666,51.9259333333,10.963,52.8148333333,31.4814666667,11.4198358025,28.037,8.29633333334,11.7778
198.92,16.7950933333,21.0395666667,6.6666,13.3332666667,46.4218666667,13.2721333333,48.318,24.893,13.4862209876,26.9113333333,10.0306,11.4985333333
199.30,26.0231466667,21.0434333333,13.855,21.0435333333,53.8550666667,18.9276666667,52.7826,30.2609333333,20.7225345679,36.8115333333,18.4926666667,19.3623333333
199.68,23.7591066667,13.4568,10.0616666667,18.3333333333,50.8641333333,11.1729,50.2161,26.1111333333,15.4914716049,32.1603666667,13.5185333333,13.0862666667
200.06,29.8270066667,14.9038333333,9.10253333332,25.6410666667,56.9872,15.5448,55.5448,27.5640666667,22.1333061728,37.6922666667,19.7436666667,20.7051333333
200.44,23.2562266667,10.1053,0.210533333326,20.421,54.6666666667,10.9825666667,54.3509,18.5262,16.4653,36.8421,13.6840666667,19.5789333333
200.82,22.7525333333,10.6602,-4.88446666667,19.9338666667,54.5874,10.0000333333,49.9340666667,16.6336666667,15.466117284,34.0594333334,13.3992666667,16.5678
201.19,14.7778333333,1.18049999999,-7.70846666666,13.889,51.9444,4.93069999999,47.5349,13.2639333333,11.8171506173,26.9098666667,7.29173333332,11.5972666667
201.57,10.7670933333,-2.97483333332,-7.81379999998,10.681,45.9497333333,0.60936666666,42.5806666667,8.38713333333,10.8748666667,21.7562,3.2258,12.3296666667
201.95,19.3101733333,10.9565333333,3.71019999998,24.2899333334,49.6231333333,12.9855333333,47.4202,20.5218,21.0648765432,29.9709,14.9565333333,26.6666666667
202.33,16.5381,8.36253333334,-0.526466666674,22.9240666667,48.0701333333,10.1753333333,44.8831333333,13.2748666667,19.8408925926,26.6375,14.7953333333,23.7426666667
202.71,18.1228466667,10.2911,-1.94173333334,24.5954666667,52.0387333333,10.0323333333,52.5242666667,15.0161333333,19.007708642,32.4595666667,14.2397333333,23.8186666667
203.09,17.4468866667,6.55299999998,-4.84846666668,24.3182,53.1061333333,6.70456666667,59.2802333333,14.6212,16.9165,33.6743333333,14.091,26.6668
203.47,18.8889266667,13.1747666667,-2.30166666669,30.873,57.7776666667,10.7141666667,63.2143,18.5714,22.5793555556,36.6665666667,21.111,34.9205333333
203.85,26.2348333333,24.1288333333,9.39406666666,41.0606000001,67.8032000001,21.5151333333,69.6212333333,28.3334,31.5881530864,42.1211,32.2727333333,48.106
204.22,25.7061133333,23.9426,12.0429333333,38.4946666666,62.2939333333,21.0752,63.3692,29.9642,32.8606358025,37.5626666666,29.9641333333,44.0861333333
204.60,29.4239133333,26.2134,19.8058666667,41.8123333334,61.5535333333,22.945,59.8059,36.958,34.9801345679,37.7023,34.1747333333,45.89
204.98,26.6236466667,24.1935,21.6488666667,42.5089999999,62.2939333333,22.2222666667,61.0395666667,38.7096666667,31.2305012346,35.0178333333,30.6809333333,45.3047333333
