wavelength,Back_PorCaef,Belly_PorCaef,Breast_PorCaef,Crissum_PorCaef,Crown_PorCaef,DorTail_PorCaef,Rump_PorCaef,Throat_PorCaef,WingTip_PorCaef
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,26.6666666667,31.25,31.25,42.5,24.5833333333,50.4166666667,49.7916666667,30.0,30.4166666667
179.16,11.3333333333,24.6666666667,22.0,34.6666666666,8.66666666667,60.0,58.3333333333,18.6666666667,4.66666666666
179.54,76.1111333333,91.6666666666,73.8889333333,71.6667333333,70.0,89.4444666667,78.3333333334,75.5554666667,68.8888666667
179.93,99.9999999999,88.3333333334,76.6666666666,72.5,91.6666666666,110.833333333,103.333333333,95.0000000001,90.0
180.31,38.5586,41.5316,13.6937333333,35.1351333333,17.0270666667,64.2342666667,53.5585,33.6936666667,18.1982666667
180.69,41.686,44.9042666667,19.5402,36.5517333333,23.6014,65.0574666667,56.0536,37.2414,22.6053333333
181.07,50.1753333333,51.8422666667,21.9298,38.0701333333,24.1227333333,69.5616,60.0876666667,40.0000666667,23.9474
181.45,48.9189333333,48.8288,15.3152666667,32.1621333333,20.2704,64.3242666667,53.8287333333,39.6396,21.4414666667
181.83,46.3030666667,40.2424666667,-5.81826666666,20.4849333333,6.42419999999,58.6667333333,48.1819666666,28.9696666667,5.4544666666
182.21,35.6462666667,32.7892,-17.5510666667,10.3400666667,-7.07486666667,52.6530666668,37.4829333333,20.6802666667,-14.9659333333
182.59,38.2715333333,41.8518666667,-3.70359999999,8.51860000002,7.65426666666,59.0123999999,47.2221666666,28.1482,-12.5926666667
182.97,40.8889333333,44.1482,-14.074,-2.81486666666,-0.296333333326,63.5556666667,45.5554000001,17.926,-31.5556
183.35,45.8118666667,48.718,-8.71793333333,-5.983,1.88026666667,73.3334,57.8631666668,16.5812666667,-30.9400666666
183.73,27.7083333333,30.625,-31.4583333333,-28.9583333334,-16.4583333333,65.2083333333,37.5000000002,-0.625,-59.3750000001
184.11,-0.43006666666,11.6129333334,-49.4623333333,-56.7742000001,-27.3118,42.3655333333,18.0644333333,-19.3548,-86.0214000001
184.49,-40.4166666667,-48.3333333335,-143.333333333,-175.416666667,-112.916666667,20.4166666667,-24.1666666665,-82.4999999999,-229.166666667
184.87,519.999999999,783.333333333,1530.0,1830.0,1283.33333333,160.0,725.000000001,1010.0,2146.66666667
185.25,455.555533334,626.666666666,1171.11113333,1413.33346667,855.555666667,124.444466667,644.444533333,746.666733332,1544.44433333
185.63,156.666666667,233.333266667,487.777733334,687.7778,432.2222,45.5554666666,268.8889,333.333266667,724.444333333
186.01,406.666666667,436.666666667,826.666666666,1185.0,773.333333333,118.333333333,494.999999999,551.666666665,1171.66666667
186.39,129.7778,149.7778,244.4444,363.111,244.888866667,66.6666666669,167.333433333,178.2222,322.222133333
186.77,59.5698666667,71.8280666667,122.150533333,169.6774,120.860066667,32.0430666666,93.8709666667,84.3010666668,136.344133333
187.15,37.4604,50.6350666666,87.1429333334,120.7936,86.8254666667,23.0159333333,70.3969333334,55.3967333333,83.8095333333
187.53,25.1283333333,35.5556666667,83.4187999999,112.478666667,79.3163333335,13.8462,67.8633,40.1709333333,77.6067333334
187.91,-1.01446666665,18.8406,56.0868666666,85.3623333335,53.0436,6.23200000001,38.7681333333,13.0434666667,50.145
188.29,0.678,23.7287333332,48.1356666667,74.9152666667,51.1864,12.8813333333,34.6327,12.5423333333,38.8699333333
188.67,-6.04946666668,12.0986666667,39.0122,74.6913333334,43.2097333333,6.17286666667,20.1234666667,3.20986666666,28.7654
189.05,14.709,19.8942000001,45.0794,79.3650666667,51.6403333333,22.328,29.0475,16.4021333333,38.4127333333
189.43,21.2056666667,22.5533333334,38.8652666667,61.7020666667,43.9716,25.1774,29.6808333333,18.1558666667,33.6170666667
189.81,22.3333333333,27.2,39.0,61.2666666667,41.2666666667,24.9333333333,34.2,21.0,34.9333333333
190.19,11.1348,24.1134666667,29.4326666667,56.5247333333,35.9573333333,19.7872666667,29.8582,17.0212666667,28.4397333333
190.57,0.33333333334,18.1666666667,28.5,57.6666666667,28.1666666667,17.1666666667,25.2916666667,11.8333333333,24.6666666667
190.95,3.82106666666,19.6748,30.8130666667,61.7072,29.7561333333,24.2276,31.5854,15.3658,30.1625333334
191.33,1.95559999998,14.5776666667,26.0444666667,64.6221333333,21.7778,21.4222666667,27.3777666667,8.44439999999,27.2000666667
191.71,13.7348666667,21.9276666667,25.8635333333,69.719,24.1766666667,28.3533333333,31.6064333333,17.1082666667,29.7992666667
192.09,16.7932666667,22.7848666667,21.6877333333,69.7890666666,23.8818666667,28.5232,33.249,14.8524,28.3544
192.47,7.0588,13.8236,8.82353333334,66.8628,9.41173333332,20.098,29.6078,5.78426666667,20.6861333333
192.85,3.14280000002,5.99999999998,3.04753333334,56.4762,2.28586666666,12.2858666667,25.2857666667,0.476199999994,13.4285333333
193.23,-19.1999999999,-9.99999999993,-23.4666666667,54.1333333333,-26.0,-3.86666666666,7.4,-26.0,-0.66666666674
193.61,-67.9486666667,-54.1024666667,-78.2049999999,76.6666666665,-79.7435333335,-25.8973999999,-29.4871,-77.4358,-26.9230666667
