wavelength,Back_PorCaem,Belly_PorCaem,Breast_PorCaem,Crissum_PorCaem,Crown_PorCaem,DorTail_PorCaem,Rump_PorCaem,Throat_PorCaem,WingTip_PorCaem
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,37.0833333333,34.1666666667,47.0833333333,50.4166666667,45.0,41.6666666667,42.0833333333,52.5,33.75
179.16,24.6666666667,11.3333333333,29.3333333333,59.3333333333,32.0,46.6666666667,30.6666666667,51.9999999999,-1.33333333332
179.54,76.1111333333,83.8888666667,78.3333333334,102.777866667,76.6667333334,78.8888666667,71.6667333333,121.111066667,51.6666666667
179.93,74.9999999999,111.666666667,93.3333333333,124.166666667,101.666666667,107.5,100.833333333,142.5,75.8333333333
180.31,28.7386666667,43.063,42.072,67.0271333332,37.9278,58.2884666667,41.081,67.1171333333,21.6217333333
180.69,31.4943333333,48.7357333333,47.7393333333,69.4253333334,40.4596666667,62.2989333333,46.1302666666,67.5096666667,25.4406
181.07,33.9475333333,56.0526,52.4562666667,80.1753999999,43.3335333334,72.456,55.7896,70.4386,25.6140666667
181.45,30.8108,54.4143333333,52.2521333333,75.3153333332,37.7478,70.8107999999,56.2162666665,62.8829333333,24.1442
181.83,21.4545333333,50.3030666667,48.8484666667,74.5452666666,27.0304000001,75.8787333333,61.0908666665,56.4849333334,12.4847999999
182.21,11.1564000001,43.1292666667,45.3061333333,74.8299333332,16.7346666667,71.1565333335,58.0952,46.2585333333,0.816266666673
182.59,25.6790666666,53.2098666667,51.8519333334,82.9630666666,24.6914666667,64.6913333334,63.3333333333,54.9382,15.3085333333
182.97,24.2962,46.0741333333,48.7408,93.1851999999,21.7777333333,60.4445999999,69.1851999999,60.1482666667,9.33333333326
183.35,24.2734,43.7606666667,66.6666000001,107.5214,27.8633333333,60.0000666667,87.1795333334,77.0940666667,17.094
183.73,8.12500000006,27.0833333333,67.0833333334,109.791666667,17.4999999999,41.0416666667,89.9999999999,70.4166666667,13.3333333334
184.11,-20.6452000001,1.50539999994,43.6560666667,88.8171999999,2.15059999993,8.60206666661,73.1183333333,41.0753333333,-6.02146666674
184.49,-85.4166666667,-53.75,20.4166666665,122.916666667,-42.5,-47.5000000001,95.4166666669,9.99999999994,-71.2500000001
184.87,876.666666665,930.000000001,360.000000001,-569.999999999,660.000000001,936.666666667,-296.666666668,429.999999999,833.333333333
185.25,619.999999999,717.7778,355.555666667,-175.5556,559.999933333,928.888866665,26.6666000008,391.111,557.7778
185.63,255.555533333,298.8888,166.6668,-125.555533333,237.777733333,525.555533334,1.1112,111.111066667,213.333266667
186.01,538.333333333,591.666666667,418.333333333,-176.666666667,438.333333333,988.333333333,143.333333333,316.666666667,390.0
186.39,178.222266667,207.555533333,181.333266667,3.99993333333,147.1112,332.444466667,83.1110666667,147.111066667,132.888933333
186.77,89.2472,117.419333333,99.1396666666,11.3978666666,72.9032,165.376466667,43.2257333333,81.9356000001,67.7419333334
187.15,66.0318000001,75.0794666667,67.9365999999,4.92053333326,48.0952666666,116.349333333,29.8412666667,66.8252666667,44.4444666666
187.53,54.7008000001,57.6068666668,60.8545999999,-6.66673333332,37.265,110.427333333,13.5043333333,68.2051333333,37.6068666667
187.91,34.2028666667,36.0869333333,43.7680666666,-9.85519999998,25.0726,76.5216666667,0.869666666674,51.7390666666,25.6520666666
188.29,29.8305333333,36.2712666666,42.0338666667,-1.92093333331,28.1356,63.8416,7.57073333333,46.7796,26.5534666667
188.67,23.0863333333,32.3455333334,40.1235333333,-12.5925333333,19.3826,59.7529999999,-0.246799999992,41.1112,18.8889333333
189.05,35.5556666667,42.4338666666,45.8201999999,2.8572,37.3544,64.6562666666,14.4972,49.6296,27.9365333333
189.43,36.0284,41.2056666666,43.0496,12.1985333333,37.9433333333,50.7802666666,21.5602,45.1773333333,28.7942666667
189.81,37.7333333333,44.2,46.6,16.0666666667,39.8,50.2666666667,23.1333333333,47.4666666667,29.6666666667
190.19,32.0567333333,39.9290666667,40.6383333333,13.9716,35.0355333333,47.9432666667,17.7304,46.1701333333,22.6241333333
190.57,25.0833333334,37.0,34.25,8.74999999999,33.3333333333,44.6666666667,9.66666666667,42.5,16.25
190.95,26.7479333333,35.5284666666,34.3901333333,13.5773333333,38.6992,49.2682666667,12.3578666667,47.9675333333,19.8374
191.33,21.3334,34.3111333333,28.7112,11.5556,36.9778,50.4888666667,8.53333333335,43.8222666667,16.3554
191.71,26.0241333333,40.4016666667,33.7349333333,18.4738666666,42.8112,51.004,15.6627333333,46.1847333333,19.5179333333
192.09,22.8692,40.6752,31.8144,14.9366666667,45.7383333334,54.6833999999,16.1182666667,45.4854,17.8903333333
192.47,13.9216666667,30.8823333333,22.0587333333,6.56873333336,43.1372,52.8431333334,5.98033333333,39.3137333333,5.29426666666
192.85,5.23806666666,23.7143333333,12.1904666667,0.095199999994,40.0952,41.8095333333,-1.14286666667,32.0,-7.14286666667
193.23,-11.2,11.7333333333,-6.80000000006,-21.6,29.6,36.5333333333,-28.1333333333,18.6666666667,-35.4666666666
193.61,-47.9487999999,-3.8461333332,-56.4102000001,-69.9999999999,18.2051333333,51.0255333333,-81.0256666667,-8.2052,-102.820533333
193.99,-220.666666667,-131.333333333,-280.666666667,-275.333333333,-41.3333333334,29.3333333333,-290.666666667,-129.333333333,-395.333333333
194.37,-165.640933333,-85.6411333333,-208.718,-206.6666,-3.58973333334,31.7950000001,-204.615333333,-116.922933333,-302.051133333
194.75,-4.49999999998,13.5000000001,-22.0,-30.8333333333,45.1666666667,44.3333333333,-26.1666666667,6.16666666667,-58.0
195.13,-23.8095333333,3.80946666674,-56.9046,-74.0476666667,29.7618,21.9048,-64.7618666666,-19.0476,-111.666666667
195.51,-9.33333333326,20.2666666667,-44.2666666668,-70.6666666666,39.2000000001,24.8,-58.6666666667,6.93333333332,-113.866666667
195.89,-4.52380000006,17.6190666667,-45.2382,-66.9046666667,35.9524666666,21.1905999999,-49.7619333334,11.4284,-109.5238
196.27,18.3784,30.8108666667,-17.1171333333,-36.7567333333,32.7927333333,28.1081333333,-34.2342666667,23.6036,-71.7116666666
196.65,27.5862,65.9771333332,-4.1378666666,-43.9080666666,47.3563333334,42.2988,-38.8505333334,37.931,-80.2299999999
197.03,54.7368666667,87.7192,30.7017999999,-0.175399999986,65.6141999999,67.5439333334,-0.52626666666,61.9297333333,-18.07
197.40,62.9240666666,89.1227999999,51.9296666666,29.0059333333,66.4327333333,75.5556,25.731,65.2631333334,12.8655333333
197.78,63.9584000001,87.9168666668,61.6669333333,35.2085333333,71.6668000001,75.6250666667,30.3124,70.4168666667,24.3752
198.16,57.6594666667,78.014,58.8653333333,37.0212,60.4254666667,61.5602666667,33.617,65.8865333333,34.1134666667
198.54,53.0794666667,68.381,54.1586666667,33.2063333333,51.0476666667,52.6984,29.5872,63.4920666667,32.5714666667
198.92,42.4243333333,60.8079333333,44.0405333333,23.3669333334,38.2491333333,44.0404,18.7206,56.1616,22.9630666667
199.30,44.4860666667,62.9906666667,49.7196,28.4113333333,44.3613333333,48.9720666667,23.1775333333,58.0060666667,29.3458666667
