wavelength,Back_PyrRuff,Belly_PyrRuff,Breast_PyrRuff,Crissum_PyrRuff,Crown_PyrRuff,DorTail_PyrRuff,Patch10_PyrRuff,Rump_PyrRuff,Throat_PyrRuff,WingTip_PyrRuff
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,-336.666666667,-190.0,43.3333333335,-213.333333333,-213.333333333,-56.6666666666,16.6666666667,-166.666666667,-73.3333333333,-236.666666667
179.16,9.23073333334,35.3845333333,38.9744666667,41.5384666667,33.8462,27.6924666667,25.1283333333,28.2050666667,21.0256,22.5640666667
179.54,29.5238,109.5238,59.0476666667,35.2379333334,10.4761333333,58.0951999999,7.61906666666,-10.4762,-17.1429333334,-27.619
179.93,56.0,65.3333333334,48.0,57.3333333333,64.6666666666,68.6666666666,51.3333333333,30.6666666667,48.0,27.9999999999
180.31,38.0001333333,78.1110666667,72.4444666667,73.2221333333,57.8888666667,72.3331999999,67.111,23.2222,55.3334,21.0000666667
180.69,20.9008666667,55.5856666667,49.9999333333,46.3963333333,39.1892666667,48.1982666667,43.6936,6.21619999999,33.4234666667,6.12620000002
181.07,34.4279333333,67.4626666667,61.791,61.6914000001,54.2288666666,57.0149333334,49.2537333333,13.8307333333,44.0795333333,15.6218666667
181.45,49.953,75.5868666665,72.3004666666,71.7370666666,68.8263333333,69.3896666667,57.0890666666,22.9108,55.8685333333,28.8263333333
181.83,56.3964666666,74.5045333335,74.8648666666,73.5135999999,75.9460000001,74.5945333333,65.9458666666,31.9819333333,62.5225333333,41.4415333333
182.21,54.7789333333,70.1205999999,73.0120666667,72.8514666667,71.9677999999,73.4939333333,66.1044666667,35.3414,62.8112666667,40.5623333333
182.59,64.1975333333,92.8394666667,95.9260666667,88.5185333334,92.3457333332,91.8518666666,84.1974,40.7407333333,83.0864,40.0000666667
182.97,72.7683333333,88.1355333332,96.7232,87.1186,88.1356666667,91.8645333334,84.9718,44.4068666667,84.1807333333,44.6328666667
183.35,81.9858666668,95.1773999999,110.496266667,92.9079333333,91.3475333333,105.6738,84.1134000001,42.4114,94.8935333334,46.8084666667
183.73,77.5000000001,86.5000000001,117.666666667,80.4999999999,93.1666666666,106.333333333,70.8333333333,36.0,94.1666666667,45.3333333333
184.11,75.2201333333,84.9056666666,109.182333333,72.5785333333,93.4590666667,92.2013333333,68.4276666667,45.5346,87.7988666667,54.717
184.49,92.6389333333,108.75,143.611133333,98.0556666668,121.666666667,111.250066667,86.1112666667,78.6111333334,113.749933333,73.7499333334
184.87,133.725533333,150.196066667,180.392133333,142.745133333,158.9542,150.849733333,127.712266667,120.915133333,150.849533333,109.803866667
185.25,122.259866667,143.728866666,156.610266667,125.536733333,141.694866667,137.175133333,114.915333333,110.847466667,131.638533333,96.0451333332
185.63,110.158866667,139.894266667,146.666733333,117.671933333,124.761933333,124.761866667,106.984,104.656266667,122.8572,81.1640666667
186.01,101.538533333,130.341866667,135.641,116.8376,116.068266666,112.649533333,99.0599333334,103.8462,116.324666667,79.1452666667
186.39,112.0,149.2222,160.555533333,127.000066667,131.888933333,122.888866667,103.7778,115.333266667,128.1112,88.8888666666
186.77,87.4359333334,112.906,120.854666667,100.6838,103.162333333,96.2393333335,82.4786666667,89.5726666667,96.8375333335,66.7522666667
187.15,91.308,124.135066667,130.717333333,110.210933333,112.573866667,100.3376,92.4049999999,99.3249999999,104.810133333,75.7805333334
187.53,73.0232666667,104.573666667,111.1626,90.9302,97.3642666665,82.7908,79.2247999999,84.6512000001,87.0542666667,63.9535333333
187.91,77.2109333334,106.734733334,104.0816,95.4422666667,98.9116666667,83.6733999999,81.0204000001,85.4421333334,90.4082,67.9592
188.29,84.5118666667,110.7744,111.111133333,100.067266667,99.1919333333,90.5050666667,84.5117333333,92.1886,98.9225333332,76.5657333334
188.67,77.9245333333,100.314466667,101.194933333,89.9370666667,90.6287333335,81.5723999999,77.4842000001,85.9120666667,86.8555333334,68.931
189.05,76.3574000001,103.299,101.718333333,89.2096666666,93.1271333333,82.5430666667,81.7869333334,89.6908,90.3092666667,69.2096666667
189.43,70.6667333334,90.9090000001,90.9090666667,83.3334000001,84.9697999999,73.5757333333,75.6362666667,81.5758666667,81.6364,64.303
189.81,75.9872,90.8738,90.6796666667,85.6308666667,89.9677333333,78.1876666667,80.5178666667,85.1779999999,85.9548666667,69.5144666667
190.19,67.4359333334,78.9102666666,80.7693333333,74.9359999999,82.3717333333,70.1282666666,70.4485333333,73.4614666667,75.1921333334,57.8846
190.57,63.7309333333,77.3088666666,73.2722666667,70.8868666667,76.8195333333,64.0366666667,68.6237333333,69.8472,71.9266,56.2691333333
190.95,62.1182666666,77.8192666667,73.0840666666,70.5918666666,76.137,63.4267333333,63.6760666667,70.8412666667,69.5326666667,56.3239999999
191.33,48.6614666667,61.3648666666,55.853,56.378,62.5721333334,52.5458666667,48.3464,59.1076,51.5484666667,44.0946
191.71,53.6869333333,67.7776666667,57.9797333334,61.3636,69.1411333333,55.9090666667,52.2728,64.2424,54.0404,48.6362666667
192.09,53.1463333333,71.4018666667,59.6262,64.9844666667,73.7695333333,57.3832,53.8319333333,68.9718666667,52.2742666667,50.4673333333
192.47,36.5873333334,61.9047333333,45.3176,56.1904,75.4761333333,46.1111333333,45.7936,60.7936,38.3333333333,33.7300666667
192.85,26.7567333333,66.3064000001,38.6486,59.9099333333,75.2251333333,40.9007333334,44.2342666667,58.9189333333,34.6847333333,34.8647333333
193.23,14.9207333333,60.3174000001,34.0742,57.1428666667,71.8516666666,31.2169333333,29.5236666666,51.1109333333,24.2328666667,31.7459333333
193.61,13.0666666667,76.6666666667,39.6,59.8666666667,83.7333333333,40.1333333333,27.8666666667,63.7333333335,28.5333333333,40.5333333333
193.99,14.9276,93.1884666666,49.855,66.5217999999,96.3768666667,42.1739333333,35.3623333333,78.8405333334,30.2898666667,58.1158000001
194.37,-9.09086666674,163.333266667,70.9092666666,109.696933333,171.515133333,49.3939333334,47.2728666665,156.6668,44.5455333334,123.939333333
194.75,-34.9205333332,146.031733333,70.4762,114.285666667,180.635066667,36.1905333333,38.7301999999,154.285733333,44.7618666667,101.269866667
195.13,-16.3635333334,132.424266667,95.1514666665,100.909133333,171.515066667,36.6666,51.8182,144.2424,53.6364000001,106.060666667
195.51,-118.181866667,156.3636,90.9091999999,101.818133333,223.030266667,-43.6362000001,-11.5152,205.4546,30.9090666667,136.363666667
195.89,197.777666667,-108.148133333,-8.14819999994,-28.8889333335,-142.962933333,171.851933333,97.7777333334,-117.7778,54.0740666667,-71.1110666667
196.27,-106.666666667,121.333333333,77.3333333334,26.6666666669,142.0,-138.666666667,-90.0000000001,141.333333333,-42.6666666667,72.6666666665
196.65,10.0855333333,81.0256666668,60.5128,55.3846,61.3676,-3.24773333334,25.641,76.9233333333,26.8376,64.6154000001
197.03,17.8293333333,64.8062666667,54.1085333333,59.2248666667,54.7286666667,4.96113333332,22.6356,75.6589333333,21.0852,59.6898666667
197.40,5.69446666666,39.4443333333,29.3054666667,44.0277333333,32.7776666666,-7.5,6.24986666664,55.8332666667,10.6943333333,36.9444
197.78,4.14826666675,34.2222666667,28.7408,49.6295999999,32.4444666667,-16.8889333333,14.8148,50.9627333333,10.3704,33.9259333334
198.16,-23.6842,0.3508666666,1.40353333334,25.4386666667,6.8421333334,-56.6666666666,-14.5613333333,30.3508,-18.0702666667,8.24553333346
198.54,-58.9900000001,-44.0403333334,-31.9192,-1.4141999998,-35.7575999999,-112.525266667,-51.3130666666,-19.3939333334,-58.5858666668,-47.4747333333
198.92,-33.5239333334,-34.8570666667,-25.1428666667,5.5238,-25.3333333333,-89.3333333334,-34.2857333333,-1.14280000008,-57.1427333333,-33.7144
199.30,-321.481533333,-253.333333333,-342.963,-174.074,-261.481466667,-487.4074,-299.259333333,-183.703666667,-363.7036,-305.1852
199.68,-1450.0,-1226.66666667,-1806.66666667,-856.666666667,-1250.0,-2293.33333333,-1326.66666667,-1070.0,-1710.0,-1586.66666667
200.06,-3873.33333333,-3853.33333333,-4553.33333333,-2506.66666667,-3626.66666667,-5160.0,-3706.66666666,-2826.66666667,-4226.66666667,-4200.0
200.44,772.222200001,805.5556,934.444400001,502.222133334,693.333333334,973.333400001,674.444533333,581.111133333,748.888866666,849.999933332
200.82,180.229866667,196.3218,222.988466666,128.275933333,164.597733333,225.2874,170.114866667,129.4254,183.908133333,197.931066667
201.19,110.0,118.620733333,129.4252,93.3332666667,103.678133333,143.448266667,104.482666666,96.6666666667,105.517266667,132.528733333
201.57,92.25,104.75,106.833333333,81.75,89.8333333332,113.75,84.25,80.75,88.9166666667,109.25
201.95,92.9032666665,105.233,104.229533333,76.6308,86.6665999999,106.595,88.2436666667,80.9318666667,89.8923333333,104.516066667
202.33,87.1477333334,98.6255333334,96.4947333331,68.8659333333,81.3745333334,99.9999333335,84.2612000001,79.0378666666,83.5738666667,99.0378000001
202.71,91.3333333334,101.5,104.583333333,74.2500000001,85.6666666665,102.666666667,81.0833333333,75.8333333334,82.9166666667,102.833333333
203.09,87.6608666666,92.8654666666,97.8947333333,74.269,83.5672666667,94.3859333333,81.2865333333,76.5496,80.0586000001,93.6841333334
203.47,84.2221999999,93.7778000001,93.2222000001,67.5555333333,80.6666666667,92.3888000001,79.5,71.6668,78.0000666667,89.7777333334
203.85,82.3165333334,93.4464000001,87.6269333334,65.1976666666,79.7739333333,87.3446,78.8135333333,68.9265333333,75.3673333334,86.1580666667
204.22,71.04,80.5333333334,75.4133333333,54.56,67.5733333333,75.84,65.28,57.12,64.5866666666,72.0533333333
204.60,70.1655333333,78.7233999999,73.6642666667,56.2175333333,70.1653333333,74.3735333333,65.7683333333,61.9384,67.8012666666,68.6053333333
204.98,74.0457333333,81.8829333333,78.0661333334,57.3028,71.3995333333,77.2010666667,66.1068,66.2596,69.7711333333,69.9746000001
