wavelength,Back_RamCosf,Belly_RamCosf,Breast_RamCosf,Crissum_RamCosf,Crown_RamCosf,DorTail_RamCosf,Rump_RamCosf,Throat_RamCosf,WingTip_RamCosf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,57.3529166666,63.23525,50.49025,66.6665,64.2155,80.8823333333,49.0196666667,63.7254166667,69.6077499999
179.16,37.5,26.6666666667,25.8333333333,22.5,67.5000000001,51.6666666667,50.8333333333,36.6666666666,36.6666666667
179.54,-283.333333333,74.9999999998,208.333333333,8.3333333335,216.666666667,241.666666667,41.6666666665,16.6666666667,-41.6666666665
179.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180.31,25.4975,39.3035,19.2786666667,28.73125,48.1343333333,71.6417500001,36.8159166666,19.2785833333,56.4677499999
180.69,27.88075,38.27175,19.7530833334,29.93825,46.1934166667,67.6953333332,39.3005833333,22.6338333333,52.8806666668
181.07,20.305,30.8685833333,11.2675833334,23.5915833333,40.14075,63.84975,42.723,12.2066666667,47.8871666666
181.45,21.889,31.5556666667,10.22225,27.2221666667,36.6668333333,61.2222499999,39.4444166667,12.111,50.8889166667
181.83,23.7014166667,30.3029166667,4.87008333336,31.277,35.1730833333,56.7099166667,36.9045833333,10.71425,51.4070000001
182.21,33.6345,40.4618333333,13.0521666667,42.5703333333,49.8995833334,61.6465833333,47.7913333332,21.2850833333,63.253
182.59,29.7481666667,38.3720833333,12.5000833333,41.0853333333,48.35275,54.8448333333,46.027,23.0621666667,59.6899166667
182.97,35.8086666667,43.6468333333,22.112,44.967,55.2805833333,53.4653333333,53.8780000001,33.1683333333,57.1781666667
183.35,36.9658333333,46.5100833333,27.92025,46.51,54.2023333333,55.12825,56.7662499999,38.5326666667,55.2705
183.73,41.9615833333,52.6548333333,30.531,54.4985833333,61.8730833333,61.2831666666,62.2419166666,44.3951666666,60.1768333333
184.11,39.8230833333,52.4336666666,33.1858333333,54.5721666667,64.6754166667,60.177,64.3067499999,46.4601666667,61.2094166667
184.49,43.4166666667,60.5,37.5833333333,61.5,73.1666666667,69.6666666666,73.5833333334,57.25,72.2499999999
184.87,43.3160833334,64.0625,38.97575,64.14925,78.125,72.0485833333,75.7812499999,63.3681666667,76.7361666666
185.25,49.4623333333,72.4013333334,43.9069166666,68.2795833333,86.3800000001,78.3154166668,79.6595833334,72.76,82.8853333334
185.63,50.5554166667,78.0555833332,47.2223333333,68.4259166667,90.0,79.2593333333,84.90725,78.6110833333,84.3519166668
186.01,52.27275,76.5909166666,50.2271666666,62.8030833334,83.1818333333,74.6969166667,81.6667500001,79.8485,79.9999999999
186.39,51.8361666667,77.4009166668,52.5424166667,58.8984166667,78.9547499999,72.2458333333,80.0848333334,81.6383333333,76.4123333333
186.77,49.7746666667,81.4563333334,56.30625,59.83475,81.7569166666,76.3514166666,86.0359999999,85.5105,79.1291666667
187.15,54.9019166667,90.6046666668,60.8660833333,65.19625,87.9085833332,81.9444166667,90.523,91.9116666668,86.8463333334
187.53,59.29825,99.8245833333,62.8069166666,68.50875,94.2982499999,80.7018333334,92.7191666667,98.6843333332,93.2455833334
187.91,51.1218333333,91.0256666667,56.0095833333,56.25,80.6891666666,63.7018333333,81.49025,88.7018333333,78.9263333333
188.29,50.87225,96.7055833333,51.841,53.9729166667,79.845,59.30225,86.2401666667,95.0582499998,80.5232499999
188.67,39.9640833333,82.9749166668,43.01075,47.67025,65.5019166665,45.4301666667,76.6128333333,81.4515833334,69.2651666667
189.05,42.9345833333,80.9781666666,46.2861666667,46.1956666666,67.9349166667,41.3949166667,77.355,79.6194999999,68.2065833333
189.43,42.6375833333,73.6246666668,47.0874166667,45.0646666666,64.7249166668,37.29775,72.3301666667,74.1907500001,65.12925
189.81,44.6895833333,77.8596666667,51.7156666667,46.9770833333,68.6274999998,39.46075,76.3889166667,78.1862499999,70.75175
190.19,44.8198333333,91.6666666668,53.3784166666,48.4234999999,80.1800833332,35.0226666667,92.3424166667,85.2478333332,80.1803333334
190.57,38.2441666667,85.7141666666,41.8155,41.66675,79.9106666667,16.22025,93.3035000001,78.2739166667,82.4404166668
190.95,46.9136666667,73.8685000001,43.2099166667,48.8683333333,73.2510833333,24.5885,80.4526666667,71.9136666667,76.5430833332
191.33,45.54275,68.7985833333,43.70175,48.0619166667,71.7055,22.77125,76.0658333333,69.1859166667,78.0038333334
