wavelength,Back_RamFlam,Belly_RamFlam,Breast_RamFlam,Crissum_RamFlam,Crown_RamFlam,DorTail_RamFlam,Rump_RamFlam,Throat_RamFlam,WingTip_RamFlam
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,20.9523999999,15.2380666667,-12.3808666667,1.90479999998,25.7143333333,25.7142666667,29.5239333334,84.7618666666,52.3809333333
179.16,-36.8888666667,-160.4444,-158.2222,-111.555533333,-107.999933333,-50.2221999999,-36.4444666666,50.2221999999,-11.9999999999
179.54,173.9394,132.525333333,89.4948666666,129.798,130.202133333,147.2728,126.363666667,179.999933333,166.868733333
179.93,-146.666666667,-177.777733333,-134.444466667,-143.3334,-73.8888666667,-177.777733333,-124.4444,-181.111133333,-216.6666
180.31,215.2084,83.3332666666,73.8889999999,203.541666667,122.083266666,251.8056,252.222133333,454.027733333,307.2222
180.69,170.452866667,62.6268666667,55.8333333333,171.1776,88.0435333335,200.960133333,187.246333333,368.206533333,256.413
181.07,484.820466667,159.615333333,160.051266667,491.7436,185.487133334,590.358999999,534.2052,1053.8974,813.974333333
181.45,-560.345933334,-277.515733333,-223.522066667,-594.716999999,-174.748466666,-740.251533334,-614.779799999,-1223.05026667,-1086.66666666
181.83,-55.0532,-9.041,-3.45506666668,-68.4932000001,21.3698666667,-105.418666666,-69.3404666667,-195.910666667,-195.7636
182.21,-9.69386666666,23.1299333333,29.2466,-27.4759333333,43.5098666667,-65.7098000001,-20.0358000001,-130.042466667,-144.355
182.59,7.72626666665,21.4407333334,33.2836666667,5.96146666666,55.1744,-18.4295333334,20.4345333333,-44.1890666666,-89.1214000001
182.97,6.11106666666,8.28280000014,25.4881333333,18.3670666667,71.9865333333,-2.22213333334,31.8350666667,-5.82499999993,-71.9024
183.35,7.41706666667,3.06633333333,30.0576,15.2454,70.6709333333,-9.06213333334,38.2394666667,-6.1904666666,-68.052
183.73,22.8087333334,19.3045999999,47.217,32.1088,81.9409333333,3.94846666666,59.6946666667,14.1012,-46.8994666666
184.11,18.8311333333,15.6927333333,40.7792,24.8377333333,76.7857333334,-10.4546,56.158,2.70559999994,-48.1492666666
184.49,19.3906,6.03806666665,36.9986666667,18.1560000001,77.5209333333,-8.67179999999,47.2985333333,4.67773333326,-58.0174666667
184.87,21.9250666667,-8.40420000001,35.2988,33.384,78.2928666667,3.16100000006,38.8247333333,32.2086666667,-68.0546666666
185.25,28.762,-29.2857333333,33.492,66.1508666667,108.658666667,29.254,35.4364666667,91.8173999999,-96.1664666667
185.63,48.1185999999,-9.17246666673,46.6822,99.0865999999,136.3232,59.2193333333,60.6713333333,125.808,-79.6800000001
186.01,103.121666667,-34.2064,69.1005333333,434.338666667,387.433866667,286.957533334,151.269866667,490.317533334,-186.4022
186.39,46.0605333333,4.42413333334,33.515,189.212,172.606133333,111.697066667,65.0908,178.969800001,-84.0000000001
186.77,16.4463333334,-2.08113333342,14.1507333333,64.1100666667,70.1391333333,20.1391333333,13.8782666667,44.1217333334,-55.0608666666
187.15,4.984,8.26980000008,30.4601333334,117.412733333,75.4206000001,58.8650666665,19.1983333334,83.9920666666,-48.7461333334
187.53,-4.12033333326,23.5186000001,67.9167999999,234.120333334,123.4258,144.444533334,50.2314,163.750066666,-49.7221999999
187.91,-209.382733333,-394.938333334,-497.901266667,-1149.5062,-597.160533333,-847.9012,-534.444399999,-932.592533333,-284.938199999
188.29,-104.042333333,-189.555533333,-222.3068,-433.238066666,-239.523866667,-315.841266667,-223.079333333,-368.200933333,-154.836
188.67,-85.3654000001,-157.948733333,-196.7436,-349.012866666,-180.442333333,-251.461466667,-183.032066667,-287.1218,-126.9744
189.05,-42.9988,-84.5656000001,-101.472533333,-181.375933333,-86.7542000001,-129.8092,-93.5330666667,-143.302,-59.5848
189.43,-54.5605333333,-95.2133333332,-111.103266667,-178.129866667,-85.3392666667,-131.941066667,-95.7108666666,-140.558533333,-67.2389333334
189.81,-71.2068666668,-130.067466667,-145.502133333,-226.9416,-113.663133333,-171.854066667,-119.6876,-175.017533333,-85.3473999999
190.19,-92.1455333335,-197.800666667,-212.9846,-321.141733333,-162.8888,-244.6742,-174.935,-239.988533333,-116.1264
190.57,-69.1563333334,-138.722466667,-164.906666667,-225.006133333,-106.535733333,-172.210866667,-131.36,-171.803666667,-85.2072666667
190.95,-60.7804666665,-105.4266,-126.1574,-172.245466667,-75.1256666667,-126.379,-99.4776,-129.765066667,-66.1407999999
191.33,-93.6745999999,-157.0478,-181.563466667,-247.460266667,-115.166533333,-189.007866667,-156.119133333,-187.8016,-95.1030666666
191.71,-99.6794,-182.940866667,-195.1852,-274.289866667,-121.868533333,-212.769533333,-183.758933333,-209.320066667,-108.358266667
192.09,-94.7322666667,-164.401533333,-186.3518,-249.929066667,-110.535333333,-197.651,-165.593133333,-192.976333333,-103.414733333
192.47,-122.924266667,-222.843800001,-251.971866667,-334.010733333,-148.947066667,-270.798066667,-233.058333333,-253.601733333,-144.037533333
192.85,-210.050933333,-389.083933334,-421.692133334,-583.193466666,-259.503866667,-468.212399999,-408.537000001,-456.901933333,-249.179333333
193.23,-435.333333333,-837.697,-851.030266667,-1157.0302,-506.757533333,-922.757600001,-863.2728,-958.0,-517.2424
193.61,-345.394933333,-693.073999999,-672.666666667,-917.543133333,-416.679066667,-745.3086,-710.4568,-771.8766,-403.321066666
193.99,-394.795266667,-847.543799999,-849.766133333,-1114.64913333,-494.473733333,-904.912200001,-890.321666666,-965.467866667,-503.274933333
194.37,-774.619399999,-1670.6562,-1701.8636,-2198.08386667,-969.632666667,-1780.31493333,-1861.88973333,-1927.29646667,-1055.27553333
194.75,-182.995133333,-395.7166,-380.161133334,-499.774466667,-211.239866667,-383.880866667,-404.412200001,-429.339733333,-233.252866667
195.13,-86.8481333333,-192.977533333,-189.836666667,-233.964866667,-102.3158,-179.240066667,-193.0478,-207.615133333,-113.239
195.51,-78.1980666667,-202.378,-195.758333333,-244.040733334,-109.888333333,-183.5568,-200.844,-220.297866667,-116.1578
195.89,-63.8281333334,-152.941,-157.147733333,-181.252266667,-84.2396,-127.296666667,-147.630933333,-159.283,-88.1315333334
196.27,-41.8975333334,-104.139066667,-112.926866667,-120.714133333,-52.1018,-79.5646666667,-98.4318666667,-102.7344,-51.6475333334
196.65,-32.8076,-83.1086666666,-93.3025333333,-96.8743333333,-36.9021333333,-57.2582,-81.1646000001,-79.7679333333,-34.7964000001
