wavelength,Back_RamNigf,Belly_RamNigf,Breast_RamNigf,Crissum_RamNigf,Crown_RamNigf,DorTail_RamNigf,Rump_RamNigf,Throat_RamNigf,WingTip_RamNigf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,162.222266667,117.777733333,129.629733333,125.925933333,90.3704666668,132.592533333,129.6296,145.185133333,144.444466667
179.16,240.0,153.333333333,210.0,191.666666667,106.666666667,215.0,155.0,203.333333333,238.333333333
179.54,295.5556,222.2222,306.666666667,204.444466667,146.6668,231.111066667,224.444533333,300.000066667,228.888866667
179.93,146.666733333,137.1428,148.571333333,121.9048,129.523866667,157.142733333,132.381,149.523866667,134.285733333
180.31,129.042066667,103.0652,122.758733333,113.180133333,84.3676666667,124.904266667,105.593733333,124.137933333,114.099666667
180.69,129.278266667,105.154533333,125.910733333,117.3196,86.5293333333,126.116933333,108.384866667,123.711266667,116.426066667
181.07,117.581733333,99.2156666667,116.8628,107.647066667,81.2417999999,115.359466667,98.7582000001,113.790866667,106.339866667
181.45,105.444533333,91.8333333334,104.999933333,97.9999333334,75.8333333334,103.5556,89.6666000001,102.222133333,94.1667333333
181.83,98.7561999999,88.4576666667,98.8060666667,94.8756666667,74.6767333333,99.9999333333,87.4129999999,94.9252666666,91.7413333335
182.21,92.6852666668,83.7963333333,92.3610000001,90.8332,68.9352,93.8425999999,84.8611333334,89.6759333333,88.6573333333
182.59,89.6295333334,80.4358000001,86.8410666667,86.6230666667,66.4052,90.2396666667,84.4443333333,86.2308666667,85.2287333335
182.97,92.2737333334,81.7659999999,86.2251333333,88.1678666667,68.1235333333,91.6997333333,87.8146666667,87.1964,85.2980000001
183.35,94.3261999999,81.3238666667,87.3758,89.2198666667,66.8086,93.0495999999,89.2670666666,87.7068666666,84.2080666668
183.73,99.8438000001,84.8436666667,92.0312666667,93.6979333333,68.5416,98.0207999999,92.3437999999,92.8647333335,89.6355333334
184.11,104.16,85.9733333333,95.6266666666,96.5866666667,72.2666666666,99.7866666667,94.6133333333,93.9200000001,92.0000000001
184.49,106.082,89.0059333334,100.526266667,99.2397333334,71.9296666667,99.1226666667,97.1345333335,95.9649333332,93.9765333333
184.87,107.044,90.3774000001,100.125733333,97.8616,71.6980666667,98.9308666667,99.8112666667,96.2263333332,94.3395999999
185.25,122.051266667,100.439466667,113.113666667,111.1356,80.8059333333,112.4542,115.164866667,108.791266667,105.128066667
185.63,146.6666,122.037066667,135.5556,131.4814,96.8520000001,136.388866667,143.5184,134.9074,125.833333334
186.01,159.897266667,131.179533333,142.871733333,141.1282,103.897466667,141.948733333,153.025666667,150.4614,131.5898
186.39,162.885533333,135.5226,150.646733333,143.383,110.149333333,144.6766,154.925266667,154.228933333,124.676666667
186.77,168.850533333,144.597666667,164.9426,144.137866667,105.1724,141.0346,156.5516,155.976933333,128.7358
187.15,207.441933333,175.814,212.868266667,175.038866667,124.496,163.4108,193.178333333,190.077466667,156.434066667
187.53,165.111133333,150.2222,167.0,142.1112,113.6668,134.222266667,160.333333333,153.5556,130.666733333
187.91,160.923066667,153.2308,158.461666667,139.794866667,122.974266667,131.384533333,162.871933333,150.871666667,128.512866667
188.29,179.230733333,173.205066667,169.8718,151.025733333,136.923066667,145.0,186.7948,166.923,139.743666667
188.67,167.798733333,161.383666667,154.339733333,139.8742,131.823866667,141.761066667,179.370866667,162.515733333,126.792333333
189.05,156.2092,152.287733333,139.869333333,132.679866667,127.973866667,132.810533333,167.973866666,162.483533333,108.235333333
189.43,121.875066667,123.541666667,107.7084,108.541733333,101.979266667,104.166733333,135.937733333,131.458466667,82.7083333332
189.81,104.1228,109.035133333,92.5438666667,98.7719333333,89.4736666666,87.0175999999,117.807,116.052666667,74.4737999999
190.19,99.8333333332,106.75,87.9999999999,95.1666666667,84.6666666665,81.9999999999,113.0,107.833333333,70.5833333333
190.57,104.135133333,111.3924,88.4389333334,100.759666667,92.1519333333,81.4344666667,115.527466667,113.839666667,79.9999333334
190.95,102.045466667,112.2728,88.5605333333,106.0606,98.8635333334,86.2122000001,116.515333333,117.045466667,80.2274666666
191.33,91.5211333334,105.825333333,79.8705333333,99.6116000001,95.1456,80.7766666667,109.061533333,108.155266667,72.8155999999
191.71,85.3216,101.228066667,76.5496000001,96.3158666667,91.5204666665,75.0292666666,101.579,102.339266667,70.6433333334
192.09,79.6206666667,97.1272666667,72.2492666667,91.2736666667,86.7209333333,71.3279333334,94.4173333333,97.7777999999,64.7696666667
192.47,79.2709333333,95.9897333333,73.7499999999,91.2500666665,86.6667999999,70.0520666666,94.1146,98.8541999998,64.3751333333
192.85,78.3715333333,95.4198000001,72.7228000001,91.8064666665,87.0738666666,68.7531333333,92.1119333334,100.152733333,66.4121333333
193.23,74.7863333333,88.0769333332,70.7265333333,84.4871333333,79.4872,64.5299333334,86.2392666667,91.9658666667,65.641
193.61,77.8196,90.3563333333,72.7461999999,84.9895333333,82.7253333333,66.7925333334,87.6310666667,94.0880666667,69.2243333334
193.99,76.71,87.7488666667,70.2164666666,81.5584,84.4156000001,65.4112,87.2293333333,91.2554666666,67.143
194.37,72.7054,87.9226666667,67.3428666667,78.0192,85.7004666667,62.5121333333,87.198,91.5942666667,63.14
194.75,63.8095333333,83.9682666667,57.5131999999,70.1586666667,79.9469999999,53.8624666667,80.8464666667,84.8148,52.1163333334
195.13,60.0543333333,80.3252666667,50.9485333333,65.5285333333,78.4281333333,48.8889333333,76.6396666667,81.6262,47.8048666667
195.51,55.978,78.6776,46.8319333333,61.2121333333,72.7823333333,45.7300666667,71.2396666667,79.2286,46.2258666667
195.89,60.1980666667,83.4982666667,46.2045999999,63.9604,76.5017333334,47.7228,77.1618666667,89.307,47.7226666667
196.27,58.4666666667,78.9333333333,43.1333333334,61.5333333333,71.2666666667,43.4666666667,73.4,86.8666666666,47.6666666667
196.65,54.6952666667,80.1434666667,37.3476666667,60.4302,68.2438,38.4228666667,68.0287333333,84.3010666667,46.2365333333
197.03,60.1776666667,93.1555333333,39.2889333334,63.6443333333,75.4665999999,34.5777333333,74.5776666667,91.9112,50.3112
197.40,68.4276666667,113.459133333,34.3396,79.1195333334,95.3459333333,30.9433333334,85.7862000001,111.194933334,57.61
197.78,51.4102666667,101.282,18.9744,65.3846666667,85.7690666666,17.6924666667,67.0512666666,99.1025333333,40.8974666667
198.16,36.6667333333,85.6789333333,2.83953333339,47.7778,64.9383333334,-2.0988,41.9753333333,77.7778666667,24.0740666667
198.54,42.5287333334,85.5172,6.8966,52.7585333333,70.2299999999,1.37933333334,43.4482666667,79.8851333333,32.7586
198.92,48.6524666667,91.3474,4.25540000001,54.6100000001,82.2695333333,-2.83686666669,39.7162666667,91.4893333334,32.7658666667
199.30,27.8333333333,69.6666666667,-21.6666666667,36.1666666667,62.8333333333,-34.1666666667,5.99999999998,72.0000000001,15.0
199.68,-3.88893333334,46.6666000001,-94.1666666666,9.4445333334,65.2778666666,-124.999933333,-57.2222000001,67.7778,-36.1111333333
200.06,-56.7901333333,-8.14813333326,-121.975266667,-34.5680000001,15.3086000001,-165.678933333,-100.493933333,12.3456666666,-67.1604000001
200.44,-143.174666667,-77.7778000001,-205.0794,-95.873,-45.7142666668,-274.6032,-191.745866667,-57.4603333333,-139.999866667
200.82,-167.536333333,-113.333333333,-229.5652,-121.739066667,-71.3043333333,-291.304333333,-207.536333333,-85.7971333333,-162.3188
201.19,-110.857066667,-84.9525333334,-160.5714,-78.0952666667,-40.3810000001,-180.7618,-128.000066667,-55.9999333333,-109.7142
201.57,-126.021533333,-89.8924666667,-185.3764,-90.1074666668,-49.4623333333,-198.494733333,-145.3764,-65.8064666667,-127.957
