wavelength,Back_RamPasf,Belly_RamPasf,Breast_RamPasf,Crissum_RamPasf,Crown_RamPasf,DorTail_RamPasf,Rump_RamPasf,Throat_RamPasf,WingTip_RamPasf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,-35.5555555554,-68.888888889,-48.8888888889,-44.4444444444,-75.5555555557,-73.3333333332,-133.333333334,-144.444444444,-104.444444445
179.16,49.9999999999,94.4444444444,94.4444444443,38.8888888889,38.8888888887,44.4444444446,111.111111111,300.0,94.4444444443
179.54,98.9898888889,90.9092222222,76.7677777779,88.889,100.000111111,79.7978888889,77.7777777778,51.5151111111,61.6161111111
179.93,222.222222222,99.9998888888,66.6667777779,122.222111111,85.1853333335,229.629666667,111.111,-55.5554444443,-18.5185555556
180.31,25.505,-17.1716666667,-15.1514444444,21.9696666667,-6.56566666666,35.8587777778,-16.9191111111,-99.7473333333,-44.6970000001
180.69,31.5151111111,4.84844444446,-3.63622222222,33.5354444444,2.82822222223,49.697,2.62611111109,-74.1414444446,-20.202111111
181.07,39.658,19.8291111111,1.36777777779,43.2476666667,13.6754444444,61.5384444443,20.6837777778,-43.0768888889,-2.39299999997
181.45,41.5987777778,29.1326666667,16.2602222222,45.935,20.4606666667,62.0595555555,31.1654444444,-17.3443333334,11.1111111111
181.83,29.2237777778,19.026,4.10955555557,33.942,6.697,60.1217777778,23.4398888889,-35.7685555556,-0.000111111100001
182.21,20.7602222222,19.2983333333,-0.7308888889,26.6081111111,7.60244444447,51.1695555556,23.2456666666,-35.8187777778,2.4852222222
182.59,22.7053333334,23.6715555556,-2.41533333333,27.2142222222,4.50888888887,52.3346666667,29.3076666666,-42.6731111111,2.89855555553
182.97,36.8055555555,45.9722222222,17.9166666667,45.4166666667,25.5555555556,66.3888888889,45.9722222222,-12.5,29.1666666667
183.35,31.6118888889,54.1471111111,8.4507777778,44.288,25.5085555556,66.8233333333,51.7995555556,-15.493,26.7604444445
183.73,27.5985555556,56.9893333333,-9.49844444444,32.4371111111,25.6273333333,67.0252222222,47.6703333333,-24.1935555556,23.2973333333
184.11,32.2222222222,60.0,-8.73022222222,30.1586666667,28.254,66.3491111111,44.6032222222,-14.9206666667,29.2065555555
184.49,22.7847777778,51.1956666667,-15.19,22.7846666667,19.1281111111,55.8368888889,33.3335555556,-17.4402222222,27.5667777778
184.87,22.3684444445,46.0526666667,-15.9355555556,22.6608888889,21.199,51.1695555555,31.579,-22.9531111111,23.5378888889
185.25,22.5266666667,47.3365555556,-8.98022222223,23.44,24.353,50.8371111111,31.5068888889,-28.6148888889,27.0927777778
185.63,16.2392222222,39.1451111111,-26.4955555555,17.265,14.188,39.829,20.5127777778,-43.7607777778,22.2222222222
186.01,25.5555555556,41.5277777778,-13.1944444444,28.0555555556,20.9722222222,37.5,23.3333333333,-17.6388888889,32.5
186.39,33.7122222222,42.1717777778,-7.197,33.7121111111,20.5807777778,36.9951111111,27.399,-9.46988888889,35.7323333333
186.77,30.0365555555,36.3857777778,-7.69222222223,34.4322222222,22.1,31.0133333333,24.2978888889,-3.05244444444,37.851
187.15,32.7885555556,35.2942222222,-1.7427777778,36.9281111111,24.5098888889,27.9956666667,28.2135555555,3.3768888889,37.6907777778
187.53,38.3838888889,40.303,9.59577777777,44.6463333333,29.2931111111,31.7171111111,33.1312222222,13.7372222222,44.8485555556
187.91,37.3914444444,38.9372222222,17.2946666667,49.1787777778,31.3044444444,32.0773333333,38.9373333333,16.2318888889,48.5022222222
188.29,42.6703333333,47.2454444444,30.8123333333,58.17,38.0953333333,37.0681111111,49.7666666667,19.0477777778,56.3025555556
188.67,51.9125555555,57.4681111111,42.3496666667,64.4807777778,45.7195555556,43.8981111111,59.5628888889,26.867,63.1147777778
189.05,54.9181111111,60.8378888889,44.8087777778,63.5703333333,45.6284444445,41.4391111111,59.4718888889,31.4208888889,64.5717777778
189.43,54.5454444444,60.6058888889,45.0872222222,61.7081111111,43.4344444445,37.4655555556,57.8512222222,30.762,63.912
189.81,59.776,64.1687777778,49.0955555556,60.7235555556,46.6838888889,42.205,63.0491111111,35.5727777778,65.1163333333
190.19,68.3837777778,74.8484444445,55.8586666665,69.1921111111,52.5253333333,48.8887777778,73.5353333333,37.0706666667,74.3434444445
190.57,70.4762222222,81.4814444444,60.7407777778,74.3915555556,56.6136666667,53.7567777778,77.672,43.2804444444,80.2115555555
190.95,69.9896666667,81.9313333332,60.643888889,71.4434444445,54.621,54.9324444445,76.5315555556,43.7175555556,76.7395555556
191.33,66.2588888889,75.841,59.5311111112,64.3221111111,50.051,51.3763333333,71.5595555556,41.2844444444,70.642
191.71,60.5443333333,71.9954444444,54.6484444445,56.6892222222,44.6711111111,39.1156666667,65.5327777778,32.7663333333,67.6872222222
192.09,69.248,77.7776666667,62.065,60.9426666667,52.7497777778,44.2197777778,70.9315555556,38.945,73.176
192.47,72.3485555555,80.808,62.6262222221,63.2577777778,58.3333333335,48.4848888889,74.6212222222,45.2022222222,76.1363333333
192.85,66.8375555556,81.8802222223,53.5042222223,57.7778888889,49.0598888889,32.6494444444,73.6752222222,37.9486666667,74.188
193.23,57.9364444443,80.754,44.0475555555,49.9998888889,40.0793333334,17.6588888889,77.7778888889,29.3651111111,73.6112222222
193.61,66.1201111112,85.245888889,45.1729999999,56.2841111111,51.7304444444,20.4006666667,91.6212222221,44.2622222222,83.9707777778
193.99,58.4797777777,84.9903333333,44.8343333335,65.8868888889,62.1832222222,15.0097777778,95.5165555557,44.8343333333,89.0838888888
194.37,52.1073333334,76.6283333334,47.7012222222,58.8122222222,57.0880000001,8.046,94.4445555557,46.1685555556,86.0153333332
194.75,43.6506666668,77.2485555557,44.1797777777,60.0528888889,58.9946666665,-9.52366666653,104.497333333,39.1534444445,98.148
195.13,33.3333333336,84.5238888888,40.4761111112,67.857111111,68.6507777777,-38.0953333333,122.619111111,36.5078888889,133.730222222
195.51,-13.333333333,144.444444445,-15.5555555557,163.333333334,104.444444445,-192.222222222,270.0,15.5555555554,313.333333333
195.89,105.128333334,128.205111111,41.0256666667,229.059888889,148.718,-58.9742222222,311.110888889,94.017,317.094
196.27,109.356666667,124.561444445,56.725111111,218.128666667,126.900333333,-2.92411111133,263.157888889,130.409333333,251.462
196.65,107.986111111,102.430555555,73.2638888889,163.888888889,109.027777778,29.1666666667,195.833333333,136.111111111,202.083333334
197.03,153.472222222,123.958333333,102.430555555,201.736111111,156.25,76.388888889,237.847222222,178.125,245.833333333
197.40,195.238111111,146.825222222,132.936333333,249.603111111,206.349222222,119.841333333,286.507888889,215.079333333,296.825333333
197.78,3700.0,2366.66666667,2466.66666667,5488.88888889,4444.44444445,2477.77777778,6433.33333333,4555.55555556,6577.77777778
198.16,-231.746111111,-120.634777778,-150.793777778,-356.349222222,-254.762,-137.301666667,-392.063444444,-280.952333334,-418.254111111
198.54,-279.629555555,-133.333333333,-165.740555556,-447.222222222,-348.148111111,-155.555555555,-458.333333333,-333.333222222,-482.407333333
198.92,584.126888889,347.619111111,453.968111112,855.555444446,717.460222222,380.952333333,861.90488889,730.158666666,963.492
199.30,227.053,175.362333333,190.821222222,293.719888889,253.623222222,150.724666667,305.313888889,260.869666667,348.792333334
199.68,241.666666667,193.518444444,206.018444444,285.648222222,241.203666667,153.703888889,312.963,268.055444444,352.777888889
200.06,186.111,163.426,176.851777778,221.296333334,192.592666667,112.963,261.111111111,239.352,306.481333333
200.44,231.623888889,200.854666667,225.641,261.538555556,265.811888889,73.5043333334,349.572777778,323.931777778,447.008444444
200.82,-93.5184444443,-80.5556666666,-99.9999999998,-114.814777778,-101.851888889,89.814777778,-212.963,-172.222222222,-325.0
201.19,0.7407777779,-37.7777777777,-60.7407777777,-34.0742222221,-16.2962222222,110.370444444,-111.111,-76.2963333333,-207.407333334
201.57,62.1212222223,2.52511111113,-6.06066666667,20.7071111111,30.303,109.090777778,-22.2222222222,-30.8082222222,-113.131333333
201.95,82.5395555556,10.582,14.2857777778,41.2698888889,46.0318888888,146.560666667,10.0528888889,-21.1640000002,-106.878444444
202.33,179.738777778,43.137222222,77.1242222221,137.908555555,109.804,232.679888889,59.4771111111,15.0328888888,-81.0458888888
202.71,149.794222222,59.6706666666,81.893111111,126.337333333,127.160444445,182.716222222,65.0206666667,26.7488888889,-8.64200000012
203.09,109.166666667,58.0555555556,70.2777777778,95.8333333333,99.4444444446,139.722222222,42.2222222222,25.5555555557,9.44444444446
203.47,89.7777777779,55.3333333333,60.6666666668,76.8888888889,75.7777777779,114.0,32.4444444445,17.1111111111,16.4444444445
203.85,89.8147777777,53.9351111111,57.4074444446,78.0094444443,64.1203333334,109.027777778,37.963,9.95366666667,14.3517777778
204.22,70.6348888889,36.5078888889,43.849,54.7618888888,45.0395555556,79.365,18.6507777778,-0.397,4.96033333333
204.60,74.8016666665,37.6984444444,42.4601111111,52.7776666668,49.0078888889,68.8493333335,11.7063333333,-3.77000000003,6.34933333332
204.98,79.320888889,25.3086666667,35.8025555556,46.9135555554,45.3703333333,62.6542222222,-13.5802222222,-44.7532222223,-19.1357777778
205.36,71.2644444443,32.567,17.2414444444,29.1186666666,30.6514444446,63.6014444444,-41.7623333332,-96.934888889,-46.7432222222
205.74,64.5503333335,46.5608888888,-1.58733333333,16.402,18.5184444443,82.0106666667,-102.116555556,-151.322555555,-75.6616666666
206.12,93.8272222221,40.740777778,-91.3579999999,-41.9753333336,-7.40744444433,104.938222222,-340.740555556,-465.432,-220.987777778
206.50,20.8333333334,59.7222222222,-33.3333333333,-41.6666666666,1.38888888887,32.6388888887,-200.0,-266.666666667,-145.138888889
206.87,-37.5,69.4444444447,-155.555555556,-163.888888889,-91.6666666668,-59.722222222,-461.111111111,-554.166666667,-429.166666667
207.25,5.22866666667,57.5163333334,-62.0913333333,-64.0524444443,-11.1112222222,-12.4184444442,-186.274555556,-232.679888889,-187.581555556
207.63,11.5555555555,47.5555555555,-38.6666666667,-35.9999999999,12.0,-9.33333333333,-121.777777778,-152.888888889,-120.444444444
208.01,18.638,59.4981111112,-32.9747777778,-11.4695555555,18.6378888889,15.0536666667,-93.5483333334,-112.544666667,-82.7957777779
208.39,6.56555555557,53.5354444443,-91.919111111,-43.9394444446,-5.55544444447,15.1514444446,-141.919222222,-172.727333333,-138.384
208.77,-38.0953333333,65.0794444443,-191.27,-110.317444445,-53.9682222223,9.52366666643,-245.237888889,-292.857,-269.841222222
209.14,-12.5603333334,53.6233333334,-115.458888889,-78.2608888888,-38.1642222222,28.5023333332,-144.927555555,-171.014444444,-153.139888889
209.52,26.1903333333,51.1903333332,-53.5714444445,-37.6983333332,-3.96833333333,61.1109999999,-81.7460000002,-96.4286666664,-89.6825555556
209.90,29.321,46.2963333333,-22.8395555556,-16.0494444444,4.9382222222,54.0124444445,-37.3458888889,-57.715888889,-52.7778888888
210.28,29.4444444445,39.4444444443,-13.3333333333,-17.7777777778,4.16666666667,57.7777777778,-35.0,-38.8888888888,-51.1111111111
210.66,0.635,-6.03177777788,-47.6192222222,-48.2540000001,-24.127,48.5716666666,-66.3492222222,-73.9682222223,-75.8727777777
211.03,-17.5084444444,-27.6093333332,-68.350111111,-68.3502222222,-48.8215555554,36.027,-80.4715555557,-92.2558888888,-94.2762222222
211.41,-101.851888889,-99.3826666667,-183.333333333,-168.518555556,-158.642111111,22.8396666667,-201.234555555,-206.79,-222.222222222
211.79,-163.888777778,-134.259222222,-301.851777778,-265.740888889,-247.222222222,43.5184444443,-316.666555555,-297.222,-346.296222222
212.17,-131.25,-116.666666667,-213.194444444,-206.25,-182.638888889,8.33333333343,-254.166666667,-209.722222222,-284.722222222
212.55,-147.619,-100.793777778,-213.492,-192.857111111,-171.428666667,23.0160000001,-251.587333333,-217.460222222,-314.285666667
212.92,-83.8888888888,-34.4444444444,-105.555555556,-89.4444444447,-67.2222222221,37.2222222221,-130.0,-128.333333333,-165.0
213.30,0.241444444443,16.6666666667,-8.45399999998,5.07255555553,1.44933333333,47.3431111111,-21.2562222222,-20.2896666667,-37.6811111111
213.68,-0.2268888889,25.6236666667,-7.02966666667,12.2451111112,10.204,45.8048888889,-14.0588888889,-11.7913333334,-26.7574444444
214.06,-1.626,30.3523333332,-11.6531111111,14.9051111111,16.531,43.9023333333,-18.6991111111,-19.2412222222,-34.1463333333
214.44,-33.3332222222,35.8974444445,-34.6154444445,16.6665555556,20.512888889,30.769111111,-43.5897777778,-53.846,-64.9574444443
214.81,-25.0,104.861111111,-31.2500000001,74.3055555557,40.2777777777,66.6666666668,-40.9722222223,-63.1944444445,-77.7777777778
215.19,0.000111111133332,142.063333333,3.17466666653,103.174666667,80.1588888887,119.047777778,-23.8093333333,-65.0794444444,-53.1746666667
215.57,47.9166666667,140.277777778,70.1388888889,120.833333334,95.1388888889,118.055555556,20.1388888889,-40.9722222222,-4.16666666667
215.95,52.7777777777,268.055555556,172.222222222,226.388888889,187.5,194.444444444,31.9444444447,-113.888888889,-34.7222222222
216.32,116.666666667,550.000000001,352.777777778,411.111111111,347.222222222,413.888888889,69.4444444447,-200.0,49.9999999999
216.70,127.407333334,245.925888889,194.074111111,191.851777778,181.481555555,188.888888889,102.963111111,45.926,104.444444444
217.08,134.444444444,202.777777778,158.888888889,147.222222222,147.222222222,185.0,103.333333333,45.5555555555,73.3333333332
217.46,327.777777778,568.518666667,420.370555556,374.074111111,442.592444443,627.777888889,285.185111111,129.629666667,177.777777778
217.83,-240.740777778,-522.222222222,-374.074,-296.296333333,-340.740555556,-605.555555556,-257.407333334,-48.148222222,-159.259222222
218.21,-83.8383333335,-226.262555556,-150.505111111,-100.000111111,-163.636444445,-306.060444444,-129.293,39.3938888887,-27.2725555555
218.59,136.507888889,249.206333333,188.095222222,132.539666667,186.508,300.793777778,189.682333333,25.3968888889,112.698333333
218.97,88.4613333333,157.692222222,117.094111111,69.6583333332,134.615444445,157.265,114.957333333,32.906,77.7777777778
219.34,98.1982222222,138.438333333,110.810777778,86.4866666667,122.222222222,136.336222222,115.015,66.6666666668,100.300222222
219.72,91.4045555555,119.496666667,101.048222222,89.7274444446,110.272666667,116.142666666,102.935111111,74.2138888889,104.612
220.10,91.2592222222,109.037111111,95.5555555554,89.777888889,100.740666667,104.000111111,101.333111111,79.2593333332,107.703777778
220.47,84.4137777778,104.012222222,93.8272222222,84.8766666667,97.6851111112,95.9876666666,98.9197777777,70.9876666667,102.469111111
220.85,70.5313333333,83.5749999999,80.9983333333,65.3785555556,82.2865555557,81.6424444446,80.3542222222,53.9451111111,89.211
221.23,82.1351111111,95.207,102.396444444,79.7385555556,96.0785555556,95.4248888888,94.1177777777,71.0238888889,120.043555556
221.61,117.562666667,135.125555556,154.480444444,128.673888889,135.483888889,126.164777778,140.143333333,95.3405555556,177.777777778
221.98,110.353555556,117.929333333,130.808111111,127.272777778,121.969666667,111.616222222,116.666777778,88.6364444444,142.424222222
222.36,112.345777778,126.173,142.963,140.494,125.185111111,125.185333333,117.530888889,102.469222222,156.296111111
222.74,159.027777778,175.694444445,204.513888889,212.152777778,184.027777778,185.763888889,178.472222222,161.111111111,224.305555556
223.11,190.873111111,202.777777778,234.523888889,245.238222222,204.365111111,214.682444444,205.952444444,194.841222222,249.999888889
223.49,310.457444444,310.457444444,362.745,396.078444444,343.137222222,329.411888889,325.490111111,281.699222222,373.202666667
223.87,-5022.22222222,-4966.66666667,-5600.0,-5900.0,-5711.11111111,-5366.66666667,-5266.66666667,-4300.0,-5533.33333333
224.24,-216.666666667,-204.321,-254.321,-270.370444445,-264.197777778,-255.555444444,-235.802444445,-180.864222222,-246.296222222
224.62,-299.346444444,-278.431555556,-332.026222222,-374.509777778,-350.980333333,-350.326777778,-334.640777778,-277.777777778,-345.751555556
225.00,-298.765444444,-283.950555555,-320.987555556,-375.308888889,-358.641888889,-339.506111111,-358.024777778,-280.246888889,-343.209777778
225.38,-632.222222222,-622.222222222,-670.0,-740.0,-753.333333333,-673.333333333,-748.888888889,-596.666666667,-678.888888889
225.75,-547.863222222,-564.957222222,-557.265,-607.692222222,-652.991333333,-548.717777778,-617.948777778,-511.111222222,-595.726555555
226.13,-162.280777778,-172.222222222,-169.005888889,-173.391777778,-199.707555555,-148.245555556,-173.976666666,-147.953222222,-176.023444444
226.51,-161.616222222,-162.878777778,-156.565777778,-156.313222222,-189.898888889,-141.414111111,-155.303111111,-134.343555556,-160.100888889
226.88,-111.290333333,-111.111222222,-100.895777778,-100.358666667,-126.702444444,-92.294,-93.7276666667,-86.2006666666,-101.971333333
227.26,-71.6338888889,-64.9672222222,-61.6993333333,-61.9605555555,-83.3987777778,-64.5752222222,-61.83,-49.6731111111,-71.2417777778
227.64,-57.2171111111,-50.3635555555,-52.3364444444,-47.8712222222,-65.9398888889,-53.8942222222,-48.702,-42.2638888889,-55.7634444444
228.01,-50.0458888889,-42.4243333333,-46.189,-43.2505555555,-59.4122222222,-48.8523333333,-43.1588888889,-40.2203333333,-46.6482222222
228.39,-36.4975555555,-30.0957777778,-35.9088888889,-30.0957777778,-45.6952222222,-35.688,-29.2126666667,-30.7578888889,-30.6106666667
228.76,-32.9502222222,-26.1812222222,-33.2056666666,-23.1162222222,-41.2515555556,-31.6092222222,-23.9464444445,-25.6704444444,-22.5414444444
229.14,-34.2841111111,-28.8768888889,-37.7895555555,-26.2626666667,-40.9387777778,-35.4723333333,-25.7872222222,-26.8567777778,-25.728
229.52,-31.567,-25.6408888889,-35.1566666667,-24.1593333333,-36.0684444444,-33.7322222222,-22.2221111111,-23.134,-24.8433333333
229.89,-29.538,-21.5071111111,-32.3983333333,-21.6172222222,-31.6282222222,-31.958,-19.3068888889,-20.737,-22.167
230.27,-29.2341111111,-19.9568888889,-31.5532222222,-21.8445555556,-33.8188888889,-34.3582222222,-22.8694444444,-24.11,-23.3547777778
230.65,-16.5638888889,-9.4651111111,-20.422,-12.1912222222,-23.6626666667,-23.4568888889,-13.3745555556,-16.9237777778,-13.683
231.02,-9.72211111112,-3.02577777778,-14.4345555556,-7.19244444445,-17.2122222222,-19.0477777778,-8.18444444443,-12.9463333334,-9.02777777779
231.40,-7.90122222223,-3.11122222222,-14.3703333333,-7.95055555554,-15.7035555556,-17.4321111111,-6.66677777778,-12.9383333333,-5.531
231.78,-2.28188888889,-0.84322222222,-9.92077777779,-5.40677777778,-11.5575555555,-13.6905555556,-3.125,-10.6646666667,-2.77755555554
232.15,-0.892888888887,0.0993333333343,-5.70433333333,-2.43055555556,-8.58122222221,-12.0534444445,-0.34722222222,-8.38288888888,-2.43066666667
232.53,0.608777777777,1.47111111111,-0.862555555556,0.55811111111,-5.32722222221,-9.13244444445,0.40611111111,-6.1391111111,-0.253777777777
232.90,7.54977777779,6.83766666667,7.31233333333,4.84333333333,2.2791111111,-0.902111111113,6.26777777779,-0.854777777777,3.37111111111
233.28,9.98655555554,10.9761111111,13.1353333333,8.5918888889,5.57811111111,3.82366666666,10.3914444444,0.584666666667,7.33244444445
233.66,12.8074444444,14.6308888889,17.0907777778,10.7294444445,7.9728888889,7.80322222223,13.062,3.435,11.0687777778
234.03,12.6925555556,15.9384444445,18.3104444444,10.9861111111,8.19811111111,8.78055555555,12.5675555556,3.74533333334,11.4023333333
234.41,15.7854444444,19.4251111111,20.9962222222,13.9464444444,13.3717777778,12.2605555555,15.9771111111,8.92711111112,14.9808888889
234.78,12.4402222222,17.128,18.1985555556,11.8494444444,11.9601111111,11.2956666666,12.6615555555,8.85933333332,13.8428888889
235.16,7.54244444446,11.7734444444,13.9442222222,7.35833333333,6.84322222222,8.57244444445,7.83677777778,5.77633333332,10.8168888889
235.54,2.08577777778,8.87377777777,11.6421111111,5.30911111111,4.01977777778,5.30911111111,5.23311111111,2.16166666667,7.81188888888
235.91,-1.64055555556,6.6371111111,8.72477777777,2.75899999999,0.895000000003,2.27444444445,2.31155555556,0.932222222223,6.48788888888
236.29,0.000111111113333,8.22644444443,8.68955555557,3.56133333333,1.923,3.77511111111,2.386,3.56133333333,8.51122222221
236.66,-0.304000000002,8.64566666667,7.66633333333,2.668,1.317,3.47855555555,1.65466666667,4.32288888889,7.09233333333
237.04,-5.10588888889,6.29244444446,3.416,-0.10777777778,-3.308,-0.251666666667,-2.51711111111,1.86988888889,4.24311111111
237.41,-7.67544444444,3.17977777778,0.109666666668,-3.10666666667,-6.17688888889,-3.50866666667,-6.21333333333,0.548333333333,2.08333333333
237.79,-11.4854444444,-2.02022222222,-4.33977777778,-6.95844444445,-10.5498888889,-8.08066666667,-11.7471111111,-3.21744444443,-2.35711111111
238.17,-10.6837777778,-4.09544444445,-5.48433333333,-6.58833333334,-10.7194444444,-8.6538888889,-10.933,-2.59977777779,-2.49288888889
238.54,-15.8625555555,-8.95466666665,-10.2338888889,-11.1841111111,-16.0451111111,-11.6228888889,-14.766,-6.39622222222,-7.67533333332
238.92,-15.9168888889,-9.84988888889,-10.1907777778,-12.6106666667,-15.8486666667,-11.7244444444,-14.0763333333,-7.60044444445,-9.33866666668
239.29,-11.0508888889,-5.31533333333,-6.99688888889,-7.71766666668,-11.1112222222,-7.20722222222,-9.18911111111,-3.69377777777,-5.85577777778
239.67,-6.80177777777,-2.51811111111,-4.15399999999,-5.55544444445,-8.20355555555,-4.10188888889,-7.06122222221,-0.80477777778,-3.45266666667
240.04,-3.62033333334,-0.113777777778,-2.09466666666,-3.30144444445,-5.46455555556,-1.32055555556,-5.53277777778,0.40966666667,-2.09466666666
240.42,-3.45855555556,-1.41111111111,-3.081,-3.47855555556,-5.00877777778,-0.874333333333,-5.80411111111,-0.377777777777,-2.30577777778
240.79,-2.16766666667,-1.007,-2.62855555556,-2.15055555555,-2.509,0.597444444444,-4.13022222222,0.221888888887,-0.512
241.17,-0.187888888888,0.62111111111,-0.375777777778,0.029000000001,-0.303444444444,2.49966666666,-1.87833333333,2.21055555556,1.71944444445
241.54,1.79444444445,2.56877777778,1.53644444444,1.86833333333,1.54877777778,4.44944444445,0.0245555555557,3.87155555556,3.39244444445
241.92,2.76433333333,3.96744444445,2.18966666667,3.10033333333,2.504,5.561,1.34411111111,4.954,4.78055555555
242.29,2.98233333333,4.249,2.36388888889,3.27155555556,2.71288888889,5.88455555555,1.17677777778,5.17633333333,5.25633333333
242.67,3.04466666666,4.00955555555,2.38877777778,3.42888888889,2.745,5.62111111111,0.946222222223,5.01233333333,5.37744444444
243.05,2.87733333333,3.99022222222,2.46111111111,3.61911111111,2.41588888889,5.32022222222,0.416222222222,4.67788888889,5.14833333334
243.42,1.77955555556,2.85466666666,1.50877777778,2.43,1.38211111111,4.22777777778,-0.650111111112,3.44177777778,4.04711111111
243.80,1.647,2.28822222222,1.14844444444,2.19922222222,1.13944444444,3.92633333333,-0.614333333334,3.29411111111,3.83722222222
244.17,1.68,2.373,1.08244444444,2.28633333333,1.48088888889,4.00977777778,-0.173333333332,3.51622222222,3.91444444444
244.55,1.75133333333,3.02633333333,1.59833333333,1.96366666667,1.80244444444,4.021,0.0253333333323,3.48555555556,4.23355555556
244.92,1.62088888889,3.15266666667,1.94488888889,1.66944444444,1.13444444445,3.45266666667,-0.113555555554,3.36344444444,4.01977777778
245.30,1.86433333333,3.30344444445,2.03577777778,1.40944444445,1.35711111111,3.38566666667,-0.134111111112,3.33333333333,3.96711111111
245.67,1.76544444444,3.42088888889,2.007,1.469,1.44144444444,3.25522222222,0.172333333332,3.31066666667,4.03466666666
246.05,1.40944444444,3.143,1.84766666667,1.162,1.35233333333,2.92688888889,0.222333333333,2.95866666666,4.00011111111
246.42,1.45977777778,3.39211111111,2.04222222222,1.36155555555,1.49988888889,2.99977777778,0.796333333335,2.87877777778,4.34988888889
246.79,2.23277777778,4.27155555555,2.79877777778,2.15922222222,2.24822222222,3.85222222222,1.83955555556,3.60055555556,5.20433333333
247.17,1.9,4.09877777778,2.55122222222,2.01744444444,2.10066666667,3.76088888889,1.802,3.64322222222,5.06344444444
