wavelength,Back_RamSanf,Belly_RamSanf,Breast_RamSanf,Crissum_RamSanf,Crown_RamSanf,DorTail_RamSanf,Rump_RamSanf,Throat_RamSanf,WingTip_RamSanf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,10.0000666667,-14.4444666667,20.0,31.1110666667,58.8889333333,15.347275,-13.6667133333,7.77773333334,18.8887999999
179.16,48.3333333334,69.1666666669,50.0,57.5000000001,48.3333333334,66.71875,77.1666666666,58.3333333333,46.6666666667
179.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179.93,-96.0000000001,-29.3333333333,-10.6666666667,-60.0,-67.9999999999,-4.24999999994,-5.33333333333,-73.3333333333,-25.3333333332
180.31,494.666666666,400.000000001,621.333333333,652.0,580.0,398.250000001,327.466666667,617.333333334,493.333333333
180.69,198.974333333,185.641066667,261.025733333,274.359,231.281933333,190.673108333,129.846126667,252.307666666,206.6666
181.07,230.416666667,221.25,275.0,282.916666667,222.5,235.130208333,171.25,264.166666667,218.75
181.45,153.535333333,159.191866667,172.9294,182.4242,150.303,160.845916667,114.828213333,171.717266667,142.4242
181.83,154.901933333,153.921533333,169.215733333,186.078466667,152.549,162.0464875,114.078406667,166.862666667,144.313533333
182.21,104.654066667,112.452933333,116.477933333,133.333333333,106.1636,116.8474125,82.3522066668,116.855333333,102.389933333
182.59,119.4152,126.432866666,123.157866667,138.128666667,113.2164,126.052670833,96.1989066666,128.888933333,106.4326
182.97,116.0234,125.497066667,112.514733333,132.865466667,106.081933333,115.5482375,88.9941866665,123.040933333,99.8829999999
183.35,115.747066667,125.862,107.931,127.011333333,108.161,113.5488125,83.8504933332,124.597666667,93.7932
183.73,102.2564,109.8462,89.1280000001,108.820533333,92.4101333334,95.9488666667,65.5281533333,109.538466667,74.5641333333
184.11,124.296333333,133.925866667,97.4815333333,130.666533333,106.9628,113.8518625,62.75556,128.296333333,80.8888666666
184.49,201.555533333,199.111133333,145.111133333,196.889,160.222266667,178.874979167,94.8221933335,202.888933333,112.666666667
184.87,556.9698,509.696933333,387.8788,510.303066667,437.575733333,435.947025,252.060566667,561.212066667,298.1818
185.25,697.500000001,642.5,484.166666667,661.666666667,599.166666667,508.020833333,306.25,749.166666667,367.5
185.63,395.384533333,355.384533333,284.102533333,370.2564,357.436,292.500070833,192.0,458.4616,201.5384
186.01,464.666666667,425.333333333,340.0,458.0,424.666666667,339.041666667,206.333333333,561.333333333,209.333333333
186.39,-380.666666667,-324.666666667,-294.0,-347.333333333,-359.333333333,-252.041666667,-116.2,-456.0,-109.333333333
186.77,-117.8788,-76.3636,-95.1515333335,-105.1516,-120.0,-51.8183124999,2.24243333333,-150.606133333,-13.0303333333
187.15,-83.8460666667,-49.7436666667,-79.7435333333,-73.0768000001,-92.8205999999,-40.8655458334,9.87173333333,-124.871866667,1.28193333335
187.53,-55.7575333333,-24.0402666667,-49.8987999999,-41.6161333334,-66.6666666667,-19.3560416667,18.2424533334,-80.606,5.65660000001
187.91,-52.2580666667,-15.9140666667,-53.5485333332,-38.0645333333,-81.5053999999,-15.6721333333,12.34416,-80.6452,-1.72033333334
188.29,-246.666666667,-106.666666667,-264.666666667,-186.0,-355.333333333,-88.4583333334,-77.7333333334,-337.333333333,-81.9999999998
188.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
189.05,259.444266667,209.4444,341.666666667,222.222266667,422.777666667,127.708425,202.88886,367.222333333,147.777733333
189.43,-225.925866667,-142.962866667,-325.925866667,-131.111133333,-453.333266667,-35.9258416665,-156.44442,-357.037,-67.4075333334
189.81,-62.6666666667,-36.2666666666,-104.533333333,-38.9333333335,-154.4,20.1333333333,-52.9333333332,-109.333333333,-13.8666666667
190.19,-71.5385333335,-57.1794666666,-132.8206,-52.8204666667,-172.051333333,0.160350000066,-88.7435933334,-134.8718,-44.3590666666
190.57,-50.1960666666,-40.3920666667,-102.745266667,-37.2548666667,-121.568666667,-0.11019166668,-82.4705733334,-105.294133333,-39.8041333333
190.95,-69.6296,-71.1110666667,-145.679133333,-65.6791333332,-168.1482,-25.1698083334,-139.80248,-143.703733333,-59.7531333333
191.33,-67.7778,-65.7777333335,-146.888866667,-66.4444,-165.333266667,-27.4167083334,-143.911126667,-136.6666,-72.8888666667
191.71,-149.583333333,-138.333333333,-297.916666666,-137.916666667,-310.833333333,-74.4010416667,-311.75,-277.916666667,-152.5
192.09,-88.7879333333,-96.3636666667,-199.999933333,-83.9393333335,-196.060533333,-32.5378291667,-216.212133334,-183.939266667,-84.2424000001
192.47,-68.8093333333,-87.6190666667,-171.666733333,-83.0952666665,-153.333266667,-43.8840749999,-184.3333,-150.2382,-81.6665999999
192.85,-4.03093333332,-16.5891333333,-78.9147333332,-24.651,-60.1549333333,-1.65702083332,-91.3953266666,-60.7751333333,-24.9612
193.23,11.9444,-0.97219999998,-50.5555333333,-7.08339999994,-39.0277333333,10.8246458333,-66.6111466667,-38.7500666666,-11.8056
193.61,8.95246666667,-26.0954,-87.4285333335,-25.1430000001,-56.0,-0.9167208334,-106.019193333,-63.8094666665,-32.9523999999
193.99,21.3332666667,-24.4445333334,-90.8889333335,-4.66666666668,-39.7777333332,5.9304875,-114.9334,-57.7778,-20.0000666665
194.37,21.5054666666,-9.46240000002,-76.7742666667,18.2794666666,-29.8923999999,6.81466666667,-109.311833333,-46.2366,-14.1934666667
194.75,-64.1666666666,-168.333333333,-429.166666667,-28.3333333333,-263.333333333,-120.9375,-541.5,-317.5,-184.166666667
195.13,-5.68434188608e-15,-62.5,-200.833333333,14.1666666667,-98.3333333334,-26.5364583335,-214.166666667,-139.166666667,-72.0833333335
195.51,22.3809333334,-62.8571333334,-194.2856,35.7142666667,-88.5712666668,-16.6965499999,-216.000026667,-140.000066667,-55.7143333333
195.89,5.3333333334,-53.3333333333,-124.8,6.40000000006,-77.3333333332,-22.2666666665,-117.04,-91.7333333333,-42.9333333333
