wavelength,Back_SalAlbf,Belly_SalAlbf,Breast_SalAlbf,Crissum_SalAlbf,Crown_SalAlbf,DorTail_SalAlbf,Patch10_SalAlbf,Patch11_SalAlbf,Rump_SalAlbf,Throat_SalAlbf,WingTip_SalAlbf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,69.1666666667,20.8333333333,-5.00000000001,40.0,-3.33333333333,28.3333333333,31.6666666667,8.33333333333,35.8333333333,5.00000000001,13.3333333333
179.16,27.6190666667,-12.3809333333,20.9523333333,-24.7619333333,-10.4763333333,32.3809333333,29.5238666667,22.857,26.6667333333,29.5238666666,29.5238666667
179.54,-51.6666666667,-38.3333333332,-10.0000000001,-98.3333333333,-96.6666666665,14.9999999999,-6.66666666667,26.6666666667,-10.0,-16.6666666668,13.3333333333
179.93,-32.5,-26.6666666666,-61.6666666667,-50.8333333334,-71.6666666666,-22.5,-50.8333333333,-45.0,-70.0,-34.1666666667,-27.5
180.31,41.5053333333,16.5591333333,-5.37626666674,-9.67739999992,-23.2259333334,44.0860666667,20.8602666667,39.9999333333,5.37633333328,11.1829333333,45.8064666667
180.69,40.1625333332,23.252,-0.97566666668,-5.6909333334,-17.3983333333,42.4390666667,20.9754666667,33.4958,6.17893333334,14.7968,42.7643333333
181.07,40.0000666668,34.4186,15.3488666667,4.6512,2.79066666673,55.8138666667,31.9380666667,46.2014666667,13.1782666666,28.8372,54.5736666667
181.45,34.9999333334,38.8888000001,-0.555666666726,2.77793333339,-3.70380000007,49.8147333333,14.8148666667,45.1853333333,-2.96299999994,19.0742666667,48.5185999999
181.83,43.1580666667,38.5966666667,-39.6491333335,-20.7017333333,-18.9473333332,67.3684666667,-4.2105333334,66.3157999999,-44.9121999999,-3.50873333332,49.4737333333
182.21,66.6666,52.2223333334,-27.7777333333,-5.1852666666,27.0372000001,93.3334,26.2962666668,100.0,-28.5184666667,2.22219999993,57.0369999999
182.59,71.7648,71.3724666667,-17.647,9.01966666666,53.3332666666,125.098133333,41.9607999998,111.372466667,-9.80393333346,16.8627333333,73.7253333333
182.97,49.9999999999,42.3333333333,-33.3333333333,13.0000000001,58.0000000001,107.666666667,28.6666666669,87.3333333335,-3.33333333328,28.3333333333,66.9999999999
183.35,84.9999999999,61.3333333333,-5.66666666667,43.0,90.3333333333,119.0,67.3333333335,110.333333333,31.9999999999,64.3333333333,94.6666666666
183.73,102.2222,58.2222666668,-40.8888666667,44.0000666667,100.4444,125.3334,50.2222666665,95.9999333335,27.5554666666,68.8889333335,108.000066667
184.11,2.7776666666,-58.8888,-196.111066667,-73.8890666667,20.5554666666,7.2222,-108.888933333,-6.11113333334,-108.888933333,-26.1110666667,6.66667339965e-05
184.49,-113.333333333,-231.1112,-511.111133333,-291.111066667,-11.1110666667,-123.333333334,-384.444533333,-94.4444,-361.111200001,-165.555666667,-137.777866667
184.87,122.963,194.814733333,361.481466667,202.2222,-31.1111333332,101.481466667,291.1112,83.7037333333,222.2222,123.7036,125.926
185.25,74.1667333334,107.777666667,166.1112,116.666666667,22.7778666666,77.5000666668,155.277733333,67.2222666667,104.166666667,88.8888666666,78.6111333333
185.63,54.9999999999,108.3334,150.0,100.277866667,7.77786666667,60.8333333333,132.7778,50.8332666667,76.9444666668,73.3333333335,66.3890000001
186.01,121.666666665,468.333333333,765.0,411.666666667,-193.333333333,173.333333334,625.0,206.666666667,253.333333334,268.333333334,253.333333333
186.39,-153.333333331,-1493.33333333,-2613.33333333,-953.333333333,1106.66666667,-200.0,-2206.66666667,-673.333333334,-506.666666665,-546.666666667,-500.000000001
186.77,78.7302666666,-7.93646666667,-52.0634000001,34.2857333333,117.777866667,54.2858000001,-25.7143333333,46.3492666667,56.5079999999,49.8412666666,44.1269333333
187.15,80.4761333333,18.0952666667,-20.0000666667,42.8571333333,103.571466667,59.7618666667,-3.33333333334,64.7619999999,58.3332666667,45.9523333334,45.4761333334
187.53,62.7450000001,24.7058000001,-12.1567999999,38.4312666667,89.9999333333,51.5684666667,7.05886666666,65.6862,43.5294666667,39.6077333334,38.8235333333
