wavelength,Back_SalAtef,Belly_SalAtef,Breast_SalAtef,Crissum_SalAtef,Crown_SalAtef,DorTail_SalAtef,Patch10_SalAtef,Rump_SalAtef,Throat_SalAtef,WingTip_SalAtef
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,-17.4602222222,-31.9902307692,-46.8254444444,-40.4763333333,-15.0793333333,-23.0158888889,-31.746,-20.635,-18.254,-19.0474444444
179.16,-192.592444445,-190.028384616,-233.333444444,-187.037,-124.074111111,-164.814666667,-183.333333333,-172.222222222,-151.851888889,-168.518555556
179.54,-238.888888889,-307.264957265,-402.777777778,-386.111111111,-275.0,-325.0,-277.777777778,-344.444444445,-325.0,-272.222222222
179.93,-383.333333333,-582.905982906,-633.333333333,-816.666666666,-694.444444444,-661.111111111,-550.0,-683.333333333,-694.444444444,-505.555555556
180.31,-97.9962222222,-119.475888889,-163.570111111,-174.681444445,-127.322444444,-134.608333333,-126.775888889,-128.779555555,-130.965222222,-111.111111111
180.69,-76.046111111,-93.6176923077,-133.044777778,-144.300111111,-101.298888889,-107.792222222,-98.2683333332,-103.463111111,-103.896,-89.8987777777
181.07,-105.475,-124.773948718,-167.310777778,-180.515222222,-134.782666666,-141.707111111,-128.180333333,-135.909777778,-132.045111111,-120.289777778
181.45,-91.4073333333,-111.680965812,-147.851777778,-166.814888889,-122.370444444,-125.777666667,-117.185222222,-124.000111111,-119.259333333,-107.555555555
181.83,-66.1672222222,-81.8303247863,-111.610444445,-126.217333333,-92.0100000001,-92.6343333333,-88.5145555556,-90.3868888889,-86.7665555556,-80.3993333335
182.21,-73.7499999999,-86.5491452992,-122.5,-135.138888889,-96.5277777776,-96.1111111112,-93.1944444443,-93.0555555554,-87.0833333335,-83.0555555557
182.59,-75.7835555555,-95.354034188,-123.219222222,-137.606777778,-94.4444444447,-95.4416666666,-89.7435555556,-98.2906666667,-84.9002222222,-82.4785555556
