wavelength,Back_SalAtom,Belly_SalAtom,Breast_SalAtom,Crissum_SalAtom,Crown_SalAtom,DorTail_SalAtom,Rump_SalAtom,Throat_SalAtom,WingTip_SalAtom
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,13.3333333333,42.6666666666,10.6666666667,27.9999999999,57.3333333333,82.9333333333,37.3333333334,22.6666666666,-2.66666666667
179.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179.54,-21.6666666667,-19.1666666667,5.0,-6.00053340349e-12,8.33333333333,38.4444444445,-22.5,5.0,-19.1666666667
179.93,-44.1666666667,-37.5,-31.6666666667,-44.1666666666,-56.6666666666,-16.7777777778,-78.3333333333,-42.5,-90.8333333333
180.31,-1.739,9.56513333333,8.84060000002,14.0579333333,23.0436666667,39.4782666667,-10.5796666667,-0.4348,-15.3623333333
180.69,-8.16319999998,-2.58499999999,0.952333333327,9.5239333334,19.3198666667,34.4308888889,-18.2312666667,-5.98626666668,-25.3060666666
181.07,-3.53740000002,-2.17673333332,6.53066666667,14.6938666667,24.6258,36.0543511111,-10.6123333333,-2.85713333334,-22.177
181.45,11.2120666667,2.4244,21.9698666667,33.9394666667,34.3939999999,53.4342888889,-6.36359999999,5.60619999998,-13.0303333334
181.83,29.0741333334,19.8149333332,28.8888666667,53.5184666666,60.926,70.5801155555,2.59259999995,23.3334,-8.70366666666
182.21,65.5855333334,48.2882666668,56.5766,88.2880666667,100.540466667,104.720657778,44.1442,54.7748666667,36.9369333333
182.59,67.0921333333,58.2979333333,60.4256666667,90.3545333333,96.4538,101.371142222,52.7660000001,62.2696,49.6455333333
182.97,73.0952666667,60.3570666668,70.1190666667,90.8332666667,98.6905333333,105.285666667,61.5476,66.4286,57.8569333333
183.35,81.4999999999,64.1666666665,81.3333333333,108.0,131.833333333,138.144444444,75.5,76.3333333334,65.8333333334
183.73,73.1578000001,51.9298666667,81.7543333333,101.403466667,134.0352,136.842093333,75.7894666667,70.5261999999,58.5966
184.11,81.6666000001,54.6296,82.0370000001,109.074066667,140.926066667,138.629573333,85.5554000001,65.1851333333,56.6666666667
184.49,135.061733333,85.6790666667,111.358066667,150.864133333,199.753133333,194.880666666,145.925866667,87.9012000001,81.7284666667
184.87,231.4816,164.074133333,184.074133333,233.333333334,319.6296,308.222168889,252.962866667,148.888933333,155.925866667
185.25,496.666666667,337.5,372.5,434.166666667,654.999999999,623.055555555,495.0,295.0,300.0
185.63,393.333333333,291.333333334,279.333333333,290.666666667,481.333333333,458.888888889,376.0,224.0,223.333333333
186.01,358.666666667,246.0,283.333333333,238.666666667,425.333333333,413.022222222,348.0,138.666666667,220.0
186.39,202.666533333,141.777733333,161.7778,120.0,234.222266667,213.71856,194.6666,33.3332666667,119.5554
186.77,195.0,138.666666667,160.0,134.0,212.0,195.755555556,176.0,51.6666666667,132.0
187.15,241.025533333,181.025666667,189.743533333,165.641066667,277.4358,259.316142222,214.8718,23.5898666667,146.666666667
187.53,145.185133333,126.419866667,113.0864,110.370466667,148.888933333,145.152262222,124.938333333,39.7530666667,101.234533333
187.91,138.620733333,123.678,99.0805333334,99.9999333333,134.712666667,135.187733333,110.804533333,40.4597333333,102.068866667
188.29,110.101,108.282866667,87.0707333333,73.1314000001,110.303066667,113.885435556,79.5957333335,39.798,89.6969333333
188.67,84.5282666666,95.4718,79.3710666667,66.2892666665,88.9308,89.9455022221,65.1572,51.5722,84.7799333333
189.05,74.8717333333,86.359,74.6666,62.7692666667,79.6923333334,78.5435155556,58.4616,52.1025333333,78.7691999999
189.43,70.8920666667,85.9153333333,71.6431333333,66.1971333333,78.216,75.3364088889,58.9671333334,48.8264666667,75.7747333333
189.81,62.6666666667,80.0888000001,66.4,58.9332666667,70.4001333335,68.2547999999,53.3333333333,41.2446,71.1999333334
190.19,65.3522,79.5304666667,63.0046666666,59.1548,68.4506666666,66.7166977778,51.8308666667,37.3708666667,70.4225333333
190.57,81.1827333333,91.3978666667,74.7311333333,72.6881333334,81.828,82.0643866667,61.2901333332,55.1612,84.0859333334
190.95,84.4928666667,98.8406,80.8694666667,69.5652000001,85.2175333333,84.1932444444,57.2463333332,54.6376666665,90.1450000001
191.33,82.2222666666,99.4771999999,83.3987333333,67.5817333333,85.6209333333,74.7276755556,55.9477333333,54.5098666666,96.8628
191.71,81.3043333334,98.4057333333,91.739,70.7244666668,86.8114666667,73.3623644444,51.3043999999,53.6232000001,96.5216666667
192.09,76.9491333333,91.4123999999,85.5368666666,71.9773333333,77.7403333333,63.7966711113,51.8644,58.1920666666,89.8304666666
192.47,81.2698,101.058133333,88.3598666666,83.9154666667,77.7777333333,63.2522399999,59.7883333333,64.8677333334,98.2009999999
192.85,74.5160666667,93.5484666666,82.3656666667,85.5914,73.9785333334,53.8566533333,51.1826666667,62.1506666666,92.2581333333
193.23,77.9999333334,100.2222,85.5555333333,92.4445333334,72.2222,50.6295377778,49.7777333333,59.6668000001,94.1111333334
193.61,83.7159333333,104.699333333,89.5081999999,99.4537333334,75.5191999999,58.7032044445,55.5190666667,69.6175333333,106.775933333
193.99,77.0002,103.000133333,84.7779333333,99.5556000001,72.2222666666,53.8149111111,52.2222,68.8888666667,107.444533333
194.37,78.806,109.353,88.5572666667,101.791133333,75.4229333334,56.1127644445,59.9006666667,82.7862000001,116.815933333
194.75,82.7691999999,116.9232,91.5898,107.076866666,77.1282666666,50.3590844444,58.0512,84.4103333333,120.410333333
195.13,81.6667333333,116.764733333,88.6273999998,107.3528,76.6665999999,47.8432355555,58.4312666667,81.0784000001,117.941266667
195.51,76.1906,109.523666667,81.6190666667,100.666733334,66.5714666667,39.7714577777,53.4285333333,75.3333333333,108.476066667
195.89,75.8558666667,105.2252,75.4054,91.5316,57.7476666667,29.8739155556,49.0090666667,68.6486666667,101.891866667
