wavelength,Back_SalAurm,Belly_SalAurm,Breast_SalAurm,Crissum_SalAurm,Crown_SalAurm,DorTail_SalAurm,Patch10_SalAurm,Patch11_SalAurm,Patch12_SalAurm,Rump_SalAurm,Throat_SalAurm,WingTip_SalAurm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,12.2222666667,31.1112,43.8888666666,27.2223333333,17.7778,6.18685151516,-12.7777333333,-1.11113333334,1.11106666665,14.4444,26.6666666667,38.9505333333
179.16,28.2052,45.1280666667,58.9744,45.6410666667,39.9999333333,39.2541181818,9.74353333334,33.3334,25.3846,36.4101333333,43.5898,53.9031259259
179.54,43.3333333333,54.5833333333,77.5,70.8333333333,61.25,53.4659090909,48.3333333333,51.6666666667,39.5833333333,53.3333333333,57.0833333333,64.4444444444
179.93,101.111066667,112.2222,160.000066667,126.666866666,104.444533333,115.55580303,86.6665999999,85.5554666667,70.5555666668,96.6665333332,123.3334,135.925859259
180.31,26.0481333333,39.5187333333,63.8487333333,46.1169333333,33.6083333333,40.1217818182,12.3023333333,21.7869333333,21.9588,36.9759333334,42.6804,53.4096444445
180.69,26.1818666667,41.4545333333,62.4242666667,48.2424,33.2120666667,41.3389818182,14.7878666667,21.8788666667,23.2121666667,37.0302,43.1516,55.0774888888
181.07,23.1371333333,39.4118,60.8498,47.9738,32.549,42.5253060606,14.6404666667,22.0914666667,22.2549333333,36.6012666667,43.0719333333,57.5454888889
181.45,16.9232,36.4835333333,56.9963333333,43.7362666667,28.1319333333,40.0931060606,9.81693333333,14.4321333333,16.1173333333,32.6739333333,39.2673333333,59.7884074074
181.83,9.43086666667,26.9106,47.3984,33.7398666667,19.3496,32.8677212121,-1.78879999999,6.6666,7.96750000002,27.4796,33.0081333333,58.5093925925
182.21,9.63866666667,22.3292,44.9798666667,30.1204666667,18.7951333333,35.4653909091,-2.08846666667,5.62246666667,9.79923333333,27.1485333333,31.4860666667,57.1977555555
182.59,15.1852666667,25.6481333333,51.5741333334,36.2962,24.074,42.9165909091,2.40746666666,15.0,9.81486666667,39.5370666667,40.2778,69.2386962963
182.97,15.3232666667,24.975,49.3531999999,35.1244,22.4875333333,44.0660727273,0.39813333332,19.5024,3.93036666666,40.8956,41.3930666667,78.0542296296
183.35,0.3774,6.79246666665,40.7546,20.2515333333,8.80486666665,31.9325969697,-12.956,9.55973333333,-13.6477999999,36.3522666667,36.8553333333,84.4584666667
