wavelength,Back_SalFulm,Belly_SalFulm,Breast_SalFulm,Crissum_SalFulm,Crown_SalFulm,DorTail_SalFulm,Rump_SalFulm,Throat_SalFulm,WingTip_SalFulm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,213.333333333,155.869565217,236.666666667,285.0,255.0,143.333333333,243.333333333,212.5,152.5
179.16,69.6296,78.1964695651,85.926,119.2592,60.7407999999,79.6296,112.592666667,85.5556333333,51.1110333333
179.54,-533.333333333,-684.927536232,-756.666666667,-580.0,-486.666666667,-529.999999999,-833.333333334,-330.0,-520.000000001
179.93,8.57140000001,-1.86345507247,10.7141666667,8.09513333333,-0.4762,5.23816666666,-10.4762666667,23.8093666667,-1.90476666667
180.31,211.954066667,208.775576811,243.6782,243.908,245.057466667,241.264366667,254.7126,217.816066667,172.758666667
180.69,186.356533333,183.666962319,204.186033333,208.837266667,206.8218,206.744166667,208.217,186.279133333,155.5041
181.07,207.222133333,218.478191304,227.129566667,231.296333333,235.0,239.999933333,231.4814,217.407433333,187.3147
181.45,234.166666667,252.05615942,246.979166667,242.708333333,272.291666667,283.125,248.125,244.166666667,225.416666667
181.83,246.4444,264.338185507,255.1112,249.3334,288.8888,297.666733333,246.666666667,270.2222,238.3332
182.21,137.8494,143.080895652,144.6236,141.1828,159.462266667,160.6451,130.3226,158.817166667,130.000033333
182.59,126.666666667,129.088295652,130.043766667,128.596533333,144.912266667,146.184266667,120.789533333,145.394733333,118.903566667
182.97,124.2424,126.380452174,125.108133333,125.974,138.787866667,145.757366667,117.316066667,142.207833333,119.826733333
183.35,139.901866667,136.368257971,137.647133333,137.9412,143.5294,163.7254,125.7844,156.519733333,133.431466667
183.73,153.4464,152.832098551,144.745766667,152.2034,156.9492,180.113033333,135.1412,164.519866667,149.943433333
184.11,205.873066667,211.842571015,193.571333333,205.238066667,213.174466667,238.095366667,169.841266667,221.984266667,204.206333333
184.49,250.222266667,263.091791304,243.8889,256.222266667,265.111133333,281.666766667,202.222333333,276.777933333,267.555566667
184.87,401.7778,430.125652174,402.666666667,404.0,436.888933333,461.110966667,312.000066667,444.6668,454.444466667
185.25,259.733333333,270.515942029,270.8,258.133333333,276.533333333,307.2,203.466666667,284.933333333,284.4
185.63,220.666666667,235.04348116,244.5557,224.000133333,236.0,247.333433333,174.666666667,246.2221,231.111066667
186.01,170.833333333,183.565217391,185.916666667,170.5,183.833333333,196.583333333,136.5,190.666666666,181.75
186.39,257.5,292.970950725,285.416733333,262.7778,281.388866667,299.7222,218.333333333,288.8889,295.8333
186.77,315.833333333,400.18115942,410.625,365.0,358.333333333,395.0,266.25,385.416666667,407.083333333
187.15,290.222133333,380.44444058,399.777733333,354.6666,352.000066667,378.6666,252.888933333,393.999966667,381.555466667
187.53,149.090933333,194.176602898,206.767866667,179.1918,186.262666667,188.080933333,137.171733333,198.989766667,191.9192
187.91,159.3548,202.767478261,234.946233333,175.913933333,194.623666667,208.817333333,149.8924,223.5483,222.043066667
188.29,130.833333333,154.739130435,192.833333333,135.833333333,154.5,167.916666667,126.833333333,173.083333333,184.25
188.67,179.080333333,212.42366087,271.379266667,192.643666667,210.114933333,245.172466667,162.988533333,248.0459,258.160866666
189.05,172.381,199.182243478,269.7619,189.523866667,201.666533333,256.666733333,151.666666667,256.5476,258.8095
189.43,126.969666667,139.690350725,191.666633333,133.333266666,140.909133334,181.6665,111.8182,180.530233333,185.302933333
189.81,138.833333333,143.927536232,205.166666666,147.5,155.666666666,205.166666667,115.833333333,200.416666667,210.916666667
190.19,177.111066667,170.483153623,275.7778,206.000133333,203.333333333,280.889,144.2222,261.888866667,286.222166667
190.57,181.609066667,173.443150725,298.045866667,204.138,203.218333333,301.724133333,134.942533333,270.344833333,305.8619
190.95,190.512866667,174.4928,296.923133333,183.5898,209.4872,321.794733333,130.000133333,283.589733333,327.435933333
191.33,179.259266667,175.523373913,285.802433333,167.654266667,203.209933333,296.790133333,123.209933333,269.2593,335.555433333
191.71,176.388933333,177.2704,301.249933333,182.2222,200.277866667,303.611266667,110.000133333,284.7223,360.139
192.09,130.0,126.2836,222.976266667,149.523866667,155.476133333,241.666566667,68.3334000001,217.738,285.119
192.47,110.5,107.927536232,171.75,125.166666667,124.0,182.083333333,64.8333333333,174.583333333,219.083333333
192.85,113.095266667,112.324084058,154.6428,118.452533333,121.666666667,158.095333333,74.1667333333,153.869,187.083233333
193.23,105.797133333,110.711982609,147.1981,115.072466667,117.8744,141.787333333,77.0048000001,140.5314,169.565233333
193.61,137.936533333,153.933704348,193.0953,167.142933333,159.365066667,207.063433333,100.317533333,197.777733333,247.539633333
193.99,119.5834,130.634057971,165.763966667,147.638866667,129.444466667,171.180533333,93.3334000001,168.124933333,215.555566667
194.37,134.333333333,151.347826087,184.25,150.0,133.666666667,181.166666667,96.3333333335,182.916666667,238.666666667
194.75,136.190466667,147.888063768,175.000033333,152.539666667,134.127133333,178.412766667,96.3492000001,175.079566667,226.111066667
195.13,145.6566,159.701301449,198.2829,173.7374,147.6768,191.010033333,101.212133333,193.535333333,268.585866667
195.51,135.193933333,138.739521739,174.728633333,153.0232,126.666666667,162.015433333,92.5581999999,165.891566667,222.558166667
195.89,251.0,251.637681159,340.5,265.666666667,240.333333333,321.5,145.0,348.5,442.333333333
196.27,204.7312,201.318481159,263.656,205.806533333,195.698866667,253.4408,125.161266667,276.4518,334.1936
196.65,288.888933333,295.958118841,387.592633333,285.925933333,286.6666,398.1481,146.2962,419.444433333,490.926
197.03,-496.0,-511.594202898,-881.333333332,-560.0,-453.333333334,-961.333333333,-101.333333333,-985.333333331,-1260.0
197.40,-5.71426666654,-1.52172753616,-67.0238000001,-15.7143333333,10.7143999999,-89.2855333333,52.1427999999,-100.119133333,-137.261966667
