wavelength,Back_SalMamf,Belly_SalMamf,Breast_SalMamf,Crissum_SalMamf,Crown_SalMamf,DorTail_SalMamf,Patch10_SalMamf,Patch11_SalMamf,Patch12_SalMamf,Rump_SalMamf,Throat_SalMamf,WingTip_SalMamf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,6.00000000001,0.66666666664,15.3333333333,22.6666666667,22.6666666667,38.0,12.6666666667,15.3333333333,-4.66666666667,11.1851851852,22.0,26.6666666667
179.16,533.333333333,333.333333333,453.333333333,260.0,273.333333333,113.333333333,186.666666667,13.3333333334,500.0,468.888888889,133.333333333,140.0
179.54,-293.333333334,86.6666666665,-246.666666667,53.3333333333,13.3333333333,193.333333333,66.6666666669,-33.3333333334,-166.666666667,-157.777777779,160.0,140.0
179.93,60.4762666667,75.2380666667,62.8571333334,66.6667333333,68.0952666667,88.5714000001,73.3333333333,56.6666,64.2858,68.571437037,95.7142666668,81.4285333333
180.31,38.1610000001,54.2528666666,35.6321333333,50.5747333333,52.184,71.1492333334,55.0573333333,49.6552,36.2069333334,39.7956444444,61.3791999999,71.4942666666
180.69,28.5714000001,49.1666,31.9047333333,49.4047333333,47.4999333333,71.012,52.2619333333,48.3333333333,32.381,29.9338296296,54.9998666667,65.8332666667
181.07,31.2820000001,56.5383333333,38.7178666666,58.4615333333,53.2051333333,82.1154333333,64.3589333334,55.3845999999,42.4358666667,35.4702,59.6154666666,71.6667333333
181.45,46.4582666667,67.1875333333,55.0000000001,68.0210000001,62.2916,89.0106000001,71.9791333333,61.1456666667,58.7499333333,54.0393407407,64.9999333334,74.4790666667
181.83,60.4443333333,71.3778666666,66.4888000001,73.8667333333,69.1556,88.8888333334,76.1777333333,69.7777999999,71.6444,62.291362963,66.1332666667,81.5112
182.21,62.9824,70.7895333335,73.4210666666,78.7719999999,69.6490666667,88.8595999999,76.7544666667,74.7367999999,74.6491333334,62.6607037037,63.9474666666,78.5089333333
182.59,53.6508666667,64.0475333333,71.9047333333,72.1429999999,59.0476,82.7778666666,70.1588,70.8731333333,72.381,56.3139407407,54.6826000001,71.5872
182.97,50.1149999999,62.9119333333,71.9540000001,67.3562,56.6284666667,81.2261666667,64.9809333333,67.8928,71.8008666667,52.7799703704,54.0997333334,66.7434
183.35,46.9444666667,62.4305333333,69.6527333333,61.111,56.7360666667,78.4374666667,61.8055333333,63.5416,68.7500666667,47.199037037,51.6665999999,58.1944666667
183.73,49.2592666667,61.2346,69.9382666667,57.2839333333,55.8024666667,78.5185333334,60.0616666666,62.7777333333,66.1111333333,45.9807481481,53.4566000001,54.0124
184.11,53.8461333333,65.2564666667,71.6666666667,60.5129333333,60.3846,82.9166333333,63.3334,64.1667333333,69.2308,49.437437037,54.8077333333,55.1282
184.49,57.1333333333,71.6666666667,76.7333333333,63.6,66.5333333333,89.0999999999,69.5333333333,67.4666666667,75.0000000001,55.0814814815,61.8666666666,61.1333333333
184.87,59.8788,74.0606,75.7575999999,61.7576666667,68.4849333333,88.9697333333,68.0606,66.8485333333,74.6666,57.2526296296,65.2121333333,60.6666666667
185.25,62.6317333333,78.538,77.1345333333,62.3976666667,71.1694666667,89.8244999999,68.3041333333,70.0585333333,76.6667333333,60.7017185185,69.8830666666,61.8714
185.63,61.1571333333,76.9146,74.8209333334,60.0000666667,68.4849333333,83.4986666667,65.6749333333,66.9972666667,73.9946,56.2963703704,67.5483333333,59.0082666667
186.01,59.0786,77.8318,72.8996666667,58.6450666667,65.9621333333,82.3035333333,66.6666666667,65.4200666667,71.599,54.0440666667,68.8888666666,55.1762
186.39,57.1839333334,78.6206666667,69.0230666667,54.4252666667,66.2069333333,83.7355666667,66.0919333333,63.8504666667,72.2988666667,52.4265111111,67.8162000001,53.2185333333
186.77,61.4743333333,84.8076666666,72.8205333333,55.6410666667,71.7307333333,92.1152666667,70.3847333333,65.6410666667,76.4102666667,54.0811481482,71.3461333333,50.9615333333
187.15,68.3174666667,88.6347999999,78.7301333333,61.0794,76.8254000001,102.476233333,78.2222,70.6667333333,80.3809333333,61.8271259259,76.7618666667,58.2221333333
187.53,69.5145333333,91.1974666667,80.1295333333,64.2070666667,77.4755333334,110.097033333,81.7475333333,72.4270666667,83.6893333333,64.2358888889,79.6762666666,60.8414666667
187.91,66.0666666667,93.6666666666,80.0,68.0,76.4,111.966666667,83.9333333333,72.0666666667,85.1333333334,62.3037037037,79.2666666666,57.1333333333
188.29,62.3597333333,90.5604666667,78.466,69.1446,73.7462666667,105.191766667,83.0679333333,71.6224666667,79.823,60.3473555556,74.7492666666,55.1032666667
188.67,56.4739333333,86.0606,72.3968,65.675,67.2727333333,97.3829,76.3084666667,66.7768,71.7906666667,54.4780592592,65.8402666667,50.5785333333
189.05,55.2121333333,90.1212000001,75.394,66.3030666667,67.3334,103.151333333,78.7272,66.4243333333,73.8787333333,53.7710814815,64.3637333333,52.3028
189.43,50.9478666667,87.3395333334,73.1499333333,61.162,63.1804666667,100.672866667,74.4341999999,61.896,70.0918000001,47.2985037037,57.5535333334,50.0917333334
189.81,45.1234666667,84.8765999999,68.3951333333,55.5555333333,58.8272,100.370466667,68.4566666667,57.4074,64.8766000001,42.1604148148,52.3455333333,45.6172666667
190.19,41.0035333333,87.3834666666,68.9607333333,52.8316,55.7703999999,107.598566667,63.6558,54.2653333333,66.8100666666,38.3991851852,46.0214666667,41.2187333333
190.57,34.963,86.1480666666,66.7406666667,52.8148,53.1111333333,107.4074,61.7778000001,49.8518666667,62.7407999999,34.4774,40.9628666666,38.7407333333
190.95,35.8914666667,88.9922,66.7440666667,56.8216,52.7906,110.038733333,61.4728666666,52.4806,66.0464666667,32.7562148148,39.3021999999,45.8139333333
