wavelength,Back_SalMulm,Belly_SalMulm,Breast_SalMulm,Crissum_SalMulm,Crown_SalMulm,DorTail_SalMulm,Patch10_SalMulm,Patch11_SalMulm,Patch12_SalMulm,Patch13_SalMulm,Rump_SalMulm,Throat_SalMulm,WingTip_SalMulm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,157.679072222,153.7037,131.852066667,113.3334,131.111066667,131.481583333,106.666733333,159.999966667,146.2963,117.265020513,119.444433334,110.3704,141.481733333
179.16,132.642677778,111.904833333,113.3334,114.762,106.6666,120.833166667,117.142733334,130.476066667,128.0952,99.0474820514,107.380933333,98.0951999999,98.8096333334
179.54,400.407345555,352.2222,326.666666667,328.8888,380.000133333,405.555583333,235.5556,445.5557,366.6667,303.931646154,289.166691667,322.222266667,129.999966667
179.93,205.283995556,157.777733333,130.3704,170.370333334,162.963066667,175.926,162.962866667,210.370466667,155.185233333,144.501558974,169.722358333,125.926066667,146.296333333
180.31,139.160152222,129.883633333,102.015466667,110.930133333,113.333333333,125.484333333,104.108533333,149.4185,113.643366667,94.2516256411,111.240291667,101.783066667,111.5504
180.69,139.904978889,128.814933333,100.074133333,109.111066667,110.5186,120.5555,99.0369999999,147.815,112.000066667,90.7864051282,109.231475,98.6668000001,106.851933333
181.07,127.791845556,115.1228,90.7367999999,103.158,100.070133333,112.456166667,91.7191999999,136.596366667,97.5789666667,79.778651282,101.078966667,88.2805333334,103.0175
181.45,127.483771111,114.146366667,85.6096666666,98.4551999999,99.5121333333,110.772416666,86.6667333334,137.276366667,88.6585666667,75.5909179487,100.325208333,86.6666000001,106.382233333
181.83,121.190127778,106.305266667,76.2249333334,88.1926666667,90.1205333333,104.317333333,80.7228666667,127.188766667,78.4739,69.9722102564,93.3533499999,80.0,107.3495
182.21,115.013888889,101.833333333,75.2500000001,78.7500000001,80.5000000001,97.7083333333,67.5833333333,120.041666667,71.8333333333,62.3525641026,83.8541666666,76.0833333333,103.0
182.59,108.584111111,92.8455666667,71.9511999999,72.0324666667,75.1218666667,88.9229166666,60.7316,110.935066667,69.5528666667,58.03,78.1403083334,73.1708666666,98.1706333333
182.97,115.491623333,93.0135333333,73.9725999999,73.4246000001,79.1781333333,99.2008333333,62.8311333333,115.159666667,67.8996666667,55.6796102564,77.6141750001,72.9679333333,97.5341
183.35,127.080876667,98.1920000001,79.8870666667,71.8645333333,85.1976666667,104.660916667,60.2260000001,121.694833333,67.4577000001,56.0104153847,80.2400416667,72.7684,103.390066667
183.73,142.931956667,111.360433333,88.5713333333,73.0613333333,100.544266667,114.115416667,62.8571333333,131.1564,71.3605333333,62.8152923078,87.8741416666,80.9523333333,111.2246
184.11,127.634361111,104.3546,85.6988000001,71.6129333334,95.9140666665,101.20975,72.5806666667,116.559066667,70.5377000001,65.9637179486,87.7688916667,70.9678666667,102.9032
184.49,100.53408,89.0170666667,72.393,60.1709333333,69.3162666666,84.0812499999,64.8716666667,90.8973999999,55.7690666666,49.5792358974,71.7307916667,51.7094000001,80.1282333333
184.87,88.4016933333,80.1136000001,68.2577333333,54.0151333333,60.6819333333,81.4395000001,64.5455333333,82.0076,47.9925333333,44.277497436,64.3844833333,46.9696666667,69.4318333333
185.25,93.1681599999,85.8558666667,69.4595333335,49.7298,59.2793333333,81.6439166668,64.5044666667,82.3424000001,47.9278666666,39.7990153845,65.0000166667,46.5764000001,64.0091
185.63,97.100328889,92.5807333333,69.2473333333,48.387,52.258,82.5270000001,64.4086,88.6020999999,42.6881666667,30.272897436,64.0590500001,39.8924000001,58.6559333334
186.01,80.2342966667,81.9392666667,55.2728666667,35.6363333333,31.394,64.5455833332,52.1211333333,78.3030333333,22.4847,0.73656923078,52.60605,21.4546666667,34.9091666666
186.39,61.607148889,71.1308333333,34.8809333333,21.4286666667,18.0952666667,52.82725,47.5000666666,56.3691333333,10.1190333333,-8.91940512819,46.0564416667,12.2617999999,14.9406333333
186.77,44.0440944444,64.4253666667,15.1724666667,11.2643333333,9.08040000001,41.9540833333,32.069,44.8852333333,-6.60913333333,-16.1273282051,37.3421083333,2.52873333335,-3.793
187.15,42.4335522222,64.7541000001,14.6448,13.8796666667,6.66666666666,29.64475,25.2458666667,37.7595,-5.51923333335,-11.7275282051,40.1913083333,3.60660000001,6.28416666666
