wavelength,Back_SalOref,Belly_SalOref,Breast_SalOref,Crissum_SalOref,Crown_SalOref,DorTail_SalOref,Patch10_SalOref,Patch11_SalOref,Rump_SalOref,Throat_SalOref,WingTip_SalOref
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,-5.92599999998,11.8518333333,12.5925666667,-7.40733333332,35.5553666667,-9.62959999999,-35.5554666667,30.3702666667,43.2591466667,30.3704666667,-10.7407333333
179.16,255.555533333,208.888866667,218.3334,195.5556,207.7777,233.3334,227.777733333,216.6668,181.333213333,165.555533333,267.2223
179.54,114.444466667,43.3333333334,103.888866667,84.4444666668,104.444433333,86.6666666667,158.8888,34.4445333333,89.1110800001,141.111,170.0
179.93,-17.7778000001,-15.5554666667,33.3331333332,-60.0000666666,-62.2221666667,-66.6665333333,-119.999933333,66.6668000001,-44.8888800001,-115.555533333,-105.555566667
180.31,-440.000066667,-267.8788,-183.333366667,-259.393933333,-282.7274,-383.030133333,-427.8788,-243.030133333,-152.363573333,-372.727333333,-490.6061
180.69,-285.833333333,-169.375,-111.458333333,-169.166666667,-175.0,-258.333333333,-268.75,-155.416666667,-86.3333333333,-242.083333334,-347.708333333
181.07,-211.1112,-129.8149,-57.2223333333,-102.963,-128.703733333,-195.185333334,-187.037,-122.2224,-56.8889066667,-214.4444,-285.555433333
181.45,-121.282,-65.3845333334,-7.17943333332,-44.1025333332,-61.6667333333,-120.000066667,-106.410466667,-63.8460666666,-28.46144,-139.230866667,-154.7436
181.83,-59.9998666667,-39.0908333333,12.2728,-13.3333333332,-24.7727333333,-64.3937999999,-41.3636000001,-35.1514666667,-10.21216,-70.0000666667,-74.5455000001
182.21,-74.4143333333,-54.5946000001,4.23420000007,-12.4323999999,-30.0000666667,-76.5766666667,-42.8829333333,-50.4502666667,-14.6665733334,-77.1171333333,-79.7296999999
182.59,-91.3977333333,-69.6775333333,-0.000199999940004,-24.7310666668,-43.2258666666,-109.8926,-65.8064000001,-71.6130666667,-29.9784133332,-114.623533333,-109.784966667
182.97,-87.6923999999,-86.0256666666,-8.0768666666,-43.0768666667,-71.7949666667,-119.230733333,-83.0768666667,-86.6666666667,-43.8973733333,-142.0512,-142.307733333
183.35,-162.0,-144.166666667,-75.1666666666,-108.0,-156.666666667,-182.333333333,-160.666666667,-152.0,-115.533333333,-229.666666667,-225.333333333
183.73,-166.274466667,-166.0784,-85.4902333334,-133.725466667,-189.215733333,-185.4902,-197.254933333,-180.392066667,-140.784293333,-252.156933333,-252.549066667
184.11,-786.666666667,-817.5,-391.666666667,-509.999999999,-812.499999999,-778.333333332,-773.333333332,-735.000000001,-641.333333333,-1033.33333333,-1020.0
184.49,338.0,397.333333333,176.333333333,221.333333333,353.666666667,332.0,328.666666667,357.333333333,318.533333333,416.666666667,426.666666667
184.87,216.231866667,234.3478,124.347833333,160.289866667,223.913033333,201.739133333,207.826133333,221.159533333,198.550693333,248.4058,228.9856
185.25,196.153866667,212.1794,116.4103,144.8718,196.410266667,162.8204,174.359066667,197.948666666,187.179546667,218.718,192.5642
185.63,206.666733333,253.888966667,86.1112000001,143.703666667,230.370366667,158.1482,179.629666667,234.814933333,196.592653333,247.037066667,212.5925
186.01,139.999933333,184.9999,19.8148333333,74.8148666669,161.1111,84.4446,110.370533333,177.7778,119.70364,171.111133333,121.8519
186.39,291.8518,365.926,24.8148333333,134.074133333,263.3333,120.000133333,205.925866667,356.296266667,249.62956,336.296333333,238.148066667
186.77,-1913.33333333,-2886.66666667,163.333333333,-593.333333331,-1226.66666667,-46.6666666654,-1006.66666667,-2606.66666667,-1748.0,-2226.66666667,-1033.33333333
187.15,-1140.0,-1441.66666667,39.9999999994,-190.0,-451.666666666,-103.333333333,-406.666666666,-1356.66666667,-966.000000001,-1086.66666667,-370.0
187.53,-246.666733333,-379.5238,142.857233334,13.3333333334,-18.0952000001,35.2381333333,-23.8095333334,-323.809466666,-200.380813333,-228.571533333,27.6191
