wavelength,Back_SalRufm,Belly_SalRufm,Breast_SalRufm,Crissum_SalRufm,Crown_SalRufm,DorTail_SalRufm,Patch10_SalRufm,Rump_SalRufm,Throat_SalRufm,WingTip_SalRufm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,-66.6666666667,54.7616666667,-0.000250000000001,16.6668333333,42.857,11.9045,40.4761666667,38.8888611111,79.762,-19.0476666667
179.16,-391.666666667,-41.6666666665,-58.3333333333,75.0,116.666666667,-158.333333333,141.666666667,98.6111111113,-20.8333333333,-183.333333333
179.54,-38.8886666666,-1.3888333333,-35.41675,40.2778333334,11.1111666666,-9.72216666669,22.2221666666,36.3424722222,34.0278333334,-9.72216666665
179.93,42.5926666667,52.7776666667,33.7963333333,75.0,62.0371666666,50.9258333333,65.7406666667,70.8332222223,56.0185833333,62.037
180.31,-21.1266666667,52.1128333333,7.04241666665,103.286333334,63.615,30.7511666667,70.4226666667,81.53375,75.939,45.305
180.69,-23.6286666666,49.3671666667,-2.32066666665,99.3668333335,58.4388333333,24.2615,69.4091666666,77.2855,79.8521666666,42.6158333333
181.07,-8.68783333335,48.0496666666,-0.000166666649999,100.354333333,59.2198333333,24.4681666666,70.0351666667,74.7931111111,74.2024166666,48.2268333334
181.45,3.3333333333,54.5,9.58333333335,111.333333333,61.1666666667,29.5,71.6666666667,78.1944444444,80.8333333333,59.8333333333
181.83,10.1533333334,63.9846666666,20.4024166667,130.842833333,72.9885,37.3563333333,85.4406666667,92.9119444445,93.9656666665,70.6895
182.21,-1.111,68.0001666667,18.0000833334,143.999833333,78.6666666667,38.6665,90.0,99.2963888889,105.888833334,68.0001666667
182.59,-18.3576666667,51.6908333333,8.33333333335,137.681166667,55.5556666667,21.256,73.1885,86.9163055557,98.913,50.4831666666
182.97,-27.6995,42.2535,10.6806666666,126.525666667,42.9576666666,9.3898333333,65.0235,74.92175,96.9485,37.324
183.35,-21.2718333333,38.3775,16.9956666666,118.8595,48.6841666667,9.2106666667,65.5701666666,73.3551666667,90.57,33.5526666667
183.73,-3.76983333335,51.984,23.3134166666,122.619,61.3096666667,19.6428333333,68.4525,72.3544166666,93.65075,46.0316666667
184.11,8.33333333335,61.9048333333,37.59925,129.5635,74.8015000001,33.1348333333,78.1746666666,80.258,112.797833333,56.1508333333
184.49,14.0893333333,61.6836666666,44.41575,121.477666667,73.1959999999,32.3023333333,71.8213333333,75.8304166666,107.130333334,59.7938333333
184.87,5.06333333335,60.7595,52.42625,139.662333333,82.9115,34.8101666667,75.9495,83.7552222222,119.620166667,62.0253333334
185.25,-2.7321666667,67.7595,69.5354166667,164.2075,86.8853333335,37.7048333333,85.7925,97.9964999999,147.813916667,62.5681666667
185.63,-5.46866666665,57.5521666666,56.1198333334,144.010666667,76.3021666665,36.1978333333,80.9895,89.1493888889,140.234416667,48.4375
186.01,-0.4505,61.2613333333,45.9461666667,135.810666667,77.0271666667,34.009,75.0001666667,79.12925,133.108166666,55.4051666667
186.39,-7.07066666665,58.0808333334,37.879,149.495,73.2325,24.495,71.7171666667,75.58925,138.762833333,59.596
186.77,-19.2028333334,82.6086666667,40.5795833334,218.478333334,118.116,47.1015,107.246333333,108.393694445,198.913083333,80.4348333333
187.15,5.81400000001,108.1395,56.7828333333,238.759833334,154.2635,76.7443333333,143.411,145.349,213.1785,110.465166667
187.53,2.02016666667,152.525333333,56.5655,301.515333333,176.2625,105.5555,175.252333334,185.016777778,276.262583334,144.949666667
187.91,-8.33333333332,139.215833333,53.6763333334,269.117666666,160.294,104.902,155.392166667,167.728777778,257.352833334,121.078333333
188.29,-14.865,124.774666667,50.9009166667,256.757,152.252166667,113.5135,153.153333333,163.813916667,229.279166667,103.603833334
188.67,-22.9731666667,113.964,42.1171666667,252.702666666,137.837833333,118.017833333,157.2075,152.477583333,215.54075,76.5764999999
189.05,3.59466666667,102.287666667,51.1436666667,208.169833333,116.339833333,96.4053333335,130.392166667,120.697083333,165.032833333,69.9346666667
189.43,18.5485,99.1936666665,52.8226666667,189.784833333,114.516166666,96.7741666668,114.516166667,109.139833333,142.741833333,69.8923333333
189.81,18.5485,108.602333333,60.2149166666,194.354833333,117.204333333,102.956833334,113.440666666,110.707805556,141.531916666,66.3978333333
190.19,9.56800000001,110.8025,58.7965,199.6915,117.901166667,113.889,117.901,114.197277778,146.75925,50.617
190.57,27.7776666666,107.7295,66.5458333334,166.9085,109.661833333,100.483,116.1835,110.34625,136.835583333,49.2753333333
190.95,33.6956666666,95.2898333335,64.6741666666,131.159333334,96.7390000001,80.4346666667,99.8188333335,92.3309444443,115.57975,46.9201666666
191.33,31.0285,91.6666666669,59.2198333334,115.780166667,88.298,73.4041666666,93.6169999999,84.6334722222,113.297833333,40.6028333333
191.71,28.3686666667,87.4114999999,57.5355,106.205833333,88.8298333331,68.7941666667,91.4894999998,81.353472222,116.311916666,35.8155
192.09,23.6946666667,90.3613333332,54.6184166666,111.044166667,96.9880000001,68.8753333333,98.7950000001,85.4082777776,128.714666667,27.7108333333
192.47,18.3711666667,83.9015,48.4850833334,98.1059999998,85.4166666665,57.9546666666,85.6061666667,75.0630277777,118.844833334,27.462
192.85,24.8263333333,86.8055,50.5208333333,95.8335,91.3193333334,60.5903333334,85.4166666667,77.691,111.024333334,37.4998333333
193.23,34.9513333333,92.233,50.8091666667,86.5696666665,93.2040000001,69.741,86.2458333331,82.9018888889,110.032583333,43.2038333333
193.61,37.9433333333,99.1133333333,53.1914166666,83.1563333334,104.9645,74.8228333333,94.6808333331,88.9774722221,115.5145,48.5815
193.99,48.9248333333,102.867333333,57.8854166667,87.6344999998,119.175666666,82.6165,104.480333333,97.4612500002,125.08975,62.0071666667
194.37,52.6423333333,107.317166667,60.4675833334,93.6989999999,127.8455,85.5691666667,110.9755,103.489111111,135.568916667,68.2925
194.75,49.755,115.686333333,64.4608333333,100.000166667,140.196,104.166833333,117.401833333,108.210666667,147.058916667,74.5096666667
195.13,50.0,119.496833333,65.5660833334,108.805,146.8555,117.9245,128.616333333,115.513527778,163.993833333,84.9056666668
