wavelength,Back_SalSimm,Belly_SalSimm,Breast_SalSimm,Crissum_SalSimm,Crown_SalSimm,DorTail_SalSimm,Patch10_SalSimm,Patch11_SalSimm,Patch12_SalSimm,Patch13_SalSimm,Rump_SalSimm,Throat_SalSimm,WingTip_SalSimm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,42.4242,31.5151333333,32.4241666667,15.1514666667,9.69673333334,-2.4242,25.4546,24.8484,29.697,6.66673333333,-15.7576666667,18.7879333333,10.9091666666
179.16,43.3332666667,24.4444000001,77.2223000001,4.44446666668,36.6666666666,28.8890666667,33.3333999999,72.2222666667,52.2222666667,12.2222,-25.5555333334,5.55553333328,30.0000333333
179.54,90.0000000001,126.666666667,141.666666667,183.333333333,91.6666666667,78.3333333333,125.0,84.9999999999,156.666666667,116.666666667,173.333333333,143.333333333,93.3333333333
179.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180.31,-193.777666667,-266.666666667,-255.111066667,-350.666666667,-228.888866666,-331.111066667,-292.4444,-261.777666667,-264.8888,-316.888733333,-483.111266667,-305.333266667,-304.222166667
180.69,-317.222266667,-394.999933333,-383.3335,-534.444266667,-366.666666667,-470.555533333,-445.000133333,-411.111066667,-421.111066667,-470.5556,-693.3334,-452.222266667,-462.7778
181.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
181.45,6520.0,6773.33333334,6753.33333333,8613.33333333,6486.66666667,7466.66666667,7633.33333333,7486.66666667,7726.66666667,7659.99999999,10100.0,7900.0,7623.33333333
181.83,1388.0,1413.33333333,1403.33333333,1717.33333333,1364.0,1614.66666667,1574.66666667,1533.33333333,1598.66666667,1616.0,2057.33333333,1645.33333333,1592.66666667
182.21,325.833266667,333.888866667,330.277666667,391.388866667,317.7778,363.888933333,356.944466667,359.7222,365.833333333,380.2778,451.944333333,376.388933333,381.805533333
182.59,245.926,249.2592,247.314866667,293.703733333,240.925866667,263.5184,270.7408,262.037066666,275.555466667,287.963133333,328.703866667,278.148066667,288.055666667
182.97,274.6666,282.222266667,271.0001,337.111133333,268.222266667,296.444533333,314.889,290.888933333,316.444466667,327.111,373.3334,311.333266667,330.444466667
183.35,270.322666667,264.946333333,264.085933333,330.9676,256.344133333,286.666533333,301.505466667,288.3872,304.300933333,321.5054,362.795533333,298.064533333,300.215066667
183.73,221.981866667,221.081,221.351433333,280.540533333,220.900866667,242.8828,245.5856,254.594733333,247.387266667,272.972866667,307.027,259.4596,252.973
184.11,201.746066667,208.253866667,210.476166667,263.174733333,209.682533334,222.539866667,220.634866667,237.460333333,231.269866667,259.047733333,280.0,243.015866667,235.793666667
184.49,172.6388,178.611133333,188.6112,234.722266667,187.499933333,195.555533333,190.694466667,199.166733333,197.777866667,225.5556,241.111066667,221.666533333,212.7777
184.87,133.541533333,143.9582,145.104066667,179.999933333,145.9372,153.749866667,146.6664,153.541266667,152.6038,176.354133333,186.041466666,176.4582,167.083233333
185.25,113.114733333,138.0328,138.579166667,170.929,137.0492,148.852466667,134.972666667,146.1202,138.579266667,163.9344,176.2842,172.1312,162.185733333
185.63,97.5238666666,124.190533333,121.000066667,149.904733333,122.190466667,130.285533333,117.047666667,129.619,124.380866667,145.428666667,156.571466667,145.142733333,140.6667
186.01,96.9231333333,131.897466667,121.999966667,162.153933333,129.333266667,134.666666667,120.615533333,140.4102,124.923066667,151.5898,164.923133333,151.487266667,153.076933333
186.39,112.327133333,158.616266667,150.062833333,200.125733333,160.754666667,157.232733333,143.522133333,169.811266667,145.031533333,183.7736,203.899466667,185.7862,184.5283
186.77,102.592533333,152.592666667,144.753033333,193.580333333,160.740733333,147.283933333,136.543133333,164.321,129.382733333,174.691333333,196.543133333,178.518533333,174.814766667
187.15,81.5025333333,118.309866667,115.2582,150.892066667,132.300466667,114.554,103.568066667,129.671333333,100.563266667,136.619666667,151.830933333,143.004733333,134.3193
187.53,74.8717333333,111.7948,107.606866667,140.854733333,129.145333334,107.606666667,99.4016666667,120.769266667,94.7007333333,130.085466667,140.854666667,134.273466667,129.8292
187.91,73.6889333333,110.933333333,109.244466667,142.488933333,131.822266667,102.311066667,99.2887999999,118.311133333,95.2888000001,128.266666667,140.355466667,132.266666667,130.533233333
188.29,61.4612,94.7946000001,94.5205999999,127.397133333,121.552466667,84.2008666667,83.1050666666,106.666533333,83.8356666667,113.1506,129.406466667,115.068466667,117.945166667
188.67,70.4918666665,108.087333333,110.710166667,139.453466667,142.623,95.6283999999,88.5247333334,125.573866667,93.4425999998,133.6612,150.929066667,133.442733333,132.349666667
189.05,75.3741333334,118.2312,141.020466667,163.129333333,166.1224,108.299466667,96.7347333331,143.9456,102.857066667,159.4558,175.5102,150.340133333,154.3537
189.43,68.9286,104.404733333,133.749966667,148.333333333,148.3334,97.9762666667,86.4286,126.0714,92.9763333334,148.452333333,156.666666667,133.214333333,141.071333333
189.81,63.5714000001,97.3809999999,126.607166667,143.571333333,142.142866667,88.3334,75.3572666667,121.3096,86.4284000001,141.3096,145.833333333,123.690533333,135.952266667
190.19,70.0000666666,96.7948666666,138.589833333,143.717866667,146.4102,92.4360666668,67.1794,123.717866666,92.5640666666,148.2052,151.923133333,126.666666667,136.346033333
190.57,61.2023333333,80.9836666667,116.7212,117.377066667,123.2786,77.8142,57.1584000001,100.5464,80.3278666667,121.311466667,123.9344,107.541,112.4043
190.95,65.4838666667,80.7527333335,121.505333333,119.569933333,117.957066667,76.2366666667,57.6344666667,99.8924000001,84.8387333334,118.709733333,116.881666667,103.763333333,115.8066
191.33,78.9743999999,94.2564,132.205033333,128.102466667,123.794866667,89.5384666667,66.5641333334,111.384666667,100.2052,128.923066667,126.4616,116.000066667,127.179533333
191.71,83.8994000001,102.264066667,149.559766667,139.874266666,133.4592,100.125866667,65.0315333334,118.742133334,109.937066667,137.358466667,137.232733333,132.0756,140.377433334
192.09,70.5820666666,87.3016666666,123.015833333,106.455,106.0318,84.5503333334,53.0158,97.1428666667,88.8888666667,114.074,111.322666667,110.6878,114.709033333
192.47,65.3658666667,78.7805333334,109.756033333,90.5690666667,90.9755333333,76.9917999999,51.2194666667,86.0162,77.6423999999,97.6423333334,92.6017333333,95.2846000001,98.8210999999
192.85,56.2666666667,68.4666666667,95.0666666667,82.3333333333,78.8000000001,67.4666666667,48.4666666667,75.7333333333,67.9333333333,83.4666666667,76.3999999999,80.0666666667,87.2333333334
193.23,58.868,70.1257333333,91.6666333335,80.9433333333,79.2453333333,69.4341333333,49.6225333333,76.3522666667,69.4968666667,82.0125999999,75.5974000001,80.8176666667,86.2264333334
193.61,65.9999999999,75.1514666667,96.4242,83.7576,84.3031333333,71.0302666668,52.6060666667,81.3332666666,71.2726,86.0,77.5151333334,84.6665999999,87.2423333333
193.99,64.6198666666,72.4560666666,94.6198,80.6432666667,81.6375333334,69.6491333333,54.2106,77.1346,69.4736,83.5088000001,75.6139999999,85.4384666667,84.7660666667
194.37,58.1279333333,65.2512,81.2556999999,72.3743333333,72.9680666666,62.2831333333,53.5160666667,67.9908,62.4201333333,74.1551999999,68.7671333333,76.0729999999,75.0456000001
194.75,54.2403333333,60.3628666667,75.3515333333,66.3946,67.9819999999,58.0952,46.3944666666,62.0861333333,58.6848,70.7482666667,63.3106666667,70.6122,70.4988333333
195.13,49.2273333333,56.6446,71.3908,59.2053333333,65.9161333334,54.6578,40.8830666667,58.6314,55.011,66.4018,59.7793333333,67.1522666667,66.5562
195.51,42.7272666667,49.9566666667,64.9350333333,50.8656,59.5672,45.0216,35.671,51.9481333333,46.5369333333,58.2685333333,51.0390666667,58.7446,60.7142333333
195.89,40.2396,45.1896,59.2614666667,45.1896,53.7724,40.2793333333,31.5768,45.8283333333,43.0339333333,52.974,43.7524666667,51.4968666667,54.9701
196.27,38.3655333333,42.7528,58.3225666667,44.0429333333,51.355,36.5162666667,27.4408666667,42.2796,40.9461333333,50.5376,41.6774666667,49.4622666667,53.8279
196.65,36.3769333333,41.1594,57.8744666667,41.6425333333,49.0338666667,32.8018666666,22.8501333334,38.5991333333,37.3912666667,49.3236666667,39.5652666667,47.5846,51.7875333333
197.03,34.3553333333,37.9562,54.1120666667,37.5184,44.1362666667,28.4184,18.1994666667,34.6472,33.6740666667,45.4988666666,36.1557333333,42.0436666667,46.4478333333
197.40,32.3664,35.1653333333,53.3589,34.9108666667,40.8142,24.1221333333,13.1806666667,31.8574666667,27.6846,41.4757333333,30.8906666667,37.8626,42.9771333333
197.78,28.0729333333,28.0730666667,47.4476666667,28.0728666667,33.9582666667,18.2812666667,8.54159999998,24.2706666667,25.8854666667,35.2602666666,24.4791333333,29.3749333333,37.3175666667
198.16,25.5466666667,22.6666666667,47.0133333333,23.4133333333,31.2533333333,14.4,4.05333333334,20.32,19.8933333333,30.5066666666,18.6133333333,25.3333333333,34.2133333333
198.54,11.8596,7.36846666667,46.2808666667,6.38586666667,19.9298,-0.98253333332,-14.3157333333,9.54393333333,8.28073333334,20.0702666667,-0.35073333332,13.8946,27.8595333333
198.92,12.9166666667,9.91666666667,62.2083333334,11.75,25.4166666667,1.91666666658,-13.8333333333,17.3333333333,13.9166666667,22.0,0.33333333334,18.3333333334,35.0416666667
199.30,15.4733333333,10.6173333333,62.6336999999,14.5679333333,22.1398,4.7736,-10.3702666667,19.1769333333,17.9424666667,22.4692,1.31679999998,20.0000666667,35.7612
199.68,8.6340666666,3.16946666667,70.3278333334,7.54093333333,14.0983333333,-4.15293333328,-28.3060666667,8.63393333332,14.4262666667,16.8306666667,-9.94533333332,14.0982666667,29.4535
200.06,-2.72113333334,-1.36059999999,87.5508999999,1.59872115546e-15,12.5170666667,-11.7007333333,-43.8096,6.25846666666,11.0204666667,16.4626,-19.7279333333,18.2314,29.3197666667
200.44,-12.5333333333,-11.7333333333,81.4666666665,-10.6666666667,3.06666666675,-18.5333333334,-53.0666666666,0.53333333334,5.73333333334,10.4,-33.7333333334,12.6666666667,21.5333333333
200.82,-11.5556666667,-10.7778,66.1666000001,-10.4444666667,0.44446666666,-16.6666666667,-41.9999333333,0.88886666666,3.66666666666,10.2222,-33.1112,12.4445333333,16.2221333334
201.19,-19.9999333333,-18.7234,77.5177666667,-19.5745333333,-3.68793333334,-29.5035999999,-57.3049333333,-3.68786666668,2.83673333332,8.65246666665,-45.8155333333,18.8652666667,15.3191
201.57,-32.0261333335,-25.4902,60.3921333333,-22.7449333333,-10.3267333333,-35.1631333333,-53.0718666667,-8.62753333334,0.39213333336,-0.392133333348,-44.5752666666,12.1567333333,9.93460000001
201.95,-30.1886666668,-24.5282666667,63.3331666665,-13.2076,-8.80500000001,-27.9245333333,-48.9308,-1.88686666667,0.12586666666,4.02506666664,-37.736,15.3458666667,20.3145333333
202.33,-41.5942666667,-29.2752666667,70.5073333332,-9.85506666668,-19.2752666666,-38.4057999999,-63.0434000001,-2.02906666667,4.63766666667,2.75359999998,-42.4636666667,8.69566666666,22.5363333333
202.71,-18.8679333333,-7.16980000001,76.7924333334,10.8176666667,-4.15086666666,-21.8868666666,-37.9873999999,13.0816666667,17.9874,15.0944666667,-22.5157333333,20.5031333333,31.5722666667
203.09,-29.9345333333,-27.1895333333,65.3595333334,-5.75166666667,-24.9671999999,-46.6667999999,-52.9412000001,-7.84313333333,-0.784400000014,-1.69926666664,-41.4378666666,7.18946666666,17.7778333333
203.47,-111.333333333,-103.111,58.4444333334,-67.5553333333,-108.666533333,-150.8888,-155.555466667,-75.9999333333,-62.4444666667,-59.9999333333,-126.888866667,-50.6666666666,-30.7778
