wavelength,Back_SchMelf,Belly_SchMelf,Breast_SchMelf,Crissum_SchMelf,Crown_SchMelf,DorTail_SchMelf,Rump_SchMelf,Throat_SchMelf,WingTip_SchMelf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,44.4444,11.1112,71.1110666666,71.1110666665,-28.8889333334,-54.4446,-33.055425,66.6666333332,-76.6666333333
179.16,122.5,117.5,105.0,135.0,109.166666667,88.7499999999,109.166666667,128.333333333,88.75
179.54,-78.8887999999,-66.6667333333,-28.8888,-37.7777333333,-73.3333333334,-88.3333333333,-49.4444083333,-47.2223,-26.6667666667
179.93,-106.666666666,-19.9999999998,19.9999999999,60.0,-33.3333333333,-220.0,-247.5,-166.666666667,6.6666666666
180.31,-165.666666667,-200.666666667,-196.333333333,-151.0,-148.0,-180.833333333,-132.5,-189.166666667,-82.8333333334
180.69,-177.101533333,-221.159333333,-218.260933333,-163.478133333,-165.797,-196.956666667,-153.768141667,-202.8986,-99.1304333335
181.07,-130.196,-157.058866667,-156.470466667,-109.019666667,-125.490266667,-148.2352,-108.602958333,-137.058766667,-75.9804666667
181.45,-42.295,-61.4208666666,-59.8906666667,-31.8034,-45.3551999999,-58.5245333333,-32.937225,-48.0327,-12.8415666667
181.83,-51.3794,-74.1379333334,-77.8162,-51.4942,-57.7011333333,-71.2643,-50.4598,-63.1033666667,-30.0574
182.21,-82.2221333333,-107.7124,-115.163333333,-86.7975333333,-90.1961333331,-104.705833333,-83.9052666667,-96.5359333333,-59.6079000001
182.59,-102.721066667,-129.1156,-131.8368,-107.8912,-108.707533333,-124.762033333,-108.605541667,-111.292566667,-77.2108333333
182.97,-117.066666667,-144.133333333,-149.066666667,-121.866666667,-131.866666667,-137.8,-131.016666667,-129.733333333,-93.1333333333
183.35,-171.965866667,-197.948733333,-210.085466667,-183.247933333,-183.4188,-199.743766667,-195.256566667,-184.7009,-141.5384
183.73,-159.024333333,-179.349533333,-190.569,-176.748,-162.764133333,-181.382133333,-177.012233333,-166.016233334,-125.609833333
184.11,-193.873733333,-212.792666667,-223.964066667,-215.675666667,-197.117066666,-215.675766667,-222.094616667,-193.6936,-155.3153
184.49,-209.411733333,-235.294133333,-245.8824,-244.117733333,-219.019533333,-236.3726,-251.176433333,-212.353,-176.764566667
184.87,-133.049533333,-148.368733333,-159.007133333,-163.971666667,-144.2554,-153.971833333,-164.131166667,-137.588533333,-113.1913
185.25,-115.4248,-141.6992,-148.2352,-158.300733333,-137.254866667,-146.601433333,-161.470716667,-130.914966667,-110.849533333
185.63,-169.5,-198.666666667,-218.5,-227.666666667,-196.5,-209.0,-234.041666667,-191.333333333,-177.75
186.01,-100.754666667,-125.534666667,-145.5346,-140.0,-123.522133333,-129.1822,-147.783,-113.773566667,-105.283133333
186.39,-64.8676000001,-89.8413333333,-111.957666667,-99.8941333333,-92.91,-88.0422,-106.49475,-76.8254999999,-69.3651
186.77,-40.7407333333,-62.2222666666,-86.1111333333,-74.0739333333,-72.4999333335,-64.4906,-78.5880083333,-55.9259,-49.3057
187.15,-40.5714,-60.7620666666,-88.9521333334,-81.3333333334,-76.0000666667,-70.4762333333,-80.1904916667,-56.0952333334,-51.5715
187.53,-24.5784,-43.2932,-67.9517999999,-58.1524666667,-57.7509333333,-50.7630666667,-60.974,-42.4497666667,-38.5141333333
187.91,-45.8447333333,-65.2967333333,-92.7852,-86.8492666666,-83.1049999999,-82.5115666667,-91.621025,-71.4612,-59.0410666667
188.29,-56.0388,-74.8792,-101.642533333,-100.4832,-98.5508,-92.9469666666,-102.596566667,-81.9806333333,-67.8261333333
188.67,-58.3837333333,-77.0707333334,-109.090866667,-109.192,-109.293,-98.2828333334,-112.209591667,-84.3939333333,-75.9091333333
189.05,-96.2963999999,-117.4814,-165.629666667,-170.814733333,-167.7036,-148.148233333,-179.074091667,-125.629633333,-120.444433333
189.43,-129.914533333,-136.410266667,-192.6494,-206.495733333,-204.615333333,-178.376033333,-219.102641667,-155.2992,-136.923033333
189.81,-133.8212,-130.081266667,-184.715733333,-208.7804,-204.2278,-176.8292,-216.300883333,-151.7886,-130.325166667
190.19,-166.851933333,-149.444466667,-214.074133333,-261.481533333,-246.851866667,-212.500033334,-266.597183333,-195.185233333,-165.000166667
190.57,-172.307666667,-152.478666667,-212.136666667,-265.128333333,-239.145266666,-217.008466667,-267.991433334,-198.8889,-170.854833333
190.95,-290.000066667,-273.095133333,-352.380866667,-427.619066667,-377.380866667,-352.142833333,-427.113066667,-323.214233333,-285.119
191.33,-255.476133333,-235.476266667,-319.047533333,-389.285733333,-345.7144,-305.595166667,-398.8392,-283.5715,-255.238
191.71,-268.974333333,-245.897333334,-347.4358,-415.8974,-380.000066667,-323.205066667,-424.519208333,-295.7692,-263.9743
192.09,-166.666733333,-146.3158,-225.263133333,-264.736933333,-246.140333333,-193.947433333,-269.013141667,-177.4563,-170.000133333
192.47,-117.278933333,-98.6393333332,-172.925266667,-194.830066667,-179.863933333,-144.149833333,-201.513558333,-135.986433333,-126.326533333
192.85,-119.8742,-102.012533333,-166.918133333,-187.169866667,-171.9496,-137.2957,-197.6571,-138.0502,-121.3208
193.23,-108.538066667,-101.637466667,-160.117066667,-176.842066667,-164.210466667,-131.052533333,-185.804,-136.081866667,-118.3625
193.61,-162.015533333,-155.038733333,-231.472866667,-258.759533334,-233.333266667,-189.767433333,-256.937891667,-201.8604,-184.651166667
193.99,-166.0466,-164.651133333,-237.364266667,-261.7054,-235.503866667,-195.2714,-257.189841667,-207.8294,-198.294466667
194.37,-252.525266666,-257.9798,-352.3234,-380.000066667,-346.8688,-296.161533333,-366.212141667,-309.2929,-293.333366667
194.75,-225.740866667,-230.740733333,-309.074066667,-341.481466667,-314.8148,-267.407166667,-320.717733333,-280.092666667,-267.685366667
195.13,-319.506133333,-312.8396,-432.839466667,-479.506266667,-448.641866667,-378.271566667,-445.339441667,-400.2469,-384.074033333
195.51,-720.4446,-696.888866667,-920.889,-1013.3334,-950.666733334,-820.444366667,-938.277850001,-885.333266667,-833.1112
195.89,-778.666733333,-741.777666667,-944.889,-1071.55553333,-990.666666666,-875.1112,-1015.05560833,-952.0,-892.444333333
196.27,-640.000133333,-605.926133333,-781.851866667,-869.629466667,-838.148133333,-722.407433333,-856.296299999,-804.6296,-731.666633333
196.65,-923.589733332,-877.435866667,-1097.436,-1212.30766667,-1198.9744,-995.384666665,-1205.70518333,-1132.30776667,-1064.35896667
197.03,-580.952333333,-538.095266667,-689.2064,-756.190466666,-744.444399999,-626.3492,-743.849266667,-705.396966667,-684.762
197.40,-340.5406,-298.558533333,-388.2882,-432.7928,-427.387333333,-357.027066667,-419.662116667,-404.144166667,-393.783866667
197.78,-229.615466667,-203.846133333,-271.6666,-295.000066667,-301.025666667,-251.089733333,-296.121783333,-279.423233333,-275.9616
198.16,-293.484733333,-260.606133333,-342.727333334,-367.727133333,-379.393866667,-318.484933333,-377.76525,-354.166566667,-343.939366667
198.54,-334.4716,-298.536733333,-380.975733333,-401.788733333,-416.9106,-353.496033333,-423.760225,-393.089366667,-389.512133333
198.92,-675.1516,-605.4546,-756.666533333,-798.484733333,-826.666666666,-704.9999,-841.363583333,-776.060566667,-776.9697
199.30,-487.096933333,-421.935466667,-535.053866667,-560.645266667,-577.204466667,-499.4623,-593.9517,-546.881733333,-552.365633333
199.68,-439.797933333,-377.9798,-474.9494,-490.505066667,-504.646466667,-444.242466667,-526.136366667,-480.909066667,-488.080833333
200.06,-330.158733333,-277.142933333,-358.412666667,-368.0952,-371.428533333,-336.7459,-386.627191667,-355.7937,-367.6984
200.44,-317.364266667,-265.736533333,-339.3798,-356.279133333,-347.751933333,-315.3488,-361.550441667,-337.4418,-354.418666667
200.82,-330.166666667,-277.833333333,-357.0,-378.0,-362.666666667,-332.416666667,-372.1875,-356.583333333,-370.583333333
201.19,-458.0,-386.666666667,-489.111133333,-520.889,-501.999866667,-455.333466667,-501.8611,-496.777766667,-508.1112
201.57,-1775.0,-1566.66666667,-1965.83333333,-2032.5,-1965.83333333,-1813.33333333,-1992.1875,-1960.83333333,-1986.25
201.95,-2295.55546667,-2013.33326667,-2571.111,-2670.0,-2502.2222,-2305.5555,-2564.16679167,-2576.6667,-2578.33326667
202.33,-1232.66666667,-1074.66666667,-1415.33333333,-1477.33333333,-1362.0,-1245.33333333,-1408.5,-1429.33333333,-1429.66666667
202.71,-709.166666667,-612.083333333,-815.416666667,-855.833333334,-781.666666667,-723.75,-809.114583333,-834.583333333,-819.583333333
203.09,-298.8236,-249.607933333,-343.529333334,-357.0588,-324.705933333,-305.490333333,-338.921608333,-355.6863,-345.9804
203.47,-262.962933333,-227.963,-307.2222,-319.629666667,-289.073933333,-278.425866667,-307.29165,-319.074033333,-317.5925
