wavelength,Back_SchMelm,Belly_SchMelm,Breast_SchMelm,Crissum_SchMelm,Crown_SchMelm,DorTail_SchMelm,Rump_SchMelm,Throat_SchMelm,WingTip_SchMelm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,-100.000066667,-88.8887333333,-166.666666667,-86.6666000001,-33.3332,-73.3334000001,-161.111166667,44.4444666666,-108.888866667
179.16,57.5,68.3333333333,52.5,59.9999999999,92.4999999999,61.6666666667,40.4166666666,107.5,87.5
179.54,35.5556,10.0,5.5556,23.3334666666,16.6666666666,27.7777333334,48.8889333333,-32.2223333333,-14.4444
179.93,499.999999999,306.666666667,193.333333333,120.0,200.0,400.0,496.666666667,166.666666667,233.333333333
180.31,62.6666666666,4.66666666659,5.3333333334,30.6666666667,-58.6666666667,40.6666666666,111.333333333,-117.333333333,-47.9999999999
180.69,38.5507333335,-27.8260666667,-15.942,2.0288666666,-86.6666,6.66673333321,75.7972333333,-138.260866667,-75.6522666667
181.07,25.2941333333,-22.5490000001,-20.3921333333,-3.72553333328,-67.4508666667,1.96066666666,42.7451,-99.9999333333,-63.1373333333
181.45,40.1092666667,14.9727333333,12.3496666667,19.0163333333,-7.21326666667,34.317,44.5901666667,-25.0273333333,-6.12019999998
181.83,25.2874000001,2.4138,-1.03446666667,3.56326666666,-20.9195333333,26.8967333333,27.9884666666,-37.9309333334,-16.4368
182.21,-0.78426666666,-24.7058,-30.5883333334,-21.8300666667,-45.4902666666,2.35286666667,3.39873333334,-68.2352666666,-47.5818666668
182.59,-15.5101333333,-41.7688,-42.8571333333,-35.102,-61.7687333334,-19.3198,-12.6530000001,-82.4489333332,-65.4422666667
182.97,-36.5333333333,-61.0666666667,-65.4666666667,-56.2666666667,-78.2666666668,-32.5333333333,-29.2666666667,-106.8,-73.9999999999
183.35,-71.4529333333,-105.128266667,-104.9574,-96.7522,-116.410333333,-65.4701999999,-57.6068333333,-163.418866667,-109.914466667
183.73,-62.2764666668,-91.2194666666,-81.4633333333,-84.7155333332,-95.7722666667,-57.2357333333,-50.8130666666,-149.593533333,-94.7966000001
184.11,-83.9638666665,-117.117133333,-107.027066667,-114.414466667,-114.594533333,-76.3965333333,-75.1351666667,-180.180333333,-124.324266667
184.49,-92.9410666665,-120.196133333,-120.980266667,-136.274533333,-113.3334,-81.1766000001,-85.3922666667,-197.058866667,-140.784333333
184.87,-50.4964,-63.5459999999,-71.6313333334,-82.695,-51.3474666667,-40.1418,-45.4610666666,-127.5178,-76.7376
