wavelength,Back_SicFlaf,Belly_SicFlaf,Breast_SicFlaf,Crissum_SicFlaf,Crown_SicFlaf,DorTail_SicFlaf,Patch10_SicFlaf,Patch11_SicFlaf,Rump_SicFlaf,Throat_SicFlaf,WingTip_SicFlaf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,144.0,93.3333333335,148.0,94.6666666668,86.6666666667,124.0,106.666666667,41.3333333334,67.3333333335,128.0,77.3333333333
179.16,26.1110666667,46.6666666667,18.3332,42.2222666667,42.7778,25.5556666667,48.3332,57.7776666667,55.5555333333,21.6666666667,42.2222333333
179.54,56.6665333333,73.3333333333,41.111,37.7778666667,58.8888666667,75.5556000001,96.6667333333,86.6666,114.814766667,27.7778666667,82.2223333334
179.93,25.5556666667,64.4444666667,42.2223333333,41.1112000001,31.1110666667,16.6666,21.1110666667,43.3333333333,66.4815777778,18.8888,6.66669999998
180.31,43.1111333333,65.0369999999,46.0738666667,40.8889333333,43.8518,34.8147333333,52.4443333333,82.3702000001,112.419744444,38.2223333333,46.1481
180.69,46.8253333334,68.7300666667,52.2221333332,36.1905333333,50.3174666667,35.2380666666,52.6984,94.9206666667,126.216866667,41.1109999999,49.2857666667
181.07,59.0476,67.0238,66.0715333333,43.0951333333,51.7857333333,44.8809333333,56.3096000001,88.2144666667,114.365166667,50.0001333334,50.1190666667
181.45,57.8836666666,61.5872,68.5715999999,38.0952666667,47.1957333333,45.3968,51.1112000001,83.8094,104.073988889,48.6771333333,48.8359
181.83,55.0979333333,55.7843333334,68.1373999999,32.9412,42.0588,40.0981333333,43.1372666666,77.4509999999,94.4606777777,43.0392,40.5391333333
182.21,59.4519999999,54.2465333334,71.3241333334,35.8904,47.2146,48.2191333333,48.3104666667,81.0959999999,99.3910444445,44.2008666667,46.2100333333
182.59,54.9572666667,47.6068666667,67.1794666667,27.0941333333,44.2736,44.2736,41.0256666667,78.4615333334,91.1681333333,34.3590666667,43.2478
182.97,52.2548666667,42.9412666667,64.6078000001,17.0587333333,38.5294,42.1569333333,35.7842666667,82.6469999999,88.7908888889,26.1763999999,37.2059333333
183.35,57.7477333333,47.4776,72.4323333333,24.5946666667,45.4956,45.9459333333,43.063,82.6127999999,89.0241888889,31.8018666666,39.7746666667
183.73,58.1577999999,48.0702,80.3506666667,30.8772,47.4562,47.1052666667,45.0878,82.5438666667,82.1783444444,31.9298666666,43.2894666667
184.11,53.8528666667,45.0216,81.2121333334,28.9176666667,48.1385333333,48.9176666667,43.5497333333,81.2987999999,77.9365222223,25.368,45.2813333333
184.49,49.2641999999,36.7965333333,75.5845333333,24.1558666667,41.2986666667,41.8182000001,36.3636,78.5282000001,71.5297777778,16.6232666667,38.0519
184.87,46.3374000001,33.4979333333,70.8642666667,22.3045333333,39.8354666667,39.6707333333,32.5102,72.3456,63.7037111111,10.7818666667,32.0577
185.25,49.8096,35.9999333333,75.1428666666,22.1906,48.7620666667,48.762,32.7617333333,79.0475333333,68.5872888888,9.42846666667,33.7619666667
185.63,58.8679333333,40.2514666667,92.327,24.1509333333,64.6540666667,60.6289999999,33.2077333333,90.6918666667,80.2306555555,2.76713333335,34.2138666667
186.01,59.1111333333,38.4444666667,82.5556,28.4442666667,71.6665333334,63.2222000001,31.3334,85.6667333333,73.6110222221,10.6668,38.3333333333
186.39,56.5128000001,36.6153333333,76.9229999999,25.2309333333,70.0512666667,55.7947333334,21.5384666667,77.2309333332,60.3761444445,14.4616,35.5897333333
