wavelength,Back_SicLuam,Belly_SicLuam,Breast_SicLuam,Crissum_SicLuam,Crown_SicLuam,DorTail_SicLuam,Patch10_SicLuam,Rump_SicLuam,Throat_SicLuam,WingTip_SicLuam
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,66.6667333333,155.555466667,167.777666667,123.3334,66.6666666667,160.000066667,23.3332999999,102.222066667,218.888866667,233.333333333
179.16,168.0,157.333333333,146.666666667,130.484848485,118.666666667,156.0,142.666666667,120.0,160.666666667,190.666666667
179.54,76.6666666667,83.9999999999,77.9999999999,74.8181818182,69.3333333333,77.9999999999,58.3333333333,67.3333333333,97.3333333333,92.0000000001
179.93,35.8333333333,44.1666666667,34.5833333333,31.1363636364,22.5,36.6666666666,20.0,33.75,23.3333333333,50.8333333333
180.31,57.1014,62.4638,52.0291666667,54.9604363636,29.2753333333,56.5217333333,38.0433666667,39.2028333333,65.3621666666,99.9999333334
180.69,67.6422666666,70.0811999999,59.4309999999,60.8351818181,36.2600666667,67.8049333334,43.5772666667,50.2438666667,77.2358333333,120.487866667
181.07,66.0604666667,60.8080000001,48.5858333333,51.037748485,23.0303333333,56.9696,40.0000666667,41.4142333333,70.1009999999,133.131266667
181.45,47.7778,57.5555333333,30.5556333334,42.9495030302,5.33346666667,51.5556666667,31.5556333333,31.5556666666,53.3332666667,138.222266667
181.83,36.6666666667,68.3333333333,11.25,18.0492424244,-35.0,55.4166666667,22.4999999999,23.125,28.5416666667,219.583333333
182.21,133.333266667,164.4444,135.555533333,100.067354545,-10.3704000001,150.370333333,141.851866667,144.074066667,126.666633333,471.851666667
182.59,92.9410666667,98.0393333334,99.6078333333,60.5703818182,30.9804,116.0784,116.274333333,105.686333333,86.0784333333,268.235133333
182.97,91.9297333333,101.403666667,112.105133333,53.5246878786,35.0877333332,138.245533333,85.4385666667,116.315633333,71.5788333333,237.894533333
183.35,-84.0,-94.666666666,-260.666666667,35.1515151514,12.0000000001,-346.666666667,-63.9999999999,-258.666666667,-67.3333333328,-788.0
183.73,-82.2221999998,-211.111133333,-684.4444,-30.909181818,19.9999333334,-764.444533333,-261.111199999,-442.222200001,-183.333300001,-1395.55566667
184.11,154.166666667,227.5,505.0,167.272727273,143.333333333,450.833333333,259.999999999,332.083333333,229.999999999,678.333333334
184.49,156.666666667,666.666666667,1881.66666667,497.878787879,216.666666667,1436.66666666,720.000000001,1130.0,611.666666665,2333.33333333
184.87,-120.0,228.888933333,1207.77786667,178.888866667,-104.444466666,737.777866667,218.889033333,496.666766667,247.777633334,1348.8888
185.25,-45.8333333333,97.5000000001,481.666666667,104.318181818,-28.3333333334,288.333333333,20.4166666666,197.083333333,70.4166666668,499.166666667
185.63,-28.8889333335,28.1481333333,227.7776,44.4443636364,-4.44433333334,115.185266667,-8.1480666668,86.2963000002,30.0001,229.259333333
186.01,-36.7900666667,3.70380000014,150.493733333,27.845069697,-16.5430666666,70.8642000001,-27.1604333334,51.9753333334,24.1975333333,137.777866667
186.39,-75.8025333334,-24.9381999999,103.703833333,-1.593669697,-42.7159999999,49.1357333333,-83.2099333334,8.27170000006,-5.55539999994,97.7777333333
186.77,1713.33333333,889.999999999,-609.999999999,530.151515151,1296.66666667,123.333333335,1810.0,490.0,611.666666667,-733.333333333
187.15,-3266.66666667,-1686.66666667,1080.0,-588.787878787,-2466.66666667,-420.0,-3620.0,-1066.66666667,-1053.33333333,2193.33333333
187.53,-88.0000000001,-3.0,131.833333333,56.3939393939,-66.9999999999,23.9999999999,-100.5,17.4999999999,20.4999999999,172.666666667
187.91,-87.0588666666,8.2353333332,165.4901,71.8895000001,-61.9608666665,29.4116666667,-113.3334,46.8626999998,35.2942,209.4118
188.29,-57.7778000001,26.3493333333,118.888966667,75.7286424242,-59.0476666667,17.4602666666,-74.7619666666,41.4285333333,24.2856000001,160.634933333
188.67,13.1883333333,51.1594,87.4636333333,68.4981393939,8.69559999999,47.9710666667,2.9711666666,54.8551333333,44.7103,108.985466667
189.05,17.5,59.4046666666,85.8333666667,67.8355818181,19.7619333333,53.4524,13.0357999999,57.3809666666,43.3927666667,107.857266667
189.43,9.82460000002,54.0350666666,86.6665999999,64.0457121211,13.6842666667,49.7075333334,16.2573666667,53.9180333334,37.7192,105.380133333
189.81,18.2051333333,60.1282,105.9615,72.6630848486,16.5385333333,56.5386,24.4231666666,66.4743333334,51.0897333333,119.1026
190.19,29.5238,67.3468666667,121.6325,89.8082939395,24.6258,63.4014000001,40.2041666665,80.1359666667,59.1156666667,143.265266667
190.57,38.239,76.6038666666,119.119433333,97.364269697,30.6918,62.7672666667,50.6918000001,82.9559666668,66.4780666667,147.924466667
190.95,32.3287333333,60.1828666667,93.2421000001,74.7985787879,27.0318666666,53.0593333333,41.0500666666,63.9269333333,51.0046,112.055
191.33,17.9799333333,54.5453999999,87.2727000001,67.0983575757,18.1818666667,48.0808,38.0305,57.2222000001,43.8385,103.737266667
191.71,12.7451333333,48.8234666667,77.9412666667,54.4340909091,17.6471333333,51.0783333333,34.2648666668,52.4509666666,38.7255666667,100.784333333
192.09,8.13846666666,42.9436000001,65.9739666667,43.8055939394,14.1125333333,44.3291333333,29.7835666667,41.9913333333,32.2944,90.0432666667
192.47,1.35406666667,45.1039999999,78.8539999999,47.9023060606,14.3747333333,50.104,31.6144,45.5207333334,32.8644666667,115.104066667
192.85,-46.6666,26.8292666667,88.9429999999,30.0814030303,-24.7155333333,32.0325333333,5.52839999986,25.8535666667,16.6666333333,143.4146
193.23,-34.0278,25.1389333333,67.4306666666,27.1275545455,-22.0832,22.7777333333,15.6249666665,24.7916333333,10.9721666667,120.6944
193.61,-20.5796,44.2030666666,78.2609999999,38.6692969697,-8.55086666668,40.4346666667,34.4927999999,40.1448666667,28.1884333333,132.029066667
193.99,-54.7059333333,39.2157333333,70.0000000001,35.6148696969,-29.9999333332,37.8430666666,23.1372,28.2352333334,7.84313333333,142.1568
194.37,-124.8484,23.6364000002,65.4546333333,16.8044303031,-79.697,21.2121333334,-6.0606333334,-21.8182000001,-41.3635333333,155.454666667
194.75,-278.974333333,-26.1537333332,109.487333333,-29.2074848485,-178.9744,-11.2819333335,-56.9230666667,-84.6153666667,-127.6924,208.205
195.13,-2.78489636049e+15,-6.61039718036e+14,7.20746531274e+14,-4.96652128328e+14,-1.87649984474e+15,-4.73389733557e+14,-8.52954474879e+14,-8.97734584812e+14,-1.57156861997e+15,1.43722829018e+15
195.51,1364.4444,286.666733333,-499.999766666,349.19189697,1133.3332,375.555466667,437.777766666,473.333366666,853.333366667,-744.444266667
195.89,-1676.66666667,-170.000000001,1005.0,-73.484848484,-1483.33333333,-476.666666665,-456.666666667,-421.666666666,-1003.33333333,1186.66666667
196.27,-553.333333333,33.333333334,535.333333333,157.93939394,-453.333333333,-98.6666666667,-40.0000000001,-43.333333334,-269.333333333,506.666666667
