wavelength,Back_SicLuom,Belly_SicLuom,Breast_SicLuom,Crissum_SicLuom,Crown_SicLuom,DorTail_SicLuom,Patch10_SicLuom,Rump_SicLuom,Throat_SicLuom,WingTip_SicLuom
178.4,0,0,0,0,0,0,0,0,0,0
178.78,53.80943333,67.61906667,38.09513333,101.9048667,45.7142,43.8096,76.19033333,103.8096,95.23813333,108.0954
179.16,246.6666667,266.6666667,73.33333333,313.3333333,320,326.6666667,366.6666667,393.3333333,553.3333333,673.3333333
179.54,120.6666667,102.6666667,88,92,118.6666667,80,74.66666667,132,120,102.6666667
179.93,-58.33333333,-203.3333333,-93.33333333,-60,-86.66666667,-136.6666667,-130,-60,-13.33333333,-130
180.31,166.4912333,161.7543333,77.19286667,220.7018,184.9122,122.8070667,124.2105333,191.9298,276.1403333,212.2806333
180.69,146.1403,134.737,46.31586667,205.6141333,162.1053333,104.5612667,101.0527333,178.2457333,263.8596,196.3156333
181.07,202.1213,175.1515333,9.6968,281.2121333,230.3029333,140,124.2424667,246.0605333,405.4544,227.2728
181.45,407.3333333,330.6666667,-6.666666667,572,453.3333333,272,221.3333333,504,806.6666667,336
181.83,-1170,-966.6666667,806.6666667,-2113.333333,-1540,-880,-366.6666667,-1866.666667,-3353.333333,-820
182.21,-234,-285.3333333,162.6666667,-432,-340,-246.6666667,-86.66666667,-400,-662.6666667,-213.3333333
182.59,-64.81473333,-85.92593333,157.7778667,-181.4814,-110.3703333,-85.9258,14.0742,-168.8888667,-276.2962667,-54.0741
182.97,-196.6666667,-208,137.3333333,-541.3333333,-309.3333333,-261.3333333,-117.3333333,-497.3333333,-581.3333333,-206.6666667
183.35,543.3333333,636.6666667,-153.3333333,1423.333333,870,656.6666667,516.6666667,1446.666667,1420,585
183.73,185,260,-81.66666667,650,375,430,208.3333333,713.3333333,678.3333333,238.3333333
184.11,0,0,0,0,0,0,0,0,0,0
184.49,-11.66666667,270,-523.3333333,563.3333333,336.6666667,393.3333333,-86.66666667,923.3333333,720,41.66666667
184.87,270,440,88.33333333,573.3333333,526.6666667,468.3333333,176.6666667,711.6666667,580,262.5
185.25,100.1587333,125.0795333,79.0476,153.3332667,156.5078667,136.8254667,47.30166667,172.3809333,131.4286,100.7936
185.63,92.6881,102.7957333,83.44093333,135.6986667,134.1934667,112.9032,50.9678,149.0323333,110.7528,102.5807333
186.01,91.55553333,99.11113333,88.44446667,128.5926,123.5556,107.5556,68.59266667,132.8888667,98.5186,102.5185
186.39,77.01156667,84.36773333,83.33333333,110.4599333,105.7470667,94.36786667,64.82766667,115.0574667,88.6206,89.19546667
186.77,63.94746667,72.10513333,75.61393333,89.21066667,90.4386,80.61393333,52.71933333,98.59653333,73.07026667,74.12293333
187.15,60.71973333,70.303,72.80293333,78.33313333,84.6212,76.89393333,48.10606667,88.7122,66.89393333,69.2046
187.53,56.33743333,67.65426667,72.92193333,77.284,87.98353333,80.5762,45.67906667,86.0906,65.26746667,69.42393333
187.91,54.17673333,66.50613333,74.05613333,79.03613333,85.38166667,74.13666667,47.5502,83.9358,62.249,67.99186667
188.29,57.38956667,70.5222,81.9276,89.7188,92.20866667,75.18073333,50.68266667,88.75493333,64.257,71.12456667
188.67,52.78386667,65.27466667,75.6776,84.76186667,88.27833333,72.52766667,49.15753333,80.21986667,57.14286667,65.8241
189.05,41.91916667,56.4982,67.8116,75.82506667,76.76766667,64.91573333,45.05046667,72.7946,48.01333333,58.08086667
189.43,49.39383333,64.5118,76.431,85.18526667,84.51173333,71.51513333,58.9228,80.53873333,57.64313333,68.45106667
189.81,44.1915,62.44226667,71.22106667,82.17826667,81.05613333,65.47853333,54.05926667,70.62693333,52.0132,60.82506667
190.19,39.47706667,57.843,66.53586667,78.4968,75.94766667,57.451,48.30073333,62.35293333,46.79733333,54.6732
190.57,40.76666667,55.93333333,64.06666667,79.4,77.73333333,54.73333333,47.73333333,60.53333333,42.2,49.9
190.95,43.0769,57.80226667,66.59353333,85.05486667,83.7364,53.9192,51.6484,61.099,40.58613333,48.53493333
191.33,51.3888,66.50793333,73.88893333,94.68253333,94.20646667,61.66666667,61.19046667,73.65073333,46.50793333,55.63493333
191.71,58.88883333,72.9502,77.3946,98.544,94.40613333,65.8238,67.43286667,82.9118,49.3486,58.2376
192.09,63.9393,76.29633333,76.83506667,93.3334,91.85193333,70.30313333,72.79466667,85.11793333,52.3232,58.82163333
192.47,67.75573333,78.34993333,73.59733333,90.29713333,92.60726667,73.33333333,72.80533333,83.63026667,55.04946667,59.63686667
192.85,67.87876667,78.18186667,76.835,93.266,93.19853333,74.00666667,72.32326667,86.53193333,60.13466667,61.21213333
193.23,72.8179,81.9244,77.52573333,96.5636,95.67013333,71.9588,75.46386667,88.59113333,65.84186667,63.12713333
193.61,66.0784,74.96726667,69.1504,88.56213333,87.3204,62.8104,67.32026667,80.26146667,55.75173333,54.47716667
193.99,66.98106667,76.2264,68.4904,84.33966667,85.0316,64.71693333,69.3082,81.6352,53.0188,56.0378
194.37,72.16313333,82.83693333,74.3972,90.70926667,91.3476,71.2056,79.07806667,90.85106667,53.40433333,59.858
194.75,77.21613333,90.84233333,82.4908,99.63366667,92.60086667,74.652,85.49446667,97.28933333,58.4614,69.70683333
195.13,74.11336667,88.29786667,77.02126667,97.94326667,87.51766667,69.3618,85.88653333,97.305,56.31206667,68.3688
195.51,73.70833333,87.83333333,78.25,106.5833333,86.5,64.25,91.16666667,97.41666667,49,62.75
195.89,70.6392,87.67126667,78.8128,110.4110667,87.85393333,63.92693333,93.05946667,97.80813333,43.65293333,61.46123333
196.27,71.99986667,89.33326667,84.44446667,123.7779333,94.6668,65.7778,98.44446667,102.1111333,39.4444,59.389
196.65,67.4019,81.0784,80.98033333,120.4902,84.902,63.92153333,96.1764,93.03933333,38.6276,54.3137
197.03,72.16683333,84.4446,84.4444,130.3333333,88.5556,62.6666,106.889,100.0000667,33.88893333,57.44443333
197.4,70.83333333,85.44446667,87,131.1110667,87.22226667,62.77773333,104.4444,101.1110667,30.22233333,54.5
197.78,81.0525,102.456,109.1228,180.5264,108.9474,78.94746667,134.0350667,141.0526667,32.4562,65.52616667
198.16,89.74356667,123.5898,131.2820667,246.9231333,131.2819333,92.8206,177.4359333,191.7948667,35.641,71.28203333
198.54,94.32096667,128.1481333,125.6790667,232.8395333,139.0123333,88.39506667,166.6666667,187.9013333,48.1482,67.28383333
198.92,99.04763333,147.9364667,138.0952,260.3175333,188.2540667,98.4128,195.8729333,219.3651333,45.71426667,47.77786667
199.3,123.5,176.6666667,166,283.6666667,222.3333333,141.3333333,209.6666667,232,72,44.83333333
199.68,115.9722333,161.6665333,136.9444,233.0556667,197.4999333,137.2222,183.8889333,202.2221333,78.3334,36.66656667
200.06,150.0000333,198.0952667,157.7776667,266.3492667,238.0952667,158.4127333,227.3015333,239.0476,121.9047333,44.9205
200.44,231.1906,302.8570667,230.0000667,407.6191333,383.8094667,222.8570667,361.9048,362.381,223.8094,92.38083333
200.82,506.6666667,676,448,940,946.6666667,430.6666667,930.6666667,882.6666667,438.6666667,159.3333333
201.19,1146.666667,1506.666667,840,2166.666667,2243.333333,966.6666667,2186.666667,2033.333333,840,181.6666667
201.57,-170.0001333,-250.4762,-14.28573333,-421.9048,-480.9525333,-155.2381333,-496.1905333,-360.9523333,-28.57146667,90.95236667
201.95,-16.9444,-78.8888,88.8888,-145.5555333,-171.1112667,6.666733333,-245.5555333,-80.5556,103.3333333,161.1111667
202.33,23.51856667,-10.7408,96.29633333,-40.00006667,-75.926,50.3704,-113.7036,23.3334,119.6294667,160.3704
202.71,31.66666667,-2.916666667,99.58333333,-42.08333333,-60.41666667,62.91666667,-102.0833333,26.25,134.1666667,177.7083333
203.09,8.431366667,3.1372,97.25486667,-35.68626667,-39.99993333,62.3528,-98.8236,19.2158,130.5881333,149.2156
203.47,36.9445,36.6666,94.72226667,13.05546667,7.777866667,80.5556,-47.50006667,53.611,130.2777333,115.0000667
203.85,74.64916667,62.28073333,97.01753333,52.28086667,47.19286667,86.14026667,11.57893333,81.57893333,120.3508667,101.1403
204.22,102,85.16666667,108.5,72.5,72.5,107.6666667,37.33333333,105.6666667,150.8333333,119.25
204.6,145.0000667,117.5555333,156.6666667,113.1111333,112.4444667,151.7777333,70.88893333,144,223.3332667,178.1110667
204.98,154.4826667,116.3218,168.5057333,125.2873333,127.1264667,160.0001333,94.94246667,147.5862,234.2529333,198.6207333
205.36,197.6190667,129.5239333,212.0634667,160.6350667,160,205.7142667,124.4444667,173.0158,307.3014667,257.3016333
205.74,160.8334667,98.33333333,167.5,144.1667333,131.6667333,164.1668,102.4999333,126.1112,246.3888667,225.2778667
206.12,143.9394333,70.90893333,141.5153333,114.2424667,91.21206667,132.7271333,72.42413333,89.394,225.7576667,209.5454667
206.5,115.4444667,73.33326667,110.0000667,98.88893333,81.7778,112.8888667,59.55553333,74.22213333,177.9999333,160.6667333
206.87,107.6316667,79.29826667,104.9124667,100.1754,82.80693333,97.36826667,51.92986667,82.6316,151.0524,141.0525333
207.25,112.0916,89.4118,104.7058667,100.1306667,91.50326667,101.0457333,60.13066667,87.97386667,139.085,137.3202333
207.63,118.0503333,99.74853333,109.5598,109.9370667,100.6288667,106.6666667,72.327,93.58486667,146.1636,148.3646667
208.01,117.2548667,104.0522667,112.1567333,108.2352667,101.6993333,115.294,73.98686667,90.98033333,148.4967333,148.3007
208.39,108.8304333,97.89473333,108.0702,103.275,95.67253333,104.6786,71.1112,89.2398,131.4619333,137.5438333
208.77,93.93163333,85.983,87.17946667,85.2992,82.56406667,85.9828,62.73493333,81.70933333,107.8633333,113.4615
209.14,82.88383333,74.7566,70.71166667,72.50933333,68.16466667,70.48693333,49.8876,68.16486667,91.7602,98.27726667
209.52,75.2689,67.957,60.71693333,66.09326667,62.22226667,65.37633333,40.93186667,62.43733333,81.7204,92.0429
209.9,71.8123,65.69586667,59.288,63.1068,61.03546667,65.56626667,41.877,63.4304,77.86406667,87.70216667
210.28,73.23733333,68.5256,62.56406667,69.55146667,65.2564,71.28213333,48.2692,70.19226667,79.23073333,92.69223333
210.66,75.53186667,67.65953333,64.18433333,68.43966667,64.46813333,71.27666667,46.59573333,68.22686667,78.01426667,96.2056
211.03,70.1,63.46666667,61.53333333,62.13333333,58.66666667,72.06666667,43.53333333,62,74.06666667,89.93333333
211.41,73.26246667,64.3262,63.9008,65.3192,58.58173333,74.04246667,46.7376,64.04246667,75.10626667,89.75183333
211.79,71.8996,62.4372,66.30833333,62.29393333,56.77406667,75.69893333,42.00706667,62.8674,69.0322,89.71326667
212.17,71.8279,63.1542,69.24726667,67.4552,56.55926667,77.3476,41.57706667,66.95333333,69.8922,94.55206667
212.55,72.46376667,62.46373333,67.75373333,69.63773333,57.4638,79.855,40.797,69.4202,72.89853333,93.1159
212.92,69.28033333,60.75746667,68.48493333,67.19693333,59.92433333,82.04546667,39.0152,65.68173333,71.89393333,90.60606667
213.3,80.54266667,70.62013333,80.31006667,76.5892,72.9458,94.72866667,51.78293333,79.14733333,81.16273333,99.7288
213.68,75.12583333,66.1006,76.72946667,69.30806667,66.9182,85.78613333,51.25773333,75.53453333,71.5724,89.59123333
214.06,76.84043333,67.91673333,76.24993333,67.84726667,66.736,88.05553333,49.79173333,75.27773333,70.34726667,91.736
214.44,77.0881,63.90813333,73.56326667,64.98086667,66.66653333,87.50953333,46.1304,71.41753333,65.1342,88.46743333
214.81,79.8551,65.50733333,76.30433333,66.52173333,71.44933333,89.3478,54.71013333,73.47833333,63.9854,90.47096667
215.19,87.56866667,68.70586667,82.9804,73.17646667,80.7844,94.66666667,61.1764,83.29426667,67.92153333,100.4313
215.57,83.55563333,59.55546667,81.24453333,62.75553333,79.0222,89.42226667,55.64446667,80.62206667,60.53346667,100.1777667
215.95,84.06396667,55.89033333,76.16446667,60.91333333,81.00453333,87.76253333,56.98633333,79.90866667,62.28313333,94.47483333
216.32,85.27783333,55.1112,76.4444,56.4444,88.3332,95.77773333,63.11106667,84.2222,62.7778,101.1110333
216.7,85.641,59.74366667,82.43586667,50.25633333,94.6154,100.2564,70.64106667,83.84613333,62.69226667,113.5256
217.08,102.8104,70.19606667,104.1830667,67.7124,112.1568667,113.9868667,89.67313333,107.7124667,81.0456,128.1045
217.46,107.8431,74.5098,110.5882667,70.5882,113.0719333,117.6472,90.9804,109.5424667,78.9542,125.0328
217.83,149.0698667,115.969,158.7598,116.5890667,163.2558,156.124,141.5503333,153.4884,131.783,165.2713667
218.21,163.5713,133.9683333,186.6666,135.5556667,189.3651333,177.3016,162.381,177.9365333,159.365,184.8413333
218.59,136.9590667,119.4152667,154.6198667,112.7486,155.3216,144.3274667,136.2572667,143.0411333,136.6082,153.8011333
