wavelength,Back_SicLuvf,Belly_SicLuvf,Breast_SicLuvf,Crissum_SicLuvf,Crown_SicLuvf,DorTail_SicLuvf,Patch10_SicLuvf,Rump_SicLuvf,Throat_SicLuvf,WingTip_SicLuvf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,-40.8730000001,-88.09525,-106.547666667,-44.0475833333,-65.47625,-61.904625,-67.8570833333,-26.1905,-27.3809583333,-47.61925
179.16,32.4879166667,17.39125,15.942,28.62325,31.1595,14.4926666666,32.2464166667,24.6376666666,46.0145833334,22.1015
179.54,112.962972222,133.333166667,76.3888750001,127.777833333,147.22225,59.7222083334,161.111,219.444416667,219.444458333,16.6668333334
179.93,37.4075555555,36.1111666667,64.4445,60.0000833333,70.0,55.2779166667,54.4445833333,71.1111666667,51.111125,50.55575
180.31,-3.47216666668,-54.4870833334,-12.9807083333,-4.80775000002,1.12183333333,-15.0640833333,-0.961666666667,54.4871666667,30.6087916666,-22.7565
180.69,-10.6995277778,-57.56175,-24.9228333333,-17.2839166667,-8.17891666666,-20.06175,-7.09875,49.2284166666,20.6017916667,-33.4875833333
181.07,-19.5194722222,-88.964,-36.7117083333,-31.5315833333,-15.9910833333,-32.20725,-12.83775,68.9188333334,25.9009166667,-48.8739166667
181.45,-144.444444445,-404.166666667,-193.75,-209.166666667,-164.166666666,-147.5,-145.833333334,214.166666667,-11.2499999999,-232.5
181.83,-49.1319444443,-223.958333333,-67.1875,-106.25,-71.3541666668,-22.9166666667,-89.5833333334,175.520833333,23.6979166667,-100.520833333
182.21,-317.777777778,-826.666666667,-414.166666667,-543.333333332,-443.333333333,-188.333333333,-493.333333332,428.333333333,-33.3333333332,-536.666666666
182.59,-172.222222222,-410.416666667,-257.8125,-396.875,-244.791666667,-139.0625,-334.375,216.666666667,-1.5625,-306.25
182.97,-12.3455833333,-206.481416667,-16.666625,-250.926083333,-56.4815833335,36.1110000001,-159.259166667,324.074083333,163.425958334,-115.74075
183.35,90.2777777778,-171.875,96.875,-163.541666667,76.0416666668,184.895833333,-115.625,402.083333333,280.208333333,3.125
183.73,-42.1296944445,355.555416667,-110.416583333,272.222166667,-70.8333333335,-212.5,184.722166667,-416.666583333,-274.999875,-5.55566666667
184.11,801.388888888,-695.833333334,854.166666668,-383.333333334,495.833333333,1066.66666667,241.666666666,1645.83333333,1354.16666667,708.333333333
184.49,-370.0,230.0,-374.166666667,28.3333333335,-215.000000001,-486.666666667,-130.0,-698.333333333,-530.0,-338.333333333
184.87,-285.802527778,67.5925,-309.722166667,-132.4075,-215.74075,-310.185208333,-149.999916667,-475.0,-397.22225,-319.444583333
185.25,434.8765,119.444416667,501.388666667,316.666666667,369.444416667,483.79625,331.4815,695.370416667,572.685083333,471.296166666
185.63,207.32325,90.1514166667,236.174041667,160.984833333,190.909083333,214.393791667,164.015083333,297.3485,264.772791667,217.04525
186.01,556.666666666,35.0,618.333333333,423.333333334,483.333333334,586.666666666,430.0,885.000000001,763.333333333,636.666666667
186.39,-871.29625,119.444416667,-731.944458334,-655.555583334,-677.777666667,-808.333250001,-666.66675,-1261.111,-1058.3335,-1011.11125
186.77,-795.138888888,-58.3333333335,-662.5,-735.416666668,-527.083333333,-833.333333333,-647.916666667,-1093.75,-898.958333332,-808.333333333
187.15,202.932111111,41.2039166668,134.722041666,204.1665,122.685166667,215.740541667,160.185333333,256.944416667,231.713083333,197.68525
187.53,168.518694444,72.6190833333,111.309458333,164.6825,101.984083333,179.563625,138.491916667,226.984,188.69025,160.317416667
187.91,207.118055556,68.75,93.4895833332,197.916666667,118.75,194.791666667,127.604166667,259.895833333,219.791666667,179.6875
188.29,169.305555556,112.083333333,76.2500000001,181.25,95.8333333332,174.791666667,85.0,216.25,167.916666667,159.583333333
188.67,94.7618333333,73.8094166667,40.2379166666,96.6667499999,58.09525,104.880958333,53.0951666667,128.809416666,89.8809166666,83.09525
189.05,85.2903333333,69.1289166668,35.51125,78.409,50.7575833332,100.284166667,37.3105,102.84075,73.3900416667,69.88625
189.43,87.1748888889,74.29075,46.8971250001,79.4325833334,60.4611666668,100.531916667,34.7516666667,89.3616666666,64.8936666667,82.9786666666
189.81,86.7612500002,92.0213333333,50.4432083332,82.97875,65.7801666667,105.850958333,42.3756666667,94.6808333335,74.5567500001,91.13475
190.19,97.788111111,106.790083333,68.0554583333,97.9938333333,82.5616666666,116.049416667,57.253,102.469166667,85.6481666668,103.395083333
190.57,96.1441111112,103.85575,81.903125,98.5075000001,84.4528333333,111.69125,57.3382499999,96.14425,81.9651666666,102.23875
190.95,91.1044722223,96.7263333333,76.2400416667,92.4602500001,80.1585833333,102.083291667,52.9763333333,80.5555,70.7838333333,97.7183333333
191.33,113.575194444,126.88175,91.801,114.381583333,99.0592500001,122.244625,57.7958333334,93.4140000001,77.8224166668,117.473
191.71,112.794805556,129.292916667,91.1615833332,125.504916667,100.12625,127.146291667,60.3534166666,92.9292499999,75.9471250001,114.267833333
192.09,121.415694444,153.0915,109.408666667,145.699,109.677416667,146.706916667,70.9674999999,102.419333333,86.4919583332,127.822583333
192.47,139.71625,174.468083333,128.10275,183.688,143.08525,185.638208333,76.9504166666,109.929166667,89.7160416668,145.389833333
192.85,206.770833333,254.947916667,186.328125,268.489583333,205.46875,268.098958333,82.0312500001,130.208333333,135.026041667,226.041666667
193.23,244.333333333,308.666666666,219.5,333.666666667,242.0,311.333333333,97.6666666666,140.333333333,142.833333333,255.333333333
193.61,342.438277778,417.5925,260.416583333,439.814833333,329.629666667,398.611166667,121.2965,168.055583333,211.111125,293.9815
193.99,296.241888889,363.7255,217.647083333,421.568666667,294.117666667,361.764583333,34.8040833331,112.745,143.8725,232.84325
194.37,216.319444444,274.305666667,162.326416667,305.902916667,201.736166667,257.638833333,31.9445000002,84.7220833335,118.229083333,161.8055
194.75,209.606361111,293.402833333,159.5485,308.333333334,201.041666667,262.847291667,43.0555833333,74.3056666667,128.819416667,161.458166667
195.13,344.444444444,537.5,232.083333333,563.333333333,388.333333333,474.583333333,4.16666666665,94.9999999998,207.083333333,265.833333333
195.51,165.496972222,255.263,121.271958333,278.508833333,183.772,249.342208333,4.3860000001,8.7718333334,118.859583333,145.17525
195.89,118.859666667,191.666833333,71.7104583333,211.403583333,132.894666667,185.964833333,-39.9122499998,-67.5439166667,61.1842083332,105.262916667
196.27,127.046833334,210.08775,67.7632083333,178.947333333,110.087583333,188.596625,-39.9122499999,-80.2630000001,77.63175,88.1579166667
196.65,120.473333333,194.753166667,71.7592083334,146.296333333,81.173,143.827375,10.4939166668,-38.2715833334,98.45675,80.2470833333
197.03,84.3253333333,174.107166667,43.1547083332,131.547666667,58.0359166668,109.970166667,8.9285,-57.4404166665,60.5656250001,41.6666666667
197.40,70.1388333333,182.639,37.5000833333,121.875,49.3056666666,116.493208333,-0.347083333425,-103.8195,45.6597916666,25.6944166667
197.78,-21.1111111113,538.333333333,-20.0,371.666666667,-195.0,361.666666667,-276.666666666,-845.0,-96.6666666658,-168.333333332
198.16,1.85194444458,-177.083416667,32.9861666668,-118.75,133.333333333,-161.110958333,81.2499999999,392.361166667,102.777916667,51.3889166668
198.54,38.0435555556,-32.9709999999,73.1884583333,1.08683333334,114.492666666,-39.3114166667,84.05825,269.565333333,108.695666667,70.2898333334
198.92,46.3735833333,6.94433333333,69.9074583333,20.6019166667,100.462916667,5.09266666668,79.6295833332,203.703583333,91.4352916666,78.2407499999
199.30,40.404,-35.9851666667,60.606,-15.9090833333,139.015333333,-24.9998750001,84.8483333334,306.439583333,110.037708333,96.5908333334
199.68,37.6127222222,-9.90975,49.099125,-4.50441666665,84.6848333333,-1.2387083334,60.5856666666,184.459416667,94.7072499999,79.7300000001
200.06,22.0555555556,-18.0,30.4166666667,-11.5,60.1666666667,-1.74999999993,39.6666666666,127.0,67.5833333333,52.3333333333
200.44,24.8261944444,-19.9651666666,26.2153333333,-21.1805833333,49.8264166667,2.34383333325,38.7152500001,123.958333333,77.7778333334,40.6250833332
200.82,28.3654999999,-6.41025,29.72775,-10.096,43.4293333332,13.7819166666,48.7179166666,120.352583333,83.0931250001,34.1346666666
201.19,7.25033333334,-19.7739166667,9.322,-24.01125,21.8925833333,-1.69500000007,26.8360833333,85.3106666667,54.3785,22.31625
201.57,12.4803888889,-14.43675,8.80279166667,-19.9531666667,19.1314166667,4.166625,29.3428333333,71.1268333333,43.6030416667,16.3146666666
201.95,1.61294444445,-31.1828333333,8.535,-32.6613333333,4.30108333334,-3.36025,22.1773333333,73.6559166666,47.3790416667,10.2149999999
202.33,-8.24638888891,-38.41125,-0.390624999983,-38.6718333334,-2.73416666667,-7.617,16.92725,66.4063333334,37.2397083333,17.8386666668
202.71,4.26597222223,-20.4364166667,3.57120833335,-24.3053333333,3.86908333333,2.28170833332,16.7659166667,54.3650833333,37.4008333334,25.992
203.09,10.9680277778,-8.33341666668,14.3899166667,-6.27158333334,13.9175833333,11.555125,19.7595833333,55.4983333333,43.8144166666,29.2096666667
203.47,9.76258333334,-8.81874999998,12.661875,-2.83166666667,11.7314166667,9.42566666666,19.0938333333,52.7508333333,45.42875,28.479
203.85,-2.43452777778,-20.8801666666,4.54120833332,-12.9211666667,2.90241666668,-1.12358333333,9.73783333332,51.0299166667,33.8484583334,22.472
204.22,-8.71527777778,-21.7708333334,6.51041666666,-14.5833333334,-3.12500000001,-1.97916666667,8.85416666666,56.9791666666,33.3854166667,20.2083333333
204.60,-7.0216111111,-13.42575,14.8727083333,-10.4166666667,4.28233333334,0.347166666675,8.79633333332,65.3935000001,34.606375,33.1019166667
204.98,-19.7221666667,-23.4525,7.380875,-20.7143333333,-2.85708333333,-14.58325,-7.97625,53.5713333333,25.1786666667,21.0715833334
205.36,-11.4406388889,-14.407,23.0931666666,-10.3105833333,5.22591666667,-11.0877916666,1.69500000002,80.7909999999,39.9010833334,28.2483333333
205.74,-15.6861666667,-19.7711666667,23.447875,-5.88241666667,5.39208333333,-13.8073333333,-2.45091666665,96.4052500001,45.1795416667,32.3530833333
206.12,1.98399999997,-5.20841666668,24.702375,14.4346666667,18.4524166667,4.538875,11.16075,98.2143333334,50.96725,34.8215000001
206.50,-7.89469444445,-14.91225,12.2807083333,-12.06125,2.85091666667,-9.42991666667,-2.41224999998,122.368333333,49.671,17.9825
206.87,-27.8934722222,-33.6805833334,-7.81254166658,-40.2779166666,-7.6388333334,-17.5346666667,-21.52775,180.902833333,57.986,-9.3748333335
207.25,-27.6235833334,-31.0185833333,-10.6480416667,-54.6295833334,-15.2777499999,2.08341666657,-7.87041666667,238.888916666,110.416541667,-17.1296666665
207.63,11.8520000002,8.889,35.2778333333,-33.3334166667,24.9998333332,65.5554166666,37.7777499999,326.111166667,158.33325,7.2223333335
208.01,170.555555556,131.666666667,165.0,-36.6666666668,193.333333333,290.833333333,233.333333333,1038.33333333,613.333333333,43.3333333333
208.39,156.871305555,127.63175,105.044,52.6314999998,162.28075,144.079,136.403416667,345.614,239.912541667,84.6490833335
208.77,177.604166667,169.791666667,115.885416667,91.1458333332,186.458333333,184.635416667,170.3125,429.6875,307.03125,77.0833333333
209.14,168.171472222,146.1805,102.430666667,98.6110000002,152.77775,161.805833333,156.944666667,325.6945,235.243166667,94.7918333333
209.52,168.300638889,148.2845,115.196041667,122.058833333,158.333333333,157.475458333,154.166666667,268.137166667,208.333458333,122.303666667
209.90,183.234,191.368916667,143.601041667,135.416833333,198.511916667,181.249875,177.97625,310.416583333,241.071458333,136.01175
210.28,366.111111111,451.666666667,332.916666667,253.333333333,477.5,377.916666667,375.0,786.666666667,566.25,261.666666667
210.66,207.142888889,220.63475,186.507833333,166.666666667,264.682416667,227.380916667,213.095333334,401.98425,288.888833333,132.9365
211.03,182.799138889,187.1795,190.064125,162.179416667,234.615333333,208.653916667,199.038416667,348.397333333,244.551208333,135.897583333
211.41,163.310194444,163.541833333,165.624958333,132.638833333,220.833333333,180.902791667,159.374916666,328.472416667,191.319458333,118.055666667
211.79,103.952944444,112.5,123.237208333,79.1665000001,158.654,134.936041667,90.3845833333,253.846166667,120.032291667,73.0769166667
212.17,67.1296111111,63.2715,79.0895833332,52.7778333333,89.6605833333,84.0277500002,70.6789166667,139.351916667,73.5340416666,58.02475
212.55,46.5972222222,46.875,73.4374999998,47.7083333333,84.1666666668,85.8333333333,67.0833333333,155.416666667,71.6666666667,56.25
212.92,49.0739166667,47.0485833333,72.309125,36.9790833333,77.257,83.2466250001,66.4928333332,130.729083333,71.007,63.3679166667
213.30,73.5631388889,66.0919166666,105.747083333,43.9654166667,119.827583333,123.276041667,95.6894999998,200.861833333,103.592,113.218666667
213.68,67.1568055556,49.5100000001,130.147083333,0.490249999925,145.098,171.568708333,99.0194166668,283.8235,127.205708333,139.215666667
