wavelength,Back_SicRaim,Belly_SicRaim,Breast_SicRaim,Crissum_SicRaim,Crown_SicRaim,DorTail_SicRaim,Patch10_SicRaim,Rump_SicRaim,Throat_SicRaim,WingTip_SicRaim
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,33.3333333333,246.666666667,66.6666666667,233.333333333,213.333333333,133.333333333,173.333333333,40.0,86.6666666667,90.0
179.16,-93.3333333333,-13.3333333333,0.0,-53.3333333333,-40.0,-40.0,-146.666666667,-40.0,20.0,10.0
179.54,3.03033333333,18.1816666667,24.2426666667,27.2726666667,69.6966666667,18.182,-2.36847578587e-15,3.03033333333,57.5756666667,4.545
179.93,107.692,38.4616666667,107.692666667,130.769,84.615,117.948666667,94.8716666667,117.948666667,141.025666667,73.077
180.31,37.7356666667,-61.635,5.66033333333,31.4463333333,-0.629,-14.4656666667,-38.9936666667,28.9306666667,92.453,-30.189
180.69,24.0743333333,-79.0123333333,-3.08633333333,30.247,-14.8146666667,-31.4813333333,-57.4076666667,11.111,80.247,-33.333
181.07,45.411,-28.5023333333,17.391,60.3863333333,16.9083333333,4.34766666667,-14.0093333333,32.8503333333,89.855,-5.7975
181.45,51.0286666667,-17.6956666667,14.403,61.7283333333,12.7573333333,19.753,-2.05766666667,32.0986666667,84.362,-4.9385
181.83,52.9763333333,-53.5713333333,1.78533333333,64.286,-17.262,-5.95233333333,-32.7383333333,19.6426666667,95.238,-33.036
182.21,30.6666666667,-84.0,-24.0,36.0,-45.3333333333,-52.6666666667,-86.0,-16.0,74.0,-66.0
182.59,24.6666666667,-82.0,-8.66666666667,33.3333333333,-42.6666666667,-68.0,-94.0,-22.6666666667,79.3333333333,-74.0
182.97,21.212,-55.7573333333,15.1516666667,49.6966666667,-19.9996666667,-47.879,-65.4546666667,-1.212,83.6363333333,-39.091
183.35,24.294,-61.582,12.9946666667,44.633,-8.47433333333,-57.627,-57.627,-5.08466666667,81.921,-26.2715
183.73,32.338,-52.7363333333,18.9053333333,54.7263333333,-5.97033333333,-41.791,-35.3233333333,10.9453333333,76.617,-5.9705
184.11,17.1876666667,-63.0203333333,-2.60366666667,44.7916666667,-43.7496666667,-52.083,-57.812,-6.77033333333,50.521,-11.719
184.49,11.4426666667,-63.6816666667,-14.9253333333,29.353,-40.299,-51.741,-62.6866666667,-9.95033333333,43.781,-17.9105
184.87,32.184,-68.9653333333,-31.6093333333,37.3563333333,-55.1726666667,-45.4023333333,-71.2646666667,-5.74733333333,53.448,-32.7585
185.25,17.61,-77.3586666667,-62.264,27.673,-58.4906666667,-64.1506666667,-94.34,-22.6413333333,48.4276666667,-47.1695
185.63,12.403,-91.473,-72.093,21.7053333333,-82.9456666667,-114.728666667,-135.659,-34.8836666667,54.2636666667,-72.093
186.01,33.3333333333,-39.1813333333,-40.351,39.1816666667,-50.2923333333,-50.2923333333,-70.1753333333,8.187,54.971,-34.2105
186.39,46.9696666667,-46.9693333333,-78.03,49.2423333333,-81.818,-60.606,-75.0,18.1816666667,59.091,-23.8635
186.77,29.1666666667,-54.1666666667,-110.0,50.8333333333,-99.1666666667,-66.6666666667,-87.5,25.0,37.5,-3.75
187.15,39.5833333333,-26.389,-85.4166666667,63.889,-75.0003333333,-30.5556666667,-70.8336666667,33.3333333333,34.028,2.0835
187.53,28.889,-38.889,-151.111,106.666666667,-145.555666667,-48.889,-143.333333333,39.9996666667,20.0,-26.6665
187.91,37.7776666667,-93.3333333333,-340.000333333,171.111,-360.000333333,-155.555333333,-371.111333333,57.778,-40.0,-136.6665
188.29,38.8886666667,-88.889,-413.889,244.444666667,-416.666333333,-152.777666667,-477.777666667,113.889,-33.3333333333,-154.1665
188.67,160.0,-220.0,-946.666666667,713.333333333,-826.666666667,-240.0,-1000.0,386.666666667,-26.6666666667,-350.0
189.05,0.0,-80.0,-413.333333333,300.0,-400.0,-116.666666667,-496.666666667,263.333333333,-26.6666666667,-170.0
189.43,108.333333333,-266.666666667,-625.0,1058.33333333,-1191.66666667,-208.333333333,-1216.66666667,850.0,-50.0,-312.5
189.81,50.0,461.111,466.667,-633.333333333,666.666666667,144.444333333,822.222333333,-544.444333333,288.889,375.0
190.19,144.444333333,477.777333333,499.999666667,-303.703666667,462.963,259.259333333,770.370333333,-200.0,311.111,400.0
190.57,153.333333333,260.0,213.333333333,-146.666666667,200.0,170.0,361.666666667,-63.3333333333,155.0,287.5
190.95,116.049666667,193.827,169.135666667,-104.938666667,183.950666667,130.864333333,281.481333333,-6.17266666667,125.926,268.5185
191.33,112.698666667,154.761666667,128.571333333,-25.3966666667,139.682333333,100.793333333,196.825,40.4763333333,115.872666667,219.048
191.71,129.914666667,170.085666667,123.932,3.419,140.171333333,105.983,195.726666667,43.5896666667,118.803333333,246.154
192.09,123.611,138.194333333,79.861,2.778,84.0276666667,76.389,133.333333333,43.0556666667,95.139,204.167
192.47,136.752,174.359,100.855,17.0936666667,101.709333333,109.401666667,141.880333333,57.265,117.948666667,262.8205
192.85,121.568666667,180.392,109.803666667,18.6273333333,122.549,134.314,150.0,28.4313333333,127.451,283.8235
