wavelength,Back_SicTacm,Belly_SicTacm,Breast_SicTacm,Crissum_SicTacm,Crown_SicTacm,DorTail_SicTacm,Patch10_SicTacm,Rump_SicTacm,Throat_SicTacm,WingTip_SicTacm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,35.0001833333,40.0,35.2381333333,38.09525,47.6190666667,49.9561938596,29.5239333333,54.2856666666,36.1904666667,33.1746333333
179.16,22.0833333333,73.3333333333,78.3333333333,60.4166666666,51.6666666667,12.8015350877,73.3333333334,13.3333333333,18.3333333333,29.1666666667
179.54,177.22215,208.888933333,228.888866667,180.555666667,242.222133334,171.257249561,251.111133333,82.2223333332,133.333333333,210.7406
179.93,176.666666667,210.0,171.666666667,166.666666667,168.333333333,194.216008772,253.333333333,150.0,130.0,158.611111111
180.31,-477.083333333,-611.666666667,-502.5,-368.75,-365.833333333,-270.021929824,-644.166666667,-288.333333333,-384.166666667,-415.0
180.69,-373.181783333,-492.1212,-411.515133333,-314.394,-308.484933333,-206.768377632,-521.2122,-230.909133333,-316.363666667,-326.565733333
181.07,-2359.16666667,-3090.0,-2766.66666666,-2029.16666667,-2196.66666667,-1508.60745614,-3346.66666667,-1673.33333333,-2176.66666667,-2225.0
181.45,-1245.83333333,-1561.66666667,-1485.0,-1020.83333334,-1143.33333333,-825.115131578,-1768.33333333,-903.333333335,-1171.66666667,-1234.16666667
181.83,-354.404816667,-430.0,-416.6666,-263.69025,-298.095066666,-223.782819517,-504.7618,-280.4762,-345.238133333,-343.412722222
182.21,-123.489583333,-157.083333333,-151.666666667,-89.0625,-97.0833333332,-60.9854714913,-186.041666667,-96.8749999999,-122.916666667,-120.277777778
182.59,-191.159233333,-246.086933333,-247.246333333,-141.304416667,-172.7536,-119.716924561,-280.579733334,-158.840533333,-195.6522,-184.202688889
182.97,-240.333283333,-322.222266667,-340.000066667,-177.22225,-253.7778,-147.451733114,-381.3334,-201.3334,-273.777733333,-225.851911111
183.35,-297.49995,-382.857133333,-397.619,-233.9285,-323.809533333,-206.62125921,-459.524,-237.1428,-347.142866667,-278.095166667
183.73,-144.999983333,-189.8552,-212.463733333,-107.970916667,-179.130466667,-108.465842325,-255.941933333,-111.884,-181.159466667,-140.579588889
184.11,-32.4795333333,-65.0406666667,-79.8373333333,-26.2195,-61.6260666667,-23.8145605264,-103.089333333,-17.0732000001,-51.3821333334,-33.4688777778
184.49,-6.60931666665,-35.7472,-33.908,-6.46558333335,-24.8276666666,-5.94376030701,-54.8276666667,6.20673333333,-15.8619999999,-10.7855555556
184.87,-21.0666666667,-54.0,-50.5333333333,-14.8333333333,-38.4,-26.325,-74.2666666667,-9.33333333333,-32.2666666666,-21.9333333333
185.25,-25.6,-57.4666666667,-44.9333333333,-16.0,-34.6666666667,-31.3254385964,-68.9333333334,-9.86666666664,-31.8666666666,-20.5111111111
185.63,-22.5786166667,-55.5974,-35.7231333333,-13.2075833333,-28.805,-28.0706559211,-57.2327333333,-2.38993333334,-21.3836666667,-12.4738222222
186.01,-24.5485666667,-61.6666666667,-39.3054666667,-28.6456666667,-33.4722666667,-32.9596114036,-59.4444000001,0.138799999994,-19.4444,-10.9258666667
186.39,-63.62735,-113.725466667,-84.706,-62.7450833333,-70.1960666667,-70.8764651315,-107.254866667,-21.9608000001,-58.0392000001,-41.2419111112
186.77,-56.2500666667,-100.3704,-74.2593333334,-59.7224166666,-52.5925333334,-61.8459412282,-97.4073333335,-16.6666666667,-48.8888666666,-29.0742333333
187.15,-93.0105833334,-137.849333333,-100.645133333,-91.6665833334,-68.3869999999,-96.9509359648,-127.5268,-49.6774666667,-64.7311333333,-52.4731555556
