wavelength,Back_SicUrof,Belly_SicUrof,Breast_SicUrof,Crissum_SicUrof,Crown_SicUrof,DorTail_SicUrof,Patch10_SicUrof,Patch11_SicUrof,Rump_SicUrof,Throat_SicUrof,WingTip_SicUrof
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,-2.77777777777,24.1666666667,-17.5,7.5,1.66666666665,25.873015873,34.1666666667,21.6666666667,-6.66666666668,14.1666666667,13.3333333333
179.16,98.4046148147,96.4103333332,81.5384666667,104.102466667,85.1281999999,96.0196126984,107.692333333,90.2564000001,83.5898666665,96.9231666665,90.7692
179.54,28.1481481482,-163.333333333,-110.0,-73.3333333333,-103.333333333,-298.412698413,-243.333333333,-196.666666667,-160.0,-113.333333333,-43.3333333334
179.93,-137.777777778,-420.0,-386.666666667,-166.666666667,-453.333333333,-684.126984128,-566.666666667,-546.666666667,-506.666666667,-556.666666667,-246.666666667
180.31,11.2296296295,181.866666667,76.8000000001,102.933333333,162.933333333,173.117460317,152.533333333,158.4,98.4,139.066666666,95.1999999999
180.69,12.0817555555,169.425333334,71.7240666667,98.1609333333,161.609066667,156.584501587,147.126466667,147.816066667,85.5172,127.126633333,85.7470000001
181.07,-25.1440000001,241.4814,84.4443999999,120.370466667,234.814933333,208.44788254,202.962866667,208.5186,99.6295999999,166.2962,107.4074
181.45,-101.388888889,542.499999999,167.5,235.833333334,546.666666667,461.944444444,440.000000001,465.0,221.666666666,363.333333333,217.5
181.83,-89.9383333335,352.7776,98.8888,148.888866666,375.000133333,251.005152381,282.777733333,274.444466667,105.0,220.277833333,120.0
182.21,-181.975244445,265.000133333,6.66666666674,78.3332,303.889,140.714263492,213.889,187.222266667,0.55560000006,124.444466667,32.7778
182.59,-172.645525926,179.047466667,-12.3808666666,80.4761333331,254.285733333,87.2108634921,165.238,158.095266667,-12.3808666667,101.428533333,-11.4286666665
182.97,-129.62962963,163.75,8.74999999998,84.1666666666,246.666666667,61.6865079364,168.75,143.333333333,3.33333333326,118.333333333,12.9166666666
