wavelength,Back_SpoAmem,Belly_SpoAmem,Breast_SpoAmem,Crissum_SpoAmem,Crown_SpoAmem,DorTail_SpoAmem,Rump_SpoAmem,Throat_SpoAmem,WingTip_SpoAmem
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,-103.636533333,-124.242466666,-93.9393333333,-93.9393999999,-89.0909999999,-71.5150666667,-76.3636666666,-63.6363333333,-97.5758000001
179.16,355.0,396.666666667,325.0,385.0,395.0,346.666666667,288.333333333,248.333333333,370.0
179.54,376.666666667,390.0,341.666666667,353.333333333,345.0,291.666666667,295.0,351.666666667,395.0
179.93,99.9999999999,104.1026,89.2308666667,78.9742666667,105.641,77.4358,68.718,65.641,90.2564
180.31,472.564133333,492.564133333,426.410333333,435.128066667,483.589733333,386.153866667,341.794933333,320.769066667,417.179533333
180.69,543.8888,576.944533333,503.3334,513.055533333,567.5,452.499933333,395.555466667,381.9446,494.1666
181.07,319.365,332.2222,295.873066667,300.1588,333.6508,267.460266667,236.6666,227.301733333,287.301666667
181.45,387.647066667,391.3726,359.608,355.686266666,393.3334,316.6668,287.254933333,277.254666667,342.353133333
181.83,418.709533333,414.838733334,387.096733333,382.795666667,432.9032,347.741866667,312.473066667,298.924933333,366.2366
182.21,609.523866667,589.841133333,567.619066667,553.015866667,640.317466667,502.539533333,459.6826,438.0952,529.5238
182.59,664.912333333,627.017533333,627.017533333,586.315733333,697.894733333,539.298333333,493.333266667,508.0704,585.614133333
182.97,908.095400001,830.476266667,829.523733334,784.761866667,951.428533332,731.428533333,687.142800001,708.571466667,816.190400001
183.35,4004.44446667,3671.11106667,3708.88886667,3480.0,4306.6666,3291.11106667,3073.3332,3028.88886667,3673.33326667
183.73,1764.76186666,1623.8096,1657.14293333,1554.28566667,1864.76186667,1466.66666667,1367.61913333,1301.9048,1689.52373333
184.11,-2951.66666667,-2703.33333333,-2681.66666667,-2548.33333333,-3038.33333334,-2345.0,-2216.66666667,-2080.0,-2768.33333333
184.49,5800.0,5190.0,5410.0,5066.66666667,5883.33333333,4563.33333333,4373.33333333,4216.66666667,5526.66666667
184.87,1410.0,1240.0,1287.5,1199.16666667,1402.5,1099.16666667,1070.83333333,985.0,1347.5
185.25,3646.66666667,3033.33326667,3255.55573333,3060.00006667,3628.8888,2782.2222,2662.2222,2559.99993333,3462.2222
185.63,1171.11106667,978.518533332,1061.48153333,992.592533334,1179.99993333,897.777866666,853.333399999,819.999999999,1104.44446667
186.01,-4816.66666667,-3870.0,-4420.0,-3846.66666666,-4843.33333333,-3490.0,-3396.66666667,-2896.66666667,-4413.33333333
186.39,-845.454666667,-679.393933333,-775.757533334,-680.606,-852.7272,-643.636266667,-603.636266666,-515.7574,-796.969733333
186.77,-3162.22213333,-2553.3332,-2959.99993333,-2633.3334,-3224.44446667,-2377.7778,-2371.1112,-1791.111,-3073.33333333
187.15,1003.70373333,837.036933333,988.148133334,878.5186,1050.3704,776.296266667,791.851866666,557.036933333,1028.88893333
187.53,824.848333334,689.697066667,757.575733333,708.484933333,856.363666666,630.302999999,655.757533333,460.0,846.666733334
