wavelength,Back_SpoCaef,Belly_SpoCaef,Breast_SpoCaef,Crissum_SpoCaef,Crown_SpoCaef,DorTail_SpoCaef,Rump_SpoCaef,Throat_SpoCaef,WingTip_SpoCaef
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,-26.6666666667,-123.333333333,-66.6666666667,-250.0,-223.333333333,-66.6666666666,-163.333333333,-213.333333333,-210.0
179.16,8.0,-53.3333333333,-1.3333333332,-31.9999999999,-75.9999999999,22.6666666667,-37.3333333334,-84.6666666667,-40.0000000001
179.54,67.2222,62.7778,77.2222666667,87.7777333335,95.5554666666,56.6667333334,74.4444666667,102.222366667,81.1111333333
179.93,-706.666666667,-800.0,-833.333333334,-926.666666667,-966.666666667,-673.333333333,-726.666666666,-853.333333334,-726.666666666
180.31,15.3334000001,-74.2222666666,-44.2222,-69.7778666667,-91.3333333333,-3.5554666666,-26.0,-54.3331999999,-63.1112
180.69,-37.7777333334,-232.0,-178.222333333,-236.888866667,-264.888866667,-80.8888000002,-132.444466667,-191.111233333,-211.555533333
181.07,-60.6061333334,-324.848466667,-268.4848,-307.878866667,-343.6364,-113.333266667,-167.272733333,-250.9089,-293.9394
181.45,-95.8333333335,-401.666666667,-403.333333334,-408.333333333,-443.333333333,-183.333333333,-227.5,-299.583333333,-435.000000001
181.83,-11.3889333333,-125.555533333,-120.0,-109.4446,-117.222133333,-49.4443999998,-56.1110000001,-58.4722666668,-129.722066667
182.21,-11.1110666667,-220.888866667,-219.111,-182.666666667,-177.333266667,-86.2222666668,-90.2221333334,-126.222266667,-208.888933333
182.59,63.9215333333,-112.9412,-130.5882,-89.4118,-64.3137333334,-20.3922,20.7842666668,-51.9609,-115.6862
182.97,57.3333333333,-109.777733333,-150.222266667,-106.6666,-51.1112000001,-36.4444,41.3333333333,-70.2222333332,-118.6666
183.35,32.2222666666,-128.333333333,-223.333266667,-153.333333333,-51.6666666666,-61.6666666666,21.6666000001,-121.6666,-169.444533333
183.73,282.222333333,-235.5556,-715.555599999,-513.3334,13.3333999988,-184.444333333,255.555666665,-408.888933333,-586.666733333
184.11,-43.3332666666,161.111133333,461.111133333,353.333266667,38.8888000001,186.6666,-45.5556,361.666733333,447.777866667
184.49,22.5396000001,81.9047333333,169.5238,137.777733333,45.3967333335,84.4444000001,16.8253999998,115.5555,175.555533333
184.87,-34.1666666666,43.3333333334,161.666666667,95.4166666667,-0.83333333334,57.9166666666,-47.9166666666,83.125,166.25
185.25,-10.2083333334,32.2916666667,90.8333333333,46.2499999999,11.0416666666,38.9583333333,-20.4166666667,46.6666666665,87.2916666666
185.63,-12.2521333334,24.1442,72.4325333333,33.1532,0.18013333326,18.7388000001,-28.1080666666,35.2252666667,62.8828666666
186.01,-12.8070000001,17.0176666667,62.9825333333,19.4735999999,-12.6316000001,18.2454666666,-30.8772666666,31.6665666666,54.7366666666
186.39,-91.3043999999,-56.5218666666,-3.76806666673,-47.5362666668,-104.058,-46.3768000001,-130.7246,-43.4783333334,15.9421333334
186.77,-21.9607333335,-7.84313333333,19.8038666665,-5.09806666661,-44.902,-8.43126666674,-45.4901333333,-8.52943333332,42.9411999999
187.15,-47.4746666667,-19.394,-0.80793333332,-33.7373333335,-53.3335333333,-22.6262666668,-53.3332666667,-25.0505999999,44.8485333333
187.53,-44.0000666668,-2.8572,2.28560000006,-33.1428666667,-40.1905333333,-19.6190666667,-41.3333333333,-26.3809666667,46.8572666666
187.91,-74.8718666665,-13.3334,-7.43586666654,-72.0512666667,-67.1794000001,-51.0256666667,-61.5385333334,-61.7948666667,46.6667333333
188.29,-76.7816666666,-14.7126666667,-8.73566666666,-77.2413333333,-63.908,-59.0804666667,-42.5287333333,-68.1608333333,27.5862
188.67,-105.555533334,-24.1667333334,-23.6110666667,-105.555533333,-106.944533333,-83.0555333333,-40.0000000001,-84.7221333333,15.5556
189.05,-105.797066667,-20.0001333334,-22.0290666666,-112.7538,-117.3914,-83.1884666667,-33.9130666667,-82.7536333333,30.7245999999
189.43,-97.8787333334,-5.4546,-29.3938666666,-111.515333333,-133.333333333,-93.9394000001,-27.2725999999,-77.4241666667,33.3332666668
189.81,-56.1290666667,14.8385333333,-5.1613333332,-65.1613333333,-81.5052666667,-42.5805999999,0.645133333414,-37.7420999999,35.4838000001
190.19,-59.6396666666,-6.84686666666,-18.1983333333,-59.8198,-81.8018000001,-51.3513333333,-9.5494666666,-37.7477999999,17.2972666667
190.57,-37.3050666666,-0.56733333334,-2.1278,-46.5247333333,-59.1489333333,-36.1701333334,3.12073333342,-22.5531666666,23.8296666667
190.95,-32.1088666667,11.8368,14.1495333333,-38.2314,-46.9386666667,-14.966,15.3740666667,-3.12919999994,31.1564666667
191.33,-9.85513333334,27.971,36.6668,-18.2609333335,-39.2753999999,6.81153333334,31.1594666667,17.6086666667,46.5217333333
191.71,3.3333333334,38.4,46.9333333333,-0.5333333334,-34.2666666666,17.1999999999,38.8,33.5333333334,56.8000000001
192.09,14.0605999999,48.9697333333,52.9697333333,8.9696,-24.2424666666,27.5151333333,44.6060666666,46.6667000001,60.4847999999
