wavelength,Back_SpoCasf,Belly_SpoCasf,Breast_SpoCasf,Crissum_SpoCasf,Crown_SpoCasf,DorTail_SpoCasf,Patch10_SpoCasf,Patch11_SpoCasf,Rump_SpoCasf,Throat_SpoCasf,WingTip_SpoCasf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,75.5555333333,184.4444,131.111,186.6666,-11.1110666667,208.8889,128.888866667,206.666733333,226.6666,168.889,62.2221999999
179.16,99.4872,112.3078,90.7691333332,101.538466667,92.8205333333,118.9743,91.282,91.7948666666,111.282,110.769266666,99.9998666667
179.54,-2.22233333331,1.4814,26.6667333333,16.2962666667,22.9628666667,-25.5555,17.7777999999,0.0,-13.3332666667,-3.7038,-11.8518666667
179.93,-10.6666666667,-6.0,-15.3333333333,-16.6666666667,-10.6666666667,-57.0,3.99999999998,-40.6666666667,-15.3333333333,-9.99999999999,-0.666666666654
180.31,-23.0895333333,-44.2277333333,-6.66653333333,-54.4716,4.8780666666,-90.0814666666,3.73979999992,-46.1787333333,-44.8780666666,-21.3006666667,-9.75613333334
180.69,-20.8510666666,-40.8510000001,0.567399999986,-51.6312,9.21980000006,-82.9787000001,8.08513333332,-43.9715999999,-35.3192,-14.7519333333,-8.7942666667
181.07,-9.59073333334,-20.1167333333,16.1403333333,-27.1346,11.5789333333,-58.7719666667,19.5321999999,-24.4444,-12.8655333334,5.73100000001,3.04086666668
181.45,5.69893333332,-5.05373333333,22.7957333333,-16.4516666667,23.6559333333,-44.8388,30.0000666666,-18.8172666667,-2.15053333333,24.5162,14.3010666667
181.83,7.07700000001,-3.48726666667,21.5384666667,-17.641,27.7948666667,-39.4359666667,29.9487333333,-19.795,4.82059999998,32.9230666667,21.9487333333
182.21,5.21226666666,-6.06053333334,31.5152,-19.5152,33.9394666666,-42.303,34.4242666666,-21.8181333333,5.21213333334,44.7273333333,26.0607333333
182.59,-13.4751333333,-26.2410666667,17.8722666667,-34.1843999999,23.5460666667,-66.1701666667,21.8439333333,-44.6808666665,-11.0638666667,31.7730666667,5.95746666667
182.97,-22.963,-36.8888666667,7.1112,-39.8517333335,7.25919999994,-76.3704,13.6296666667,-51.1111999999,-17.0370666667,19.2592666666,-7.40733333328
183.35,-33.0,-40.1666666667,-5.16666666668,-45.8333333333,-1.3333333334,-75.9166666667,10.1666666667,-69.5,-19.3333333332,13.5,-14.9999999999
183.73,-31.9048,-40.3174666667,0.793666666647,-41.7459999999,-1.42866666666,-67.381,9.5238,-63.0158000001,-14.9207333332,19.0475333333,-5.87306666666
184.11,-40.1708,-56.7521333333,-8.0342,-48.0342000001,-7.52133333326,-72.3077333333,-0.170933333254,-68.547,-23.2478666666,16.2392666667,-13.3333333334
184.49,-66.6667333334,-84.1975333333,-24.9382666667,-64.4444000001,-17.7776666667,-123.209833333,-14.5680666667,-102.469066667,-43.9505999999,20.7407333333,-39.7530666667
184.87,-87.4358666667,-100.512933333,-49.7435333333,-76.4102000002,-38.4616666667,-139.230866667,-36.9230666667,-113.589733333,-59.7435333333,-4.61546666667,-56.1539333333
185.25,-201.666733333,-234.444466667,-147.777733333,-187.2222,-96.6667333334,-273.888966667,-96.1112666668,-236.111133333,-139.444533333,-47.7777333334,-170.5556
185.63,-106.25,-144.166666667,-54.1666666668,-81.2499999999,-31.25,-132.083333333,-27.4999999999,-102.083333333,-37.0833333333,-7.91666666668,-84.1666666667
186.01,-531.111133333,-651.111133333,-268.889,-355.555599999,-275.555533333,-670.000133334,-111.111133335,-451.111133334,-275.555600002,-217.777733333,-502.222199999
186.39,-93.3332666667,-126.6666,-47.7778000002,-63.3332666668,-58.8889333333,-107.499966667,-17.2222000001,-68.8888666666,-57.7776666666,-45.5555333333,-111.6666
186.77,-121.904733333,-152.381,-19.0475999999,-69.5237333334,-108.5714,-65.7143333333,-0.95240000006,-76.1904000001,-67.6189999998,-27.6190666666,-80.9524
187.15,-52.1211333333,-64.2424666665,22.4242666667,-29.0908,-47.8788666669,-16.3636333335,29.0909333333,-37.5758,-17.5756666665,21.8182000001,-22.4241999999
187.53,17.5756666667,14.8484666667,53.3332666667,20.909,16.6666000001,18.4847666665,63.9393333332,27.8789333334,19.3940666667,53.6362666668,24.8485333332
187.91,41.9353333333,48.3871333331,76.3441333335,43.6559333333,37.8493999999,42.6881666666,74.1935333333,46.4516,36.7741999999,64.9462666667,41.9354666668
188.29,54.0230666667,65.5173333335,100.689666667,52.6437333333,44.5976,49.8849333333,87.3563333335,55.6323333331,53.7931333333,72.4137333335,46.4367333334
188.67,46.842,50.8772666666,86.6666,39.8244666666,42.6317333334,57.7194666667,71.4035333333,46.4912666666,53.8594666667,58.0701333333,39.8245333333
189.05,66.5,68.0,101.0,57.5000000001,63.5,80.9166666666,87.3333333335,61.1666666667,66.9999999999,70.8333333333,58.5
189.43,51.2195333334,54.9593333333,87.3171333332,36.5853999999,41.6259333333,62.4390666666,72.8453999999,39.8375333333,49.1055999999,55.7722666666,47.8050000001
189.81,46.0741333333,60.7407333333,86.6664666667,38.5185999999,40.7407333333,64.1481333333,67.7035999998,40.5926666667,46.8147999999,54.0741333334,51.2592666667
190.19,33.6586666667,51.0569333333,83.7398666665,32.6828666667,28.2926,69.1055999999,61.4634666665,36.0975333334,46.8292666665,53.9837999999,51.7073333334
190.57,31.111,37.9011333333,65.1850666667,24.3209333333,23.8273333333,53.1480333334,51.7284,35.0617333334,47.284,39.0124,48.1481999999
190.95,34.1463333333,40.4065333333,54.3901333333,29.6748,31.1380666667,42.0731333333,46.9919333333,39.1057333333,43.5772,37.1545333333,43.9024666667
191.33,37.3171333333,44.2275333333,62.9267333334,36.748,37.6422,51.9105,52.9268,49.4309333334,48.6992,43.9024,49.1056666666
191.71,36.036,43.6936,63.8738666667,34.6847333333,38.4684666667,55.946,49.0091333334,53.6937333333,52.3424,39.5495333333,43.0630666667
192.09,31.5686666667,40.9804666667,59.6077999999,33.3333333333,34.8039333333,61.3725666667,48.6274,61.0785333333,52.3528666667,35.5883333333,37.1568666667
192.47,32.0346666667,45.8875333333,54.3723333334,33.8528666667,36.6233333333,65.8008666667,46.8398666666,64.8485333333,47.7922,37.4026,37.0563333333
192.85,37.5926666667,62.5925333334,66.7592666668,46.1109333333,49.5371333333,78.6574666666,57.7777333335,80.7407333333,55.8332666667,47.9630666667,49.3518666667
193.23,34.3518,57.2222666667,64.3518666667,44.074,42.8704666667,75.0925666667,50.9260000001,79.2592666666,50.0000666667,47.1296666667,42.4074
193.61,43.1061333333,60.2274,67.0454666667,55.303,52.2727333333,79.2803,52.2728000001,80.6817333334,53.106,49.9999333333,47.5757333333
193.99,38.8653333333,52.9787333333,60.0709333333,48.1561333333,43.7588,69.8228,44.6098,73.617,48.4397333333,42.6240666667,40.8512
194.37,42.1288,49.8598,56.3584666667,45.4901333333,43.9214666667,61.9329666667,40.7844,64.0336666667,43.8095333333,39.8318666667,33.7254666667
194.75,39.7508,48.0374,55.0779333333,45.2336,42.679,62.5546,35.8255333333,62.3676666667,38.1930666667,38.8162,25.8567333333
195.13,36.3218666667,42.9884,50.9578,42.2222,40.7664,66.5901666667,29.1952666667,63.2184666667,36.0154,36.7816,13.6399333333
195.51,35.1372,37.4116666667,45.255,38.5096666667,39.2942,65.0979333333,22.7451333333,56.8628,33.8038666667,29.8038666666,9.8824
195.89,26.7376,26.3122,36.3120666667,29.6453333333,29.7873333333,52.0923666667,15.0355333333,43.9006,22.6952,22.1986,10.9928666667
196.27,19.7850666667,15.6273333333,27.7419333333,19.9284,19.068,39.104,2.50900000002,29.3906,13.6200666667,11.6845333333,4.58773333333
196.65,12.121,4.24246666666,20.3462666667,12.9005333333,9.17753333336,29.5238333333,-9.524,15.1516666667,3.54973333334,-2.25106666668,-7.01300000001
197.03,-4.30760000001,-18.8718666667,-3.89739999999,-13.6409333333,-21.0257333333,4.87176666667,-36.7180000001,-13.3332,-20.0,-30.4614666667,-34.7692666667
197.40,-5.45453333335,-16.9697999999,-10.7878666666,-23.6363333333,-28.3638666667,2.78803333333,-46.5454000001,-14.7878666667,-25.5757333333,-41.9392,-42.3030666667
197.78,-32.5000000001,-41.3333333333,-35.3333333334,-54.1666666666,-67.3333333334,-23.5833333333,-81.5,-36.6666666667,-50.3333333333,-76.3333333334,-73.6666666667
198.16,-7.39133333335,-5.36226666672,-10.8696,-18.2609333333,-24.9275999999,7.89853333333,-40.8696000001,-4.49266666666,-16.8115333333,-41.1594,-44.6374666666
198.54,-24.8649333333,-7.56766666672,-23.2432666666,-26.1262,-42.3425333333,3.51356666665,-56.9369999999,-5.58546666667,-18.7387333333,-57.1171333333,-53.5134666667
198.92,-0.4166666668,38.3333333332,9.99999999992,-5.0,-15.4166666667,36.0416666667,-27.5,26.0416666667,20.0,-29.5833333333,-28.1249999999
199.30,25.4166666667,68.5416666668,44.1666666666,23.5416666667,2.08333333326,68.5416666667,-1.24999999985,52.9166666666,43.3333333334,-8.33333333334,4.79166666674
199.68,23.3333333333,88.8888666669,50.2776666666,20.0000666667,-24.7222,67.9165333333,-15.0001333332,71.6666,34.1665333332,-26.1110666666,-5.27766666661
200.06,70.4761333332,321.904666667,214.2856,97.1428,-85.7143333334,248.571433333,-72.3809333333,280.952333333,146.666666667,-99.0475333333,-70.4761999999
200.44,90.5555333332,173.333466667,135.277733333,108.611066667,69.7222666665,161.666566667,69.7223333333,182.2222,131.944466667,53.3334666667,41.6667333333
200.82,69.5238666667,109.932,94.5578666666,74.1497333333,58.7756000001,107.278933333,66.2584,128.435333333,103.673466667,54.4217333333,48.7075333333
201.19,67.963,93.8887333334,84.8148666667,76.4814666667,57.3149333333,95.8333666667,66.6667333334,116.018533333,93.4259333335,56.4814666667,55.3704
201.57,63.5134000001,90.6306666667,86.9368666668,77.3874,51.8018666667,92.6125333333,70.4503333333,115.6758,92.1621333333,56.1263333334,56.8468
201.95,57.4774,82.5225333333,76.5766666668,67.027,49.4594,86.5766333334,64.6846666667,109.189133333,90.0,44.3243333333,45.8559333333
202.33,48.6337999999,73.6611333333,69.9453333333,56.6120666666,32.8962666667,82.7322666666,57.1585333333,108.7434,89.7268666667,33.2240666667,35.1913333333
202.71,46.0493333334,66.6667333333,67.6544,49.6296,28.0246666667,80.9259,59.7532000001,113.8272,93.3332666667,27.9012666667,30.9876
203.09,37.9393999999,49.4545999999,51.0304,43.394,13.4545333333,67.6364666667,47.8787999999,105.454666667,79.6364666667,13.8182,16.1212
203.47,29.3547333334,39.6774000001,38.9246666667,29.4623333333,5.59133333333,55.9677333333,39.4623333333,91.9355333333,68.6021333333,8.92486666666,10.3225333333
203.85,24.5886,34.8919333333,30.3031333333,22.0778666667,9.09086666667,48.6581,30.736,76.277,59.4805333333,10.0432666667,10.3894666667
204.22,21.037,29.6296,21.9259333333,19.3332666667,6.66666666668,44.7408,29.1111333333,66.2963999999,51.1112,12.8147333333,9.11126666667
204.60,11.5556,21.4074,13.1110666667,10.4444666667,-5.25919999999,34.0369333333,18.8148,52.7407333334,38.0,2.96300000002,1.55546666665
204.98,5.69280000001,15.281,8.98873333332,5.99253333333,-8.61426666667,28.7641666667,11.6854,42.6965333333,27.2659333333,-3.82026666666,-6.21740000001
205.36,-2.73093333334,5.78313333334,4.65860000001,-2.65066666667,-11.3252,22.7711,4.09653333334,31.727,19.518,-9.23686666666,-15.5824
205.74,1.80000000001,5.66666666668,6.13333333332,4.06666666669,-1.73333333333,24.2333333333,5.73333333333,26.3333333333,21.0,-2.46666666668,-9.73333333335
206.12,0.317533333338,7.49213333334,9.3332,5.58733333333,-1.4602,21.7461,3.61906666667,23.8096,14.3491333333,2.53966666668,-7.49199999998
206.50,3.04093333335,10.3508,11.2281333333,8.42099999999,-0.467799999992,20.3801333333,4.21039999999,25.2632,10.2923333333,2.5146,-5.61400000001
206.87,-1.6374,6.14026666668,5.78946666668,6.19879999999,-5.96493333335,16.1404,-3.1578,20.9941333333,2.57313333333,-3.04093333333,-13.5088
207.25,-4.59386666667,7.33913333332,7.73113333334,6.49859999999,-4.986,16.7507,-0.896466666674,20.0559333333,5.54626666667,-1.17659999999,-9.35573333332
207.63,-2.07053333334,9.94953333332,10.2524,11.2120666667,0.101066666666,16.9444333333,3.28279999999,20.1514666667,9.24253333332,1.61613333333,-4.8484
208.01,-0.61113333334,10.6666666667,12.9444,14.4444666667,0.55553333334,16.5833333333,6.27766666666,20.8888,9.44446666666,1.22220000001,-7.27786666668
208.39,-2.34239999999,9.48953333334,12.6725333333,11.3514,-1.14113333334,13.2132666667,4.08406666669,17.9581333333,6.36633333332,-4.74473333335,-10.0899333333
208.77,-25.3479333333,-8.2784,-3.22353333333,-6.81313333334,-21.6850666667,-4.17583333333,-15.6775333333,6.81306666665,-7.326,-26.2271333333,-32.1611333333
209.14,-39.4166666667,-21.5,-20.1666666667,-18.5,-43.6666666667,-17.5833333333,-30.3333333333,-1.00000000001,-15.75,-42.75,-43.5833333333
209.52,-65.2778000001,-42.0370666667,-43.4259333333,-41.0184666667,-67.0370666667,-39.5832666667,-52.2222666667,-20.6482,-40.4628000001,-68.6109333334,-63.4259333333
209.90,-96.5556,-64.9999999999,-71.3334666667,-71.6667333333,-100.6666,-70.8889000001,-81.8888666665,-46.2222666667,-70.6666666666,-101.7778,-96.4443333335
210.28,-67.5925333333,-46.8518666666,-50.0926,-49.9999333333,-77.2222,-52.2222666667,-59.1665333333,-28.5184666667,-45.1850666667,-74.9075333334,-68.4259999999
210.66,-70.3483333333,-50.9454000001,-51.7412666667,-54.7264,-81.4926666667,-56.9154333333,-64.2786666667,-31.1442,-43.8805333333,-76.7164666667,-68.2587333333
211.03,-63.0107333333,-39.4624666667,-41.1827333333,-47.3119333333,-72.0429333333,-43.3331,-50.0001333333,-19.6776,-27.8494,-67.8494,-50.6452000001
211.41,-80.5032000001,-54.5911999999,-69.8113999999,-69.6855333333,-96.4780666666,-66.7925,-68.1760666667,-35.7232,-51.3206666665,-95.9748000001,-69.3082666666
211.79,-141.212066667,-105.858666667,-136.565666667,-131.717133333,-167.474733333,-136.9697,-126.868733333,-67.2727333333,-105.6566,-174.3434,-128.0808
212.17,-116.748,-85.3658666667,-114.959333333,-109.268466667,-131.87,-103.739866667,-96.4226000001,-50.244,-77.2358666667,-136.422733333,-94.6341333333
212.55,-217.241466666,-167.586266667,-224.5976,-192.183933333,-231.494133333,-191.609266667,-182.758666666,-117.241333333,-148.735666667,-231.2644,-182.5288
212.92,-184.285466667,-145.714266667,-202.380866667,-161.9048,-195.9524,-166.4285,-156.9048,-99.5239333334,-125.476333333,-201.190466667,-160.9522
213.30,-6073.33333333,-4766.66666667,-6433.33333333,-5113.33333333,-5766.66666667,-5500.0,-5086.66666667,-3640.0,-4486.66666667,-6266.66666667,-5500.0
213.68,505.000066667,378.888933333,536.666666667,402.2222,481.111266667,458.055633333,416.111066667,286.111066667,337.777733333,523.3334,450.000066667
214.06,237.284,168.642,243.7036,186.172733333,226.9136,207.777733333,192.098666667,127.654333333,150.864333333,237.284066667,192.345666667
214.44,212.083333333,135.833333333,210.625,164.375,191.666666667,173.75,150.0,113.958333333,131.041666667,206.25,169.791666667
214.81,246.021533333,156.9892,235.698866667,190.967733333,213.763466667,199.5699,169.677333333,134.838733333,160.430066667,232.473266667,200.2152
215.19,380.666666667,250.666666667,358.333333333,303.666666667,320.0,346.0,277.666666667,219.333333333,278.333333333,361.333333333,328.333333333
215.57,1400.0,926.666666667,1244.0,1032.0,1117.33333333,1243.33333333,1108.0,738.666666667,966.666666667,1313.33333333,1192.0
215.95,3516.66666667,2353.33333333,2840.0,2490.0,2836.66666667,2980.0,2846.66666667,2083.33333333,2476.66666667,3203.33333333,2933.33333333
216.32,-974.444400001,-627.777733333,-762.222266667,-646.666666667,-864.444466667,-841.666633333,-838.888866667,-573.333333333,-632.222133333,-932.222266667,-808.888933333
216.70,-173.6,-107.2,-120.0,-109.866666667,-170.666666667,-154.0,-144.266666667,-86.6666666665,-104.533333333,-172.0,-126.133333333
217.08,-164.4444,-106.1728,-131.851866667,-112.592533333,-180.740733334,-158.765433333,-147.1604,-94.0741999999,-115.555533333,-167.9012,-111.1112
217.46,-56.4848,-36.1212666666,-36.7272666667,-34.0604666667,-72.1212666667,-56.2425,-52.606,-28.0,-44.7272666667,-58.7878666666,-32.0
217.83,-50.1638666667,-34.4263333334,-34.9726,-31.4753333333,-69.6174,-50.7651333333,-46.7760666667,-27.2131333333,-45.7924,-51.6939333334,-31.4753333333
218.21,-26.5812666667,-16.4957333333,-16.7521333333,-8.2052,-39.9145333333,-26.7093333333,-23.6752,-11.2819333333,-26.0684,-31.1110666667,-15.8974666667
218.59,-50.3332666667,-47.3332666667,-39.7778,-28.2222,-70.7778666667,-52.7776666667,-54.2222666666,-31.6669333333,-56.4444666666,-59.7778,-38.6666666667
218.97,-47.0056,-44.8588000001,-40.7909333333,-23.5027333333,-69.8304666667,-47.8532333333,-54.1242666667,-35.1413333333,-50.3955333334,-62.2600000001,-35.4800666667
219.34,-80.1389333333,-74.8610666666,-78.0554666666,-52.3611333333,-109.444466667,-75.9722666667,-89.0277333332,-67.6388666666,-80.1389333334,-104.5832,-67.3610666667
219.72,-182.4,-174.933333333,-182.666666667,-142.933333333,-241.333333333,-176.0,-188.266666667,-167.2,-188.266666667,-238.4,-172.8
220.10,-119.819933333,-112.973,-121.981933333,-95.3154000001,-157.297333333,-103.063033333,-114.774733333,-99.8198666667,-114.054066667,-152.071933333,-108.108133333
220.47,-168.125,-160.208333333,-168.125,-138.75,-201.875,-140.833333333,-157.916666667,-141.875,-169.166666667,-198.541666667,-154.166666667
220.85,-244.127066667,-211.111066667,-236.190533333,-194.9206,-280.317533333,-205.873033333,-236.508133333,-207.301533333,-238.095266667,-290.4762,-233.3332
221.23,-160.769266667,-131.5384,-135.384533333,-120.7692,-176.4102,-121.5385,-156.410266667,-139.2308,-151.538466667,-203.076933333,-154.359
221.61,-225.0,-164.333333333,-203.666666667,-171.0,-236.0,-175.166666667,-223.0,-196.333333333,-188.0,-272.333333333,-208.666666666
221.98,-210.196066667,-136.470666667,-171.372466667,-124.3136,-217.6472,-140.1961,-210.588266667,-169.0196,-156.078466667,-252.9412,-200.3922
222.36,-388.0,-282.0,-296.666666667,-281.333333333,-429.333333333,-276.333333333,-399.333333334,-306.0,-282.0,-457.333333333,-404.666666667
222.74,-79.0803999999,-30.3448000001,-49.8851333333,-44.1379333334,-98.3907333333,-47.4713333333,-82.0688000001,-53.5632666667,-38.8506,-109.425266667,-84.8276666667
223.11,-82.8986666665,-18.5506666667,-45.2174000001,-28.116,-104.348,-45.9420333333,-87.5362666667,-45.5072000001,-31.3045333333,-112.173866667,-88.4057999999
223.49,-54.1666666667,1.94446666666,-19.1666000001,3.33346666652,-81.3887333334,-16.8056000001,-58.0556000001,-6.11100000002,2.22220000006,-68.3333333334,-46.9445333334
223.87,-39.375,9.375,0.20833333334,12.7083333335,-54.7916666667,-15.2083333333,-39.5833333333,-2.29166666674,6.87499999999,-43.125,-22.5
224.24,-74.9206,4.76199999998,-20.6349333333,-0.6349333334,-109.523666667,-53.4919666666,-91.746,-39.365,-13.0159333333,-95.8730666665,-71.4286
