wavelength,Back_SpoColf,Belly_SpoColf,Breast_SpoColf,Crissum_SpoColf,Crown_SpoColf,DorTail_SpoColf,Patch10_SpoColf,Patch11_SpoColf,Patch12_SpoColf,Rump_SpoColf,Throat_SpoColf,WingTip_SpoColf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,46.6666666667,-200.0,126.666666667,-120.0,113.333333333,46.6666666668,-26.6666666667,-26.6666666659,53.3333333335,-13.3333333334,160.0,373.333333333
179.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179.54,236.0,226.666666667,258.666666667,237.333333334,284.0,217.333333333,277.333333333,241.333333333,256.0,245.333333333,230.666666667,330.666666667
179.93,20.0,66.6666666667,49.3333333333,41.3333333333,77.3333333333,37.3333333334,26.6666666667,12.0000000001,97.3333333333,29.3333333334,46.6666666667,102.666666667
180.31,-863.333333333,-1058.88893333,-1046.66673333,-869.999866667,-965.555599999,-830.000133335,-772.2222,-716.666600001,-784.444333334,-696.666599999,-1017.77773333,-1141.11106667
180.69,-949.333333333,-1252.0,-1217.33333333,-1008.0,-1133.33333333,-884.000000001,-884.0,-805.333333332,-862.666666667,-785.333333334,-1218.66666667,-1342.66666667
181.07,-378.787866667,-552.727333333,-498.181866667,-407.8788,-472.727266667,-338.181866667,-340.606066667,-315.151466667,-335.7576,-309.0908,-515.757666667,-563.636466667
181.45,-467.407333334,-682.962866667,-612.592533333,-536.296333333,-597.7778,-458.518466667,-419.259266667,-411.111199999,-445.185133333,-397.037,-675.555733333,-708.888800001
181.83,-1495.55553333,-2104.44453333,-1819.99993333,-1584.4444,-1782.22233333,-1495.55553333,-1171.11113333,-1202.2222,-1311.11113333,-1182.22213333,-2151.11106667,-2115.55566667
182.21,1253.33333333,1658.33333333,1521.66666667,1243.33333333,1441.66666667,1243.33333333,953.333333333,1038.33333333,995.0,1098.33333333,1745.0,1660.0
182.59,260.909066667,339.696933333,310.303066667,241.818066667,292.121266667,258.484933333,207.575933333,230.909133333,217.878733333,261.212133333,348.787866667,332.727266666
182.97,164.523866667,217.8572,211.4286,143.3334,192.381066667,154.761933333,112.619,135.0,129.047666667,175.2382,230.9522,223.095266667
183.35,113.333333333,157.166666667,155.5,106.0,134.5,111.333333333,84.8333333333,107.833333333,91.6666666667,133.5,167.5,164.833333333
183.73,105.625,155.416666667,159.791666667,90.625,139.166666667,123.333333333,76.0416666667,109.375,81.25,145.833333334,178.958333333,177.291666667
184.11,116.5658,155.353533333,158.585866667,98.5858000001,149.292866667,141.616133333,95.1514000001,119.393866667,103.2324,173.333333333,185.858666667,188.888933333
184.49,116.9892,153.118333333,160.430133333,93.5482000001,151.612933333,139.569866667,101.5054,126.0216,104.946266667,172.473066667,189.032266667,193.118333333
184.87,147.407333333,192.345733333,201.234666667,109.629666667,182.4692,179.2594,113.086466667,157.531,135.308666666,210.123466666,223.209866667,226.6668
185.25,193.6364,252.424266667,270.9092,151.515133333,238.181733333,237.8786,156.3636,211.515066667,179.697,267.272666667,286.9696,281.515066667
185.63,260.9524,349.5238,362.857133333,165.714266667,328.095333333,311.4286,191.9048,293.333333333,225.714266667,370.000133333,397.619,371.904866667
186.01,-384.444466667,-613.333266667,-634.444466667,-166.6666,-523.333266667,-491.111066667,-275.555466666,-478.888866667,-280.0,-676.666733334,-670.000066666,-647.777733332
186.39,-84.0580666667,-142.608666667,-129.5652,-25.2174666667,-117.970933333,-102.8986,-56.5216666666,-97.6810666665,-54.7826666667,-140.000066667,-143.188333333,-149.855
186.77,-32.8987333334,-52.0289333334,-45.0724666666,0.43473333334,-37.8262,-32.3188666667,-15.7971333334,-37.1014,-6.23193333334,-48.5507333333,-52.7536,-57.8260000002
187.15,-30.3334,-47.3333333333,-32.8888666667,-5.99993333333,-35.5556,-18.4445333333,-15.6666,-34.0,-8.66666666667,-38.2222666666,-41.4444,-50.3332666668
187.53,-15.911,-30.7554666667,-10.1332666667,6.5778,-23.0220666667,1.33333333334,-6.3112,-16.4445333333,4.1778,-20.5332666667,-18.8444,-31.2888
187.91,-5.48140000001,-16.5187333333,0.96306666666,17.0369333333,-7.11119999999,16.3702666667,8.37040000002,-3.03706666668,13.6296,-3.70366666666,-1.11113333334,-15.4073333333
188.29,1.05920000001,-8.78513333333,7.04046666666,22.2429333333,-1.43306666665,20.5607333333,13.271,1.9938,17.3832666667,5.66986666666,4.85979999999,-5.98133333334
188.67,8.17926666667,2.29693333333,16.0224666667,29.2436666667,9.24373333332,25.2101333333,22.3528,12.3247333333,23.3052,14.0056666667,14.0057333333,1.12046666667
189.05,16.2908,12.8820666667,25.213,34.9875333333,18.3458666667,31.8796666667,27.1678666667,21.3533333333,30.3758666666,23.8597333333,23.4588,10.4761333333
189.43,16.3733333333,15.8933333333,29.6,36.32,22.24,34.8266666667,27.6266666667,21.2266666667,32.0,25.4933333334,25.9733333333,12.8533333333
189.81,21.164,22.5398,33.9152666667,39.6296,27.3544666666,39.8942666667,30.8465333333,24.0740666667,35.6083333333,27.7777333334,30.1057333333,17.5133333333
190.19,28.5353333333,29.1919333333,38.5858,44.2928666667,32.7777333333,48.1313333333,36.9192666667,29.9496,37.4242666667,33.0305333333,35.3536,26.9194
190.57,32.5926,35.2315333333,42.2684666666,47.3611333333,39.4908,52.7314,41.0648666667,31.9907333333,40.2314666667,37.2222666667,38.4722,33.7037333333
190.95,42.0043333333,43.3550666667,48.5839333333,53.6819333334,47.1894666667,59.5642666667,48.5838,39.1285333333,46.5795333333,46.4488,46.6230666667,41.7430666667
191.33,47.4898,50.6172666667,53.8270666667,58.9299333333,55.1439333333,61.8929333333,52.6337333333,43.786,50.8231333333,50.6995333333,53.3743333333,48.2304666667
191.71,48.75,54.7916666667,55.8333333333,61.6666666667,58.3333333333,64.2083333333,57.5833333333,45.1666666667,51.75,53.375,56.7083333333,51.3333333333
192.09,48.6936,56.3513333333,57.3424666667,62.3873333333,59.3694,67.117,58.1982666667,44.1891333333,52.0721333333,54.7747333333,57.2973333333,53.7388
192.47,54.2982666667,63.8158,63.5086666666,68.0262666667,64.3422,74.0349333333,63.5526666667,48.2894,59.4738666667,59.6931333333,63.3772000001,59.5614666667
192.85,50.0000666667,59.4064666667,58.4018,64.201,59.9999333333,72.1004666666,58.0821333333,40.6393333333,56.9407333333,53.3332,61.0045999999,56.6666666667
193.23,43.1924,54.3192666667,49.9531333333,59.5774666667,53.4740666666,67.3239333334,51.2675333333,32.7698666667,50.7510666667,44.5538666667,54.8826,49.9061333333
193.61,41.0256,49.4443333333,45.3417333333,57.4357333333,50.6837333333,64.6582,48.6752666667,32.5214,48.4188666667,40.7692,52.6924,46.282
193.99,39.1812666667,45.8478666667,42.8459333333,56.2962666667,49.7076666667,62.3002,47.4854,30.9940666666,47.4072666666,39.688,51.7738,45.1851333333
194.37,35.5554666667,43.0885333333,41.9584666667,53.258,46.2524,58.9077333333,44.9717333333,27.2694,44.8587333333,37.4764666667,49.0395333333,43.2015333333
194.75,31.5924,40.4248,39.0658666667,51.8047333333,42.76,59.0234666667,43.0572666667,21.7410666667,42.1232,33.2484666667,46.4968666667,39.9574666667
195.13,27.8620666666,36.8734666667,37.0575333333,49.6551333333,39.0805333333,61.0114666667,41.1034,19.7701333333,39.2644,28.4139333334,42.6668,38.3908
195.51,22.769,33.5898,34.4103333333,47.641,36.5128,62.5128,39.3333333333,14.9230666667,35.0256666667,23.8462,38.1538,36.7692666667
195.89,22.9230666667,33.2821333333,33.6411333333,47.4872666666,35.8461333333,62.8205999999,36.5126666667,16.3076666667,32.7692,21.9999333333,36.8204666667,37.2307333333
196.27,22.0356,32.2136,32.2646,44.1729333333,33.079,60.3561999999,32.7736666667,15.3688,29.0076666667,18.117,36.8956666667,36.7429333333
196.65,14.2222,25.4444,23.7778666667,40.1111333333,29.7222666667,57.1666,25.6110666667,9.77780000002,18.0556,9.83326666667,35.1111333333,32.7778
197.03,18.9654666667,32.2989333333,32.4138,47.2413333333,36.4368666667,63.4484,32.3563333333,17.0114,22.7586666667,16.6091333334,39.9999333334,39.5977333333
197.40,16.1635333333,31.8238,35.7862,44.4654666667,34.8428,64.3396666667,30.4403333333,13.459,19.4339333333,12.5156666667,38.7421333334,39.3082666667
197.78,16.0,37.4666666667,39.4,44.6,34.6666666667,64.8,33.0666666667,14.8666666667,15.2,10.8,38.2666666667,40.4666666667
198.16,19.0377333333,40.5497333333,40.2749333333,41.8556,37.5944666667,69.1411333333,34.914,21.6493333333,12.9896,12.3712,39.5876666667,42.8866
198.54,17.8787333333,41.5909333333,36.3636,38.6363333333,37.2728,70.9090666667,35.1515333333,19.7726666667,12.7274,10.5304,39.4698,40.0758
198.92,17.7528666667,36.7791333333,34.0075333334,33.7079333333,33.3334666667,66.3670666667,31.9850666667,16.8538,13.5581333333,9.51306666667,38.1273333334,36.4794666667
199.30,17.8600666667,40.6584666667,33.7448666666,33.8271333333,33.0863333333,69.3826000001,26.8312666667,10.6994666667,10.1234,5.18526666667,39.7529333333,36.8724
199.68,31.7216,51.7215333334,48.8645333334,43.2235333333,42.1978666667,80.0732666667,35.8242,23.7362666667,24.7618666667,20.7326,50.5492666667,47.3991333333
200.06,30.4545333333,55.9849333333,51.8939333333,42.5,45.1515333333,80.1515333333,32.803,19.7727333333,24.9242,20.9849333333,48.2574666667,53.2576666667
200.44,39.2592666667,63.2921333333,61.5638,47.9013333333,57.3662,89.9588666667,37.5309333333,23.7036666667,32.0986666667,23.1275333333,50.5349333333,63.2922000001
200.82,55.0192,77.1646666667,76.1683999999,57.7011333333,72.4138,100.842866667,52.4903333333,39.5402,50.8044666666,40.6129333334,61.3025333333,80.0766
201.19,55.9420666667,75.4346666667,71.8840666666,55.7248,70.5797333334,100.0,52.029,42.174,52.1015333333,40.8696666667,60.7246666666,80.5796666667
201.57,63.4615333333,83.2050666665,77.0511333333,62.8204666667,76.7308666667,103.974333333,60.5769333333,53.0769333333,57.1154000001,51.6026,68.1410000001,89.6794666667
201.95,65.3607333333,82.8864666666,78.6942666665,62.1992,78.0757333333,110.584133333,56.1512666667,48.3848666667,55.8764,51.2714666667,70.1030666666,96.2886
202.33,62.2222,89.6030666667,84.0476666667,62.0636000001,78.6508000001,116.666666667,52.7778666667,44.127,54.5237999999,49.0476666667,68.0951333333,104.4444
202.71,64.8100666666,95.2741999999,90.5484666665,66.2447333333,82.8691333333,123.122533333,52.9114,43.9662666667,51.2235999999,50.6329333333,67.4262,111.308
203.09,73.4126666667,103.174533333,100.3174,77.6984666667,93.4127333335,126.8254,61.9047333333,55.0794,57.2222,56.508,69.3649333333,118.889066667
203.47,75.4509333333,107.764666667,104.862666667,80.6274666666,93.5685999999,124.862666667,64.7059333333,58.9803333333,59.5294000001,57.4902,70.0392,123.607933333
203.85,72.0175333334,107.3684,98.7719333333,75.4385333333,88.5088000001,120.0,57.0175333333,50.6140666667,50.8772000001,47.0174,61.8419333334,126.842133333
204.22,76.3184666666,110.845733333,101.492666667,76.1195333333,88.8556666665,125.771133333,60.995,53.0348,49.3531333334,42.5871333334,63.0845999999,131.4428
204.60,61.6162666667,99.9999333332,90.1012000001,65.1514666666,74.6463999999,111.111133333,48.6869333333,39.7979333333,36.1616,32.5253333333,54.0404666667,118.989866667
204.98,42.9090666667,90.0606000001,77.3334000001,46.5453333333,53.5757333334,100.969733333,24.1212,18.303,8.96979999994,4.24253333332,29.6971333333,105.575733333
205.36,13.3333333333,123.466666667,89.0666666666,20.5333333333,41.8666666666,140.8,-30.9333333333,-46.6666666667,-72.0,-84.8000000001,-20.7999999999,145.866666667
