wavelength,Back_SpoColm,Belly_SpoColm,Breast_SpoColm,Crissum_SpoColm,Crown_SpoColm,DorTail_SpoColm,Patch10_SpoColm,Patch11_SpoColm,Patch12_SpoColm,Rump_SpoColm,Throat_SpoColm,WingTip_SpoColm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,226.666666667,206.666666667,106.666666667,166.666666667,300.0,233.333333333,200.0,266.666666666,-1.39995393056e-10,445.925925926,186.666666666,-93.3333333331
179.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179.54,277.333333333,196.0,285.333333333,257.333333333,292.0,257.333333334,286.666666667,253.333333333,242.666666667,258.666666667,293.333333333,286.666666667
179.93,72.0,29.3333333333,77.3333333333,25.3333333333,60.0000000001,77.3333333332,41.3333333334,78.6666666666,25.3333333333,24.7407407408,43.9999999999,59.9999999999
180.31,-1273.33326667,-819.999999999,-990.000000001,-1033.33333333,-1032.22226667,-1217.7778,-964.444533332,-942.222200001,-817.777733334,-1024.07413333,-937.7778,-802.222199999
180.69,-1554.66666667,-837.333333334,-1166.66666667,-1212.0,-1210.66666666,-1417.33333333,-1140.0,-1078.66666667,-1000.0,-1237.62962963,-1114.66666667,-930.666666667
181.07,-653.333266667,-300.606066667,-492.1212,-492.121333334,-484.242466667,-573.939266667,-480.000133333,-415.757666667,-430.9092,-481.21202963,-444.848533333,-378.787933333
181.45,-828.888933334,-391.851933333,-643.703666666,-614.0742,-581.481466667,-725.925933334,-625.1852,-524.4446,-602.222266666,-614.321007407,-532.592533334,-482.222133333
181.83,-2484.4444,-1337.7778,-2035.5554,-1811.11106667,-1713.33333333,-2266.66666667,-1884.44453333,-1513.33333333,-1897.77786667,-1853.82725185,-1575.55546667,-1413.33346667
182.21,1918.33333333,1100.0,1593.33333333,1513.33333333,1371.66666667,1755.0,1575.0,1125.0,1540.0,1458.7037037,1278.33333333,1120.0
182.59,395.454466666,226.6666,317.8788,303.939333333,282.424266667,344.8486,318.787933333,234.8486,324.2424,304.478037037,265.757533333,225.151533333
182.97,263.3334,139.5238,211.666666667,192.143,183.8096,208.809466667,215.952333333,137.380866667,211.666533333,198.994637037,172.8572,152.380866667
183.35,185.166666667,96.9999999999,156.5,140.833333333,138.333333333,145.833333333,158.833333334,104.333333333,158.833333333,145.648148148,125.5,116.833333333
183.73,201.25,92.2916666667,167.5,140.833333333,139.375,150.208333333,171.041666667,98.7499999999,166.666666667,153.680555556,131.041666667,119.375
184.11,206.868666667,112.5252,180.606,152.1212,160.202,159.393933333,190.101066667,109.697,178.585866667,174.680140741,148.888866667,141.009933333
184.49,210.967866667,132.473133333,183.870933333,161.935533333,172.473066667,162.795666667,206.881533333,111.397866667,191.612866667,183.106370371,146.451666667,143.225733333
184.87,246.9136,182.962933333,217.7778,199.752933333,209.1358,201.728466667,238.7654,139.012266667,214.8148,205.926,166.419733333,168.395
185.25,320.606266667,246.666733333,273.030333333,267.878666667,263.0302,274.242466667,291.818266667,190.909133333,260.606,270.269414815,217.575733333,224.2424
185.63,475.714266667,331.904733333,345.238133333,373.333466667,360.9522,379.047733333,380.9524,225.238066667,335.238066667,351.111118518,275.238,298.571333333
186.01,-894.444533334,-536.666666666,-507.7778,-666.666600001,-626.6666,-627.777799999,-630.0,-278.889066667,-538.888866667,-559.012385186,-360.0,-447.777866667
