wavelength,Back_SpoCorm,Belly_SpoCorm,Breast_SpoCorm,Crissum_SpoCorm,Crown_SpoCorm,DorTail_SpoCorm,Patch10_SpoCorm,Rump_SpoCorm,Throat_SpoCorm,WingTip_SpoCorm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,90.0,78.3333333333,1.66666666667,176.666666667,88.3333333333,22.5,75.0000000001,148.333333333,48.3333333333,46.6666666667
179.16,33.3334,14.5456,22.4243666667,-1.81826666668,15.7576,29.697,0.60613333334,-10.3030666667,-13.9393333333,34.2423
179.54,12.9166666667,1.66666666668,-24.5833333333,18.3333333333,5.00000000001,-56.25,30.0000000001,30.8333333333,0.833333333326,-64.1666666667
179.93,121.666666667,19.9999999999,14.9999999999,-3.33333333326,93.3333333333,-25.0,-23.3333333335,-26.6666666667,-33.3333333333,223.333333333
180.31,32.4999999999,77.5000000001,-1.87500000006,127.083333333,39.5833333332,-31.4583333334,88.3333333334,178.75,81.6666666666,-183.125
180.69,-31.9047999999,126.666533333,-134.761833333,174.2858,-33.3333333333,-167.142866667,78.0953333332,293.333333333,33.3333333333,-571.428666666
181.07,129.166666667,-226.666666667,259.166666665,-190.000000001,98.3333333335,321.666666666,-74.9999999994,-406.666666667,-48.3333333333,1194.16666667
181.45,314.999999999,-386.666666667,823.333333333,-140.0,510.0,895.000000001,103.333333333,-659.999999999,223.333333333,2796.66666667
181.83,46.6666666674,-823.333333333,304.999999999,-643.333333335,183.333333334,320.0,-249.999999998,-996.666666667,-126.666666666,2405.0
182.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
182.59,54.7221999999,8.88873333333,101.666733333,33.6111999999,84.1667333331,114.8611,58.0555333332,-4.16660000001,74.1667333335,263.0555
182.97,75.4264333333,38.2945333333,98.3721333334,59.5349999999,94.4185999999,112.325633333,72.0929333334,44.0310000001,84.651,182.790566667
183.35,73.4091333333,45.4544000001,106.6669,49.3939333334,94.6970666667,112.651566667,73.1818,43.6363333334,77.2726666667,172.196966667
183.73,52.6668,37.0666666667,80.7555666667,44.4443333333,72.9778,83.8667666667,60.2666,42.8444666667,63.8222666666,120.577866667
184.11,40.4,27.6444,77.8665333333,37.8664666667,64.6222,81.6444666667,52.5333333333,37.9556,59.1112000001,112.177666667
184.49,35.0416666667,24.75,74.6249999999,27.25,58.4166666667,75.5416666667,46.5,35.8333333333,49.1666666667,103.375
184.87,33.5556666667,28.6222666667,75.9555000001,22.3110666667,57.9555333333,83.2889,44.2666666667,32.8889333333,48.4444666667,105.5554
185.25,19.6021,18.01,70.5473000001,9.65186666668,52.5374000001,82.6864333333,29.5523333333,18.1094,36.1192666667,99.8011666667
185.63,13.1771333333,9.16680000001,60.4166333334,1.14593333334,44.4791333333,74.8957333333,23.1249333333,11.6667333333,25.8334666667,89.6354
186.01,20.1700333334,23.8094666667,58.0610333333,20.4760666667,44.5578666667,64.5918666667,32.313,25.0340666667,35.1019333333,72.0069
186.39,13.9934666667,15.3136666667,51.4191333334,7.92086666665,38.7459333333,59.6699666667,24.4884666667,18.2837333334,22.9041333333,62.6733333333
186.77,-7.17596666666,-7.68513333333,47.6851333333,-16.8517333333,23.0555333333,58.8426333333,7.31473333332,-5.00013333333,1.9444,66.2500666667
187.15,-5.33333333334,-4.00000000001,36.6666666667,-19.25,17.75,45.875,10.5,-8.66666666668,4.5,61.0000000001
187.53,-5.52086666666,-7.0138,30.8679333333,-14.6528,12.0832666667,34.4444333333,6.38893333334,-9.23613333334,7.4306,47.0138666667
187.91,-9.88369999999,-11.2405333333,23.2945,-20.5426,8.44946666667,33.9921,2.94566666667,-17.9069333333,-1.0854,44.8449333333
188.29,-3.80956666666,-2.46033333334,27.6983666667,-9.7618,19.4444666667,37.0237666667,10.5556,-12.619,3.49220000001,48.3334666667
188.67,9.41173333333,9.64706666667,43.6078,7.843,34.4314,51.1764333333,27.5294666667,1.72546666666,21.0979333333,61.2941666667
189.05,17.0412,15.9551333333,48.3145666667,16.3294666667,43.3708666667,56.1423333333,39.1759333333,13.4083333333,28.3895333333,66.3296666667
189.43,34.6666666667,30.8071333333,63.7895333333,37.9648666667,58.1754666667,68.7367333333,60.5613333333,32.7016666667,49.7545333333,74.4560333333
189.81,26.7003,30.303,57.1717,32.5927333333,54.2760666667,63.9057666667,57.0371333333,27.7441333333,44.0404,62.8282666667
190.19,8.50433333334,12.3930666667,49.2735333333,18.2904666667,46.2394,58.7178666667,53.4188666667,11.1112666667,31.1111333333,53.5469333333
190.57,5.80090000002,8.74460000002,41.4717666667,21.5585333333,43.0303333333,52.4675333333,56.7966,7.61906666668,28.0520666667,42.9003999999
190.95,3.64269999999,9.14093333335,35.0858666667,22.4742,38.9004,40.5155333333,48.7285333333,11.615,30.2405333333,28.7630666667
191.33,0.171833333346,7.69773333331,34.9827,23.9860666667,38.0756666667,44.0892666667,47.0789333333,11.5464,29.0720666667,23.7800333333
191.71,4.29086666667,10.0000666667,34.6100333333,29.7162,42.7659333333,51.1701666667,56.0284,17.6595333333,31.4894,25.9928666667
192.09,-11.4445333333,-2.22226666667,26.3704666667,16.4444666667,27.1852,37.5555666667,47.5556666667,6.44453333334,18.0,7.33333333332
192.47,-8.02726666666,-4.96600000002,19.5577666667,5.98640000002,14.4899333333,32.0407,43.5374,5.98633333333,9.31973333332,5.37406666666
192.85,-23.5439333333,-15.9999333333,-2.03516666667,-9.33333333333,-5.12279999998,16.4913,27.6492,-10.1755333333,-11.7192666667,-13.6490333333
193.23,-41.6862333333,-30.9804,-18.1961,-23.1372,-25.0196,-1.56863333333,15.0588,-25.8822666667,-30.0393333333,-38.8626333333
193.61,-43.2646,-30.1718666667,-26.22,-30.1030666667,-31.0653333333,-14.5017333333,4.26113333334,-26.7354,-40.5497333333,-43.2990333333
193.99,-26.6360666667,-18.4708666667,-13.8532666667,-12.5994,-19.8165333333,-3.39469999999,12.9052,-8.56266666666,-20.7951333333,-29.8164
194.37,-14.4057666667,-5.62326666665,-7.24630000001,-0.869466666668,-10.0289333333,4.72449999999,21.4492,6.20293333333,-14.3768,-19.0436
194.75,-18.11,-7.01033333334,-9.41593333331,-2.47420000001,-16.4948666667,4.12369999999,23.5052,8.65986666667,-18.6254666667,-24.7078666667
195.13,-14.3702,-3.40739999999,-10.7409333333,-1.40733333333,-16.963,4.92583333333,27.4073333333,13.9999333333,-22.8148666667,-20.5553333333
195.51,-16.3953,-6.97686666667,-15.6202,-1.24046666666,-22.5581333333,-4.45746666666,25.2714,16.4340666667,-28.1395333333,-24.1473333333
195.89,-38.1625333333,-27.094,-40.0854,-25.8119333333,-47.5214000001,-28.6752333333,5.29906666667,-1.45300000002,-55.5555333333,-43.8033666667
196.27,-44.6846,-37.1172,-52.5675,-33.6938,-59.9099333334,-44.5944666667,-7.29726666667,-6.21606666665,-66.6665333333,-55.2251666667
196.65,-64.4284666666,-54.4760666666,-68.9524666667,-46.9522666667,-74.0952666667,-65.6666666667,-26.8571333333,-22.2857333333,-80.2858000001,-72.0475999999
197.03,-59.3136333333,-46.9608666667,-63.8725666667,-35.6862666667,-63.1371333334,-57.3039,-16.0785333334,-14.804,-72.5488666667,-67.059
197.40,-70.9895333333,-63.2291333333,-80.6248,-47.0832666667,-73.4373999999,-67.344,-29.8956666667,-29.5832666667,-93.8539333333,-80.0520666667
